,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in lincoln alabama,"('jobs in lincoln alabama', 'jobs hiring in lincoln alabama')",jobs in lincoln alabama,jobs hiring in lincoln alabama,1,0,google,2025-10-28 22:57:38.218779,,
1,jobs in lincoln alabama,"('jobs in lincoln alabama', 'honda jobs in lincoln alabama')",jobs in lincoln alabama,honda jobs in lincoln alabama,2,0,google,2025-10-28 22:57:38.218779,,
2,jobs in lincoln alabama,"('jobs in lincoln alabama', 'part time jobs in lincoln alabama')",jobs in lincoln alabama,part time jobs in lincoln alabama,3,0,google,2025-10-28 22:57:38.218779,,
3,jobs in lincoln alabama,"('jobs in lincoln alabama', 'warehouse jobs in lincoln al')",jobs in lincoln alabama,warehouse jobs in lincoln al,4,0,google,2025-10-28 22:57:38.218779,,
4,jobs in lincoln alabama,"('jobs in lincoln alabama', 'indeed jobs in lincoln al')",jobs in lincoln alabama,indeed jobs in lincoln al,5,0,google,2025-10-28 22:57:38.218779,,
5,jobs in lincoln alabama,"('jobs in lincoln alabama', 'jobs in lincoln al')",jobs in lincoln alabama,jobs in lincoln al,6,0,google,2025-10-28 22:57:38.218779,,
6,jobs in lincoln alabama,"('jobs hiring in lincoln alabama', 'jobs near lincoln alabama')",jobs hiring in lincoln alabama,jobs near lincoln alabama,1,1,google,2025-10-28 22:57:39.515779,,jobs in lincoln alabama
7,jobs in lincoln alabama,"('jobs hiring in lincoln alabama', 'jobs hiring lincoln al')",jobs hiring in lincoln alabama,jobs hiring lincoln al,2,1,google,2025-10-28 22:57:39.515779,,jobs in lincoln alabama
8,jobs in lincoln alabama,"('jobs hiring in lincoln alabama', 'jobs in lincoln al')",jobs hiring in lincoln alabama,jobs in lincoln al,3,1,google,2025-10-28 22:57:39.515779,,jobs in lincoln alabama
9,jobs in lincoln alabama,"('honda jobs in lincoln alabama', 'honda careers lincoln alabama')",honda jobs in lincoln alabama,honda careers lincoln alabama,1,1,google,2025-10-28 22:57:40.577925,,jobs in lincoln alabama
10,jobs in lincoln alabama,"('honda jobs in lincoln alabama', 'honda jobs lincoln al salary')",honda jobs in lincoln alabama,honda jobs lincoln al salary,2,1,google,2025-10-28 22:57:40.577925,,jobs in lincoln alabama
11,jobs in lincoln alabama,"('honda jobs in lincoln alabama', 'honda plant jobs lincoln alabama')",honda jobs in lincoln alabama,honda plant jobs lincoln alabama,3,1,google,2025-10-28 22:57:40.577925,,jobs in lincoln alabama
12,jobs in lincoln alabama,"('honda jobs in lincoln alabama', 'honda jobs in lincoln al')",honda jobs in lincoln alabama,honda jobs in lincoln al,4,1,google,2025-10-28 22:57:40.577925,,jobs in lincoln alabama
13,jobs in lincoln alabama,"('honda jobs in lincoln alabama', 'lincoln alabama jobs')",honda jobs in lincoln alabama,lincoln alabama jobs,5,1,google,2025-10-28 22:57:40.577925,,jobs in lincoln alabama
