,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in loachapoka alabama,"('jobs in loachapoka alabama', 'jobs in loachapoka alabama hiring')",jobs in loachapoka alabama,jobs in loachapoka alabama hiring,1,0,google,2025-10-28 23:03:28.390714,,
1,jobs in loachapoka alabama,"('jobs in loachapoka alabama', 'jobs in loachapoka alabama area')",jobs in loachapoka alabama,jobs in loachapoka alabama area,2,0,google,2025-10-28 23:03:28.390714,,
2,jobs in loachapoka alabama,"('jobs in loachapoka alabama', 'jobs in loachapoka alabama part time')",jobs in loachapoka alabama,jobs in loachapoka alabama part time,3,0,google,2025-10-28 23:03:28.390714,,
3,jobs in loachapoka alabama,"('jobs in loachapoka alabama', 'jobs in loachapoka alabama hiring now')",jobs in loachapoka alabama,jobs in loachapoka alabama hiring now,4,0,google,2025-10-28 23:03:28.390714,,
4,jobs in loachapoka alabama,"('jobs in loachapoka alabama', 'jobs in loachapoka alabama for 16 year olds')",jobs in loachapoka alabama,jobs in loachapoka alabama for 16 year olds,5,0,google,2025-10-28 23:03:28.390714,,
5,jobs in loachapoka alabama,"('jobs in loachapoka alabama', 'jobs in loachapoka alabama 2018')",jobs in loachapoka alabama,jobs in loachapoka alabama 2018,6,0,google,2025-10-28 23:03:28.390714,,
6,jobs in loachapoka alabama,"('jobs in loachapoka alabama', 'jobs in loachapoka alabama football')",jobs in loachapoka alabama,jobs in loachapoka alabama football,7,0,google,2025-10-28 23:03:28.390714,,
7,jobs in loachapoka alabama,"('jobs in loachapoka alabama', 'jobs in loachapoka alabama homes for sale')",jobs in loachapoka alabama,jobs in loachapoka alabama homes for sale,8,0,google,2025-10-28 23:03:28.390714,,
8,jobs in loachapoka alabama,"('jobs in loachapoka alabama', 'jobs in loachapoka alabama real estate')",jobs in loachapoka alabama,jobs in loachapoka alabama real estate,9,0,google,2025-10-28 23:03:28.390714,,
9,jobs in loachapoka alabama,"('jobs in loachapoka alabama hiring', 'jobs in loachapoka alabama hiring now')",jobs in loachapoka alabama hiring,jobs in loachapoka alabama hiring now,1,1,google,2025-10-28 23:03:29.786632,,jobs in loachapoka alabama
10,jobs in loachapoka alabama,"('jobs in loachapoka alabama hiring', 'jobs in loachapoka alabama hiring immediately')",jobs in loachapoka alabama hiring,jobs in loachapoka alabama hiring immediately,2,1,google,2025-10-28 23:03:29.786632,,jobs in loachapoka alabama
11,jobs in loachapoka alabama,"('jobs in loachapoka alabama hiring', 'jobs in loachapoka alabama hiring 16 year olds')",jobs in loachapoka alabama hiring,jobs in loachapoka alabama hiring 16 year olds,3,1,google,2025-10-28 23:03:29.786632,,jobs in loachapoka alabama
12,jobs in loachapoka alabama,"('jobs in loachapoka alabama hiring', 'jobs in loachapoka alabama hiring part time')",jobs in loachapoka alabama hiring,jobs in loachapoka alabama hiring part time,4,1,google,2025-10-28 23:03:29.786632,,jobs in loachapoka alabama
13,jobs in loachapoka alabama,"('jobs in loachapoka alabama hiring', 'jobs in loachapoka alabama hiring 15 year olds')",jobs in loachapoka alabama hiring,jobs in loachapoka alabama hiring 15 year olds,5,1,google,2025-10-28 23:03:29.786632,,jobs in loachapoka alabama
14,jobs in loachapoka alabama,"('jobs in loachapoka alabama area', 'jobs in loachapoka alabama area hiring')",jobs in loachapoka alabama area,jobs in loachapoka alabama area hiring,1,1,google,2025-10-28 23:03:30.909262,,jobs in loachapoka alabama
15,jobs in loachapoka alabama,"('jobs in loachapoka alabama area', 'jobs in loachapoka alabama area indeed')",jobs in loachapoka alabama area,jobs in loachapoka alabama area indeed,2,1,google,2025-10-28 23:03:30.909262,,jobs in loachapoka alabama
16,jobs in loachapoka alabama,"('jobs in loachapoka alabama area', 'jobs in loachapoka alabama area hiring now')",jobs in loachapoka alabama area,jobs in loachapoka alabama area hiring now,3,1,google,2025-10-28 23:03:30.909262,,jobs in loachapoka alabama
17,jobs in loachapoka alabama,"('jobs in loachapoka alabama area', 'jobs in loachapoka alabama area area')",jobs in loachapoka alabama area,jobs in loachapoka alabama area area,4,1,google,2025-10-28 23:03:30.909262,,jobs in loachapoka alabama
18,jobs in loachapoka alabama,"('jobs in loachapoka alabama area', 'jobs in loachapoka alabama area for 16 year olds')",jobs in loachapoka alabama area,jobs in loachapoka alabama area for 16 year olds,5,1,google,2025-10-28 23:03:30.909262,,jobs in loachapoka alabama
19,jobs in loachapoka alabama,"('jobs in loachapoka alabama part time', 'jobs in loachapoka alabama part time jobs')",jobs in loachapoka alabama part time,jobs in loachapoka alabama part time jobs,1,1,google,2025-10-28 23:03:32.347332,,jobs in loachapoka alabama
20,jobs in loachapoka alabama,"('jobs in loachapoka alabama part time', 'jobs in loachapoka alabama part time work from home')",jobs in loachapoka alabama part time,jobs in loachapoka alabama part time work from home,2,1,google,2025-10-28 23:03:32.347332,,jobs in loachapoka alabama
21,jobs in loachapoka alabama,"('jobs in loachapoka alabama part time', 'jobs in loachapoka alabama part time no experience')",jobs in loachapoka alabama part time,jobs in loachapoka alabama part time no experience,3,1,google,2025-10-28 23:03:32.347332,,jobs in loachapoka alabama
22,jobs in loachapoka alabama,"('jobs in loachapoka alabama part time', 'jobs in loachapoka alabama part time no experience needed')",jobs in loachapoka alabama part time,jobs in loachapoka alabama part time no experience needed,4,1,google,2025-10-28 23:03:32.347332,,jobs in loachapoka alabama
23,jobs in loachapoka alabama,"('jobs in loachapoka alabama part time', 'jobs in loachapoka alabama part time student')",jobs in loachapoka alabama part time,jobs in loachapoka alabama part time student,5,1,google,2025-10-28 23:03:32.347332,,jobs in loachapoka alabama
24,jobs in loachapoka alabama,"('jobs in loachapoka alabama hiring now', 'jobs in loachapoka alabama hiring now part time')",jobs in loachapoka alabama hiring now,jobs in loachapoka alabama hiring now part time,1,1,google,2025-10-28 23:03:33.490771,,jobs in loachapoka alabama
25,jobs in loachapoka alabama,"('jobs in loachapoka alabama hiring now', 'jobs in loachapoka alabama hiring now 2024')",jobs in loachapoka alabama hiring now,jobs in loachapoka alabama hiring now 2024,2,1,google,2025-10-28 23:03:33.490771,,jobs in loachapoka alabama
26,jobs in loachapoka alabama,"('jobs in loachapoka alabama hiring now', 'jobs in loachapoka alabama hiring now full time')",jobs in loachapoka alabama hiring now,jobs in loachapoka alabama hiring now full time,3,1,google,2025-10-28 23:03:33.490771,,jobs in loachapoka alabama
27,jobs in loachapoka alabama,"('jobs in loachapoka alabama hiring now', 'jobs in loachapoka alabama hiring now hiring')",jobs in loachapoka alabama hiring now,jobs in loachapoka alabama hiring now hiring,4,1,google,2025-10-28 23:03:33.490771,,jobs in loachapoka alabama
28,jobs in loachapoka alabama,"('jobs in loachapoka alabama hiring now', 'jobs in loachapoka alabama hiring now no experience')",jobs in loachapoka alabama hiring now,jobs in loachapoka alabama hiring now no experience,5,1,google,2025-10-28 23:03:33.490771,,jobs in loachapoka alabama
29,jobs in loachapoka alabama,"('jobs in loachapoka alabama for 16 year olds', 'jobs in loachapoka alabama for 16 year olds hiring')",jobs in loachapoka alabama for 16 year olds,jobs in loachapoka alabama for 16 year olds hiring,1,1,google,2025-10-28 23:03:34.804137,,jobs in loachapoka alabama
30,jobs in loachapoka alabama,"('jobs in loachapoka alabama for 16 year olds', 'jobs in loachapoka alabama for 16 year olds part time')",jobs in loachapoka alabama for 16 year olds,jobs in loachapoka alabama for 16 year olds part time,2,1,google,2025-10-28 23:03:34.804137,,jobs in loachapoka alabama
31,jobs in loachapoka alabama,"('jobs in loachapoka alabama for 16 year olds', 'jobs in loachapoka alabama for 16 year olds no experience')",jobs in loachapoka alabama for 16 year olds,jobs in loachapoka alabama for 16 year olds no experience,3,1,google,2025-10-28 23:03:34.804137,,jobs in loachapoka alabama
32,jobs in loachapoka alabama,"('jobs in loachapoka alabama for 16 year olds', 'jobs in loachapoka alabama for 16 year olds hiring now')",jobs in loachapoka alabama for 16 year olds,jobs in loachapoka alabama for 16 year olds hiring now,4,1,google,2025-10-28 23:03:34.804137,,jobs in loachapoka alabama
33,jobs in loachapoka alabama,"('jobs in loachapoka alabama for 16 year olds', 'jobs in loachapoka alabama for 16 year olds full time')",jobs in loachapoka alabama for 16 year olds,jobs in loachapoka alabama for 16 year olds full time,5,1,google,2025-10-28 23:03:34.804137,,jobs in loachapoka alabama
34,jobs in loachapoka alabama,"('jobs in loachapoka alabama 2018', 'jobs in loachapoka alabama 2018 jobs')",jobs in loachapoka alabama 2018,jobs in loachapoka alabama 2018 jobs,1,1,google,2025-10-28 23:03:35.655551,,jobs in loachapoka alabama
35,jobs in loachapoka alabama,"('jobs in loachapoka alabama 2018', 'jobs in loachapoka alabama 20184')",jobs in loachapoka alabama 2018,jobs in loachapoka alabama 20184,2,1,google,2025-10-28 23:03:35.655551,,jobs in loachapoka alabama
36,jobs in loachapoka alabama,"('jobs in loachapoka alabama 2018', 'jobs in loachapoka alabama 2018 salary')",jobs in loachapoka alabama 2018,jobs in loachapoka alabama 2018 salary,3,1,google,2025-10-28 23:03:35.655551,,jobs in loachapoka alabama
37,jobs in loachapoka alabama,"('jobs in loachapoka alabama 2018', 'jobs in loachapoka alabama 2018 hiring')",jobs in loachapoka alabama 2018,jobs in loachapoka alabama 2018 hiring,4,1,google,2025-10-28 23:03:35.655551,,jobs in loachapoka alabama
38,jobs in loachapoka alabama,"('jobs in loachapoka alabama 2018', 'jobs in loachapoka alabama 2018-2')",jobs in loachapoka alabama 2018,jobs in loachapoka alabama 2018-2,5,1,google,2025-10-28 23:03:35.655551,,jobs in loachapoka alabama
39,jobs in loachapoka alabama,"('jobs in loachapoka alabama football', 'jobs in loachapoka alabama football coach')",jobs in loachapoka alabama football,jobs in loachapoka alabama football coach,1,1,google,2025-10-28 23:03:36.646265,,jobs in loachapoka alabama
40,jobs in loachapoka alabama,"('jobs in loachapoka alabama football', 'jobs in loachapoka alabama football team')",jobs in loachapoka alabama football,jobs in loachapoka alabama football team,2,1,google,2025-10-28 23:03:36.646265,,jobs in loachapoka alabama
41,jobs in loachapoka alabama,"('jobs in loachapoka alabama football', 'jobs in loachapoka alabama football field')",jobs in loachapoka alabama football,jobs in loachapoka alabama football field,3,1,google,2025-10-28 23:03:36.646265,,jobs in loachapoka alabama
42,jobs in loachapoka alabama,"('jobs in loachapoka alabama football', 'jobs in loachapoka alabama football stadium')",jobs in loachapoka alabama football,jobs in loachapoka alabama football stadium,4,1,google,2025-10-28 23:03:36.646265,,jobs in loachapoka alabama
43,jobs in loachapoka alabama,"('jobs in loachapoka alabama football', 'jobs in loachapoka alabama football coach jobs')",jobs in loachapoka alabama football,jobs in loachapoka alabama football coach jobs,5,1,google,2025-10-28 23:03:36.646265,,jobs in loachapoka alabama
44,jobs in loachapoka alabama,"('jobs in loachapoka alabama football', 'jobs in loachapoka alabama football schedule')",jobs in loachapoka alabama football,jobs in loachapoka alabama football schedule,6,1,google,2025-10-28 23:03:36.646265,,jobs in loachapoka alabama
45,jobs in loachapoka alabama,"('jobs in loachapoka alabama football', 'jobs in loachapoka alabama football schedule 2018')",jobs in loachapoka alabama football,jobs in loachapoka alabama football schedule 2018,7,1,google,2025-10-28 23:03:36.646265,,jobs in loachapoka alabama
46,jobs in loachapoka alabama,"('jobs in loachapoka alabama homes for sale', 'jobs in loachapoka alabama homes for sale by owner')",jobs in loachapoka alabama homes for sale,jobs in loachapoka alabama homes for sale by owner,1,1,google,2025-10-28 23:03:38.110255,,jobs in loachapoka alabama
47,jobs in loachapoka alabama,"('jobs in loachapoka alabama homes for sale', 'jobs in loachapoka alabama homes for sale zillow')",jobs in loachapoka alabama homes for sale,jobs in loachapoka alabama homes for sale zillow,2,1,google,2025-10-28 23:03:38.110255,,jobs in loachapoka alabama
48,jobs in loachapoka alabama,"('jobs in loachapoka alabama homes for sale', 'jobs in loachapoka alabama homes for sale near')",jobs in loachapoka alabama homes for sale,jobs in loachapoka alabama homes for sale near,3,1,google,2025-10-28 23:03:38.110255,,jobs in loachapoka alabama
49,jobs in loachapoka alabama,"('jobs in loachapoka alabama homes for sale', 'jobs in loachapoka alabama homes for sale arizona')",jobs in loachapoka alabama homes for sale,jobs in loachapoka alabama homes for sale arizona,4,1,google,2025-10-28 23:03:38.110255,,jobs in loachapoka alabama
50,jobs in loachapoka alabama,"('jobs in loachapoka alabama homes for sale', 'jobs in loachapoka alabama homes for sale phoenix')",jobs in loachapoka alabama homes for sale,jobs in loachapoka alabama homes for sale phoenix,5,1,google,2025-10-28 23:03:38.110255,,jobs in loachapoka alabama
51,jobs in loachapoka alabama,"('jobs in loachapoka alabama homes for sale', 'jobs in loachapoka alabama homes for sale tucson')",jobs in loachapoka alabama homes for sale,jobs in loachapoka alabama homes for sale tucson,6,1,google,2025-10-28 23:03:38.110255,,jobs in loachapoka alabama
52,jobs in loachapoka alabama,"('jobs in loachapoka alabama homes for sale', 'jobs in loachapoka alabama homes for sale mesa az')",jobs in loachapoka alabama homes for sale,jobs in loachapoka alabama homes for sale mesa az,7,1,google,2025-10-28 23:03:38.110255,,jobs in loachapoka alabama
