,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in locust fork alabama,"('jobs in locust fork alabama', 'jobs near locust fork al')",jobs in locust fork alabama,jobs near locust fork al,1,0,google,2025-10-28 23:09:36.405888,,
1,jobs in locust fork alabama,"('jobs in locust fork alabama', 'directions to locust fork alabama')",jobs in locust fork alabama,directions to locust fork alabama,2,0,google,2025-10-28 23:09:36.405888,,
2,jobs in locust fork alabama,"('jobs in locust fork alabama', 'where is locust fork alabama')",jobs in locust fork alabama,where is locust fork alabama,3,0,google,2025-10-28 23:09:36.405888,,
3,jobs in locust fork alabama,"('jobs in locust fork alabama', 'locust fork high school jobs')",jobs in locust fork alabama,locust fork high school jobs,4,0,google,2025-10-28 23:09:36.405888,,
4,jobs in locust fork alabama,"('jobs in locust fork alabama', 'locust fork alabama population')",jobs in locust fork alabama,locust fork alabama population,5,0,google,2025-10-28 23:09:36.405888,,
5,jobs in locust fork alabama,"('jobs near locust fork al', 'jobs locust fork al in the last 3 days')",jobs near locust fork al,jobs locust fork al in the last 3 days,1,1,google,2025-10-28 23:09:37.384023,,jobs in locust fork alabama
6,jobs in locust fork alabama,"('jobs near locust fork al', 'directions to locust fork alabama')",jobs near locust fork al,directions to locust fork alabama,2,1,google,2025-10-28 23:09:37.384023,,jobs in locust fork alabama
7,jobs in locust fork alabama,"('jobs near locust fork al', 'jobs near locust grove ok')",jobs near locust fork al,jobs near locust grove ok,3,1,google,2025-10-28 23:09:37.384023,,jobs in locust fork alabama
8,jobs in locust fork alabama,"('jobs near locust fork al', 'jobs near locust nc')",jobs near locust fork al,jobs near locust nc,4,1,google,2025-10-28 23:09:37.384023,,jobs in locust fork alabama
9,jobs in locust fork alabama,"('jobs near locust fork al', 'jobs near locust grove va')",jobs near locust fork al,jobs near locust grove va,5,1,google,2025-10-28 23:09:37.384023,,jobs in locust fork alabama
10,jobs in locust fork alabama,"('jobs near locust fork al', 'jobs near locust grove ga')",jobs near locust fork al,jobs near locust grove ga,6,1,google,2025-10-28 23:09:37.384023,,jobs in locust fork alabama
11,jobs in locust fork alabama,"('jobs near locust fork al', 'jobs near lake fork tx')",jobs near locust fork al,jobs near lake fork tx,7,1,google,2025-10-28 23:09:37.384023,,jobs in locust fork alabama
12,jobs in locust fork alabama,"('directions to locust fork alabama', 'driving directions to locust fork alabama')",directions to locust fork alabama,driving directions to locust fork alabama,1,1,google,2025-10-28 23:09:38.743906,,jobs in locust fork alabama
13,jobs in locust fork alabama,"('directions to locust fork alabama', 'directions to forks')",directions to locust fork alabama,directions to forks,2,1,google,2025-10-28 23:09:38.743906,,jobs in locust fork alabama
14,jobs in locust fork alabama,"('directions to locust fork alabama', 'directions to american fork')",directions to locust fork alabama,directions to american fork,3,1,google,2025-10-28 23:09:38.743906,,jobs in locust fork alabama
15,jobs in locust fork alabama,"('directions to locust fork alabama', 'directions to jack alabama')",directions to locust fork alabama,directions to jack alabama,4,1,google,2025-10-28 23:09:38.743906,,jobs in locust fork alabama
16,jobs in locust fork alabama,"('directions to locust fork alabama', 'directions to locust fork')",directions to locust fork alabama,directions to locust fork,5,1,google,2025-10-28 23:09:38.743906,,jobs in locust fork alabama
17,jobs in locust fork alabama,"('directions to locust fork alabama', 'locust fork alabama from my location')",directions to locust fork alabama,locust fork alabama from my location,6,1,google,2025-10-28 23:09:38.743906,,jobs in locust fork alabama
18,jobs in locust fork alabama,"('directions to locust fork alabama', 'locust fork alabama map')",directions to locust fork alabama,locust fork alabama map,7,1,google,2025-10-28 23:09:38.743906,,jobs in locust fork alabama
19,jobs in locust fork alabama,"('directions to locust fork alabama', 'locust fork al directions')",directions to locust fork alabama,locust fork al directions,8,1,google,2025-10-28 23:09:38.743906,,jobs in locust fork alabama
20,jobs in locust fork alabama,"('where is locust fork alabama', 'where is locust fork alabama near')",where is locust fork alabama,where is locust fork alabama near,1,1,google,2025-10-28 23:09:39.708741,,jobs in locust fork alabama
21,jobs in locust fork alabama,"('where is locust fork alabama', 'where is locust fork alabama from my location')",where is locust fork alabama,where is locust fork alabama from my location,2,1,google,2025-10-28 23:09:39.708741,,jobs in locust fork alabama
22,jobs in locust fork alabama,"('where is locust fork alabama', 'where is locust fort alabama')",where is locust fork alabama,where is locust fort alabama,3,1,google,2025-10-28 23:09:39.708741,,jobs in locust fork alabama
23,jobs in locust fork alabama,"('where is locust fork alabama', 'directions to locust fork alabama')",where is locust fork alabama,directions to locust fork alabama,4,1,google,2025-10-28 23:09:39.708741,,jobs in locust fork alabama
24,jobs in locust fork alabama,"('where is locust fork alabama', 'where is locust fork al')",where is locust fork alabama,where is locust fork al,5,1,google,2025-10-28 23:09:39.708741,,jobs in locust fork alabama
25,jobs in locust fork alabama,"('where is locust fork alabama', 'where is locust fork')",where is locust fork alabama,where is locust fork,6,1,google,2025-10-28 23:09:39.708741,,jobs in locust fork alabama
26,jobs in locust fork alabama,"('locust fork high school jobs', 'locust fork high school jobs openings')",locust fork high school jobs,locust fork high school jobs openings,1,1,google,2025-10-28 23:09:41.125326,,jobs in locust fork alabama
27,jobs in locust fork alabama,"('locust fork high school jobs', 'locust fork high school jobs 2024')",locust fork high school jobs,locust fork high school jobs 2024,2,1,google,2025-10-28 23:09:41.125326,,jobs in locust fork alabama
28,jobs in locust fork alabama,"('locust fork high school jobs', 'locust fork high school jobs hiring')",locust fork high school jobs,locust fork high school jobs hiring,3,1,google,2025-10-28 23:09:41.125326,,jobs in locust fork alabama
29,jobs in locust fork alabama,"('locust fork high school jobs', 'locust fork high school jobs available')",locust fork high school jobs,locust fork high school jobs available,4,1,google,2025-10-28 23:09:41.125326,,jobs in locust fork alabama
30,jobs in locust fork alabama,"('locust fork high school jobs', 'locust fork high school jobs for students')",locust fork high school jobs,locust fork high school jobs for students,5,1,google,2025-10-28 23:09:41.125326,,jobs in locust fork alabama
31,jobs in locust fork alabama,"('locust fork alabama population', 'directions to locust fork alabama')",locust fork alabama population,directions to locust fork alabama,1,1,google,2025-10-28 23:09:42.510625,,jobs in locust fork alabama
32,jobs in locust fork alabama,"('locust fork alabama population', 'where is locust fork alabama')",locust fork alabama population,where is locust fork alabama,2,1,google,2025-10-28 23:09:42.510625,,jobs in locust fork alabama
33,jobs in locust fork alabama,"('locust fork alabama population', 'locust fork alabama from my location')",locust fork alabama population,locust fork alabama from my location,3,1,google,2025-10-28 23:09:42.510625,,jobs in locust fork alabama
34,jobs in locust fork alabama,"('locust fork alabama population', 'weather in locust fork alabama')",locust fork alabama population,weather in locust fork alabama,4,1,google,2025-10-28 23:09:42.510625,,jobs in locust fork alabama
35,jobs in locust fork alabama,"('locust fork alabama population', 'locust fork alabama map')",locust fork alabama population,locust fork alabama map,5,1,google,2025-10-28 23:09:42.510625,,jobs in locust fork alabama
36,jobs in locust fork alabama,"('locust fork alabama population', 'locust alabama')",locust fork alabama population,locust alabama,6,1,google,2025-10-28 23:09:42.510625,,jobs in locust fork alabama
37,jobs in locust fork alabama,"('locust fork alabama population', 'locust fork alabama homes for sale')",locust fork alabama population,locust fork alabama homes for sale,7,1,google,2025-10-28 23:09:42.510625,,jobs in locust fork alabama
38,jobs in locust fork alabama,"('jobs locust fork al in the last 3 days', 'things to do in locust fork alabama')",jobs locust fork al in the last 3 days,things to do in locust fork alabama,1,2,google,2025-10-28 23:09:43.699054,jobs in locust fork alabama,jobs near locust fork al
39,jobs in locust fork alabama,"('jobs locust fork al in the last 3 days', ""what's happening in locust fork"")",jobs locust fork al in the last 3 days,what's happening in locust fork,2,2,google,2025-10-28 23:09:43.699054,jobs in locust fork alabama,jobs near locust fork al
