,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in lonoke arkansas,"('jobs in lonoke arkansas', 'jobs hiring in lonoke arkansas')",jobs in lonoke arkansas,jobs hiring in lonoke arkansas,1,0,google,2025-10-31 15:48:04.290699,,
1,jobs in lonoke arkansas,"('jobs in lonoke arkansas', 'jobs in lonoke county arkansas')",jobs in lonoke arkansas,jobs in lonoke county arkansas,2,0,google,2025-10-31 15:48:04.290699,,
2,jobs in lonoke arkansas,"('jobs in lonoke arkansas', 'part time jobs in lonoke arkansas')",jobs in lonoke arkansas,part time jobs in lonoke arkansas,3,0,google,2025-10-31 15:48:04.290699,,
3,jobs in lonoke arkansas,"('jobs in lonoke arkansas', 'is lonoke arkansas safe')",jobs in lonoke arkansas,is lonoke arkansas safe,4,0,google,2025-10-31 15:48:04.290699,,
4,jobs in lonoke arkansas,"('jobs in lonoke arkansas', 'lonoke arkansas crime rate')",jobs in lonoke arkansas,lonoke arkansas crime rate,5,0,google,2025-10-31 15:48:04.290699,,
5,jobs in lonoke arkansas,"('jobs in lonoke arkansas', 'what kind of jobs are in arkansas')",jobs in lonoke arkansas,what kind of jobs are in arkansas,6,0,google,2025-10-31 15:48:04.290699,,
6,jobs in lonoke arkansas,"('jobs in lonoke arkansas', 'what jobs are in arkansas')",jobs in lonoke arkansas,what jobs are in arkansas,7,0,google,2025-10-31 15:48:04.290699,,
7,jobs in lonoke arkansas,"('jobs in lonoke arkansas', 'jobs in lonoke county')",jobs in lonoke arkansas,jobs in lonoke county,8,0,google,2025-10-31 15:48:04.290699,,
8,jobs in lonoke arkansas,"('jobs in lonoke arkansas', 'jobs in lonoke ar')",jobs in lonoke arkansas,jobs in lonoke ar,9,0,google,2025-10-31 15:48:04.290699,,
9,jobs in lonoke arkansas,"('jobs hiring in lonoke arkansas', 'jobs near lonoke arkansas')",jobs hiring in lonoke arkansas,jobs near lonoke arkansas,1,1,google,2025-10-31 15:48:05.275129,,jobs in lonoke arkansas
10,jobs in lonoke arkansas,"('jobs hiring in lonoke arkansas', 'jobs hiring near lonoke ar')",jobs hiring in lonoke arkansas,jobs hiring near lonoke ar,2,1,google,2025-10-31 15:48:05.275129,,jobs in lonoke arkansas
11,jobs in lonoke arkansas,"('jobs hiring in lonoke arkansas', 'jobs in lonoke county')",jobs hiring in lonoke arkansas,jobs in lonoke county,3,1,google,2025-10-31 15:48:05.275129,,jobs in lonoke arkansas
