,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in lowell arkansas,"('jobs in lowell arkansas', 'amazon jobs in lowell arkansas')",jobs in lowell arkansas,amazon jobs in lowell arkansas,1,0,google,2025-11-01 15:44:39.168456,,
1,jobs in lowell arkansas,"('jobs in lowell arkansas', 'jobs hiring in lowell arkansas')",jobs in lowell arkansas,jobs hiring in lowell arkansas,2,0,google,2025-11-01 15:44:39.168456,,
2,jobs in lowell arkansas,"('jobs in lowell arkansas', 'lowell arkansas cost of living')",jobs in lowell arkansas,lowell arkansas cost of living,3,0,google,2025-11-01 15:44:39.168456,,
3,jobs in lowell arkansas,"('jobs in lowell arkansas', 'lowell five jobs')",jobs in lowell arkansas,lowell five jobs,4,0,google,2025-11-01 15:44:39.168456,,
4,jobs in lowell arkansas,"('jobs in lowell arkansas', 'lowell arkansas crime rate')",jobs in lowell arkansas,lowell arkansas crime rate,5,0,google,2025-11-01 15:44:39.168456,,
5,jobs in lowell arkansas,"('jobs in lowell arkansas', 'city of lowell ar jobs')",jobs in lowell arkansas,city of lowell ar jobs,6,0,google,2025-11-01 15:44:39.168456,,
6,jobs in lowell arkansas,"('jobs in lowell arkansas', 'jobs in lowell ar')",jobs in lowell arkansas,jobs in lowell ar,7,0,google,2025-11-01 15:44:39.168456,,
7,jobs in lowell arkansas,"('amazon jobs in lowell arkansas', 'amazon warehouse jobs lowell arkansas')",amazon jobs in lowell arkansas,amazon warehouse jobs lowell arkansas,1,1,google,2025-11-01 15:44:40.181465,,jobs in lowell arkansas
8,jobs in lowell arkansas,"('amazon jobs in lowell arkansas', 'is amazon hiring in arkansas')",amazon jobs in lowell arkansas,is amazon hiring in arkansas,2,1,google,2025-11-01 15:44:40.181465,,jobs in lowell arkansas
9,jobs in lowell arkansas,"('amazon jobs in lowell arkansas', 'lowell arkansas cost of living')",amazon jobs in lowell arkansas,lowell arkansas cost of living,3,1,google,2025-11-01 15:44:40.181465,,jobs in lowell arkansas
10,jobs in lowell arkansas,"('amazon jobs in lowell arkansas', 'amazon jobs in lowell ar')",amazon jobs in lowell arkansas,amazon jobs in lowell ar,4,1,google,2025-11-01 15:44:40.181465,,jobs in lowell arkansas
11,jobs in lowell arkansas,"('jobs hiring in lowell arkansas', 'jobs near lowell arkansas')",jobs hiring in lowell arkansas,jobs near lowell arkansas,1,1,google,2025-11-01 15:44:41.481039,,jobs in lowell arkansas
12,jobs in lowell arkansas,"('jobs hiring in lowell arkansas', 'jobs hiring near lowell ar')",jobs hiring in lowell arkansas,jobs hiring near lowell ar,2,1,google,2025-11-01 15:44:41.481039,,jobs in lowell arkansas
13,jobs in lowell arkansas,"('jobs hiring in lowell arkansas', 'jobs in lowell hiring')",jobs hiring in lowell arkansas,jobs in lowell hiring,3,1,google,2025-11-01 15:44:41.481039,,jobs in lowell arkansas
14,jobs in lowell arkansas,"('jobs hiring in lowell arkansas', 'jobs in lowell ar')",jobs hiring in lowell arkansas,jobs in lowell ar,4,1,google,2025-11-01 15:44:41.481039,,jobs in lowell arkansas
15,jobs in lowell arkansas,"('lowell arkansas cost of living', 'lowell arkansas crime rate')",lowell arkansas cost of living,lowell arkansas crime rate,1,1,google,2025-11-01 15:44:42.622742,,jobs in lowell arkansas
16,jobs in lowell arkansas,"('lowell arkansas cost of living', 'what is cost of living in arkansas')",lowell arkansas cost of living,what is cost of living in arkansas,2,1,google,2025-11-01 15:44:42.622742,,jobs in lowell arkansas
17,jobs in lowell arkansas,"('lowell arkansas cost of living', 'is it expensive to live in arkansas')",lowell arkansas cost of living,is it expensive to live in arkansas,3,1,google,2025-11-01 15:44:42.622742,,jobs in lowell arkansas
18,jobs in lowell arkansas,"('lowell arkansas cost of living', 'is it cheaper to live in arkansas')",lowell arkansas cost of living,is it cheaper to live in arkansas,4,1,google,2025-11-01 15:44:42.622742,,jobs in lowell arkansas
19,jobs in lowell arkansas,"('lowell arkansas cost of living', 'is lowell arkansas a good place to live')",lowell arkansas cost of living,is lowell arkansas a good place to live,5,1,google,2025-11-01 15:44:42.622742,,jobs in lowell arkansas
20,jobs in lowell arkansas,"('lowell arkansas cost of living', 'lowest cost of living in arkansas')",lowell arkansas cost of living,lowest cost of living in arkansas,6,1,google,2025-11-01 15:44:42.622742,,jobs in lowell arkansas
21,jobs in lowell arkansas,"('lowell arkansas cost of living', 'lowell arkansas apartments')",lowell arkansas cost of living,lowell arkansas apartments,7,1,google,2025-11-01 15:44:42.622742,,jobs in lowell arkansas
22,jobs in lowell arkansas,"('lowell five jobs', 'lowell five bank jobs')",lowell five jobs,lowell five bank jobs,1,1,google,2025-11-01 15:44:43.605029,,jobs in lowell arkansas
23,jobs in lowell arkansas,"('lowell five jobs', 'lowell five bank careers')",lowell five jobs,lowell five bank careers,2,1,google,2025-11-01 15:44:43.605029,,jobs in lowell arkansas
24,jobs in lowell arkansas,"('lowell five jobs', 'lowell government jobs')",lowell five jobs,lowell government jobs,3,1,google,2025-11-01 15:44:43.605029,,jobs in lowell arkansas
25,jobs in lowell arkansas,"('lowell five jobs', 'lowell foods jobs')",lowell five jobs,lowell foods jobs,4,1,google,2025-11-01 15:44:43.605029,,jobs in lowell arkansas
26,jobs in lowell arkansas,"('lowell five jobs', 'lowell five careers')",lowell five jobs,lowell five careers,5,1,google,2025-11-01 15:44:43.605029,,jobs in lowell arkansas
27,jobs in lowell arkansas,"('lowell five jobs', 'lowell five john street')",lowell five jobs,lowell five john street,6,1,google,2025-11-01 15:44:43.605029,,jobs in lowell arkansas
28,jobs in lowell arkansas,"('lowell arkansas crime rate', 'what is the most dangerous city in arkansas')",lowell arkansas crime rate,what is the most dangerous city in arkansas,1,1,google,2025-11-01 15:44:44.510400,,jobs in lowell arkansas
29,jobs in lowell arkansas,"('lowell arkansas crime rate', 'lowest crime rate in arkansas')",lowell arkansas crime rate,lowest crime rate in arkansas,2,1,google,2025-11-01 15:44:44.510400,,jobs in lowell arkansas
30,jobs in lowell arkansas,"('lowell arkansas crime rate', 'lowell ar crime rate')",lowell arkansas crime rate,lowell ar crime rate,3,1,google,2025-11-01 15:44:44.510400,,jobs in lowell arkansas
31,jobs in lowell arkansas,"('lowell arkansas crime rate', 'is lowell arkansas safe')",lowell arkansas crime rate,is lowell arkansas safe,4,1,google,2025-11-01 15:44:44.510400,,jobs in lowell arkansas
32,jobs in lowell arkansas,"('lowell arkansas crime rate', 'is lowell arkansas a safe place to live')",lowell arkansas crime rate,is lowell arkansas a safe place to live,5,1,google,2025-11-01 15:44:44.510400,,jobs in lowell arkansas
33,jobs in lowell arkansas,"('lowell arkansas crime rate', 'lowell arkansas crime lab')",lowell arkansas crime rate,lowell arkansas crime lab,6,1,google,2025-11-01 15:44:44.510400,,jobs in lowell arkansas
34,jobs in lowell arkansas,"('city of lowell ar jobs', 'city of lowell jobs')",city of lowell ar jobs,city of lowell jobs,1,1,google,2025-11-01 15:44:45.317405,,jobs in lowell arkansas
35,jobs in lowell arkansas,"('city of lowell ar jobs', 'city of lowell job opportunities')",city of lowell ar jobs,city of lowell job opportunities,2,1,google,2025-11-01 15:44:45.317405,,jobs in lowell arkansas
36,jobs in lowell arkansas,"('city of lowell ar jobs', 'city of lowell careers')",city of lowell ar jobs,city of lowell careers,3,1,google,2025-11-01 15:44:45.317405,,jobs in lowell arkansas
37,jobs in lowell arkansas,"('city of lowell ar jobs', 'city of lowell arkansas jobs')",city of lowell ar jobs,city of lowell arkansas jobs,4,1,google,2025-11-01 15:44:45.317405,,jobs in lowell arkansas
38,jobs in lowell arkansas,"('city of lowell ar jobs', 'city of lowell ar')",city of lowell ar jobs,city of lowell ar,5,1,google,2025-11-01 15:44:45.317405,,jobs in lowell arkansas
39,jobs in lowell arkansas,"('jobs in lowell ar', 'jobs in lowell arkansas')",jobs in lowell ar,jobs in lowell arkansas,1,1,google,2025-11-01 15:44:46.079543,,jobs in lowell arkansas
40,jobs in lowell arkansas,"('jobs in lowell ar', 'jobs in lowell area')",jobs in lowell ar,jobs in lowell area,2,1,google,2025-11-01 15:44:46.079543,,jobs in lowell arkansas
41,jobs in lowell arkansas,"('jobs in lowell ar', 'amazon jobs in lowell ar')",jobs in lowell ar,amazon jobs in lowell ar,3,1,google,2025-11-01 15:44:46.079543,,jobs in lowell arkansas
42,jobs in lowell arkansas,"('jobs in lowell ar', 'jobs hiring in lowell ar')",jobs in lowell ar,jobs hiring in lowell ar,4,1,google,2025-11-01 15:44:46.079543,,jobs in lowell arkansas
43,jobs in lowell arkansas,"('jobs in lowell ar', 'part time jobs in lowell ar')",jobs in lowell ar,part time jobs in lowell ar,5,1,google,2025-11-01 15:44:46.079543,,jobs in lowell arkansas
44,jobs in lowell arkansas,"('jobs in lowell ar', 'jobs near lowell ar')",jobs in lowell ar,jobs near lowell ar,6,1,google,2025-11-01 15:44:46.079543,,jobs in lowell arkansas
45,jobs in lowell arkansas,"('jobs in lowell ar', 'jobs around lowell ma')",jobs in lowell ar,jobs around lowell ma,7,1,google,2025-11-01 15:44:46.079543,,jobs in lowell arkansas
46,jobs in lowell arkansas,"('jobs in lowell ar', 'jobs at lowell area schools')",jobs in lowell ar,jobs at lowell area schools,8,1,google,2025-11-01 15:44:46.079543,,jobs in lowell arkansas
47,jobs in lowell arkansas,"('jobs in lowell ar', 'jobs in lowell hiring')",jobs in lowell ar,jobs in lowell hiring,9,1,google,2025-11-01 15:44:46.079543,,jobs in lowell arkansas
48,jobs in lowell arkansas,"('jobs in lowell ar', 'lowell five jobs')",jobs in lowell ar,lowell five jobs,10,1,google,2025-11-01 15:44:46.079543,,jobs in lowell arkansas
49,jobs in lowell arkansas,"('amazon warehouse jobs lowell arkansas', 'amazon warehouse jobs lowell ar')",amazon warehouse jobs lowell arkansas,amazon warehouse jobs lowell ar,1,2,google,2025-11-01 15:44:47.096758,jobs in lowell arkansas,amazon jobs in lowell arkansas
50,jobs in lowell arkansas,"('amazon warehouse jobs lowell arkansas', 'amazon warehouse lowell arkansas')",amazon warehouse jobs lowell arkansas,amazon warehouse lowell arkansas,2,2,google,2025-11-01 15:44:47.096758,jobs in lowell arkansas,amazon jobs in lowell arkansas
51,jobs in lowell arkansas,"('amazon warehouse jobs lowell arkansas', 'amazon jobs lowell arkansas')",amazon warehouse jobs lowell arkansas,amazon jobs lowell arkansas,3,2,google,2025-11-01 15:44:47.096758,jobs in lowell arkansas,amazon jobs in lowell arkansas
52,jobs in lowell arkansas,"('amazon warehouse jobs lowell arkansas', 'amazon warehouse lowell ar hiring')",amazon warehouse jobs lowell arkansas,amazon warehouse lowell ar hiring,4,2,google,2025-11-01 15:44:47.096758,jobs in lowell arkansas,amazon jobs in lowell arkansas
53,jobs in lowell arkansas,"('is amazon hiring in arkansas', 'is amazon hiring in little rock arkansas')",is amazon hiring in arkansas,is amazon hiring in little rock arkansas,1,2,google,2025-11-01 15:44:48.171639,jobs in lowell arkansas,amazon jobs in lowell arkansas
54,jobs in lowell arkansas,"('is amazon hiring in arkansas', 'is amazon hiring in hot springs arkansas')",is amazon hiring in arkansas,is amazon hiring in hot springs arkansas,2,2,google,2025-11-01 15:44:48.171639,jobs in lowell arkansas,amazon jobs in lowell arkansas
55,jobs in lowell arkansas,"('is amazon hiring in arkansas', 'does amazon hiring')",is amazon hiring in arkansas,does amazon hiring,3,2,google,2025-11-01 15:44:48.171639,jobs in lowell arkansas,amazon jobs in lowell arkansas
56,jobs in lowell arkansas,"('is amazon hiring in arkansas', 'is amazon hiring in my area')",is amazon hiring in arkansas,is amazon hiring in my area,4,2,google,2025-11-01 15:44:48.171639,jobs in lowell arkansas,amazon jobs in lowell arkansas
57,jobs in lowell arkansas,"('is amazon hiring in arkansas', 'is amazon hiring in rockford il')",is amazon hiring in arkansas,is amazon hiring in rockford il,5,2,google,2025-11-01 15:44:48.171639,jobs in lowell arkansas,amazon jobs in lowell arkansas
58,jobs in lowell arkansas,"('is amazon hiring in arkansas', 'arkansas amazon jobs')",is amazon hiring in arkansas,arkansas amazon jobs,6,2,google,2025-11-01 15:44:48.171639,jobs in lowell arkansas,amazon jobs in lowell arkansas
59,jobs in lowell arkansas,"('is amazon hiring in arkansas', 'is amazon hiring in amarillo tx')",is amazon hiring in arkansas,is amazon hiring in amarillo tx,7,2,google,2025-11-01 15:44:48.171639,jobs in lowell arkansas,amazon jobs in lowell arkansas
60,jobs in lowell arkansas,"('amazon jobs in lowell ar', 'amazon careers lowell ar')",amazon jobs in lowell ar,amazon careers lowell ar,1,2,google,2025-11-01 15:44:49.212543,jobs in lowell arkansas jobs in lowell arkansas,amazon jobs in lowell arkansas jobs in lowell ar
61,jobs in lowell arkansas,"('amazon jobs in lowell ar', 'amazon hiring lowell ar')",amazon jobs in lowell ar,amazon hiring lowell ar,2,2,google,2025-11-01 15:44:49.212543,jobs in lowell arkansas jobs in lowell arkansas,amazon jobs in lowell arkansas jobs in lowell ar
62,jobs in lowell arkansas,"('amazon jobs in lowell ar', 'amazon warehouse jobs lowell ar')",amazon jobs in lowell ar,amazon warehouse jobs lowell ar,3,2,google,2025-11-01 15:44:49.212543,jobs in lowell arkansas jobs in lowell arkansas,amazon jobs in lowell arkansas jobs in lowell ar
63,jobs in lowell arkansas,"('amazon jobs in lowell ar', 'amazon delivery jobs lowell ar')",amazon jobs in lowell ar,amazon delivery jobs lowell ar,4,2,google,2025-11-01 15:44:49.212543,jobs in lowell arkansas jobs in lowell arkansas,amazon jobs in lowell arkansas jobs in lowell ar
64,jobs in lowell arkansas,"('amazon jobs in lowell ar', 'amazon jobs pay per hour')",amazon jobs in lowell ar,amazon jobs pay per hour,5,2,google,2025-11-01 15:44:49.212543,jobs in lowell arkansas jobs in lowell arkansas,amazon jobs in lowell arkansas jobs in lowell ar
