,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in loxley alabama,"('jobs in loxley alabama', 'work release in loxley alabama')",jobs in loxley alabama,work release in loxley alabama,1,0,google,2025-10-28 23:12:39.382393,,
1,jobs in loxley alabama,"('jobs in loxley alabama', 'warehouse jobs in loxley al')",jobs in loxley alabama,warehouse jobs in loxley al,2,0,google,2025-10-28 23:12:39.382393,,
2,jobs in loxley alabama,"('jobs in loxley alabama', 'jobs hiring in loxley al')",jobs in loxley alabama,jobs hiring in loxley al,3,0,google,2025-10-28 23:12:39.382393,,
3,jobs in loxley alabama,"('jobs in loxley alabama', 'jobs in loxley al')",jobs in loxley alabama,jobs in loxley al,4,0,google,2025-10-28 23:12:39.382393,,
4,jobs in loxley alabama,"('jobs in loxley alabama', 'jobs in loxley')",jobs in loxley alabama,jobs in loxley,5,0,google,2025-10-28 23:12:39.382393,,
5,jobs in loxley alabama,"('work release in loxley alabama', 'what is a work release center')",work release in loxley alabama,what is a work release center,1,1,google,2025-10-28 23:12:40.506397,,jobs in loxley alabama
6,jobs in loxley alabama,"('work release in loxley alabama', 'how to get work release')",work release in loxley alabama,how to get work release,2,1,google,2025-10-28 23:12:40.506397,,jobs in loxley alabama
7,jobs in loxley alabama,"('work release in loxley alabama', 'what is a work release sentence')",work release in loxley alabama,what is a work release sentence,3,1,google,2025-10-28 23:12:40.506397,,jobs in loxley alabama
8,jobs in loxley alabama,"('work release in loxley alabama', 'loxley work release center')",work release in loxley alabama,loxley work release center,4,1,google,2025-10-28 23:12:40.506397,,jobs in loxley alabama
9,jobs in loxley alabama,"('work release in loxley alabama', 'loxley work release')",work release in loxley alabama,loxley work release,5,1,google,2025-10-28 23:12:40.506397,,jobs in loxley alabama
10,jobs in loxley alabama,"('work release in loxley alabama', 'loxley al work release')",work release in loxley alabama,loxley al work release,6,1,google,2025-10-28 23:12:40.506397,,jobs in loxley alabama
11,jobs in loxley alabama,"('work release in loxley alabama', 'loxley al work release center')",work release in loxley alabama,loxley al work release center,7,1,google,2025-10-28 23:12:40.506397,,jobs in loxley alabama
12,jobs in loxley alabama,"('warehouse jobs in loxley al', 'aldi warehouse jobs loxley al')",warehouse jobs in loxley al,aldi warehouse jobs loxley al,1,1,google,2025-10-28 23:12:41.486558,,jobs in loxley alabama
13,jobs in loxley alabama,"('warehouse jobs in loxley al', 'fruit warehouse jobs')",warehouse jobs in loxley al,fruit warehouse jobs,2,1,google,2025-10-28 23:12:41.486558,,jobs in loxley alabama
14,jobs in loxley alabama,"('warehouse jobs in loxley al', 'loxley alabama jobs')",warehouse jobs in loxley al,loxley alabama jobs,3,1,google,2025-10-28 23:12:41.486558,,jobs in loxley alabama
15,jobs in loxley alabama,"('warehouse jobs in loxley al', 'loxley al jobs')",warehouse jobs in loxley al,loxley al jobs,4,1,google,2025-10-28 23:12:41.486558,,jobs in loxley alabama
16,jobs in loxley alabama,"('warehouse jobs in loxley al', 'loxley warehouse')",warehouse jobs in loxley al,loxley warehouse,5,1,google,2025-10-28 23:12:41.486558,,jobs in loxley alabama
17,jobs in loxley alabama,"('warehouse jobs in loxley al', 'loxley jobs')",warehouse jobs in loxley al,loxley jobs,6,1,google,2025-10-28 23:12:41.486558,,jobs in loxley alabama
18,jobs in loxley alabama,"('jobs hiring in loxley al', 'jobs near loxley al')",jobs hiring in loxley al,jobs near loxley al,1,1,google,2025-10-28 23:12:42.580930,,jobs in loxley alabama
19,jobs in loxley alabama,"('jobs hiring in loxley al', 'jobs in loxley alabama')",jobs hiring in loxley al,jobs in loxley alabama,2,1,google,2025-10-28 23:12:42.580930,,jobs in loxley alabama
20,jobs in loxley alabama,"('jobs hiring in loxley al', 'jobs in loxley')",jobs hiring in loxley al,jobs in loxley,3,1,google,2025-10-28 23:12:42.580930,,jobs in loxley alabama
21,jobs in loxley alabama,"('jobs in loxley al', 'jobs in loxley alabama')",jobs in loxley al,jobs in loxley alabama,1,1,google,2025-10-28 23:12:43.694952,,jobs in loxley alabama
22,jobs in loxley alabama,"('jobs in loxley al', 'warehouse jobs in loxley al')",jobs in loxley al,warehouse jobs in loxley al,2,1,google,2025-10-28 23:12:43.694952,,jobs in loxley alabama
23,jobs in loxley alabama,"('jobs in loxley al', 'jobs hiring in loxley al')",jobs in loxley al,jobs hiring in loxley al,3,1,google,2025-10-28 23:12:43.694952,,jobs in loxley alabama
24,jobs in loxley alabama,"('jobs in loxley al', 'part time jobs in loxley al')",jobs in loxley al,part time jobs in loxley al,4,1,google,2025-10-28 23:12:43.694952,,jobs in loxley alabama
25,jobs in loxley alabama,"('jobs in loxley al', 'jobs near loxley al')",jobs in loxley al,jobs near loxley al,5,1,google,2025-10-28 23:12:43.694952,,jobs in loxley alabama
26,jobs in loxley alabama,"('jobs in loxley al', 'work release in loxley alabama')",jobs in loxley al,work release in loxley alabama,6,1,google,2025-10-28 23:12:43.694952,,jobs in loxley alabama
27,jobs in loxley alabama,"('jobs in loxley al', 'jobs in loxley')",jobs in loxley al,jobs in loxley,7,1,google,2025-10-28 23:12:43.694952,,jobs in loxley alabama
