,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in luverne alabama,"('jobs in luverne alabama', 'jobs hiring in luverne alabama')",jobs in luverne alabama,jobs hiring in luverne alabama,1,0,google,2025-10-28 23:14:51.213878,,
1,jobs in luverne alabama,"('jobs in luverne alabama', 'jobs in luverne al')",jobs in luverne alabama,jobs in luverne al,2,0,google,2025-10-28 23:14:51.213878,,
2,jobs in luverne alabama,"('jobs hiring in luverne alabama', 'jobs near luverne alabama')",jobs hiring in luverne alabama,jobs near luverne alabama,1,1,google,2025-10-28 23:14:52.461368,,jobs in luverne alabama
3,jobs in luverne alabama,"('jobs hiring in luverne alabama', 'jobs hiring near luverne al')",jobs hiring in luverne alabama,jobs hiring near luverne al,2,1,google,2025-10-28 23:14:52.461368,,jobs in luverne alabama
4,jobs in luverne alabama,"('jobs hiring in luverne alabama', 'jobs luverne al')",jobs hiring in luverne alabama,jobs luverne al,3,1,google,2025-10-28 23:14:52.461368,,jobs in luverne alabama
5,jobs in luverne alabama,"('jobs in luverne al', 'jobs hiring in luverne al')",jobs in luverne al,jobs hiring in luverne al,1,1,google,2025-10-28 23:14:53.580554,,jobs in luverne alabama
6,jobs in luverne alabama,"('jobs in luverne al', 'part time jobs in luverne al')",jobs in luverne al,part time jobs in luverne al,2,1,google,2025-10-28 23:14:53.580554,,jobs in luverne alabama
7,jobs in luverne alabama,"('jobs in luverne al', 'jobs in luverne alabama')",jobs in luverne al,jobs in luverne alabama,3,1,google,2025-10-28 23:14:53.580554,,jobs in luverne alabama
8,jobs in luverne alabama,"('jobs in luverne al', 'jobs in luverne mn')",jobs in luverne al,jobs in luverne mn,4,1,google,2025-10-28 23:14:53.580554,,jobs in luverne alabama
9,jobs in luverne alabama,"('jobs near luverne alabama', 'jobs hiring near luverne al')",jobs near luverne alabama,jobs hiring near luverne al,1,2,google,2025-10-28 23:14:55.040706,jobs in luverne alabama,jobs hiring in luverne alabama
10,jobs in luverne alabama,"('jobs near luverne alabama', 'luverne jobs')",jobs near luverne alabama,luverne jobs,2,2,google,2025-10-28 23:14:55.040706,jobs in luverne alabama,jobs hiring in luverne alabama
11,jobs in luverne alabama,"('jobs hiring near luverne al', 'jobs near luverne al')",jobs hiring near luverne al,jobs near luverne al,1,2,google,2025-10-28 23:14:56.288064,jobs in luverne alabama,jobs hiring in luverne alabama
12,jobs in luverne alabama,"('jobs hiring near luverne al', 'jobs in luverne alabama')",jobs hiring near luverne al,jobs in luverne alabama,2,2,google,2025-10-28 23:14:56.288064,jobs in luverne alabama,jobs hiring in luverne alabama
13,jobs in luverne alabama,"('jobs luverne al', 'indeed jobs luverne al')",jobs luverne al,indeed jobs luverne al,1,2,google,2025-10-28 23:14:57.318729,jobs in luverne alabama,jobs hiring in luverne alabama
14,jobs in luverne alabama,"('jobs luverne al', 'jobs hiring luverne al')",jobs luverne al,jobs hiring luverne al,2,2,google,2025-10-28 23:14:57.318729,jobs in luverne alabama,jobs hiring in luverne alabama
15,jobs in luverne alabama,"('jobs luverne al', 'lpn jobs luverne al')",jobs luverne al,lpn jobs luverne al,3,2,google,2025-10-28 23:14:57.318729,jobs in luverne alabama,jobs hiring in luverne alabama
16,jobs in luverne alabama,"('jobs luverne al', 'office jobs luverne al')",jobs luverne al,office jobs luverne al,4,2,google,2025-10-28 23:14:57.318729,jobs in luverne alabama,jobs hiring in luverne alabama
17,jobs in luverne alabama,"('jobs luverne al', 'pepsi jobs luverne alabama')",jobs luverne al,pepsi jobs luverne alabama,5,2,google,2025-10-28 23:14:57.318729,jobs in luverne alabama,jobs hiring in luverne alabama
18,jobs in luverne alabama,"('jobs luverne al', 'job openings luverne al')",jobs luverne al,job openings luverne al,6,2,google,2025-10-28 23:14:57.318729,jobs in luverne alabama,jobs hiring in luverne alabama
19,jobs in luverne alabama,"('jobs luverne al', 'part time jobs luverne al')",jobs luverne al,part time jobs luverne al,7,2,google,2025-10-28 23:14:57.318729,jobs in luverne alabama,jobs hiring in luverne alabama
20,jobs in luverne alabama,"('jobs luverne al', 'full time jobs luverne al')",jobs luverne al,full time jobs luverne al,8,2,google,2025-10-28 23:14:57.318729,jobs in luverne alabama,jobs hiring in luverne alabama
21,jobs in luverne alabama,"('jobs luverne al', 'jobs in luverne alabama')",jobs luverne al,jobs in luverne alabama,9,2,google,2025-10-28 23:14:57.318729,jobs in luverne alabama,jobs hiring in luverne alabama
22,jobs in luverne alabama,"('jobs hiring in luverne al', 'jobs near luverne al')",jobs hiring in luverne al,jobs near luverne al,1,2,google,2025-10-28 23:14:58.587561,jobs in luverne alabama,jobs in luverne al
23,jobs in luverne alabama,"('jobs hiring in luverne al', 'job openings luverne al')",jobs hiring in luverne al,job openings luverne al,2,2,google,2025-10-28 23:14:58.587561,jobs in luverne alabama,jobs in luverne al
24,jobs in luverne alabama,"('jobs hiring in luverne al', 'jobs in luverne alabama')",jobs hiring in luverne al,jobs in luverne alabama,3,2,google,2025-10-28 23:14:58.587561,jobs in luverne alabama,jobs in luverne al
25,jobs in luverne alabama,"('jobs hiring in luverne al', 'jobs hiring in luverne mn')",jobs hiring in luverne al,jobs hiring in luverne mn,4,2,google,2025-10-28 23:14:58.587561,jobs in luverne alabama,jobs in luverne al
26,jobs in luverne alabama,"('part time jobs in luverne al', 'full time jobs luverne al')",part time jobs in luverne al,full time jobs luverne al,1,2,google,2025-10-28 23:14:59.599292,jobs in luverne alabama,jobs in luverne al
27,jobs in luverne alabama,"('part time jobs in luverne al', 'part time jobs in luverne mn')",part time jobs in luverne al,part time jobs in luverne mn,2,2,google,2025-10-28 23:14:59.599292,jobs in luverne alabama,jobs in luverne al
