,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in lynn arkansas,"('jobs in lynn arkansas', 'jobs in lynnville tn')",jobs in lynn arkansas,jobs in lynnville tn,1,0,google,2025-10-29 21:41:43.914027,,
1,jobs in lynn arkansas,"('jobs in lynn arkansas', 'jobs in lynn alabama')",jobs in lynn arkansas,jobs in lynn alabama,2,0,google,2025-10-29 21:41:43.914027,,
2,jobs in lynn arkansas,"('jobs in lynn arkansas', 'jobs in lynn indiana')",jobs in lynn arkansas,jobs in lynn indiana,3,0,google,2025-10-29 21:41:43.914027,,
3,jobs in lynn arkansas,"('jobs in lynn arkansas', 'jobs in lynn')",jobs in lynn arkansas,jobs in lynn,4,0,google,2025-10-29 21:41:43.914027,,
4,jobs in lynn arkansas,"('jobs in lynn arkansas', 'jobs in lynn haven')",jobs in lynn arkansas,jobs in lynn haven,5,0,google,2025-10-29 21:41:43.914027,,
5,jobs in lynn arkansas,"('jobs in lynnville tn', 'what jobs are available in tennessee')",jobs in lynnville tn,what jobs are available in tennessee,1,1,google,2025-10-29 21:41:45.127485,,jobs in lynn arkansas
6,jobs in lynn arkansas,"('jobs in lynnville tn', 'careers in tennessee')",jobs in lynnville tn,careers in tennessee,2,1,google,2025-10-29 21:41:45.127485,,jobs in lynn arkansas
7,jobs in lynn arkansas,"('jobs in lynnville tn', 'tyson jobs in tennessee')",jobs in lynnville tn,tyson jobs in tennessee,3,1,google,2025-10-29 21:41:45.127485,,jobs in lynn arkansas
8,jobs in lynn arkansas,"('jobs in lynnville tn', 'jobs in lynchburg tn')",jobs in lynnville tn,jobs in lynchburg tn,4,1,google,2025-10-29 21:41:45.127485,,jobs in lynn arkansas
9,jobs in lynn arkansas,"('jobs in lynnville tn', 'jobs in lyles tn')",jobs in lynnville tn,jobs in lyles tn,5,1,google,2025-10-29 21:41:45.127485,,jobs in lynn arkansas
10,jobs in lynn arkansas,"('jobs in lynnville tn', 'jobs in lynchburg tennessee')",jobs in lynnville tn,jobs in lynchburg tennessee,6,1,google,2025-10-29 21:41:45.127485,,jobs in lynn arkansas
11,jobs in lynn arkansas,"('jobs in lynnville tn', 'jobs in lynn alabama')",jobs in lynnville tn,jobs in lynn alabama,7,1,google,2025-10-29 21:41:45.127485,,jobs in lynn arkansas
12,jobs in lynn arkansas,"('jobs in lynn alabama', 'jobs lynn al')",jobs in lynn alabama,jobs lynn al,1,1,google,2025-10-29 21:41:45.886858,,jobs in lynn arkansas
13,jobs in lynn arkansas,"('jobs in lynn alabama', 'jobs in lynnville tn')",jobs in lynn alabama,jobs in lynnville tn,2,1,google,2025-10-29 21:41:45.886858,,jobs in lynn arkansas
14,jobs in lynn arkansas,"('jobs in lynn alabama', 'jobs in lynn haven')",jobs in lynn alabama,jobs in lynn haven,3,1,google,2025-10-29 21:41:45.886858,,jobs in lynn arkansas
15,jobs in lynn arkansas,"('jobs in lynn indiana', 'lynnville indiana jobs')",jobs in lynn indiana,lynnville indiana jobs,1,1,google,2025-10-29 21:41:46.938260,,jobs in lynn arkansas
16,jobs in lynn arkansas,"('jobs in lynn', 'jobs in lynnwood wa')",jobs in lynn,jobs in lynnwood wa,1,1,google,2025-10-29 21:41:48.353597,,jobs in lynn arkansas
17,jobs in lynn arkansas,"('jobs in lynn', 'jobs in lynn haven fl')",jobs in lynn,jobs in lynn haven fl,2,1,google,2025-10-29 21:41:48.353597,,jobs in lynn arkansas
18,jobs in lynn arkansas,"('jobs in lynn', 'jobs in lynn ma')",jobs in lynn,jobs in lynn ma,3,1,google,2025-10-29 21:41:48.353597,,jobs in lynn arkansas
19,jobs in lynn arkansas,"('jobs in lynn', 'jobs in lynnwood')",jobs in lynn,jobs in lynnwood,4,1,google,2025-10-29 21:41:48.353597,,jobs in lynn arkansas
20,jobs in lynn arkansas,"('jobs in lynn', 'jobs in lynnfield ma')",jobs in lynn,jobs in lynnfield ma,5,1,google,2025-10-29 21:41:48.353597,,jobs in lynn arkansas
21,jobs in lynn arkansas,"('jobs in lynn', 'jobs in lynnwood wa full time')",jobs in lynn,jobs in lynnwood wa full time,6,1,google,2025-10-29 21:41:48.353597,,jobs in lynn arkansas
