,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in magnolia arkansas,"('jobs in magnolia arkansas', 'hiring in magnolia arkansas')",jobs in magnolia arkansas,hiring in magnolia arkansas,1,0,google,2025-10-31 16:08:16.342371,,
1,jobs in magnolia arkansas,"('jobs in magnolia arkansas', 'jobs in magnolia ar no experience')",jobs in magnolia arkansas,jobs in magnolia ar no experience,2,0,google,2025-10-31 16:08:16.342371,,
2,jobs in magnolia arkansas,"('jobs in magnolia arkansas', 'jobs hiring in magnolia arkansas')",jobs in magnolia arkansas,jobs hiring in magnolia arkansas,3,0,google,2025-10-31 16:08:16.342371,,
3,jobs in magnolia arkansas,"('jobs in magnolia arkansas', 'jobs available in magnolia arkansas')",jobs in magnolia arkansas,jobs available in magnolia arkansas,4,0,google,2025-10-31 16:08:16.342371,,
4,jobs in magnolia arkansas,"('jobs in magnolia arkansas', 'rn jobs in magnolia arkansas')",jobs in magnolia arkansas,rn jobs in magnolia arkansas,5,0,google,2025-10-31 16:08:16.342371,,
5,jobs in magnolia arkansas,"('jobs in magnolia arkansas', 'welding jobs in magnolia arkansas')",jobs in magnolia arkansas,welding jobs in magnolia arkansas,6,0,google,2025-10-31 16:08:16.342371,,
6,jobs in magnolia arkansas,"('jobs in magnolia arkansas', 'part time jobs in magnolia arkansas')",jobs in magnolia arkansas,part time jobs in magnolia arkansas,7,0,google,2025-10-31 16:08:16.342371,,
7,jobs in magnolia arkansas,"('jobs in magnolia arkansas', 'full time jobs in magnolia arkansas')",jobs in magnolia arkansas,full time jobs in magnolia arkansas,8,0,google,2025-10-31 16:08:16.342371,,
8,jobs in magnolia arkansas,"('jobs in magnolia arkansas', 'places hiring in magnolia arkansas')",jobs in magnolia arkansas,places hiring in magnolia arkansas,9,0,google,2025-10-31 16:08:16.342371,,
9,jobs in magnolia arkansas,"('hiring in magnolia arkansas', 'jobs in magnolia arkansas')",hiring in magnolia arkansas,jobs in magnolia arkansas,1,1,google,2025-10-31 16:08:17.130718,,jobs in magnolia arkansas
10,jobs in magnolia arkansas,"('hiring in magnolia arkansas', 'jobs hiring in magnolia arkansas')",hiring in magnolia arkansas,jobs hiring in magnolia arkansas,2,1,google,2025-10-31 16:08:17.130718,,jobs in magnolia arkansas
11,jobs in magnolia arkansas,"('hiring in magnolia arkansas', 'places hiring in magnolia arkansas')",hiring in magnolia arkansas,places hiring in magnolia arkansas,3,1,google,2025-10-31 16:08:17.130718,,jobs in magnolia arkansas
12,jobs in magnolia arkansas,"('hiring in magnolia arkansas', 'job openings in magnolia arkansas')",hiring in magnolia arkansas,job openings in magnolia arkansas,4,1,google,2025-10-31 16:08:17.130718,,jobs in magnolia arkansas
13,jobs in magnolia arkansas,"('hiring in magnolia arkansas', 'rn jobs in magnolia arkansas')",hiring in magnolia arkansas,rn jobs in magnolia arkansas,5,1,google,2025-10-31 16:08:17.130718,,jobs in magnolia arkansas
14,jobs in magnolia arkansas,"('hiring in magnolia arkansas', 'welding jobs in magnolia arkansas')",hiring in magnolia arkansas,welding jobs in magnolia arkansas,6,1,google,2025-10-31 16:08:17.130718,,jobs in magnolia arkansas
15,jobs in magnolia arkansas,"('hiring in magnolia arkansas', 'hiring in magnolia ar')",hiring in magnolia arkansas,hiring in magnolia ar,7,1,google,2025-10-31 16:08:17.130718,,jobs in magnolia arkansas
16,jobs in magnolia arkansas,"('hiring in magnolia arkansas', 'hiring magnolia')",hiring in magnolia arkansas,hiring magnolia,8,1,google,2025-10-31 16:08:17.130718,,jobs in magnolia arkansas
17,jobs in magnolia arkansas,"('jobs in magnolia ar no experience', 'jobs in magnolia ar')",jobs in magnolia ar no experience,jobs in magnolia ar,1,1,google,2025-10-31 16:08:17.906340,,jobs in magnolia arkansas
18,jobs in magnolia arkansas,"('jobs in magnolia ar no experience', 'jobs in magnolia arkansas')",jobs in magnolia ar no experience,jobs in magnolia arkansas,2,1,google,2025-10-31 16:08:17.906340,,jobs in magnolia arkansas
19,jobs in magnolia arkansas,"('jobs in magnolia ar no experience', 'jobs in magnolia')",jobs in magnolia ar no experience,jobs in magnolia,3,1,google,2025-10-31 16:08:17.906340,,jobs in magnolia arkansas
20,jobs in magnolia arkansas,"('jobs hiring in magnolia arkansas', 'jobs available in magnolia arkansas')",jobs hiring in magnolia arkansas,jobs available in magnolia arkansas,1,1,google,2025-10-31 16:08:19.060808,,jobs in magnolia arkansas
21,jobs in magnolia arkansas,"('jobs hiring in magnolia arkansas', 'jobs hiring in magnolia ar in the last 3 days')",jobs hiring in magnolia arkansas,jobs hiring in magnolia ar in the last 3 days,2,1,google,2025-10-31 16:08:19.060808,,jobs in magnolia arkansas
22,jobs in magnolia arkansas,"('jobs hiring in magnolia arkansas', 'jobs near magnolia arkansas')",jobs hiring in magnolia arkansas,jobs near magnolia arkansas,3,1,google,2025-10-31 16:08:19.060808,,jobs in magnolia arkansas
23,jobs in magnolia arkansas,"('jobs hiring in magnolia arkansas', 'jobs hiring in magnolia ar')",jobs hiring in magnolia arkansas,jobs hiring in magnolia ar,4,1,google,2025-10-31 16:08:19.060808,,jobs in magnolia arkansas
24,jobs in magnolia arkansas,"('jobs hiring in magnolia arkansas', 'jobs hiring in magnolia')",jobs hiring in magnolia arkansas,jobs hiring in magnolia,5,1,google,2025-10-31 16:08:19.060808,,jobs in magnolia arkansas
25,jobs in magnolia arkansas,"('jobs available in magnolia arkansas', 'jobs hiring in magnolia arkansas')",jobs available in magnolia arkansas,jobs hiring in magnolia arkansas,1,1,google,2025-10-31 16:08:19.831898,,jobs in magnolia arkansas
26,jobs in magnolia arkansas,"('jobs available in magnolia arkansas', 'jobs in magnolia arkansas')",jobs available in magnolia arkansas,jobs in magnolia arkansas,2,1,google,2025-10-31 16:08:19.831898,,jobs in magnolia arkansas
27,jobs in magnolia arkansas,"('jobs available in magnolia arkansas', 'jobs hiring in magnolia ar in the last 3 days')",jobs available in magnolia arkansas,jobs hiring in magnolia ar in the last 3 days,3,1,google,2025-10-31 16:08:19.831898,,jobs in magnolia arkansas
28,jobs in magnolia arkansas,"('jobs available in magnolia arkansas', 'jobs magnolia ar')",jobs available in magnolia arkansas,jobs magnolia ar,4,1,google,2025-10-31 16:08:19.831898,,jobs in magnolia arkansas
29,jobs in magnolia arkansas,"('rn jobs in magnolia arkansas', 'registered nurse jobs magnolia ar')",rn jobs in magnolia arkansas,registered nurse jobs magnolia ar,1,1,google,2025-10-31 16:08:20.734880,,jobs in magnolia arkansas
30,jobs in magnolia arkansas,"('rn jobs in magnolia arkansas', 'rn jobs near magnolia ar')",rn jobs in magnolia arkansas,rn jobs near magnolia ar,2,1,google,2025-10-31 16:08:20.734880,,jobs in magnolia arkansas
31,jobs in magnolia arkansas,"('rn jobs in magnolia arkansas', 'rn jobs in arkansas')",rn jobs in magnolia arkansas,rn jobs in arkansas,3,1,google,2025-10-31 16:08:20.734880,,jobs in magnolia arkansas
32,jobs in magnolia arkansas,"('rn jobs in magnolia arkansas', 'rn jobs magnolia tx')",rn jobs in magnolia arkansas,rn jobs magnolia tx,4,1,google,2025-10-31 16:08:20.734880,,jobs in magnolia arkansas
33,jobs in magnolia arkansas,"('rn jobs in magnolia arkansas', 'magnolia rn jobs')",rn jobs in magnolia arkansas,magnolia rn jobs,5,1,google,2025-10-31 16:08:20.734880,,jobs in magnolia arkansas
34,jobs in magnolia arkansas,"('welding jobs in magnolia arkansas', 'welding jobs in arkansas')",welding jobs in magnolia arkansas,welding jobs in arkansas,1,1,google,2025-10-31 16:08:21.598792,,jobs in magnolia arkansas
35,jobs in magnolia arkansas,"('welding jobs in magnolia arkansas', 'welding jobs magnolia tx')",welding jobs in magnolia arkansas,welding jobs magnolia tx,2,1,google,2025-10-31 16:08:21.598792,,jobs in magnolia arkansas
36,jobs in magnolia arkansas,"('welding jobs in magnolia arkansas', 'welding jobs in ar')",welding jobs in magnolia arkansas,welding jobs in ar,3,1,google,2025-10-31 16:08:21.598792,,jobs in magnolia arkansas
37,jobs in magnolia arkansas,"('part time jobs in magnolia arkansas', 'full time jobs in magnolia arkansas')",part time jobs in magnolia arkansas,full time jobs in magnolia arkansas,1,1,google,2025-10-31 16:08:22.644098,,jobs in magnolia arkansas
38,jobs in magnolia arkansas,"('part time jobs in magnolia arkansas', 'part time jobs in magnolia ar')",part time jobs in magnolia arkansas,part time jobs in magnolia ar,2,1,google,2025-10-31 16:08:22.644098,,jobs in magnolia arkansas
39,jobs in magnolia arkansas,"('part time jobs in magnolia arkansas', 'part time jobs in magnolia texas')",part time jobs in magnolia arkansas,part time jobs in magnolia texas,3,1,google,2025-10-31 16:08:22.644098,,jobs in magnolia arkansas
