,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in malvern arkansas,"('jobs in malvern arkansas', 'jobs in malvern arkansas no degree')",jobs in malvern arkansas,jobs in malvern arkansas no degree,1,0,google,2025-10-30 16:15:17.127367,,
1,jobs in malvern arkansas,"('jobs in malvern arkansas', 'jobs hiring in malvern arkansas')",jobs in malvern arkansas,jobs hiring in malvern arkansas,2,0,google,2025-10-30 16:15:17.127367,,
2,jobs in malvern arkansas,"('jobs in malvern arkansas', 'welding jobs in malvern arkansas')",jobs in malvern arkansas,welding jobs in malvern arkansas,3,0,google,2025-10-30 16:15:17.127367,,
3,jobs in malvern arkansas,"('jobs in malvern arkansas', 'indeed jobs in malvern arkansas')",jobs in malvern arkansas,indeed jobs in malvern arkansas,4,0,google,2025-10-30 16:15:17.127367,,
4,jobs in malvern arkansas,"('jobs in malvern arkansas', 'job openings in malvern arkansas')",jobs in malvern arkansas,job openings in malvern arkansas,5,0,google,2025-10-30 16:15:17.127367,,
5,jobs in malvern arkansas,"('jobs in malvern arkansas', 'part time jobs in malvern arkansas')",jobs in malvern arkansas,part time jobs in malvern arkansas,6,0,google,2025-10-30 16:15:17.127367,,
6,jobs in malvern arkansas,"('jobs in malvern arkansas', 'full time jobs in malvern arkansas')",jobs in malvern arkansas,full time jobs in malvern arkansas,7,0,google,2025-10-30 16:15:17.127367,,
7,jobs in malvern arkansas,"('jobs in malvern arkansas', 'jobs around malvern arkansas')",jobs in malvern arkansas,jobs around malvern arkansas,8,0,google,2025-10-30 16:15:17.127367,,
8,jobs in malvern arkansas,"('jobs in malvern arkansas', 'jobs in malvern ar in the last 3 days')",jobs in malvern arkansas,jobs in malvern ar in the last 3 days,9,0,google,2025-10-30 16:15:17.127367,,
9,jobs in malvern arkansas,"('jobs in malvern arkansas no degree', 'highest paying jobs without a degree in arkansas')",jobs in malvern arkansas no degree,highest paying jobs without a degree in arkansas,1,1,google,2025-10-30 16:15:18.196411,,jobs in malvern arkansas
10,jobs in malvern arkansas,"('jobs in malvern arkansas no degree', 'jobs in malvern uk')",jobs in malvern arkansas no degree,jobs in malvern uk,2,1,google,2025-10-30 16:15:18.196411,,jobs in malvern arkansas
11,jobs in malvern arkansas,"('jobs in malvern arkansas no degree', 'jobs in malvern arkansas')",jobs in malvern arkansas no degree,jobs in malvern arkansas,3,1,google,2025-10-30 16:15:18.196411,,jobs in malvern arkansas
12,jobs in malvern arkansas,"('jobs in malvern arkansas no degree', 'jobs in malvern ar')",jobs in malvern arkansas no degree,jobs in malvern ar,4,1,google,2025-10-30 16:15:18.196411,,jobs in malvern arkansas
13,jobs in malvern arkansas,"('jobs hiring in malvern arkansas', 'job openings in malvern arkansas')",jobs hiring in malvern arkansas,job openings in malvern arkansas,1,1,google,2025-10-30 16:15:19.027013,,jobs in malvern arkansas
14,jobs in malvern arkansas,"('jobs hiring in malvern arkansas', 'jobs near malvern arkansas')",jobs hiring in malvern arkansas,jobs near malvern arkansas,2,1,google,2025-10-30 16:15:19.027013,,jobs in malvern arkansas
15,jobs in malvern arkansas,"('jobs hiring in malvern arkansas', 'part time jobs hiring in malvern ar')",jobs hiring in malvern arkansas,part time jobs hiring in malvern ar,3,1,google,2025-10-30 16:15:19.027013,,jobs in malvern arkansas
16,jobs in malvern arkansas,"('jobs hiring in malvern arkansas', 'jobs hiring in malvern ar')",jobs hiring in malvern arkansas,jobs hiring in malvern ar,4,1,google,2025-10-30 16:15:19.027013,,jobs in malvern arkansas
17,jobs in malvern arkansas,"('jobs hiring in malvern arkansas', 'jobs hiring in malvern')",jobs hiring in malvern arkansas,jobs hiring in malvern,5,1,google,2025-10-30 16:15:19.027013,,jobs in malvern arkansas
18,jobs in malvern arkansas,"('welding jobs in malvern arkansas', 'welding jobs in arkansas')",welding jobs in malvern arkansas,welding jobs in arkansas,1,1,google,2025-10-30 16:15:20.056136,,jobs in malvern arkansas
19,jobs in malvern arkansas,"('welding jobs in malvern arkansas', 'welding jobs in ar')",welding jobs in malvern arkansas,welding jobs in ar,2,1,google,2025-10-30 16:15:20.056136,,jobs in malvern arkansas
20,jobs in malvern arkansas,"('welding jobs in malvern arkansas', 'welding jobs in russellville ar')",welding jobs in malvern arkansas,welding jobs in russellville ar,3,1,google,2025-10-30 16:15:20.056136,,jobs in malvern arkansas
21,jobs in malvern arkansas,"('welding jobs in malvern arkansas', 'welding jobs in maryville tn')",welding jobs in malvern arkansas,welding jobs in maryville tn,4,1,google,2025-10-30 16:15:20.056136,,jobs in malvern arkansas
22,jobs in malvern arkansas,"('indeed jobs in malvern arkansas', 'indeed jobs malvern ar full time')",indeed jobs in malvern arkansas,indeed jobs malvern ar full time,1,1,google,2025-10-30 16:15:21.140824,,jobs in malvern arkansas
23,jobs in malvern arkansas,"('indeed jobs in malvern arkansas', 'indeed malvern ar')",indeed jobs in malvern arkansas,indeed malvern ar,2,1,google,2025-10-30 16:15:21.140824,,jobs in malvern arkansas
24,jobs in malvern arkansas,"('indeed jobs in malvern arkansas', 'indeed jobs malvern ar')",indeed jobs in malvern arkansas,indeed jobs malvern ar,3,1,google,2025-10-30 16:15:21.140824,,jobs in malvern arkansas
25,jobs in malvern arkansas,"('indeed jobs in malvern arkansas', 'malvern arkansas jobs')",indeed jobs in malvern arkansas,malvern arkansas jobs,4,1,google,2025-10-30 16:15:21.140824,,jobs in malvern arkansas
26,jobs in malvern arkansas,"('indeed jobs in malvern arkansas', 'in malvern arkansas')",indeed jobs in malvern arkansas,in malvern arkansas,5,1,google,2025-10-30 16:15:21.140824,,jobs in malvern arkansas
27,jobs in malvern arkansas,"('indeed jobs in malvern arkansas', 'jobs hiring in malvern arkansas')",indeed jobs in malvern arkansas,jobs hiring in malvern arkansas,6,1,google,2025-10-30 16:15:21.140824,,jobs in malvern arkansas
28,jobs in malvern arkansas,"('job openings in malvern arkansas', 'jobs hiring in malvern arkansas')",job openings in malvern arkansas,jobs hiring in malvern arkansas,1,1,google,2025-10-30 16:15:22.535064,,jobs in malvern arkansas
29,jobs in malvern arkansas,"('job openings in malvern arkansas', 'job openings in malvern ar')",job openings in malvern arkansas,job openings in malvern ar,2,1,google,2025-10-30 16:15:22.535064,,jobs in malvern arkansas
30,jobs in malvern arkansas,"('job openings in malvern arkansas', 'malvern arkansas jobs')",job openings in malvern arkansas,malvern arkansas jobs,3,1,google,2025-10-30 16:15:22.535064,,jobs in malvern arkansas
31,jobs in malvern arkansas,"('part time jobs in malvern arkansas', 'full time jobs in malvern arkansas')",part time jobs in malvern arkansas,full time jobs in malvern arkansas,1,1,google,2025-10-30 16:15:23.437089,,jobs in malvern arkansas
32,jobs in malvern arkansas,"('part time jobs in malvern arkansas', 'part time jobs hiring in malvern ar')",part time jobs in malvern arkansas,part time jobs hiring in malvern ar,2,1,google,2025-10-30 16:15:23.437089,,jobs in malvern arkansas
33,jobs in malvern arkansas,"('part time jobs in malvern arkansas', 'full time jobs near malvern ar')",part time jobs in malvern arkansas,full time jobs near malvern ar,3,1,google,2025-10-30 16:15:23.437089,,jobs in malvern arkansas
34,jobs in malvern arkansas,"('part time jobs in malvern arkansas', 'part time jobs in malvern ar')",part time jobs in malvern arkansas,part time jobs in malvern ar,4,1,google,2025-10-30 16:15:23.437089,,jobs in malvern arkansas
35,jobs in malvern arkansas,"('part time jobs in malvern arkansas', 'part time jobs in malvern pa')",part time jobs in malvern arkansas,part time jobs in malvern pa,5,1,google,2025-10-30 16:15:23.437089,,jobs in malvern arkansas
36,jobs in malvern arkansas,"('part time jobs in malvern arkansas', 'malvern arkansas jobs')",part time jobs in malvern arkansas,malvern arkansas jobs,6,1,google,2025-10-30 16:15:23.437089,,jobs in malvern arkansas
37,jobs in malvern arkansas,"('full time jobs in malvern arkansas', 'part time jobs in malvern arkansas')",full time jobs in malvern arkansas,part time jobs in malvern arkansas,1,1,google,2025-10-30 16:15:24.374891,,jobs in malvern arkansas
38,jobs in malvern arkansas,"('full time jobs in malvern arkansas', 'part time jobs hiring in malvern ar')",full time jobs in malvern arkansas,part time jobs hiring in malvern ar,2,1,google,2025-10-30 16:15:24.374891,,jobs in malvern arkansas
39,jobs in malvern arkansas,"('full time jobs in malvern arkansas', 'full time jobs near malvern ar')",full time jobs in malvern arkansas,full time jobs near malvern ar,3,1,google,2025-10-30 16:15:24.374891,,jobs in malvern arkansas
40,jobs in malvern arkansas,"('full time jobs in malvern arkansas', 'malvern arkansas jobs')",full time jobs in malvern arkansas,malvern arkansas jobs,4,1,google,2025-10-30 16:15:24.374891,,jobs in malvern arkansas
41,jobs in malvern arkansas,"('full time jobs in malvern arkansas', 'full time jobs malvern pa')",full time jobs in malvern arkansas,full time jobs malvern pa,5,1,google,2025-10-30 16:15:24.374891,,jobs in malvern arkansas
42,jobs in malvern arkansas,"('full time jobs in malvern arkansas', 'part time jobs in malvern ar')",full time jobs in malvern arkansas,part time jobs in malvern ar,6,1,google,2025-10-30 16:15:24.374891,,jobs in malvern arkansas
43,jobs in malvern arkansas,"('full time jobs in malvern arkansas', 'malvern ar jobs')",full time jobs in malvern arkansas,malvern ar jobs,7,1,google,2025-10-30 16:15:24.374891,,jobs in malvern arkansas
44,jobs in malvern arkansas,"('jobs around malvern arkansas', 'jobs near malvern arkansas')",jobs around malvern arkansas,jobs near malvern arkansas,1,1,google,2025-10-30 16:15:25.726152,,jobs in malvern arkansas
45,jobs in malvern arkansas,"('jobs around malvern arkansas', 'malvern arkansas crime rate')",jobs around malvern arkansas,malvern arkansas crime rate,2,1,google,2025-10-30 16:15:25.726152,,jobs in malvern arkansas
46,jobs in malvern arkansas,"('jobs around malvern arkansas', 'jobs malvern ar')",jobs around malvern arkansas,jobs malvern ar,3,1,google,2025-10-30 16:15:25.726152,,jobs in malvern arkansas
47,jobs in malvern arkansas,"('jobs in malvern ar in the last 3 days', 'jobs in malvern arkansas')",jobs in malvern ar in the last 3 days,jobs in malvern arkansas,1,1,google,2025-10-30 16:15:26.515774,,jobs in malvern arkansas
48,jobs in malvern arkansas,"('jobs in malvern ar in the last 3 days', 'jobs in malvern ar')",jobs in malvern ar in the last 3 days,jobs in malvern ar,2,1,google,2025-10-30 16:15:26.515774,,jobs in malvern arkansas
49,jobs in malvern arkansas,"('highest paying jobs without a degree in arkansas', 'high paying jobs arkansas without a degree')",highest paying jobs without a degree in arkansas,high paying jobs arkansas without a degree,1,2,google,2025-10-30 16:15:27.826498,jobs in malvern arkansas,jobs in malvern arkansas no degree
50,jobs in malvern arkansas,"('highest paying jobs without a degree in arkansas', 'best paying jobs in arkansas without a degree')",highest paying jobs without a degree in arkansas,best paying jobs in arkansas without a degree,2,2,google,2025-10-30 16:15:27.826498,jobs in malvern arkansas,jobs in malvern arkansas no degree
51,jobs in malvern arkansas,"('highest paying jobs without a degree in arkansas', 'what is the highest paying jobs without a degree')",highest paying jobs without a degree in arkansas,what is the highest paying jobs without a degree,3,2,google,2025-10-30 16:15:27.826498,jobs in malvern arkansas,jobs in malvern arkansas no degree
52,jobs in malvern arkansas,"('highest paying jobs without a degree in arkansas', 'can you get high paying jobs without a degree')",highest paying jobs without a degree in arkansas,can you get high paying jobs without a degree,4,2,google,2025-10-30 16:15:27.826498,jobs in malvern arkansas,jobs in malvern arkansas no degree
53,jobs in malvern arkansas,"('jobs in malvern uk', 'jobs in great malvern uk')",jobs in malvern uk,jobs in great malvern uk,1,2,google,2025-10-30 16:15:28.640841,jobs in malvern arkansas,jobs in malvern arkansas no degree
54,jobs in malvern arkansas,"('jobs in malvern uk', 'jobs in malvern worcestershire uk')",jobs in malvern uk,jobs in malvern worcestershire uk,2,2,google,2025-10-30 16:15:28.640841,jobs in malvern arkansas,jobs in malvern arkansas no degree
