,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in mammoth spring arkansas,"('jobs in mammoth spring arkansas', 'jobs in mammoth springs arkansas')",jobs in mammoth spring arkansas,jobs in mammoth springs arkansas,1,0,google,2025-10-31 16:12:53.594860,,
1,jobs in mammoth spring arkansas,"('jobs in mammoth spring arkansas', 'jobs in mammoth spring ar')",jobs in mammoth spring arkansas,jobs in mammoth spring ar,2,0,google,2025-10-31 16:12:53.594860,,
2,jobs in mammoth spring arkansas,"('jobs in mammoth springs arkansas', 'jobs in mammoth springs ar')",jobs in mammoth springs arkansas,jobs in mammoth springs ar,1,1,google,2025-10-31 16:12:55.047853,,jobs in mammoth spring arkansas
3,jobs in mammoth spring arkansas,"('jobs in mammoth spring ar', 'jobs near mammoth spring arkansas')",jobs in mammoth spring ar,jobs near mammoth spring arkansas,1,1,google,2025-10-31 16:12:55.925668,,jobs in mammoth spring arkansas
4,jobs in mammoth spring arkansas,"('jobs in mammoth spring ar', 'jobs in mammoth california')",jobs in mammoth spring ar,jobs in mammoth california,2,1,google,2025-10-31 16:12:55.925668,,jobs in mammoth spring arkansas
5,jobs in mammoth spring arkansas,"('jobs in mammoth springs ar', 'jobs in mammoth springs arkansas')",jobs in mammoth springs ar,jobs in mammoth springs arkansas,1,2,google,2025-10-31 16:12:56.739197,jobs in mammoth spring arkansas,jobs in mammoth springs arkansas
6,jobs in mammoth spring arkansas,"('jobs near mammoth spring arkansas', 'jobs near mammoth springs arkansas')",jobs near mammoth spring arkansas,jobs near mammoth springs arkansas,1,2,google,2025-10-31 16:12:57.713228,jobs in mammoth spring arkansas,jobs in mammoth spring ar
7,jobs in mammoth spring arkansas,"('jobs near mammoth spring arkansas', 'jobs near mammoth spring ar')",jobs near mammoth spring arkansas,jobs near mammoth spring ar,2,2,google,2025-10-31 16:12:57.713228,jobs in mammoth spring arkansas,jobs in mammoth spring ar
8,jobs in mammoth spring arkansas,"('jobs in mammoth california', 'jobs in mammoth lakes california')",jobs in mammoth california,jobs in mammoth lakes california,1,2,google,2025-10-31 16:12:58.664081,jobs in mammoth spring arkansas,jobs in mammoth spring ar
9,jobs in mammoth spring arkansas,"('jobs in mammoth california', 'jobs in merced ca hiring')",jobs in mammoth california,jobs in merced ca hiring,2,2,google,2025-10-31 16:12:58.664081,jobs in mammoth spring arkansas,jobs in mammoth spring ar
