,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in marianna arkansas,"('jobs in marianna arkansas', 'jobs hiring in marianna arkansas')",jobs in marianna arkansas,jobs hiring in marianna arkansas,1,0,google,2025-10-30 16:19:44.789924,,
1,jobs in marianna arkansas,"('jobs in marianna arkansas', 'part time jobs in marianna arkansas')",jobs in marianna arkansas,part time jobs in marianna arkansas,2,0,google,2025-10-30 16:19:44.789924,,
2,jobs in marianna arkansas,"('jobs in marianna arkansas', 'jobs in marianna ar')",jobs in marianna arkansas,jobs in marianna ar,3,0,google,2025-10-30 16:19:44.789924,,
3,jobs in marianna arkansas,"('jobs hiring in marianna arkansas', 'jobs hiring in marianna ar')",jobs hiring in marianna arkansas,jobs hiring in marianna ar,1,1,google,2025-10-30 16:19:46.259916,,jobs in marianna arkansas
4,jobs in marianna arkansas,"('jobs hiring in marianna arkansas', 'marianna ar jobs')",jobs hiring in marianna arkansas,marianna ar jobs,2,1,google,2025-10-30 16:19:46.259916,,jobs in marianna arkansas
5,jobs in marianna arkansas,"('jobs hiring in marianna arkansas', 'jobs in marianna arkansas')",jobs hiring in marianna arkansas,jobs in marianna arkansas,3,1,google,2025-10-30 16:19:46.259916,,jobs in marianna arkansas
6,jobs in marianna arkansas,"('part time jobs in marianna arkansas', 'part-time jobs in marianna fl')",part time jobs in marianna arkansas,part-time jobs in marianna fl,1,1,google,2025-10-30 16:19:47.479891,,jobs in marianna arkansas
7,jobs in marianna arkansas,"('part time jobs in marianna arkansas', 'marianna ar jobs')",part time jobs in marianna arkansas,marianna ar jobs,2,1,google,2025-10-30 16:19:47.479891,,jobs in marianna arkansas
8,jobs in marianna arkansas,"('jobs in marianna ar', 'jobs in marianna arkansas')",jobs in marianna ar,jobs in marianna arkansas,1,1,google,2025-10-30 16:19:48.520048,,jobs in marianna arkansas
9,jobs in marianna arkansas,"('jobs in marianna ar', 'jobs hiring in marianna ar')",jobs in marianna ar,jobs hiring in marianna ar,2,1,google,2025-10-30 16:19:48.520048,,jobs in marianna arkansas
10,jobs in marianna arkansas,"('jobs in marianna ar', 'part time jobs in marianna arkansas')",jobs in marianna ar,part time jobs in marianna arkansas,3,1,google,2025-10-30 16:19:48.520048,,jobs in marianna arkansas
11,jobs in marianna arkansas,"('jobs in marianna ar', 'jobs near marianna ar')",jobs in marianna ar,jobs near marianna ar,4,1,google,2025-10-30 16:19:48.520048,,jobs in marianna arkansas
12,jobs in marianna arkansas,"('jobs in marianna ar', 'jobs that are hiring in marianna florida')",jobs in marianna ar,jobs that are hiring in marianna florida,5,1,google,2025-10-30 16:19:48.520048,,jobs in marianna arkansas
13,jobs in marianna arkansas,"('jobs in marianna ar', 'jobs in marianna')",jobs in marianna ar,jobs in marianna,6,1,google,2025-10-30 16:19:48.520048,,jobs in marianna arkansas
14,jobs in marianna arkansas,"('jobs in marianna ar', 'jobs in marianna florida')",jobs in marianna ar,jobs in marianna florida,7,1,google,2025-10-30 16:19:48.520048,,jobs in marianna arkansas
15,jobs in marianna arkansas,"('jobs in marianna ar', 'jobs in marianna fl')",jobs in marianna ar,jobs in marianna fl,8,1,google,2025-10-30 16:19:48.520048,,jobs in marianna arkansas
16,jobs in marianna arkansas,"('jobs hiring in marianna ar', 'jobs near marianna ar')",jobs hiring in marianna ar,jobs near marianna ar,1,2,google,2025-10-30 16:19:49.819506,jobs in marianna arkansas jobs in marianna arkansas,jobs hiring in marianna arkansas jobs in marianna ar
17,jobs in marianna arkansas,"('jobs hiring in marianna ar', 'jobs that are hiring in marianna florida')",jobs hiring in marianna ar,jobs that are hiring in marianna florida,2,2,google,2025-10-30 16:19:49.819506,jobs in marianna arkansas jobs in marianna arkansas,jobs hiring in marianna arkansas jobs in marianna ar
18,jobs in marianna arkansas,"('jobs hiring in marianna ar', 'jobs hiring in marianna arkansas')",jobs hiring in marianna ar,jobs hiring in marianna arkansas,3,2,google,2025-10-30 16:19:49.819506,jobs in marianna arkansas jobs in marianna arkansas,jobs hiring in marianna arkansas jobs in marianna ar
19,jobs in marianna arkansas,"('jobs hiring in marianna ar', 'jobs hiring in marianna')",jobs hiring in marianna ar,jobs hiring in marianna,4,2,google,2025-10-30 16:19:49.819506,jobs in marianna arkansas jobs in marianna arkansas,jobs hiring in marianna arkansas jobs in marianna ar
20,jobs in marianna arkansas,"('jobs hiring in marianna ar', 'jobs hiring in marianna fl')",jobs hiring in marianna ar,jobs hiring in marianna fl,5,2,google,2025-10-30 16:19:49.819506,jobs in marianna arkansas jobs in marianna arkansas,jobs hiring in marianna arkansas jobs in marianna ar
21,jobs in marianna arkansas,"('marianna ar jobs', 'marianna jobs hiring')",marianna ar jobs,marianna jobs hiring,1,2,google,2025-10-30 16:19:51.144099,jobs in marianna arkansas jobs in marianna arkansas,jobs hiring in marianna arkansas part time jobs in marianna arkansas
22,jobs in marianna arkansas,"('marianna ar jobs', 'marianna jobs')",marianna ar jobs,marianna jobs,2,2,google,2025-10-30 16:19:51.144099,jobs in marianna arkansas jobs in marianna arkansas,jobs hiring in marianna arkansas part time jobs in marianna arkansas
23,jobs in marianna arkansas,"('marianna ar jobs', 'marianna fl jobs')",marianna ar jobs,marianna fl jobs,3,2,google,2025-10-30 16:19:51.144099,jobs in marianna arkansas jobs in marianna arkansas,jobs hiring in marianna arkansas part time jobs in marianna arkansas
24,jobs in marianna arkansas,"('part-time jobs in marianna fl', 'part time jobs in marianna fl')",part-time jobs in marianna fl,part time jobs in marianna fl,1,2,google,2025-10-30 16:19:52.161080,jobs in marianna arkansas,part time jobs in marianna arkansas
25,jobs in marianna arkansas,"('part-time jobs in marianna fl', 'full time jobs in marianna fl')",part-time jobs in marianna fl,full time jobs in marianna fl,2,2,google,2025-10-30 16:19:52.161080,jobs in marianna arkansas,part time jobs in marianna arkansas
26,jobs in marianna arkansas,"('part-time jobs in marianna fl', 'part time jobs hiring in marianna fl')",part-time jobs in marianna fl,part time jobs hiring in marianna fl,3,2,google,2025-10-30 16:19:52.161080,jobs in marianna arkansas,part time jobs in marianna arkansas
27,jobs in marianna arkansas,"('part-time jobs in marianna fl', 'part time jobs marianna fl no experience')",part-time jobs in marianna fl,part time jobs marianna fl no experience,4,2,google,2025-10-30 16:19:52.161080,jobs in marianna arkansas,part time jobs in marianna arkansas
28,jobs in marianna arkansas,"('part-time jobs in marianna fl', 'part time jobs marianna fl remote')",part-time jobs in marianna fl,part time jobs marianna fl remote,5,2,google,2025-10-30 16:19:52.161080,jobs in marianna arkansas,part time jobs in marianna arkansas
29,jobs in marianna arkansas,"('part-time jobs in marianna fl', 'weekend part time jobs marianna fl')",part-time jobs in marianna fl,weekend part time jobs marianna fl,6,2,google,2025-10-30 16:19:52.161080,jobs in marianna arkansas,part time jobs in marianna arkansas
30,jobs in marianna arkansas,"('part-time jobs in marianna fl', 'part-time jobs in lake mary fl')",part-time jobs in marianna fl,part-time jobs in lake mary fl,7,2,google,2025-10-30 16:19:52.161080,jobs in marianna arkansas,part time jobs in marianna arkansas
31,jobs in marianna arkansas,"('jobs near marianna ar', 'jobs hiring near marianna ar')",jobs near marianna ar,jobs hiring near marianna ar,1,2,google,2025-10-30 16:19:53.011516,jobs in marianna arkansas,jobs in marianna ar
32,jobs in marianna arkansas,"('jobs near marianna ar', 'jobs near marianna florida')",jobs near marianna ar,jobs near marianna florida,2,2,google,2025-10-30 16:19:53.011516,jobs in marianna arkansas,jobs in marianna ar
33,jobs in marianna arkansas,"('jobs near marianna ar', 'jobs near marianna fl')",jobs near marianna ar,jobs near marianna fl,3,2,google,2025-10-30 16:19:53.011516,jobs in marianna arkansas,jobs in marianna ar
34,jobs in marianna arkansas,"('jobs that are hiring in marianna florida', 'jobs hiring in marianna fl')",jobs that are hiring in marianna florida,jobs hiring in marianna fl,1,2,google,2025-10-30 16:19:53.822662,jobs in marianna arkansas,jobs in marianna ar
35,jobs in marianna arkansas,"('jobs that are hiring in marianna florida', 'jobs hiring in marianna fl since yesterday')",jobs that are hiring in marianna florida,jobs hiring in marianna fl since yesterday,2,2,google,2025-10-30 16:19:53.822662,jobs in marianna arkansas,jobs in marianna ar
