,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in marion alabama,"('jobs in marion alabama', 'jobs in marion county alabama')",jobs in marion alabama,jobs in marion county alabama,1,0,google,2025-10-28 23:19:22.749110,,
1,jobs in marion alabama,"('jobs in marion alabama', 'jobs hiring in marion al')",jobs in marion alabama,jobs hiring in marion al,2,0,google,2025-10-28 23:19:22.749110,,
2,jobs in marion alabama,"('jobs in marion alabama', 'jobs in marion al')",jobs in marion alabama,jobs in marion al,3,0,google,2025-10-28 23:19:22.749110,,
3,jobs in marion alabama,"('jobs in marion alabama', 'jobs in marion county al')",jobs in marion alabama,jobs in marion county al,4,0,google,2025-10-28 23:19:22.749110,,
4,jobs in marion alabama,"('jobs in marion county alabama', 'jobs in marion county al')",jobs in marion county alabama,jobs in marion county al,1,1,google,2025-10-28 23:19:23.787825,,jobs in marion alabama
5,jobs in marion alabama,"('jobs in marion county alabama', 'jobs in marion alabama')",jobs in marion county alabama,jobs in marion alabama,2,1,google,2025-10-28 23:19:23.787825,,jobs in marion alabama
6,jobs in marion alabama,"('jobs hiring in marion al', 'jobs near marion alabama')",jobs hiring in marion al,jobs near marion alabama,1,1,google,2025-10-28 23:19:25.142533,,jobs in marion alabama
7,jobs in marion alabama,"('jobs hiring in marion al', 'jobs hiring in marion ar')",jobs hiring in marion al,jobs hiring in marion ar,2,1,google,2025-10-28 23:19:25.142533,,jobs in marion alabama
8,jobs in marion alabama,"('jobs hiring in marion al', 'jobs hiring in marion arkansas')",jobs hiring in marion al,jobs hiring in marion arkansas,3,1,google,2025-10-28 23:19:25.142533,,jobs in marion alabama
9,jobs in marion alabama,"('jobs hiring in marion al', 'jobs in marion al')",jobs hiring in marion al,jobs in marion al,4,1,google,2025-10-28 23:19:25.142533,,jobs in marion alabama
10,jobs in marion alabama,"('jobs in marion al', 'jobs in marion county alabama')",jobs in marion al,jobs in marion county alabama,1,1,google,2025-10-28 23:19:26.112944,,jobs in marion alabama
11,jobs in marion alabama,"('jobs in marion al', 'jobs hiring in marion al')",jobs in marion al,jobs hiring in marion al,2,1,google,2025-10-28 23:19:26.112944,,jobs in marion alabama
12,jobs in marion alabama,"('jobs in marion al', 'jobs at marion all star')",jobs in marion al,jobs at marion all star,3,1,google,2025-10-28 23:19:26.112944,,jobs in marion alabama
13,jobs in marion alabama,"('jobs in marion al', 'jobs near marion alabama')",jobs in marion al,jobs near marion alabama,4,1,google,2025-10-28 23:19:26.112944,,jobs in marion alabama
14,jobs in marion alabama,"('jobs in marion al', 'aldi jobs marion in')",jobs in marion al,aldi jobs marion in,5,1,google,2025-10-28 23:19:26.112944,,jobs in marion alabama
15,jobs in marion alabama,"('jobs in marion al', 'jobs in marion county al')",jobs in marion al,jobs in marion county al,6,1,google,2025-10-28 23:19:26.112944,,jobs in marion alabama
16,jobs in marion alabama,"('jobs in marion county al', 'jobs in marion county alabama')",jobs in marion county al,jobs in marion county alabama,1,1,google,2025-10-28 23:19:26.931532,,jobs in marion alabama
17,jobs in marion alabama,"('jobs in marion county al', 'jobs in marion county ms')",jobs in marion county al,jobs in marion county ms,2,1,google,2025-10-28 23:19:26.931532,,jobs in marion alabama
18,jobs in marion alabama,"('jobs in marion county al', 'jobs in marion county sc')",jobs in marion county al,jobs in marion county sc,3,1,google,2025-10-28 23:19:26.931532,,jobs in marion alabama
19,jobs in marion alabama,"('jobs near marion alabama', 'jobs hiring near marion al')",jobs near marion alabama,jobs hiring near marion al,1,2,google,2025-10-28 23:19:28.224203,jobs in marion alabama jobs in marion alabama,jobs hiring in marion al jobs in marion al
20,jobs in marion alabama,"('jobs near marion alabama', 'jobs marion al')",jobs near marion alabama,jobs marion al,2,2,google,2025-10-28 23:19:28.224203,jobs in marion alabama jobs in marion alabama,jobs hiring in marion al jobs in marion al
21,jobs in marion alabama,"('jobs near marion alabama', 'jobs marion county al')",jobs near marion alabama,jobs marion county al,3,2,google,2025-10-28 23:19:28.224203,jobs in marion alabama jobs in marion alabama,jobs hiring in marion al jobs in marion al
22,jobs in marion alabama,"('jobs hiring in marion ar', 'jobs hiring in marion arkansas')",jobs hiring in marion ar,jobs hiring in marion arkansas,1,2,google,2025-10-28 23:19:29.073263,jobs in marion alabama,jobs hiring in marion al
23,jobs in marion alabama,"('jobs hiring in marion ar', 'jobs hiring in west memphis ar')",jobs hiring in marion ar,jobs hiring in west memphis ar,2,2,google,2025-10-28 23:19:29.073263,jobs in marion alabama,jobs hiring in marion al
24,jobs in marion alabama,"('jobs hiring in marion ar', 'jobs near marion ar')",jobs hiring in marion ar,jobs near marion ar,3,2,google,2025-10-28 23:19:29.073263,jobs in marion alabama,jobs hiring in marion al
25,jobs in marion alabama,"('jobs hiring in marion ar', 'now hiring marion ar')",jobs hiring in marion ar,now hiring marion ar,4,2,google,2025-10-28 23:19:29.073263,jobs in marion alabama,jobs hiring in marion al
26,jobs in marion alabama,"('jobs hiring in marion ar', 'job openings marion ar')",jobs hiring in marion ar,job openings marion ar,5,2,google,2025-10-28 23:19:29.073263,jobs in marion alabama,jobs hiring in marion al
27,jobs in marion alabama,"('jobs hiring in marion ar', 'jobs hiring near me marion ar')",jobs hiring in marion ar,jobs hiring near me marion ar,6,2,google,2025-10-28 23:19:29.073263,jobs in marion alabama,jobs hiring in marion al
28,jobs in marion alabama,"('jobs hiring in marion ar', 'jobs hiring immediately west memphis ar')",jobs hiring in marion ar,jobs hiring immediately west memphis ar,7,2,google,2025-10-28 23:19:29.073263,jobs in marion alabama,jobs hiring in marion al
29,jobs in marion alabama,"('jobs hiring in marion ar', 'jobs near me marion ar')",jobs hiring in marion ar,jobs near me marion ar,8,2,google,2025-10-28 23:19:29.073263,jobs in marion alabama,jobs hiring in marion al
30,jobs in marion alabama,"('jobs hiring in marion ar', 'jobs near west memphis ar')",jobs hiring in marion ar,jobs near west memphis ar,9,2,google,2025-10-28 23:19:29.073263,jobs in marion alabama,jobs hiring in marion al
31,jobs in marion alabama,"('jobs hiring in marion arkansas', 'jobs near marion arkansas')",jobs hiring in marion arkansas,jobs near marion arkansas,1,2,google,2025-10-28 23:19:30.096248,jobs in marion alabama,jobs hiring in marion al
32,jobs in marion alabama,"('jobs hiring in marion arkansas', 'jobs hiring near marion ar')",jobs hiring in marion arkansas,jobs hiring near marion ar,2,2,google,2025-10-28 23:19:30.096248,jobs in marion alabama,jobs hiring in marion al
33,jobs in marion alabama,"('jobs at marion all star', 'marion all star staffing')",jobs at marion all star,marion all star staffing,1,2,google,2025-10-28 23:19:31.077535,jobs in marion alabama,jobs in marion al
34,jobs in marion alabama,"('jobs at marion all star', 'marion allstars')",jobs at marion all star,marion allstars,2,2,google,2025-10-28 23:19:31.077535,jobs in marion alabama,jobs in marion al
