,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in marmaduke arkansas,"('jobs in marmaduke arkansas', 'jobs in marmaduke ar')",jobs in marmaduke arkansas,jobs in marmaduke ar,1,0,google,2025-10-29 22:02:19.115604,,
1,jobs in marmaduke arkansas,"('jobs in marmaduke arkansas', 'marmaduke school jobs')",jobs in marmaduke arkansas,marmaduke school jobs,2,0,google,2025-10-29 22:02:19.115604,,
2,jobs in marmaduke arkansas,"('jobs in marmaduke arkansas', 'marmaduke jobs')",jobs in marmaduke arkansas,marmaduke jobs,3,0,google,2025-10-29 22:02:19.115604,,
3,jobs in marmaduke arkansas,"('jobs in marmaduke arkansas', 'marmaduke school district jobs')",jobs in marmaduke arkansas,marmaduke school district jobs,4,0,google,2025-10-29 22:02:19.115604,,
4,jobs in marmaduke arkansas,"('jobs in marmaduke ar', 'marmaduke jobs')",jobs in marmaduke ar,marmaduke jobs,1,1,google,2025-10-29 22:02:20.145417,,jobs in marmaduke arkansas
5,jobs in marmaduke arkansas,"('jobs in marmaduke ar', 'marmaduke school jobs')",jobs in marmaduke ar,marmaduke school jobs,2,1,google,2025-10-29 22:02:20.145417,,jobs in marmaduke arkansas
6,jobs in marmaduke arkansas,"('jobs in marmaduke ar', 'marmaduke school district jobs')",jobs in marmaduke ar,marmaduke school district jobs,3,1,google,2025-10-29 22:02:20.145417,,jobs in marmaduke arkansas
7,jobs in marmaduke arkansas,"('marmaduke school jobs', 'marmaduke school district jobs')",marmaduke school jobs,marmaduke school district jobs,1,1,google,2025-10-29 22:02:21.376304,,jobs in marmaduke arkansas
8,jobs in marmaduke arkansas,"('marmaduke school jobs', 'marmaduke school district employment')",marmaduke school jobs,marmaduke school district employment,2,1,google,2025-10-29 22:02:21.376304,,jobs in marmaduke arkansas
9,jobs in marmaduke arkansas,"('marmaduke school jobs', 'marmaduke ar jobs')",marmaduke school jobs,marmaduke ar jobs,3,1,google,2025-10-29 22:02:21.376304,,jobs in marmaduke arkansas
10,jobs in marmaduke arkansas,"('marmaduke school jobs', 'marmaduke jobs')",marmaduke school jobs,marmaduke jobs,4,1,google,2025-10-29 22:02:21.376304,,jobs in marmaduke arkansas
11,jobs in marmaduke arkansas,"('marmaduke jobs', 'jobs marmaduke ar')",marmaduke jobs,jobs marmaduke ar,1,1,google,2025-10-29 22:02:22.263895,,jobs in marmaduke arkansas
