,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in marshall arkansas,"('jobs in marshall arkansas', 'jobs hiring in marshall arkansas')",jobs in marshall arkansas,jobs hiring in marshall arkansas,1,0,google,2025-11-01 16:13:58.512078,,
1,jobs in marshall arkansas,"('jobs in marshall arkansas', 'jobs in marshall ar')",jobs in marshall arkansas,jobs in marshall ar,2,0,google,2025-11-01 16:13:58.512078,,
2,jobs in marshall arkansas,"('jobs hiring in marshall arkansas', 'jobs near marshall arkansas')",jobs hiring in marshall arkansas,jobs near marshall arkansas,1,1,google,2025-11-01 16:13:59.370696,,jobs in marshall arkansas
3,jobs in marshall arkansas,"('jobs hiring in marshall arkansas', 'jobs hiring in marshall ar')",jobs hiring in marshall arkansas,jobs hiring in marshall ar,2,1,google,2025-11-01 16:13:59.370696,,jobs in marshall arkansas
4,jobs in marshall arkansas,"('jobs in marshall ar', 'jobs in marshall arkansas')",jobs in marshall ar,jobs in marshall arkansas,1,1,google,2025-11-01 16:14:00.566001,,jobs in marshall arkansas
5,jobs in marshall arkansas,"('jobs in marshall ar', 'jobs hiring in marshall arkansas')",jobs in marshall ar,jobs hiring in marshall arkansas,2,1,google,2025-11-01 16:14:00.566001,,jobs in marshall arkansas
6,jobs in marshall arkansas,"('jobs in marshall ar', 'jobs near marshall ar')",jobs in marshall ar,jobs near marshall ar,3,1,google,2025-11-01 16:14:00.566001,,jobs in marshall arkansas
7,jobs in marshall arkansas,"('jobs in marshall ar', 'jobs around marshall mn')",jobs in marshall ar,jobs around marshall mn,4,1,google,2025-11-01 16:14:00.566001,,jobs in marshall arkansas
8,jobs in marshall arkansas,"('jobs in marshall ar', 'jobs around marshall texas')",jobs in marshall ar,jobs around marshall texas,5,1,google,2025-11-01 16:14:00.566001,,jobs in marshall arkansas
9,jobs in marshall arkansas,"('jobs in marshall ar', 'jobs in marshall')",jobs in marshall ar,jobs in marshall,6,1,google,2025-11-01 16:14:00.566001,,jobs in marshall arkansas
10,jobs in marshall arkansas,"('jobs in marshall ar', 'jobs in marshall county')",jobs in marshall ar,jobs in marshall county,7,1,google,2025-11-01 16:14:00.566001,,jobs in marshall arkansas
11,jobs in marshall arkansas,"('jobs in marshall ar', 'jobs in marshall missouri')",jobs in marshall ar,jobs in marshall missouri,8,1,google,2025-11-01 16:14:00.566001,,jobs in marshall arkansas
12,jobs in marshall arkansas,"('jobs near marshall arkansas', 'jobs hiring near marshall ar')",jobs near marshall arkansas,jobs hiring near marshall ar,1,2,google,2025-11-01 16:14:01.800846,jobs in marshall arkansas,jobs hiring in marshall arkansas
13,jobs in marshall arkansas,"('jobs near marshall arkansas', 'jobs marshall ar')",jobs near marshall arkansas,jobs marshall ar,2,2,google,2025-11-01 16:14:01.800846,jobs in marshall arkansas,jobs hiring in marshall arkansas
14,jobs in marshall arkansas,"('jobs hiring in marshall ar', 'jobs near marshall ar')",jobs hiring in marshall ar,jobs near marshall ar,1,2,google,2025-11-01 16:14:03.197896,jobs in marshall arkansas,jobs hiring in marshall arkansas
15,jobs in marshall arkansas,"('jobs hiring in marshall ar', 'jobs hiring in marshall arkansas')",jobs hiring in marshall ar,jobs hiring in marshall arkansas,2,2,google,2025-11-01 16:14:03.197896,jobs in marshall arkansas,jobs hiring in marshall arkansas
16,jobs in marshall arkansas,"('jobs hiring in marshall ar', 'jobs hiring in marshall missouri')",jobs hiring in marshall ar,jobs hiring in marshall missouri,3,2,google,2025-11-01 16:14:03.197896,jobs in marshall arkansas,jobs hiring in marshall arkansas
17,jobs in marshall arkansas,"('jobs hiring in marshall ar', 'jobs hiring in marshall')",jobs hiring in marshall ar,jobs hiring in marshall,4,2,google,2025-11-01 16:14:03.197896,jobs in marshall arkansas,jobs hiring in marshall arkansas
18,jobs in marshall arkansas,"('jobs near marshall ar', 'jobs hiring near marshall ar')",jobs near marshall ar,jobs hiring near marshall ar,1,2,google,2025-11-01 16:14:04.092187,jobs in marshall arkansas,jobs in marshall ar
19,jobs in marshall arkansas,"('jobs near marshall ar', 'jobs near marshall arkansas')",jobs near marshall ar,jobs near marshall arkansas,2,2,google,2025-11-01 16:14:04.092187,jobs in marshall arkansas,jobs in marshall ar
20,jobs in marshall arkansas,"('jobs near marshall ar', 'jobs near marshall mo')",jobs near marshall ar,jobs near marshall mo,3,2,google,2025-11-01 16:14:04.092187,jobs in marshall arkansas,jobs in marshall ar
21,jobs in marshall arkansas,"('jobs near marshall ar', 'jobs near marshall mi')",jobs near marshall ar,jobs near marshall mi,4,2,google,2025-11-01 16:14:04.092187,jobs in marshall arkansas,jobs in marshall ar
22,jobs in marshall arkansas,"('jobs near marshall ar', 'jobs near marshall il')",jobs near marshall ar,jobs near marshall il,5,2,google,2025-11-01 16:14:04.092187,jobs in marshall arkansas,jobs in marshall ar
23,jobs in marshall arkansas,"('jobs around marshall mn', 'jobs near marshall mn')",jobs around marshall mn,jobs near marshall mn,1,2,google,2025-11-01 16:14:05.257756,jobs in marshall arkansas,jobs in marshall ar
24,jobs in marshall arkansas,"('jobs around marshall mn', 'jobs near me marshall mn')",jobs around marshall mn,jobs near me marshall mn,2,2,google,2025-11-01 16:14:05.257756,jobs in marshall arkansas,jobs in marshall ar
25,jobs in marshall arkansas,"('jobs around marshall mn', 'jobs hiring near marshall mn')",jobs around marshall mn,jobs hiring near marshall mn,3,2,google,2025-11-01 16:14:05.257756,jobs in marshall arkansas,jobs in marshall ar
26,jobs in marshall arkansas,"('jobs around marshall mn', 'indeed jobs near marshall mn')",jobs around marshall mn,indeed jobs near marshall mn,4,2,google,2025-11-01 16:14:05.257756,jobs in marshall arkansas,jobs in marshall ar
27,jobs in marshall arkansas,"('jobs around marshall mn', 'construction jobs near marshall mn')",jobs around marshall mn,construction jobs near marshall mn,5,2,google,2025-11-01 16:14:05.257756,jobs in marshall arkansas,jobs in marshall ar
28,jobs in marshall arkansas,"('jobs around marshall mn', 'rn jobs near marshall mn')",jobs around marshall mn,rn jobs near marshall mn,6,2,google,2025-11-01 16:14:05.257756,jobs in marshall arkansas,jobs in marshall ar
29,jobs in marshall arkansas,"('jobs around marshall mn', 'engineering jobs near marshall mn')",jobs around marshall mn,engineering jobs near marshall mn,7,2,google,2025-11-01 16:14:05.257756,jobs in marshall arkansas,jobs in marshall ar
30,jobs in marshall arkansas,"('jobs around marshall mn', 'receptionist jobs near marshall mn')",jobs around marshall mn,receptionist jobs near marshall mn,8,2,google,2025-11-01 16:14:05.257756,jobs in marshall arkansas,jobs in marshall ar
31,jobs in marshall arkansas,"('jobs around marshall mn', 'jobs in marshall mn part-time')",jobs around marshall mn,jobs in marshall mn part-time,9,2,google,2025-11-01 16:14:05.257756,jobs in marshall arkansas,jobs in marshall ar
32,jobs in marshall arkansas,"('jobs around marshall texas', 'jobs in marshall tx hiring')",jobs around marshall texas,jobs in marshall tx hiring,1,2,google,2025-11-01 16:14:06.638224,jobs in marshall arkansas,jobs in marshall ar
33,jobs in marshall arkansas,"('jobs around marshall texas', 'jobs marshall tx')",jobs around marshall texas,jobs marshall tx,2,2,google,2025-11-01 16:14:06.638224,jobs in marshall arkansas,jobs in marshall ar
34,jobs in marshall arkansas,"('jobs in marshall', 'jobs in marshall va')",jobs in marshall,jobs in marshall va,1,2,google,2025-11-01 16:14:07.911363,jobs in marshall arkansas,jobs in marshall ar
35,jobs in marshall arkansas,"('jobs in marshall', 'jobs in marshall tx')",jobs in marshall,jobs in marshall tx,2,2,google,2025-11-01 16:14:07.911363,jobs in marshall arkansas,jobs in marshall ar
36,jobs in marshall arkansas,"('jobs in marshall', 'jobs in marshalltown iowa')",jobs in marshall,jobs in marshalltown iowa,3,2,google,2025-11-01 16:14:07.911363,jobs in marshall arkansas,jobs in marshall ar
37,jobs in marshall arkansas,"('jobs in marshall', 'jobs in marshall mn')",jobs in marshall,jobs in marshall mn,4,2,google,2025-11-01 16:14:07.911363,jobs in marshall arkansas,jobs in marshall ar
38,jobs in marshall arkansas,"('jobs in marshall', 'jobs in marshall mo')",jobs in marshall,jobs in marshall mo,5,2,google,2025-11-01 16:14:07.911363,jobs in marshall arkansas,jobs in marshall ar
39,jobs in marshall arkansas,"('jobs in marshall', 'jobs in marshall islands')",jobs in marshall,jobs in marshall islands,6,2,google,2025-11-01 16:14:07.911363,jobs in marshall arkansas,jobs in marshall ar
40,jobs in marshall arkansas,"('jobs in marshall', 'jobs in marshall michigan')",jobs in marshall,jobs in marshall michigan,7,2,google,2025-11-01 16:14:07.911363,jobs in marshall arkansas,jobs in marshall ar
41,jobs in marshall arkansas,"('jobs in marshall', 'jobs in marshall arkansas')",jobs in marshall,jobs in marshall arkansas,8,2,google,2025-11-01 16:14:07.911363,jobs in marshall arkansas,jobs in marshall ar
42,jobs in marshall arkansas,"('jobs in marshall', 'jobs in marshalls near me')",jobs in marshall,jobs in marshalls near me,9,2,google,2025-11-01 16:14:07.911363,jobs in marshall arkansas,jobs in marshall ar
43,jobs in marshall arkansas,"('jobs in marshall county', 'jobs in marshall county alabama')",jobs in marshall county,jobs in marshall county alabama,1,2,google,2025-11-01 16:14:08.663820,jobs in marshall arkansas,jobs in marshall ar
44,jobs in marshall arkansas,"('jobs in marshall county', 'jobs in marshall county ms')",jobs in marshall county,jobs in marshall county ms,2,2,google,2025-11-01 16:14:08.663820,jobs in marshall arkansas,jobs in marshall ar
45,jobs in marshall arkansas,"('jobs in marshall county', 'jobs in marshall county wv')",jobs in marshall county,jobs in marshall county wv,3,2,google,2025-11-01 16:14:08.663820,jobs in marshall arkansas,jobs in marshall ar
46,jobs in marshall arkansas,"('jobs in marshall county', 'jobs in marshall county iowa')",jobs in marshall county,jobs in marshall county iowa,4,2,google,2025-11-01 16:14:08.663820,jobs in marshall arkansas,jobs in marshall ar
47,jobs in marshall arkansas,"('jobs in marshall county', 'jobs in marshall county ky')",jobs in marshall county,jobs in marshall county ky,5,2,google,2025-11-01 16:14:08.663820,jobs in marshall arkansas,jobs in marshall ar
48,jobs in marshall arkansas,"('jobs in marshall county', 'jobs in marshall county ks')",jobs in marshall county,jobs in marshall county ks,6,2,google,2025-11-01 16:14:08.663820,jobs in marshall arkansas,jobs in marshall ar
49,jobs in marshall arkansas,"('jobs in marshall county', 'jobs in marshall county tn')",jobs in marshall county,jobs in marshall county tn,7,2,google,2025-11-01 16:14:08.663820,jobs in marshall arkansas,jobs in marshall ar
50,jobs in marshall arkansas,"('jobs in marshall county', 'jobs in marshall county indiana')",jobs in marshall county,jobs in marshall county indiana,8,2,google,2025-11-01 16:14:08.663820,jobs in marshall arkansas,jobs in marshall ar
51,jobs in marshall arkansas,"('jobs in marshall county', 'jobs in marshall county oklahoma')",jobs in marshall county,jobs in marshall county oklahoma,9,2,google,2025-11-01 16:14:08.663820,jobs in marshall arkansas,jobs in marshall ar
52,jobs in marshall arkansas,"('jobs in marshall missouri', 'jobs hiring in marshall missouri')",jobs in marshall missouri,jobs hiring in marshall missouri,1,2,google,2025-11-01 16:14:10.029907,jobs in marshall arkansas,jobs in marshall ar
53,jobs in marshall arkansas,"('jobs in marshall missouri', 'job openings in marshall missouri')",jobs in marshall missouri,job openings in marshall missouri,2,2,google,2025-11-01 16:14:10.029907,jobs in marshall arkansas,jobs in marshall ar
54,jobs in marshall arkansas,"('jobs in marshall missouri', 'full time jobs in marshall missouri')",jobs in marshall missouri,full time jobs in marshall missouri,3,2,google,2025-11-01 16:14:10.029907,jobs in marshall arkansas,jobs in marshall ar
