,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in mathews alabama,"('jobs in mathews alabama', 'jobs in mathews alabama area')",jobs in mathews alabama,jobs in mathews alabama area,1,0,google,2025-10-28 23:20:12.185940,,
1,jobs in mathews alabama,"('jobs in mathews alabama', 'jobs in mathews alabama hiring')",jobs in mathews alabama,jobs in mathews alabama hiring,2,0,google,2025-10-28 23:20:12.185940,,
2,jobs in mathews alabama,"('jobs in mathews alabama', 'jobs in mathews alabama hiring now')",jobs in mathews alabama,jobs in mathews alabama hiring now,3,0,google,2025-10-28 23:20:12.185940,,
3,jobs in mathews alabama,"('jobs in mathews alabama', 'jobs in mathews alabama for 16 year olds')",jobs in mathews alabama,jobs in mathews alabama for 16 year olds,4,0,google,2025-10-28 23:20:12.185940,,
4,jobs in mathews alabama,"('jobs in mathews alabama', 'jobs in mathews alabama for teens')",jobs in mathews alabama,jobs in mathews alabama for teens,5,0,google,2025-10-28 23:20:12.185940,,
5,jobs in mathews alabama,"('jobs in mathews alabama', 'jobs in mathews alabama homes for sale')",jobs in mathews alabama,jobs in mathews alabama homes for sale,6,0,google,2025-10-28 23:20:12.185940,,
6,jobs in mathews alabama,"('jobs in mathews alabama', 'jobs in mathews alabama restaurants')",jobs in mathews alabama,jobs in mathews alabama restaurants,7,0,google,2025-10-28 23:20:12.185940,,
7,jobs in mathews alabama,"('jobs in mathews alabama area', 'jobs in mathews alabama area hiring')",jobs in mathews alabama area,jobs in mathews alabama area hiring,1,1,google,2025-10-28 23:20:13.108113,,jobs in mathews alabama
8,jobs in mathews alabama,"('jobs in mathews alabama area', 'jobs in mathews alabama area area')",jobs in mathews alabama area,jobs in mathews alabama area area,2,1,google,2025-10-28 23:20:13.108113,,jobs in mathews alabama
9,jobs in mathews alabama,"('jobs in mathews alabama area', 'jobs in mathews alabama area hiring now')",jobs in mathews alabama area,jobs in mathews alabama area hiring now,3,1,google,2025-10-28 23:20:13.108113,,jobs in mathews alabama
