,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in maumelle arkansas,"('jobs in maumelle arkansas', 'jobs hiring in maumelle arkansas')",jobs in maumelle arkansas,jobs hiring in maumelle arkansas,1,0,google,2025-10-31 16:21:40.325836,,
1,jobs in maumelle arkansas,"('jobs in maumelle arkansas', 'jobs open in maumelle arkansas')",jobs in maumelle arkansas,jobs open in maumelle arkansas,2,0,google,2025-10-31 16:21:40.325836,,
2,jobs in maumelle arkansas,"('jobs in maumelle arkansas', 'warehouse jobs in maumelle arkansas')",jobs in maumelle arkansas,warehouse jobs in maumelle arkansas,3,0,google,2025-10-31 16:21:40.325836,,
3,jobs in maumelle arkansas,"('jobs in maumelle arkansas', 'manufacturing jobs in maumelle arkansas')",jobs in maumelle arkansas,manufacturing jobs in maumelle arkansas,4,0,google,2025-10-31 16:21:40.325836,,
4,jobs in maumelle arkansas,"('jobs in maumelle arkansas', 'part time jobs in maumelle arkansas')",jobs in maumelle arkansas,part time jobs in maumelle arkansas,5,0,google,2025-10-31 16:21:40.325836,,
5,jobs in maumelle arkansas,"('jobs in maumelle arkansas', 'jobs in maumelle ar in the last 3 days')",jobs in maumelle arkansas,jobs in maumelle ar in the last 3 days,6,0,google,2025-10-31 16:21:40.325836,,
6,jobs in maumelle arkansas,"('jobs in maumelle arkansas', 'full and part time jobs in maumelle arkansas')",jobs in maumelle arkansas,full and part time jobs in maumelle arkansas,7,0,google,2025-10-31 16:21:40.325836,,
7,jobs in maumelle arkansas,"('jobs in maumelle arkansas', 'what kind of jobs are in arkansas')",jobs in maumelle arkansas,what kind of jobs are in arkansas,8,0,google,2025-10-31 16:21:40.325836,,
8,jobs in maumelle arkansas,"('jobs in maumelle arkansas', 'what jobs are in arkansas')",jobs in maumelle arkansas,what jobs are in arkansas,9,0,google,2025-10-31 16:21:40.325836,,
9,jobs in maumelle arkansas,"('jobs hiring in maumelle arkansas', 'job openings in maumelle ar')",jobs hiring in maumelle arkansas,job openings in maumelle ar,1,1,google,2025-10-31 16:21:41.259714,,jobs in maumelle arkansas
10,jobs in maumelle arkansas,"('jobs hiring in maumelle arkansas', 'jobs hiring immediately maumelle ar')",jobs hiring in maumelle arkansas,jobs hiring immediately maumelle ar,2,1,google,2025-10-31 16:21:41.259714,,jobs in maumelle arkansas
11,jobs in maumelle arkansas,"('jobs hiring in maumelle arkansas', 'jobs hiring in maumelle ar')",jobs hiring in maumelle arkansas,jobs hiring in maumelle ar,3,1,google,2025-10-31 16:21:41.259714,,jobs in maumelle arkansas
12,jobs in maumelle arkansas,"('jobs hiring in maumelle arkansas', 'jobs hiring in maumelle')",jobs hiring in maumelle arkansas,jobs hiring in maumelle,4,1,google,2025-10-31 16:21:41.259714,,jobs in maumelle arkansas
13,jobs in maumelle arkansas,"('jobs hiring in maumelle arkansas', 'jobs maumelle arkansas')",jobs hiring in maumelle arkansas,jobs maumelle arkansas,5,1,google,2025-10-31 16:21:41.259714,,jobs in maumelle arkansas
14,jobs in maumelle arkansas,"('jobs open in maumelle arkansas', 'jobs hiring in maumelle arkansas')",jobs open in maumelle arkansas,jobs hiring in maumelle arkansas,1,1,google,2025-10-31 16:21:42.243783,,jobs in maumelle arkansas
15,jobs in maumelle arkansas,"('jobs open in maumelle arkansas', 'job openings in maumelle ar')",jobs open in maumelle arkansas,job openings in maumelle ar,2,1,google,2025-10-31 16:21:42.243783,,jobs in maumelle arkansas
16,jobs in maumelle arkansas,"('jobs open in maumelle arkansas', 'jobs maumelle arkansas')",jobs open in maumelle arkansas,jobs maumelle arkansas,3,1,google,2025-10-31 16:21:42.243783,,jobs in maumelle arkansas
17,jobs in maumelle arkansas,"('jobs open in maumelle arkansas', 'jobs maumelle ar')",jobs open in maumelle arkansas,jobs maumelle ar,4,1,google,2025-10-31 16:21:42.243783,,jobs in maumelle arkansas
18,jobs in maumelle arkansas,"('jobs open in maumelle arkansas', 'jobs in maumelle')",jobs open in maumelle arkansas,jobs in maumelle,5,1,google,2025-10-31 16:21:42.243783,,jobs in maumelle arkansas
19,jobs in maumelle arkansas,"('warehouse jobs in maumelle arkansas', 'warehouse jobs near maumelle ar')",warehouse jobs in maumelle arkansas,warehouse jobs near maumelle ar,1,1,google,2025-10-31 16:21:43.313722,,jobs in maumelle arkansas
20,jobs in maumelle arkansas,"('warehouse jobs in maumelle arkansas', 'warehouse in maumelle')",warehouse jobs in maumelle arkansas,warehouse in maumelle,2,1,google,2025-10-31 16:21:43.313722,,jobs in maumelle arkansas
21,jobs in maumelle arkansas,"('warehouse jobs in maumelle arkansas', 'warehouses in maumelle ar')",warehouse jobs in maumelle arkansas,warehouses in maumelle ar,3,1,google,2025-10-31 16:21:43.313722,,jobs in maumelle arkansas
22,jobs in maumelle arkansas,"('warehouse jobs in maumelle arkansas', 'maumelle warehouse jobs')",warehouse jobs in maumelle arkansas,maumelle warehouse jobs,4,1,google,2025-10-31 16:21:43.313722,,jobs in maumelle arkansas
23,jobs in maumelle arkansas,"('manufacturing jobs in maumelle arkansas', 'manufacturing jobs in arkansas')",manufacturing jobs in maumelle arkansas,manufacturing jobs in arkansas,1,1,google,2025-10-31 16:21:44.387281,,jobs in maumelle arkansas
24,jobs in maumelle arkansas,"('manufacturing jobs in maumelle arkansas', 'maumelle arkansas jobs')",manufacturing jobs in maumelle arkansas,maumelle arkansas jobs,2,1,google,2025-10-31 16:21:44.387281,,jobs in maumelle arkansas
25,jobs in maumelle arkansas,"('manufacturing jobs in maumelle arkansas', 'manufacturing jobs fayetteville ar')",manufacturing jobs in maumelle arkansas,manufacturing jobs fayetteville ar,3,1,google,2025-10-31 16:21:44.387281,,jobs in maumelle arkansas
26,jobs in maumelle arkansas,"('manufacturing jobs in maumelle arkansas', 'maumelle jobs')",manufacturing jobs in maumelle arkansas,maumelle jobs,4,1,google,2025-10-31 16:21:44.387281,,jobs in maumelle arkansas
