,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in mcgehee arkansas,"('jobs in mcgehee arkansas', 'jobs hiring in mcgehee arkansas')",jobs in mcgehee arkansas,jobs hiring in mcgehee arkansas,1,0,google,2025-10-31 16:25:48.638539,,
1,jobs in mcgehee arkansas,"('jobs in mcgehee arkansas', 'walmart in mcgehee arkansas jobs')",jobs in mcgehee arkansas,walmart in mcgehee arkansas jobs,2,0,google,2025-10-31 16:25:48.638539,,
2,jobs in mcgehee arkansas,"('jobs in mcgehee arkansas', 'common jobs in arkansas')",jobs in mcgehee arkansas,common jobs in arkansas,3,0,google,2025-10-31 16:25:48.638539,,
3,jobs in mcgehee arkansas,"('jobs in mcgehee arkansas', 'what kind of jobs are in arkansas')",jobs in mcgehee arkansas,what kind of jobs are in arkansas,4,0,google,2025-10-31 16:25:48.638539,,
4,jobs in mcgehee arkansas,"('jobs in mcgehee arkansas', 'jobs in mcgehee ar')",jobs in mcgehee arkansas,jobs in mcgehee ar,5,0,google,2025-10-31 16:25:48.638539,,
5,jobs in mcgehee arkansas,"('jobs in mcgehee arkansas', 'jobs in mcgehee')",jobs in mcgehee arkansas,jobs in mcgehee,6,0,google,2025-10-31 16:25:48.638539,,
6,jobs in mcgehee arkansas,"('jobs hiring in mcgehee arkansas', 'jobs near mcgehee arkansas')",jobs hiring in mcgehee arkansas,jobs near mcgehee arkansas,1,1,google,2025-10-31 16:25:49.859881,,jobs in mcgehee arkansas
7,jobs in mcgehee arkansas,"('jobs hiring in mcgehee arkansas', 'jobs hiring near mcgehee ar')",jobs hiring in mcgehee arkansas,jobs hiring near mcgehee ar,2,1,google,2025-10-31 16:25:49.859881,,jobs in mcgehee arkansas
8,jobs in mcgehee arkansas,"('jobs hiring in mcgehee arkansas', 'jobs in mcgehee')",jobs hiring in mcgehee arkansas,jobs in mcgehee,3,1,google,2025-10-31 16:25:49.859881,,jobs in mcgehee arkansas
9,jobs in mcgehee arkansas,"('jobs hiring in mcgehee arkansas', 'jobs mcgehee ar')",jobs hiring in mcgehee arkansas,jobs mcgehee ar,4,1,google,2025-10-31 16:25:49.859881,,jobs in mcgehee arkansas
10,jobs in mcgehee arkansas,"('walmart in mcgehee arkansas jobs', 'walmart jobs in arkansas')",walmart in mcgehee arkansas jobs,walmart jobs in arkansas,1,1,google,2025-10-31 16:25:51.107234,,jobs in mcgehee arkansas
11,jobs in mcgehee arkansas,"('walmart in mcgehee arkansas jobs', 'how much does walmart pay in arkansas')",walmart in mcgehee arkansas jobs,how much does walmart pay in arkansas,2,1,google,2025-10-31 16:25:51.107234,,jobs in mcgehee arkansas
12,jobs in mcgehee arkansas,"('walmart in mcgehee arkansas jobs', 'walmart jobs mcgehee ar')",walmart in mcgehee arkansas jobs,walmart jobs mcgehee ar,3,1,google,2025-10-31 16:25:51.107234,,jobs in mcgehee arkansas
13,jobs in mcgehee arkansas,"('walmart in mcgehee arkansas jobs', 'walmart in mcgehee arkansas phone number')",walmart in mcgehee arkansas jobs,walmart in mcgehee arkansas phone number,4,1,google,2025-10-31 16:25:51.107234,,jobs in mcgehee arkansas
14,jobs in mcgehee arkansas,"('walmart in mcgehee arkansas jobs', 'walmart in mcgehee arkansas')",walmart in mcgehee arkansas jobs,walmart in mcgehee arkansas,5,1,google,2025-10-31 16:25:51.107234,,jobs in mcgehee arkansas
