,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in mcrae arkansas,"('jobs in mcrae arkansas', 'jobs in beebe arkansas')",jobs in mcrae arkansas,jobs in beebe arkansas,1,0,google,2025-10-31 16:27:31.400159,,
1,jobs in mcrae arkansas,"('jobs in mcrae arkansas', 'jobs in mcrae ar')",jobs in mcrae arkansas,jobs in mcrae ar,2,0,google,2025-10-31 16:27:31.400159,,
2,jobs in mcrae arkansas,"('jobs in mcrae arkansas', 'jobs hiring in beebe arkansas')",jobs in mcrae arkansas,jobs hiring in beebe arkansas,3,0,google,2025-10-31 16:27:31.400159,,
3,jobs in mcrae arkansas,"('jobs in mcrae arkansas', 'what kind of jobs are in arkansas')",jobs in mcrae arkansas,what kind of jobs are in arkansas,4,0,google,2025-10-31 16:27:31.400159,,
4,jobs in mcrae arkansas,"('jobs in mcrae arkansas', 'common jobs in arkansas')",jobs in mcrae arkansas,common jobs in arkansas,5,0,google,2025-10-31 16:27:31.400159,,
5,jobs in mcrae arkansas,"('jobs in mcrae arkansas', 'jobs in mcrae')",jobs in mcrae arkansas,jobs in mcrae,6,0,google,2025-10-31 16:27:31.400159,,
6,jobs in mcrae arkansas,"('jobs in mcrae arkansas', 'jobs in mcrae ga')",jobs in mcrae arkansas,jobs in mcrae ga,7,0,google,2025-10-31 16:27:31.400159,,
7,jobs in mcrae arkansas,"('jobs in mcrae arkansas', 'jobs in mccrory arkansas')",jobs in mcrae arkansas,jobs in mccrory arkansas,8,0,google,2025-10-31 16:27:31.400159,,
8,jobs in mcrae arkansas,"('jobs in beebe arkansas', 'jobs hiring in beebe arkansas')",jobs in beebe arkansas,jobs hiring in beebe arkansas,1,1,google,2025-10-31 16:27:32.476837,,jobs in mcrae arkansas
9,jobs in mcrae arkansas,"('jobs in beebe arkansas', 'part time jobs in beebe arkansas')",jobs in beebe arkansas,part time jobs in beebe arkansas,2,1,google,2025-10-31 16:27:32.476837,,jobs in mcrae arkansas
10,jobs in mcrae arkansas,"('jobs in beebe arkansas', 'jobs in beebe ar')",jobs in beebe arkansas,jobs in beebe ar,3,1,google,2025-10-31 16:27:32.476837,,jobs in mcrae arkansas
11,jobs in mcrae arkansas,"('jobs in beebe arkansas', 'jobs in beebe')",jobs in beebe arkansas,jobs in beebe,4,1,google,2025-10-31 16:27:32.476837,,jobs in mcrae arkansas
12,jobs in mcrae arkansas,"('jobs in beebe arkansas', 'arkansas state university beebe jobs')",jobs in beebe arkansas,arkansas state university beebe jobs,5,1,google,2025-10-31 16:27:32.476837,,jobs in mcrae arkansas
13,jobs in mcrae arkansas,"('jobs in mcrae ar', 'jobs in beebe ar')",jobs in mcrae ar,jobs in beebe ar,1,1,google,2025-10-31 16:27:33.917206,,jobs in mcrae arkansas
