,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in mena arkansas,"('jobs in mena arkansas', 'employment in mena arkansas')",jobs in mena arkansas,employment in mena arkansas,1,0,google,2025-10-31 16:31:21.231879,,
1,jobs in mena arkansas,"('jobs in mena arkansas', 'hiring in mena arkansas')",jobs in mena arkansas,hiring in mena arkansas,2,0,google,2025-10-31 16:31:21.231879,,
2,jobs in mena arkansas,"('jobs in mena arkansas', 'work in mena arkansas')",jobs in mena arkansas,work in mena arkansas,3,0,google,2025-10-31 16:31:21.231879,,
3,jobs in mena arkansas,"('jobs in mena arkansas', 'jobs in mena ar no experience needed')",jobs in mena arkansas,jobs in mena ar no experience needed,4,0,google,2025-10-31 16:31:21.231879,,
4,jobs in mena arkansas,"('jobs in mena arkansas', 'jobs hiring in mena arkansas')",jobs in mena arkansas,jobs hiring in mena arkansas,5,0,google,2025-10-31 16:31:21.231879,,
5,jobs in mena arkansas,"('jobs in mena arkansas', 'jobs available in mena arkansas')",jobs in mena arkansas,jobs available in mena arkansas,6,0,google,2025-10-31 16:31:21.231879,,
6,jobs in mena arkansas,"('jobs in mena arkansas', 'rn jobs in mena arkansas')",jobs in mena arkansas,rn jobs in mena arkansas,7,0,google,2025-10-31 16:31:21.231879,,
7,jobs in mena arkansas,"('jobs in mena arkansas', 'welding jobs in mena arkansas')",jobs in mena arkansas,welding jobs in mena arkansas,8,0,google,2025-10-31 16:31:21.231879,,
8,jobs in mena arkansas,"('jobs in mena arkansas', 'part time jobs in mena arkansas')",jobs in mena arkansas,part time jobs in mena arkansas,9,0,google,2025-10-31 16:31:21.231879,,
9,jobs in mena arkansas,"('employment in mena arkansas', 'jobs in mena arkansas')",employment in mena arkansas,jobs in mena arkansas,1,1,google,2025-10-31 16:31:22.116714,,jobs in mena arkansas
10,jobs in mena arkansas,"('employment in mena arkansas', 'hiring in mena arkansas')",employment in mena arkansas,hiring in mena arkansas,2,1,google,2025-10-31 16:31:22.116714,,jobs in mena arkansas
11,jobs in mena arkansas,"('employment in mena arkansas', 'work in mena arkansas')",employment in mena arkansas,work in mena arkansas,3,1,google,2025-10-31 16:31:22.116714,,jobs in mena arkansas
12,jobs in mena arkansas,"('employment in mena arkansas', 'employment office mena arkansas')",employment in mena arkansas,employment office mena arkansas,4,1,google,2025-10-31 16:31:22.116714,,jobs in mena arkansas
13,jobs in mena arkansas,"('employment in mena arkansas', 'jobs hiring in mena arkansas')",employment in mena arkansas,jobs hiring in mena arkansas,5,1,google,2025-10-31 16:31:22.116714,,jobs in mena arkansas
14,jobs in mena arkansas,"('employment in mena arkansas', 'places hiring in mena arkansas')",employment in mena arkansas,places hiring in mena arkansas,6,1,google,2025-10-31 16:31:22.116714,,jobs in mena arkansas
15,jobs in mena arkansas,"('employment in mena arkansas', 'jobs available in mena arkansas')",employment in mena arkansas,jobs available in mena arkansas,7,1,google,2025-10-31 16:31:22.116714,,jobs in mena arkansas
16,jobs in mena arkansas,"('employment in mena arkansas', 'rn jobs in mena arkansas')",employment in mena arkansas,rn jobs in mena arkansas,8,1,google,2025-10-31 16:31:22.116714,,jobs in mena arkansas
17,jobs in mena arkansas,"('employment in mena arkansas', 'welding jobs in mena arkansas')",employment in mena arkansas,welding jobs in mena arkansas,9,1,google,2025-10-31 16:31:22.116714,,jobs in mena arkansas
18,jobs in mena arkansas,"('hiring in mena arkansas', 'jobs in mena arkansas')",hiring in mena arkansas,jobs in mena arkansas,1,1,google,2025-10-31 16:31:23.373775,,jobs in mena arkansas
19,jobs in mena arkansas,"('hiring in mena arkansas', 'employment in mena arkansas')",hiring in mena arkansas,employment in mena arkansas,2,1,google,2025-10-31 16:31:23.373775,,jobs in mena arkansas
20,jobs in mena arkansas,"('hiring in mena arkansas', 'jobs hiring in mena arkansas')",hiring in mena arkansas,jobs hiring in mena arkansas,3,1,google,2025-10-31 16:31:23.373775,,jobs in mena arkansas
21,jobs in mena arkansas,"('hiring in mena arkansas', 'places hiring in mena arkansas')",hiring in mena arkansas,places hiring in mena arkansas,4,1,google,2025-10-31 16:31:23.373775,,jobs in mena arkansas
22,jobs in mena arkansas,"('hiring in mena arkansas', 'jobs available in mena arkansas')",hiring in mena arkansas,jobs available in mena arkansas,5,1,google,2025-10-31 16:31:23.373775,,jobs in mena arkansas
23,jobs in mena arkansas,"('hiring in mena arkansas', 'rn jobs in mena arkansas')",hiring in mena arkansas,rn jobs in mena arkansas,6,1,google,2025-10-31 16:31:23.373775,,jobs in mena arkansas
24,jobs in mena arkansas,"('hiring in mena arkansas', 'welding jobs in mena arkansas')",hiring in mena arkansas,welding jobs in mena arkansas,7,1,google,2025-10-31 16:31:23.373775,,jobs in mena arkansas
25,jobs in mena arkansas,"('hiring in mena arkansas', 'job in mena ar')",hiring in mena arkansas,job in mena ar,8,1,google,2025-10-31 16:31:23.373775,,jobs in mena arkansas
26,jobs in mena arkansas,"('work in mena arkansas', 'jobs in mena arkansas')",work in mena arkansas,jobs in mena arkansas,1,1,google,2025-10-31 16:31:24.387466,,jobs in mena arkansas
27,jobs in mena arkansas,"('work in mena arkansas', 'employment in mena arkansas')",work in mena arkansas,employment in mena arkansas,2,1,google,2025-10-31 16:31:24.387466,,jobs in mena arkansas
