,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in millport alabama,"('jobs in millport alabama', 'jobs in millport al')",jobs in millport alabama,jobs in millport al,1,0,google,2025-10-28 23:25:05.045544,,
1,jobs in millport alabama,"('jobs in millport al', 'jobs in broxburn')",jobs in millport al,jobs in broxburn,1,1,google,2025-10-28 23:25:06.484121,,jobs in millport alabama
2,jobs in millport alabama,"('jobs in millport al', 'jobs worms')",jobs in millport al,jobs worms,2,1,google,2025-10-28 23:25:06.484121,,jobs in millport alabama
3,jobs in millport alabama,"('jobs in millport al', 'jobs in millport alabama')",jobs in millport al,jobs in millport alabama,3,1,google,2025-10-28 23:25:06.484121,,jobs in millport alabama
4,jobs in millport alabama,"('jobs in broxburn', 'jobs in broxburn west lothian')",jobs in broxburn,jobs in broxburn west lothian,1,2,google,2025-10-28 23:25:07.816472,jobs in millport alabama,jobs in millport al
5,jobs in millport alabama,"('jobs in broxburn', 'jobs in broxburn part time')",jobs in broxburn,jobs in broxburn part time,2,2,google,2025-10-28 23:25:07.816472,jobs in millport alabama,jobs in millport al
6,jobs in millport alabama,"('jobs in broxburn', 'office jobs in broxburn')",jobs in broxburn,office jobs in broxburn,3,2,google,2025-10-28 23:25:07.816472,jobs in millport alabama,jobs in millport al
7,jobs in millport alabama,"('jobs in broxburn', 'office jobs in broxburn motor trade')",jobs in broxburn,office jobs in broxburn motor trade,4,2,google,2025-10-28 23:25:07.816472,jobs in millport alabama,jobs in millport al
8,jobs in millport alabama,"('jobs in broxburn', 'jobs in broxton ga')",jobs in broxburn,jobs in broxton ga,5,2,google,2025-10-28 23:25:07.816472,jobs in millport alabama,jobs in millport al
9,jobs in millport alabama,"('jobs in broxburn', 'jobs in brock tx')",jobs in broxburn,jobs in brock tx,6,2,google,2025-10-28 23:25:07.816472,jobs in millport alabama,jobs in millport al
10,jobs in millport alabama,"('jobs in broxburn', 'jobs in brocton ny')",jobs in broxburn,jobs in brocton ny,7,2,google,2025-10-28 23:25:07.816472,jobs in millport alabama,jobs in millport al
