,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in monticello arkansas,"('jobs in monticello arkansas', 'hiring in monticello arkansas')",jobs in monticello arkansas,hiring in monticello arkansas,1,0,google,2025-11-01 16:28:38.109287,,
1,jobs in monticello arkansas,"('jobs in monticello arkansas', 'work in monticello arkansas')",jobs in monticello arkansas,work in monticello arkansas,2,0,google,2025-11-01 16:28:38.109287,,
2,jobs in monticello arkansas,"('jobs in monticello arkansas', 'jobs in monticello ar no degree')",jobs in monticello arkansas,jobs in monticello ar no degree,3,0,google,2025-11-01 16:28:38.109287,,
3,jobs in monticello arkansas,"('jobs in monticello arkansas', 'jobs in monticello ar no experience')",jobs in monticello arkansas,jobs in monticello ar no experience,4,0,google,2025-11-01 16:28:38.109287,,
4,jobs in monticello arkansas,"('jobs in monticello arkansas', 'jobs hiring in monticello arkansas')",jobs in monticello arkansas,jobs hiring in monticello arkansas,5,0,google,2025-11-01 16:28:38.109287,,
5,jobs in monticello arkansas,"('jobs in monticello arkansas', 'welding jobs in monticello arkansas')",jobs in monticello arkansas,welding jobs in monticello arkansas,6,0,google,2025-11-01 16:28:38.109287,,
6,jobs in monticello arkansas,"('jobs in monticello arkansas', 'job openings in monticello arkansas')",jobs in monticello arkansas,job openings in monticello arkansas,7,0,google,2025-11-01 16:28:38.109287,,
7,jobs in monticello arkansas,"('jobs in monticello arkansas', 'part time jobs in monticello arkansas')",jobs in monticello arkansas,part time jobs in monticello arkansas,8,0,google,2025-11-01 16:28:38.109287,,
8,jobs in monticello arkansas,"('jobs in monticello arkansas', 'jobs now hiring in monticello arkansas')",jobs in monticello arkansas,jobs now hiring in monticello arkansas,9,0,google,2025-11-01 16:28:38.109287,,
9,jobs in monticello arkansas,"('hiring in monticello arkansas', 'jobs in monticello arkansas')",hiring in monticello arkansas,jobs in monticello arkansas,1,1,google,2025-11-01 16:28:39.345409,,jobs in monticello arkansas
10,jobs in monticello arkansas,"('hiring in monticello arkansas', 'jobs hiring in monticello arkansas')",hiring in monticello arkansas,jobs hiring in monticello arkansas,2,1,google,2025-11-01 16:28:39.345409,,jobs in monticello arkansas
11,jobs in monticello arkansas,"('hiring in monticello arkansas', 'jobs now hiring in monticello arkansas')",hiring in monticello arkansas,jobs now hiring in monticello arkansas,3,1,google,2025-11-01 16:28:39.345409,,jobs in monticello arkansas
12,jobs in monticello arkansas,"('hiring in monticello arkansas', 'job openings in monticello arkansas')",hiring in monticello arkansas,job openings in monticello arkansas,4,1,google,2025-11-01 16:28:39.345409,,jobs in monticello arkansas
13,jobs in monticello arkansas,"('hiring in monticello arkansas', 'welding jobs in monticello arkansas')",hiring in monticello arkansas,welding jobs in monticello arkansas,5,1,google,2025-11-01 16:28:39.345409,,jobs in monticello arkansas
14,jobs in monticello arkansas,"('hiring in monticello arkansas', 'hiring monticello ar')",hiring in monticello arkansas,hiring monticello ar,6,1,google,2025-11-01 16:28:39.345409,,jobs in monticello arkansas
15,jobs in monticello arkansas,"('work in monticello arkansas', 'jobs in monticello arkansas')",work in monticello arkansas,jobs in monticello arkansas,1,1,google,2025-11-01 16:28:40.479753,,jobs in monticello arkansas
16,jobs in monticello arkansas,"('work in monticello arkansas', 'jobs in monticello arkansas hiring')",work in monticello arkansas,jobs in monticello arkansas hiring,2,1,google,2025-11-01 16:28:40.479753,,jobs in monticello arkansas
17,jobs in monticello arkansas,"('work in monticello arkansas', 'job openings in monticello arkansas')",work in monticello arkansas,job openings in monticello arkansas,3,1,google,2025-11-01 16:28:40.479753,,jobs in monticello arkansas
18,jobs in monticello arkansas,"('work in monticello arkansas', 'welding jobs in monticello arkansas')",work in monticello arkansas,welding jobs in monticello arkansas,4,1,google,2025-11-01 16:28:40.479753,,jobs in monticello arkansas
19,jobs in monticello arkansas,"('work in monticello arkansas', 'workforce in monticello ar')",work in monticello arkansas,workforce in monticello ar,5,1,google,2025-11-01 16:28:40.479753,,jobs in monticello arkansas
20,jobs in monticello arkansas,"('work in monticello arkansas', 'workforce in monticello arkansas')",work in monticello arkansas,workforce in monticello arkansas,6,1,google,2025-11-01 16:28:40.479753,,jobs in monticello arkansas
21,jobs in monticello arkansas,"('work in monticello arkansas', 'monticello arkansas workforce center')",work in monticello arkansas,monticello arkansas workforce center,7,1,google,2025-11-01 16:28:40.479753,,jobs in monticello arkansas
22,jobs in monticello arkansas,"('work in monticello arkansas', 'monticello ar workforce center')",work in monticello arkansas,monticello ar workforce center,8,1,google,2025-11-01 16:28:40.479753,,jobs in monticello arkansas
23,jobs in monticello arkansas,"('jobs in monticello ar no degree', 'jobs in monticello ar')",jobs in monticello ar no degree,jobs in monticello ar,1,1,google,2025-11-01 16:28:41.896736,,jobs in monticello arkansas
24,jobs in monticello arkansas,"('jobs in monticello ar no degree', 'jobs in monticello arkansas')",jobs in monticello ar no degree,jobs in monticello arkansas,2,1,google,2025-11-01 16:28:41.896736,,jobs in monticello arkansas
25,jobs in monticello arkansas,"('jobs in monticello ar no experience', 'jobs in monticello ar')",jobs in monticello ar no experience,jobs in monticello ar,1,1,google,2025-11-01 16:28:43.098409,,jobs in monticello arkansas
26,jobs in monticello arkansas,"('jobs in monticello ar no experience', 'jobs in monticello arkansas')",jobs in monticello ar no experience,jobs in monticello arkansas,2,1,google,2025-11-01 16:28:43.098409,,jobs in monticello arkansas
27,jobs in monticello arkansas,"('jobs in monticello ar no experience', 'jobs in monticello')",jobs in monticello ar no experience,jobs in monticello,3,1,google,2025-11-01 16:28:43.098409,,jobs in monticello arkansas
28,jobs in monticello arkansas,"('jobs hiring in monticello arkansas', 'jobs available in monticello arkansas')",jobs hiring in monticello arkansas,jobs available in monticello arkansas,1,1,google,2025-11-01 16:28:44.419459,,jobs in monticello arkansas
29,jobs in monticello arkansas,"('jobs hiring in monticello arkansas', 'job openings in monticello arkansas')",jobs hiring in monticello arkansas,job openings in monticello arkansas,2,1,google,2025-11-01 16:28:44.419459,,jobs in monticello arkansas
30,jobs in monticello arkansas,"('jobs hiring in monticello arkansas', 'jobs now hiring in monticello arkansas')",jobs hiring in monticello arkansas,jobs now hiring in monticello arkansas,3,1,google,2025-11-01 16:28:44.419459,,jobs in monticello arkansas
31,jobs in monticello arkansas,"('jobs hiring in monticello arkansas', 'jobs near monticello arkansas')",jobs hiring in monticello arkansas,jobs near monticello arkansas,4,1,google,2025-11-01 16:28:44.419459,,jobs in monticello arkansas
32,jobs in monticello arkansas,"('jobs hiring in monticello arkansas', 'jobs hiring monticello ar part time')",jobs hiring in monticello arkansas,jobs hiring monticello ar part time,5,1,google,2025-11-01 16:28:44.419459,,jobs in monticello arkansas
33,jobs in monticello arkansas,"('jobs hiring in monticello arkansas', 'jobs hiring near monticello ar')",jobs hiring in monticello arkansas,jobs hiring near monticello ar,6,1,google,2025-11-01 16:28:44.419459,,jobs in monticello arkansas
34,jobs in monticello arkansas,"('jobs hiring in monticello arkansas', 'jobs hiring immediately monticello ar')",jobs hiring in monticello arkansas,jobs hiring immediately monticello ar,7,1,google,2025-11-01 16:28:44.419459,,jobs in monticello arkansas
35,jobs in monticello arkansas,"('welding jobs in monticello arkansas', 'welding jobs near monticello ar')",welding jobs in monticello arkansas,welding jobs near monticello ar,1,1,google,2025-11-01 16:28:45.541123,,jobs in monticello arkansas
36,jobs in monticello arkansas,"('welding jobs in monticello arkansas', 'welding jobs in arkansas')",welding jobs in monticello arkansas,welding jobs in arkansas,2,1,google,2025-11-01 16:28:45.541123,,jobs in monticello arkansas
37,jobs in monticello arkansas,"('welding jobs in monticello arkansas', 'welding jobs in mountain home arkansas')",welding jobs in monticello arkansas,welding jobs in mountain home arkansas,3,1,google,2025-11-01 16:28:45.541123,,jobs in monticello arkansas
38,jobs in monticello arkansas,"('welding jobs in monticello arkansas', 'welding jobs in batesville arkansas')",welding jobs in monticello arkansas,welding jobs in batesville arkansas,4,1,google,2025-11-01 16:28:45.541123,,jobs in monticello arkansas
39,jobs in monticello arkansas,"('welding jobs in monticello arkansas', 'welding jobs in ar')",welding jobs in monticello arkansas,welding jobs in ar,5,1,google,2025-11-01 16:28:45.541123,,jobs in monticello arkansas
40,jobs in monticello arkansas,"('job openings in monticello arkansas', 'job openings in monticello ar')",job openings in monticello arkansas,job openings in monticello ar,1,1,google,2025-11-01 16:28:46.790169,,jobs in monticello arkansas
41,jobs in monticello arkansas,"('job openings in monticello arkansas', 'jobs hiring in monticello arkansas')",job openings in monticello arkansas,jobs hiring in monticello arkansas,2,1,google,2025-11-01 16:28:46.790169,,jobs in monticello arkansas
42,jobs in monticello arkansas,"('job openings in monticello arkansas', 'jobs now hiring in monticello arkansas')",job openings in monticello arkansas,jobs now hiring in monticello arkansas,3,1,google,2025-11-01 16:28:46.790169,,jobs in monticello arkansas
43,jobs in monticello arkansas,"('job openings in monticello arkansas', 'monticello arkansas jobs')",job openings in monticello arkansas,monticello arkansas jobs,4,1,google,2025-11-01 16:28:46.790169,,jobs in monticello arkansas
