,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in montrose historic district alabama,"('jobs in montrose historic district alabama', 'jobs in montrose historic district alabama montrose')",jobs in montrose historic district alabama,jobs in montrose historic district alabama montrose,1,0,google,2025-10-28 23:38:13.351670,,
1,jobs in montrose historic district alabama,"('jobs in montrose historic district alabama', 'jobs in montrose historic district alabama usa')",jobs in montrose historic district alabama,jobs in montrose historic district alabama usa,2,0,google,2025-10-28 23:38:13.351670,,
2,jobs in montrose historic district alabama,"('jobs in montrose historic district alabama', 'jobs in montrose historic district alabama area')",jobs in montrose historic district alabama,jobs in montrose historic district alabama area,3,0,google,2025-10-28 23:38:13.351670,,
3,jobs in montrose historic district alabama,"('jobs in montrose historic district alabama', 'jobs in montrose historic district alabama montrose alabama')",jobs in montrose historic district alabama,jobs in montrose historic district alabama montrose alabama,4,0,google,2025-10-28 23:38:13.351670,,
4,jobs in montrose historic district alabama,"('jobs in montrose historic district alabama', 'jobs in montrose historic district al')",jobs in montrose historic district alabama,jobs in montrose historic district al,5,0,google,2025-10-28 23:38:13.351670,,
5,jobs in montrose historic district alabama,"('jobs in montrose historic district alabama montrose', 'jobs in montrose historic district alabama montrose historic district')",jobs in montrose historic district alabama montrose,jobs in montrose historic district alabama montrose historic district,1,1,google,2025-10-28 23:38:14.784312,,jobs in montrose historic district alabama
6,jobs in montrose historic district alabama,"('jobs in montrose historic district alabama montrose', 'jobs in montrose historic district alabama montrose al')",jobs in montrose historic district alabama montrose,jobs in montrose historic district alabama montrose al,2,1,google,2025-10-28 23:38:14.784312,,jobs in montrose historic district alabama
7,jobs in montrose historic district alabama,"('jobs in montrose historic district alabama montrose', 'jobs in montrose historic district alabama montrose alabama')",jobs in montrose historic district alabama montrose,jobs in montrose historic district alabama montrose alabama,3,1,google,2025-10-28 23:38:14.784312,,jobs in montrose historic district alabama
8,jobs in montrose historic district alabama,"('jobs in montrose historic district alabama montrose', 'jobs in montrose historic district alabama montrose historic district alabama')",jobs in montrose historic district alabama montrose,jobs in montrose historic district alabama montrose historic district alabama,4,1,google,2025-10-28 23:38:14.784312,,jobs in montrose historic district alabama
9,jobs in montrose historic district alabama,"('jobs in montrose historic district alabama montrose', 'jobs in montrose historic district alabama montrose az')",jobs in montrose historic district alabama montrose,jobs in montrose historic district alabama montrose az,5,1,google,2025-10-28 23:38:14.784312,,jobs in montrose historic district alabama
10,jobs in montrose historic district alabama,"('jobs in montrose historic district alabama usa', 'jobs in montrose historic district alabama usa jobs')",jobs in montrose historic district alabama usa,jobs in montrose historic district alabama usa jobs,1,1,google,2025-10-28 23:38:15.990614,,jobs in montrose historic district alabama
11,jobs in montrose historic district alabama,"('jobs in montrose historic district alabama usa', 'jobs in montrose historic district alabama usa 2024')",jobs in montrose historic district alabama usa,jobs in montrose historic district alabama usa 2024,2,1,google,2025-10-28 23:38:15.990614,,jobs in montrose historic district alabama
12,jobs in montrose historic district alabama,"('jobs in montrose historic district alabama usa', 'jobs in montrose historic district alabama usa montrose')",jobs in montrose historic district alabama usa,jobs in montrose historic district alabama usa montrose,3,1,google,2025-10-28 23:38:15.990614,,jobs in montrose historic district alabama
13,jobs in montrose historic district alabama,"('jobs in montrose historic district alabama usa', 'jobs in montrose historic district alabama usa 2023')",jobs in montrose historic district alabama usa,jobs in montrose historic district alabama usa 2023,4,1,google,2025-10-28 23:38:15.990614,,jobs in montrose historic district alabama
14,jobs in montrose historic district alabama,"('jobs in montrose historic district alabama usa', 'jobs in montrose historic district alabama usa montrose historic district')",jobs in montrose historic district alabama usa,jobs in montrose historic district alabama usa montrose historic district,5,1,google,2025-10-28 23:38:15.990614,,jobs in montrose historic district alabama
15,jobs in montrose historic district alabama,"('jobs in montrose historic district alabama area', 'jobs in montrose historic district alabama area alabama')",jobs in montrose historic district alabama area,jobs in montrose historic district alabama area alabama,1,1,google,2025-10-28 23:38:16.903303,,jobs in montrose historic district alabama
16,jobs in montrose historic district alabama,"('jobs in montrose historic district alabama area', 'jobs in montrose historic district alabama area montrose')",jobs in montrose historic district alabama area,jobs in montrose historic district alabama area montrose,2,1,google,2025-10-28 23:38:16.903303,,jobs in montrose historic district alabama
17,jobs in montrose historic district alabama,"('jobs in montrose historic district alabama area', 'jobs in montrose historic district alabama areas')",jobs in montrose historic district alabama area,jobs in montrose historic district alabama areas,3,1,google,2025-10-28 23:38:16.903303,,jobs in montrose historic district alabama
18,jobs in montrose historic district alabama,"('jobs in montrose historic district alabama area', 'jobs in montrose historic district alabama area al')",jobs in montrose historic district alabama area,jobs in montrose historic district alabama area al,4,1,google,2025-10-28 23:38:16.903303,,jobs in montrose historic district alabama
19,jobs in montrose historic district alabama,"('jobs in montrose historic district alabama area', 'jobs in montrose historic district alabama area school')",jobs in montrose historic district alabama area,jobs in montrose historic district alabama area school,5,1,google,2025-10-28 23:38:16.903303,,jobs in montrose historic district alabama
20,jobs in montrose historic district alabama,"('jobs in montrose historic district alabama montrose alabama', 'jobs in montrose historic district alabama montrose alabama area')",jobs in montrose historic district alabama montrose alabama,jobs in montrose historic district alabama montrose alabama area,1,1,google,2025-10-28 23:38:18.342643,,jobs in montrose historic district alabama
21,jobs in montrose historic district alabama,"('jobs in montrose historic district alabama montrose alabama', 'jobs in montrose historic district alabama montrose alabama jobs')",jobs in montrose historic district alabama montrose alabama,jobs in montrose historic district alabama montrose alabama jobs,2,1,google,2025-10-28 23:38:18.342643,,jobs in montrose historic district alabama
22,jobs in montrose historic district alabama,"('jobs in montrose historic district alabama montrose alabama', 'jobs in montrose historic district alabama montrose alabama hiring')",jobs in montrose historic district alabama montrose alabama,jobs in montrose historic district alabama montrose alabama hiring,3,1,google,2025-10-28 23:38:18.342643,,jobs in montrose historic district alabama
23,jobs in montrose historic district alabama,"('jobs in montrose historic district alabama montrose alabama', 'jobs in montrose historic district alabama montrose alabama 35')",jobs in montrose historic district alabama montrose alabama,jobs in montrose historic district alabama montrose alabama 35,4,1,google,2025-10-28 23:38:18.342643,,jobs in montrose historic district alabama
24,jobs in montrose historic district alabama,"('jobs in montrose historic district alabama montrose alabama', 'jobs in montrose historic district alabama montrose alabama hiring now')",jobs in montrose historic district alabama montrose alabama,jobs in montrose historic district alabama montrose alabama hiring now,5,1,google,2025-10-28 23:38:18.342643,,jobs in montrose historic district alabama
25,jobs in montrose historic district alabama,"('jobs in montrose historic district al', 'jobs in montrose historic district albuquerque nm')",jobs in montrose historic district al,jobs in montrose historic district albuquerque nm,1,1,google,2025-10-28 23:38:19.131706,,jobs in montrose historic district alabama
26,jobs in montrose historic district alabama,"('jobs in montrose historic district al', 'jobs in montrose historic district albuquerque')",jobs in montrose historic district al,jobs in montrose historic district albuquerque,2,1,google,2025-10-28 23:38:19.131706,,jobs in montrose historic district alabama
