,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in morrilton arkansas,"('jobs in morrilton arkansas', 'hiring in morrilton arkansas')",jobs in morrilton arkansas,hiring in morrilton arkansas,1,0,google,2025-11-01 16:31:16.466679,,
1,jobs in morrilton arkansas,"('jobs in morrilton arkansas', 'jobs hiring in morrilton arkansas')",jobs in morrilton arkansas,jobs hiring in morrilton arkansas,2,0,google,2025-11-01 16:31:16.466679,,
2,jobs in morrilton arkansas,"('jobs in morrilton arkansas', 'job openings in morrilton arkansas')",jobs in morrilton arkansas,job openings in morrilton arkansas,3,0,google,2025-11-01 16:31:16.466679,,
3,jobs in morrilton arkansas,"('jobs in morrilton arkansas', 'part time jobs in morrilton arkansas')",jobs in morrilton arkansas,part time jobs in morrilton arkansas,4,0,google,2025-11-01 16:31:16.466679,,
4,jobs in morrilton arkansas,"('jobs in morrilton arkansas', 'full time jobs in morrilton arkansas')",jobs in morrilton arkansas,full time jobs in morrilton arkansas,5,0,google,2025-11-01 16:31:16.466679,,
5,jobs in morrilton arkansas,"('jobs in morrilton arkansas', 'places hiring in morrilton arkansas')",jobs in morrilton arkansas,places hiring in morrilton arkansas,6,0,google,2025-11-01 16:31:16.466679,,
6,jobs in morrilton arkansas,"('jobs in morrilton arkansas', 'cdl jobs in morrilton ar')",jobs in morrilton arkansas,cdl jobs in morrilton ar,7,0,google,2025-11-01 16:31:16.466679,,
7,jobs in morrilton arkansas,"('jobs in morrilton arkansas', 'jobs in morrilton ar')",jobs in morrilton arkansas,jobs in morrilton ar,8,0,google,2025-11-01 16:31:16.466679,,
8,jobs in morrilton arkansas,"('jobs in morrilton arkansas', 'jobs in morrilton')",jobs in morrilton arkansas,jobs in morrilton,9,0,google,2025-11-01 16:31:16.466679,,
9,jobs in morrilton arkansas,"('hiring in morrilton arkansas', 'jobs in morrilton arkansas')",hiring in morrilton arkansas,jobs in morrilton arkansas,1,1,google,2025-11-01 16:31:17.897363,,jobs in morrilton arkansas
10,jobs in morrilton arkansas,"('hiring in morrilton arkansas', 'jobs hiring in morrilton arkansas')",hiring in morrilton arkansas,jobs hiring in morrilton arkansas,2,1,google,2025-11-01 16:31:17.897363,,jobs in morrilton arkansas
11,jobs in morrilton arkansas,"('hiring in morrilton arkansas', 'places hiring in morrilton arkansas')",hiring in morrilton arkansas,places hiring in morrilton arkansas,3,1,google,2025-11-01 16:31:17.897363,,jobs in morrilton arkansas
12,jobs in morrilton arkansas,"('hiring in morrilton arkansas', 'job openings in morrilton arkansas')",hiring in morrilton arkansas,job openings in morrilton arkansas,4,1,google,2025-11-01 16:31:17.897363,,jobs in morrilton arkansas
13,jobs in morrilton arkansas,"('hiring in morrilton arkansas', 'hiring morrilton ar')",hiring in morrilton arkansas,hiring morrilton ar,5,1,google,2025-11-01 16:31:17.897363,,jobs in morrilton arkansas
14,jobs in morrilton arkansas,"('hiring in morrilton arkansas', 'morrilton hiring')",hiring in morrilton arkansas,morrilton hiring,6,1,google,2025-11-01 16:31:17.897363,,jobs in morrilton arkansas
15,jobs in morrilton arkansas,"('hiring in morrilton arkansas', 'morrilton ar jobs')",hiring in morrilton arkansas,morrilton ar jobs,7,1,google,2025-11-01 16:31:17.897363,,jobs in morrilton arkansas
16,jobs in morrilton arkansas,"('jobs hiring in morrilton arkansas', 'job openings in morrilton arkansas')",jobs hiring in morrilton arkansas,job openings in morrilton arkansas,1,1,google,2025-11-01 16:31:18.970329,,jobs in morrilton arkansas
17,jobs in morrilton arkansas,"('jobs hiring in morrilton arkansas', 'jobs near morrilton arkansas')",jobs hiring in morrilton arkansas,jobs near morrilton arkansas,2,1,google,2025-11-01 16:31:18.970329,,jobs in morrilton arkansas
