,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in mount holly arkansas,"('jobs in mount holly arkansas', 'jobs in mount holly arkansas area')",jobs in mount holly arkansas,jobs in mount holly arkansas area,1,0,google,2025-11-01 16:33:46.598654,,
1,jobs in mount holly arkansas,"('jobs in mount holly arkansas', 'jobs in mount holly arkansas hiring')",jobs in mount holly arkansas,jobs in mount holly arkansas hiring,2,0,google,2025-11-01 16:33:46.598654,,
2,jobs in mount holly arkansas,"('jobs in mount holly arkansas', 'jobs in mount holly arkansas indeed')",jobs in mount holly arkansas,jobs in mount holly arkansas indeed,3,0,google,2025-11-01 16:33:46.598654,,
3,jobs in mount holly arkansas,"('jobs in mount holly arkansas', 'jobs in mount holly arkansas for 16 year olds')",jobs in mount holly arkansas,jobs in mount holly arkansas for 16 year olds,4,0,google,2025-11-01 16:33:46.598654,,
4,jobs in mount holly arkansas,"('jobs in mount holly arkansas', 'jobs in mount holly arkansas hiring now')",jobs in mount holly arkansas,jobs in mount holly arkansas hiring now,5,0,google,2025-11-01 16:33:46.598654,,
5,jobs in mount holly arkansas,"('jobs in mount holly arkansas area', 'jobs in mount holly arkansas area area')",jobs in mount holly arkansas area,jobs in mount holly arkansas area area,1,1,google,2025-11-01 16:33:47.806620,,jobs in mount holly arkansas
6,jobs in mount holly arkansas,"('jobs in mount holly arkansas area', 'jobs in mount holly arkansas area hiring')",jobs in mount holly arkansas area,jobs in mount holly arkansas area hiring,2,1,google,2025-11-01 16:33:47.806620,,jobs in mount holly arkansas
7,jobs in mount holly arkansas,"('jobs in mount holly arkansas area', 'jobs in mount holly arkansas area hiring now')",jobs in mount holly arkansas area,jobs in mount holly arkansas area hiring now,3,1,google,2025-11-01 16:33:47.806620,,jobs in mount holly arkansas
8,jobs in mount holly arkansas,"('jobs in mount holly arkansas area', 'jobs in mount holly arkansas area indeed')",jobs in mount holly arkansas area,jobs in mount holly arkansas area indeed,4,1,google,2025-11-01 16:33:47.806620,,jobs in mount holly arkansas
9,jobs in mount holly arkansas,"('jobs in mount holly arkansas area', 'jobs in mount holly arkansas area for 16 year olds')",jobs in mount holly arkansas area,jobs in mount holly arkansas area for 16 year olds,5,1,google,2025-11-01 16:33:47.806620,,jobs in mount holly arkansas
10,jobs in mount holly arkansas,"('jobs in mount holly arkansas hiring', 'jobs in mount holly arkansas hiring now')",jobs in mount holly arkansas hiring,jobs in mount holly arkansas hiring now,1,1,google,2025-11-01 16:33:48.922632,,jobs in mount holly arkansas
11,jobs in mount holly arkansas,"('jobs in mount holly arkansas hiring', 'jobs in mount holly arkansas hiring immediately')",jobs in mount holly arkansas hiring,jobs in mount holly arkansas hiring immediately,2,1,google,2025-11-01 16:33:48.922632,,jobs in mount holly arkansas
12,jobs in mount holly arkansas,"('jobs in mount holly arkansas hiring', 'jobs in mount holly arkansas hiring right now')",jobs in mount holly arkansas hiring,jobs in mount holly arkansas hiring right now,3,1,google,2025-11-01 16:33:48.922632,,jobs in mount holly arkansas
13,jobs in mount holly arkansas,"('jobs in mount holly arkansas hiring', 'jobs in mount holly arkansas hiring 16 year olds')",jobs in mount holly arkansas hiring,jobs in mount holly arkansas hiring 16 year olds,4,1,google,2025-11-01 16:33:48.922632,,jobs in mount holly arkansas
