,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in mount ida arkansas,"('jobs in mount ida arkansas', 'jobs hiring in mount ida arkansas')",jobs in mount ida arkansas,jobs hiring in mount ida arkansas,1,0,google,2025-10-30 16:50:05.257664,,
1,jobs in mount ida arkansas,"('jobs in mount ida arkansas', 'jobs near mt ida arkansas')",jobs in mount ida arkansas,jobs near mt ida arkansas,2,0,google,2025-10-30 16:50:05.257664,,
2,jobs in mount ida arkansas,"('jobs in mount ida arkansas', 'jobs in mount ida ar')",jobs in mount ida arkansas,jobs in mount ida ar,3,0,google,2025-10-30 16:50:05.257664,,
3,jobs in mount ida arkansas,"('jobs in mount ida arkansas', 'jobs in mt ida ar')",jobs in mount ida arkansas,jobs in mt ida ar,4,0,google,2025-10-30 16:50:05.257664,,
4,jobs in mount ida arkansas,"('jobs hiring in mount ida arkansas', 'job openings in mount ida ar')",jobs hiring in mount ida arkansas,job openings in mount ida ar,1,1,google,2025-10-30 16:50:06.281402,,jobs in mount ida arkansas
5,jobs in mount ida arkansas,"('jobs hiring in mount ida arkansas', 'jobs near mt ida arkansas')",jobs hiring in mount ida arkansas,jobs near mt ida arkansas,2,1,google,2025-10-30 16:50:06.281402,,jobs in mount ida arkansas
6,jobs in mount ida arkansas,"('jobs hiring in mount ida arkansas', 'jobs mount ida ar')",jobs hiring in mount ida arkansas,jobs mount ida ar,3,1,google,2025-10-30 16:50:06.281402,,jobs in mount ida arkansas
7,jobs in mount ida arkansas,"('jobs hiring in mount ida arkansas', 'jobs in mount ida arkansas')",jobs hiring in mount ida arkansas,jobs in mount ida arkansas,4,1,google,2025-10-30 16:50:06.281402,,jobs in mount ida arkansas
8,jobs in mount ida arkansas,"('jobs hiring in mount ida arkansas', 'jobs hiring in mountain home arkansas')",jobs hiring in mount ida arkansas,jobs hiring in mountain home arkansas,5,1,google,2025-10-30 16:50:06.281402,,jobs in mount ida arkansas
9,jobs in mount ida arkansas,"('jobs near mt ida arkansas', 'closest airport to mount ida arkansas')",jobs near mt ida arkansas,closest airport to mount ida arkansas,1,1,google,2025-10-30 16:50:07.194012,,jobs in mount ida arkansas
10,jobs in mount ida arkansas,"('jobs near mt ida arkansas', 'jobs mt ida ar')",jobs near mt ida arkansas,jobs mt ida ar,2,1,google,2025-10-30 16:50:07.194012,,jobs in mount ida arkansas
11,jobs in mount ida arkansas,"('jobs near mt ida arkansas', 'jobs in mount ida arkansas')",jobs near mt ida arkansas,jobs in mount ida arkansas,3,1,google,2025-10-30 16:50:07.194012,,jobs in mount ida arkansas
12,jobs in mount ida arkansas,"('jobs near mt ida arkansas', 'jobs mount ida ar')",jobs near mt ida arkansas,jobs mount ida ar,4,1,google,2025-10-30 16:50:07.194012,,jobs in mount ida arkansas
13,jobs in mount ida arkansas,"('jobs in mount ida ar', 'jobs hiring in mount ida arkansas')",jobs in mount ida ar,jobs hiring in mount ida arkansas,1,1,google,2025-10-30 16:50:08.287363,,jobs in mount ida arkansas
