,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in mount pleasant arkansas,"('jobs in mount pleasant arkansas', 'jobs in mount pleasant arkansas area')",jobs in mount pleasant arkansas,jobs in mount pleasant arkansas area,1,0,google,2025-10-30 16:50:49.219692,,
1,jobs in mount pleasant arkansas,"('jobs in mount pleasant arkansas', 'jobs in mount pleasant arkansas indeed')",jobs in mount pleasant arkansas,jobs in mount pleasant arkansas indeed,2,0,google,2025-10-30 16:50:49.219692,,
2,jobs in mount pleasant arkansas,"('jobs in mount pleasant arkansas', 'jobs in mount pleasant arkansas hiring')",jobs in mount pleasant arkansas,jobs in mount pleasant arkansas hiring,3,0,google,2025-10-30 16:50:49.219692,,
3,jobs in mount pleasant arkansas,"('jobs in mount pleasant arkansas', 'jobs in mount pleasant arkansas hiring now')",jobs in mount pleasant arkansas,jobs in mount pleasant arkansas hiring now,4,0,google,2025-10-30 16:50:49.219692,,
4,jobs in mount pleasant arkansas,"('jobs in mount pleasant arkansas', 'jobs in mount pleasant arkansas for 16 year olds')",jobs in mount pleasant arkansas,jobs in mount pleasant arkansas for 16 year olds,5,0,google,2025-10-30 16:50:49.219692,,
5,jobs in mount pleasant arkansas,"('jobs in mount pleasant arkansas area', 'jobs in mount pleasant arkansas area hiring')",jobs in mount pleasant arkansas area,jobs in mount pleasant arkansas area hiring,1,1,google,2025-10-30 16:50:50.073205,,jobs in mount pleasant arkansas
6,jobs in mount pleasant arkansas,"('jobs in mount pleasant arkansas area', 'jobs in mount pleasant arkansas area indeed')",jobs in mount pleasant arkansas area,jobs in mount pleasant arkansas area indeed,2,1,google,2025-10-30 16:50:50.073205,,jobs in mount pleasant arkansas
7,jobs in mount pleasant arkansas,"('jobs in mount pleasant arkansas area', 'jobs in mount pleasant arkansas area hiring now')",jobs in mount pleasant arkansas area,jobs in mount pleasant arkansas area hiring now,3,1,google,2025-10-30 16:50:50.073205,,jobs in mount pleasant arkansas
8,jobs in mount pleasant arkansas,"('jobs in mount pleasant arkansas area', 'jobs in mount pleasant arkansas area area')",jobs in mount pleasant arkansas area,jobs in mount pleasant arkansas area area,4,1,google,2025-10-30 16:50:50.073205,,jobs in mount pleasant arkansas
9,jobs in mount pleasant arkansas,"('jobs in mount pleasant arkansas area', 'jobs in mount pleasant arkansas areas')",jobs in mount pleasant arkansas area,jobs in mount pleasant arkansas areas,5,1,google,2025-10-30 16:50:50.073205,,jobs in mount pleasant arkansas
10,jobs in mount pleasant arkansas,"('jobs in mount pleasant arkansas area', 'jobs in mount pleasant arkansas area school district')",jobs in mount pleasant arkansas area,jobs in mount pleasant arkansas area school district,6,1,google,2025-10-30 16:50:50.073205,,jobs in mount pleasant arkansas
11,jobs in mount pleasant arkansas,"('jobs in mount pleasant arkansas indeed', 'jobs in mount pleasant arkansas indeed jobs')",jobs in mount pleasant arkansas indeed,jobs in mount pleasant arkansas indeed jobs,1,1,google,2025-10-30 16:50:51.133196,,jobs in mount pleasant arkansas
12,jobs in mount pleasant arkansas,"('jobs in mount pleasant arkansas indeed', 'jobs in mount pleasant arkansas indeed.com')",jobs in mount pleasant arkansas indeed,jobs in mount pleasant arkansas indeed.com,2,1,google,2025-10-30 16:50:51.133196,,jobs in mount pleasant arkansas
13,jobs in mount pleasant arkansas,"('jobs in mount pleasant arkansas indeed', 'jobs in mount pleasant arkansas indeed part time')",jobs in mount pleasant arkansas indeed,jobs in mount pleasant arkansas indeed part time,3,1,google,2025-10-30 16:50:51.133196,,jobs in mount pleasant arkansas
14,jobs in mount pleasant arkansas,"('jobs in mount pleasant arkansas indeed', 'jobs in mount pleasant arkansas indeed full time')",jobs in mount pleasant arkansas indeed,jobs in mount pleasant arkansas indeed full time,4,1,google,2025-10-30 16:50:51.133196,,jobs in mount pleasant arkansas
15,jobs in mount pleasant arkansas,"('jobs in mount pleasant arkansas hiring', 'jobs in mount pleasant arkansas hiring now')",jobs in mount pleasant arkansas hiring,jobs in mount pleasant arkansas hiring now,1,1,google,2025-10-30 16:50:52.209346,,jobs in mount pleasant arkansas
16,jobs in mount pleasant arkansas,"('jobs in mount pleasant arkansas hiring', 'jobs in mount pleasant arkansas hiring immediately')",jobs in mount pleasant arkansas hiring,jobs in mount pleasant arkansas hiring immediately,2,1,google,2025-10-30 16:50:52.209346,,jobs in mount pleasant arkansas
17,jobs in mount pleasant arkansas,"('jobs in mount pleasant arkansas hiring', 'jobs in mount pleasant arkansas hiring right now')",jobs in mount pleasant arkansas hiring,jobs in mount pleasant arkansas hiring right now,3,1,google,2025-10-30 16:50:52.209346,,jobs in mount pleasant arkansas
18,jobs in mount pleasant arkansas,"('jobs in mount pleasant arkansas hiring', 'jobs in mount pleasant arkansas hiring 16 year olds')",jobs in mount pleasant arkansas hiring,jobs in mount pleasant arkansas hiring 16 year olds,4,1,google,2025-10-30 16:50:52.209346,,jobs in mount pleasant arkansas
19,jobs in mount pleasant arkansas,"('jobs in mount pleasant arkansas hiring', 'jobs in mount pleasant arkansas hiring 15 year olds')",jobs in mount pleasant arkansas hiring,jobs in mount pleasant arkansas hiring 15 year olds,5,1,google,2025-10-30 16:50:52.209346,,jobs in mount pleasant arkansas
20,jobs in mount pleasant arkansas,"('jobs in mount pleasant arkansas hiring now', 'jobs in mount pleasant arkansas hiring now part time')",jobs in mount pleasant arkansas hiring now,jobs in mount pleasant arkansas hiring now part time,1,1,google,2025-10-30 16:50:53.461347,,jobs in mount pleasant arkansas
21,jobs in mount pleasant arkansas,"('jobs in mount pleasant arkansas hiring now', 'jobs in mount pleasant arkansas hiring now full time')",jobs in mount pleasant arkansas hiring now,jobs in mount pleasant arkansas hiring now full time,2,1,google,2025-10-30 16:50:53.461347,,jobs in mount pleasant arkansas
22,jobs in mount pleasant arkansas,"('jobs in mount pleasant arkansas hiring now', 'jobs in mount pleasant arkansas hiring now 2024')",jobs in mount pleasant arkansas hiring now,jobs in mount pleasant arkansas hiring now 2024,3,1,google,2025-10-30 16:50:53.461347,,jobs in mount pleasant arkansas
23,jobs in mount pleasant arkansas,"('jobs in mount pleasant arkansas hiring now', 'jobs in mount pleasant arkansas hiring now no experience')",jobs in mount pleasant arkansas hiring now,jobs in mount pleasant arkansas hiring now no experience,4,1,google,2025-10-30 16:50:53.461347,,jobs in mount pleasant arkansas
24,jobs in mount pleasant arkansas,"('jobs in mount pleasant arkansas hiring now', 'jobs in mount pleasant arkansas hiring now no experience needed')",jobs in mount pleasant arkansas hiring now,jobs in mount pleasant arkansas hiring now no experience needed,5,1,google,2025-10-30 16:50:53.461347,,jobs in mount pleasant arkansas
25,jobs in mount pleasant arkansas,"('jobs in mount pleasant arkansas for 16 year olds', 'jobs in mount pleasant arkansas for 16 year olds hiring')",jobs in mount pleasant arkansas for 16 year olds,jobs in mount pleasant arkansas for 16 year olds hiring,1,1,google,2025-10-30 16:50:54.797385,,jobs in mount pleasant arkansas
