,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in mount vernon arkansas,"('jobs in mount vernon arkansas', 'jobs in mount vernon arkansas area')",jobs in mount vernon arkansas,jobs in mount vernon arkansas area,1,0,google,2025-10-30 16:53:53.413891,,
1,jobs in mount vernon arkansas,"('jobs in mount vernon arkansas', 'jobs in mount vernon arkansas indeed')",jobs in mount vernon arkansas,jobs in mount vernon arkansas indeed,2,0,google,2025-10-30 16:53:53.413891,,
2,jobs in mount vernon arkansas,"('jobs in mount vernon arkansas', 'jobs in mount vernon arkansas hiring')",jobs in mount vernon arkansas,jobs in mount vernon arkansas hiring,3,0,google,2025-10-30 16:53:53.413891,,
3,jobs in mount vernon arkansas,"('jobs in mount vernon arkansas', 'jobs in mount vernon arkansas hiring now')",jobs in mount vernon arkansas,jobs in mount vernon arkansas hiring now,4,0,google,2025-10-30 16:53:53.413891,,
4,jobs in mount vernon arkansas,"('jobs in mount vernon arkansas', 'jobs in mount vernon arkansas for 16 year olds')",jobs in mount vernon arkansas,jobs in mount vernon arkansas for 16 year olds,5,0,google,2025-10-30 16:53:53.413891,,
5,jobs in mount vernon arkansas,"('jobs in mount vernon arkansas area', 'jobs in mount vernon arkansas area hiring')",jobs in mount vernon arkansas area,jobs in mount vernon arkansas area hiring,1,1,google,2025-10-30 16:53:54.821654,,jobs in mount vernon arkansas
6,jobs in mount vernon arkansas,"('jobs in mount vernon arkansas area', 'jobs in mount vernon arkansas area indeed')",jobs in mount vernon arkansas area,jobs in mount vernon arkansas area indeed,2,1,google,2025-10-30 16:53:54.821654,,jobs in mount vernon arkansas
7,jobs in mount vernon arkansas,"('jobs in mount vernon arkansas area', 'jobs in mount vernon arkansas area area')",jobs in mount vernon arkansas area,jobs in mount vernon arkansas area area,3,1,google,2025-10-30 16:53:54.821654,,jobs in mount vernon arkansas
8,jobs in mount vernon arkansas,"('jobs in mount vernon arkansas area', 'jobs in mount vernon arkansas areas')",jobs in mount vernon arkansas area,jobs in mount vernon arkansas areas,4,1,google,2025-10-30 16:53:54.821654,,jobs in mount vernon arkansas
9,jobs in mount vernon arkansas,"('jobs in mount vernon arkansas area', 'jobs in mount vernon arkansas area hiring now')",jobs in mount vernon arkansas area,jobs in mount vernon arkansas area hiring now,5,1,google,2025-10-30 16:53:54.821654,,jobs in mount vernon arkansas
10,jobs in mount vernon arkansas,"('jobs in mount vernon arkansas indeed', 'jobs in mount vernon arkansas indeed jobs')",jobs in mount vernon arkansas indeed,jobs in mount vernon arkansas indeed jobs,1,1,google,2025-10-30 16:53:55.908635,,jobs in mount vernon arkansas
11,jobs in mount vernon arkansas,"('jobs in mount vernon arkansas indeed', 'jobs in mount vernon arkansas indeed.com')",jobs in mount vernon arkansas indeed,jobs in mount vernon arkansas indeed.com,2,1,google,2025-10-30 16:53:55.908635,,jobs in mount vernon arkansas
12,jobs in mount vernon arkansas,"('jobs in mount vernon arkansas indeed', 'jobs in mount vernon arkansas indeed part time')",jobs in mount vernon arkansas indeed,jobs in mount vernon arkansas indeed part time,3,1,google,2025-10-30 16:53:55.908635,,jobs in mount vernon arkansas
