,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in mountain home arkansas,"('jobs in mountain home arkansas', 'jobs in mountain home arkansas no degree')",jobs in mountain home arkansas,jobs in mountain home arkansas no degree,1,0,google,2025-10-30 16:56:50.946687,,
1,jobs in mountain home arkansas,"('jobs in mountain home arkansas', 'jobs in mtn home arkansas')",jobs in mountain home arkansas,jobs in mtn home arkansas,2,0,google,2025-10-30 16:56:50.946687,,
2,jobs in mountain home arkansas,"('jobs in mountain home arkansas', 'jobs in mt home arkansas')",jobs in mountain home arkansas,jobs in mt home arkansas,3,0,google,2025-10-30 16:56:50.946687,,
3,jobs in mountain home arkansas,"('jobs in mountain home arkansas', 'jobs in mountain view arkansas')",jobs in mountain home arkansas,jobs in mountain view arkansas,4,0,google,2025-10-30 16:56:50.946687,,
4,jobs in mountain home arkansas,"('jobs in mountain home arkansas', 'hiring in mountain home arkansas')",jobs in mountain home arkansas,hiring in mountain home arkansas,5,0,google,2025-10-30 16:56:50.946687,,
5,jobs in mountain home arkansas,"('jobs in mountain home arkansas', 'employment in mountain home arkansas')",jobs in mountain home arkansas,employment in mountain home arkansas,6,0,google,2025-10-30 16:56:50.946687,,
6,jobs in mountain home arkansas,"('jobs in mountain home arkansas', 'jobs in mountain view arkansas part time')",jobs in mountain home arkansas,jobs in mountain view arkansas part time,7,0,google,2025-10-30 16:56:50.946687,,
7,jobs in mountain home arkansas,"('jobs in mountain home arkansas', 'jobs in mountain view arkansas no experience needed')",jobs in mountain home arkansas,jobs in mountain view arkansas no experience needed,8,0,google,2025-10-30 16:56:50.946687,,
8,jobs in mountain home arkansas,"('jobs in mountain home arkansas', 'jobs in mountain home ar')",jobs in mountain home arkansas,jobs in mountain home ar,9,0,google,2025-10-30 16:56:50.946687,,
9,jobs in mountain home arkansas,"('jobs in mountain home arkansas no degree', 'jobs in mountain home ar no degree')",jobs in mountain home arkansas no degree,jobs in mountain home ar no degree,1,1,google,2025-10-30 16:56:52.040970,,jobs in mountain home arkansas
10,jobs in mountain home arkansas,"('jobs in mountain home arkansas no degree', 'highest paying jobs in arkansas without a degree')",jobs in mountain home arkansas no degree,highest paying jobs in arkansas without a degree,2,1,google,2025-10-30 16:56:52.040970,,jobs in mountain home arkansas
11,jobs in mountain home arkansas,"('jobs in mountain home arkansas no degree', 'jobs in mountain home arkansas')",jobs in mountain home arkansas no degree,jobs in mountain home arkansas,3,1,google,2025-10-30 16:56:52.040970,,jobs in mountain home arkansas
12,jobs in mountain home arkansas,"('jobs in mountain home arkansas no degree', 'jobs in mountain home ar')",jobs in mountain home arkansas no degree,jobs in mountain home ar,4,1,google,2025-10-30 16:56:52.040970,,jobs in mountain home arkansas
13,jobs in mountain home arkansas,"('jobs in mountain home arkansas no degree', 'jobs in mountain home')",jobs in mountain home arkansas no degree,jobs in mountain home,5,1,google,2025-10-30 16:56:52.040970,,jobs in mountain home arkansas
14,jobs in mountain home arkansas,"('jobs in mtn home arkansas', 'jobs in mountain home arkansas')",jobs in mtn home arkansas,jobs in mountain home arkansas,1,1,google,2025-10-30 16:56:53.294271,,jobs in mountain home arkansas
15,jobs in mountain home arkansas,"('jobs in mtn home arkansas', 'jobs in mountain home arkansas no degree')",jobs in mtn home arkansas,jobs in mountain home arkansas no degree,2,1,google,2025-10-30 16:56:53.294271,,jobs in mountain home arkansas
16,jobs in mountain home arkansas,"('jobs in mtn home arkansas', 'jobs in mt home arkansas')",jobs in mtn home arkansas,jobs in mt home arkansas,3,1,google,2025-10-30 16:56:53.294271,,jobs in mountain home arkansas
17,jobs in mountain home arkansas,"('jobs in mtn home arkansas', 'jobs in mountain home ar')",jobs in mtn home arkansas,jobs in mountain home ar,4,1,google,2025-10-30 16:56:53.294271,,jobs in mountain home arkansas
18,jobs in mountain home arkansas,"('jobs in mtn home arkansas', 'jobs in mountain home ar no experience needed')",jobs in mtn home arkansas,jobs in mountain home ar no experience needed,5,1,google,2025-10-30 16:56:53.294271,,jobs in mountain home arkansas
19,jobs in mountain home arkansas,"('jobs in mtn home arkansas', 'jobs in mountain home ar remote')",jobs in mtn home arkansas,jobs in mountain home ar remote,6,1,google,2025-10-30 16:56:53.294271,,jobs in mountain home arkansas
