,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in mountain view arkansas,"('jobs in mountain view arkansas', 'jobs in mountain view arkansas part time')",jobs in mountain view arkansas,jobs in mountain view arkansas part time,1,0,google,2025-11-01 16:46:45.825281,,
1,jobs in mountain view arkansas,"('jobs in mountain view arkansas', 'jobs in mtn view arkansas')",jobs in mountain view arkansas,jobs in mtn view arkansas,2,0,google,2025-11-01 16:46:45.825281,,
2,jobs in mountain view arkansas,"('jobs in mountain view arkansas', 'jobs in mountain home arkansas')",jobs in mountain view arkansas,jobs in mountain home arkansas,3,0,google,2025-11-01 16:46:45.825281,,
3,jobs in mountain view arkansas,"('jobs in mountain view arkansas', 'jobs in mountain home arkansas no degree')",jobs in mountain view arkansas,jobs in mountain home arkansas no degree,4,0,google,2025-11-01 16:46:45.825281,,
4,jobs in mountain view arkansas,"('jobs in mountain view arkansas', 'jobs in mountain view ar')",jobs in mountain view arkansas,jobs in mountain view ar,5,0,google,2025-11-01 16:46:45.825281,,
5,jobs in mountain view arkansas,"('jobs in mountain view arkansas', 'jobs in mtn home arkansas')",jobs in mountain view arkansas,jobs in mtn home arkansas,6,0,google,2025-11-01 16:46:45.825281,,
6,jobs in mountain view arkansas,"('jobs in mountain view arkansas', 'jobs in mt home arkansas')",jobs in mountain view arkansas,jobs in mt home arkansas,7,0,google,2025-11-01 16:46:45.825281,,
7,jobs in mountain view arkansas,"('jobs in mountain view arkansas', 'jobs hiring in mountain view arkansas')",jobs in mountain view arkansas,jobs hiring in mountain view arkansas,8,0,google,2025-11-01 16:46:45.825281,,
8,jobs in mountain view arkansas,"('jobs in mountain view arkansas', 'jobs in mountain view arkansas in the last week')",jobs in mountain view arkansas,jobs in mountain view arkansas in the last week,9,0,google,2025-11-01 16:46:45.825281,,
9,jobs in mountain view arkansas,"('jobs in mountain view arkansas part time', 'jobs mountain home arkansas full time')",jobs in mountain view arkansas part time,jobs mountain home arkansas full time,1,1,google,2025-11-01 16:46:46.669376,,jobs in mountain view arkansas
10,jobs in mountain view arkansas,"('jobs in mountain view arkansas part time', 'indeed jobs mountain home arkansas part time')",jobs in mountain view arkansas part time,indeed jobs mountain home arkansas part time,2,1,google,2025-11-01 16:46:46.669376,,jobs in mountain view arkansas
11,jobs in mountain view arkansas,"('jobs in mountain view arkansas part time', 'indeed jobs mountain home arkansas full time')",jobs in mountain view arkansas part time,indeed jobs mountain home arkansas full time,3,1,google,2025-11-01 16:46:46.669376,,jobs in mountain view arkansas
12,jobs in mountain view arkansas,"('jobs in mountain view arkansas part time', 'mountain home ar jobs part time')",jobs in mountain view arkansas part time,mountain home ar jobs part time,4,1,google,2025-11-01 16:46:46.669376,,jobs in mountain view arkansas
13,jobs in mountain view arkansas,"('jobs in mountain view arkansas part time', 'jobs in mountain view arkansas')",jobs in mountain view arkansas part time,jobs in mountain view arkansas,5,1,google,2025-11-01 16:46:46.669376,,jobs in mountain view arkansas
14,jobs in mountain view arkansas,"('jobs in mountain view arkansas part time', 'jobs in mountain view ar')",jobs in mountain view arkansas part time,jobs in mountain view ar,6,1,google,2025-11-01 16:46:46.669376,,jobs in mountain view arkansas
15,jobs in mountain view arkansas,"('jobs in mtn view arkansas', 'jobs in mountain view arkansas')",jobs in mtn view arkansas,jobs in mountain view arkansas,1,1,google,2025-11-01 16:46:47.603860,,jobs in mountain view arkansas
16,jobs in mountain view arkansas,"('jobs in mtn view arkansas', 'jobs in mountain view arkansas part time')",jobs in mtn view arkansas,jobs in mountain view arkansas part time,2,1,google,2025-11-01 16:46:47.603860,,jobs in mountain view arkansas
17,jobs in mountain view arkansas,"('jobs in mtn view arkansas', 'jobs in mtn home arkansas')",jobs in mtn view arkansas,jobs in mtn home arkansas,3,1,google,2025-11-01 16:46:47.603860,,jobs in mountain view arkansas
18,jobs in mountain view arkansas,"('jobs in mtn view arkansas', 'jobs in mountain home arkansas')",jobs in mtn view arkansas,jobs in mountain home arkansas,4,1,google,2025-11-01 16:46:47.603860,,jobs in mountain view arkansas
19,jobs in mountain view arkansas,"('jobs in mtn view arkansas', 'jobs in mountain home arkansas no degree')",jobs in mtn view arkansas,jobs in mountain home arkansas no degree,5,1,google,2025-11-01 16:46:47.603860,,jobs in mountain view arkansas
20,jobs in mountain view arkansas,"('jobs in mtn view arkansas', 'jobs hiring in mountain view arkansas')",jobs in mtn view arkansas,jobs hiring in mountain view arkansas,6,1,google,2025-11-01 16:46:47.603860,,jobs in mountain view arkansas
21,jobs in mountain view arkansas,"('jobs in mtn view arkansas', 'jobs in mountain view arkansas in the last week')",jobs in mtn view arkansas,jobs in mountain view arkansas in the last week,7,1,google,2025-11-01 16:46:47.603860,,jobs in mountain view arkansas
22,jobs in mountain view arkansas,"('jobs in mtn view arkansas', 'indeed jobs in mountain view arkansas')",jobs in mtn view arkansas,indeed jobs in mountain view arkansas,8,1,google,2025-11-01 16:46:47.603860,,jobs in mountain view arkansas
23,jobs in mountain view arkansas,"('jobs in mtn view arkansas', 'jobs in mt home arkansas')",jobs in mtn view arkansas,jobs in mt home arkansas,9,1,google,2025-11-01 16:46:47.603860,,jobs in mountain view arkansas
24,jobs in mountain view arkansas,"('jobs in mountain home arkansas', 'jobs in mountain home arkansas no degree')",jobs in mountain home arkansas,jobs in mountain home arkansas no degree,1,1,google,2025-11-01 16:46:48.996766,,jobs in mountain view arkansas
25,jobs in mountain view arkansas,"('jobs in mountain home arkansas', 'jobs in mtn home arkansas')",jobs in mountain home arkansas,jobs in mtn home arkansas,2,1,google,2025-11-01 16:46:48.996766,,jobs in mountain view arkansas
26,jobs in mountain view arkansas,"('jobs in mountain home arkansas', 'jobs in mountain view arkansas')",jobs in mountain home arkansas,jobs in mountain view arkansas,3,1,google,2025-11-01 16:46:48.996766,,jobs in mountain view arkansas
27,jobs in mountain view arkansas,"('jobs in mountain home arkansas', 'hiring in mountain home arkansas')",jobs in mountain home arkansas,hiring in mountain home arkansas,4,1,google,2025-11-01 16:46:48.996766,,jobs in mountain view arkansas
28,jobs in mountain view arkansas,"('jobs in mountain home arkansas', 'employment in mountain home arkansas')",jobs in mountain home arkansas,employment in mountain home arkansas,5,1,google,2025-11-01 16:46:48.996766,,jobs in mountain view arkansas
