,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in mountain village alaska,"('jobs in mountain village alaska', 'jobs in mountain village alaska 2024')",jobs in mountain village alaska,jobs in mountain village alaska 2024,1,0,google,2025-10-28 16:11:07.739135,,
1,jobs in mountain village alaska,"('jobs in mountain village alaska', 'jobs in mountain village alaska full time')",jobs in mountain village alaska,jobs in mountain village alaska full time,2,0,google,2025-10-28 16:11:07.739135,,
2,jobs in mountain village alaska,"('jobs in mountain village alaska', 'jobs in mountain village alaska area')",jobs in mountain village alaska,jobs in mountain village alaska area,3,0,google,2025-10-28 16:11:07.739135,,
3,jobs in mountain village alaska,"('jobs in mountain village alaska', 'jobs in mountain village alaska hiring')",jobs in mountain village alaska,jobs in mountain village alaska hiring,4,0,google,2025-10-28 16:11:07.739135,,
4,jobs in mountain village alaska,"('jobs in mountain village alaska', 'jobs in mountain village alaska for seniors')",jobs in mountain village alaska,jobs in mountain village alaska for seniors,5,0,google,2025-10-28 16:11:07.739135,,
5,jobs in mountain village alaska,"('jobs in mountain village alaska', 'jobs in mountain village alaska school')",jobs in mountain village alaska,jobs in mountain village alaska school,6,0,google,2025-10-28 16:11:07.739135,,
6,jobs in mountain village alaska,"('jobs in mountain village alaska', 'jobs in mountain village alaska weather')",jobs in mountain village alaska,jobs in mountain village alaska weather,7,0,google,2025-10-28 16:11:07.739135,,
7,jobs in mountain village alaska,"('jobs in mountain village alaska', 'jobs in mountain village alaska population')",jobs in mountain village alaska,jobs in mountain village alaska population,8,0,google,2025-10-28 16:11:07.739135,,
8,jobs in mountain village alaska,"('jobs in mountain village alaska 2024', 'jobs in mountain village alaska 2024 jobs')",jobs in mountain village alaska 2024,jobs in mountain village alaska 2024 jobs,1,1,google,2025-10-28 16:11:09.015541,,jobs in mountain village alaska
9,jobs in mountain village alaska,"('jobs in mountain village alaska 2024', 'jobs in mountain village alaska 2024 hiring')",jobs in mountain village alaska 2024,jobs in mountain village alaska 2024 hiring,2,1,google,2025-10-28 16:11:09.015541,,jobs in mountain village alaska
10,jobs in mountain village alaska,"('jobs in mountain village alaska 2024', 'jobs in mountain village alaska 2024 alaska')",jobs in mountain village alaska 2024,jobs in mountain village alaska 2024 alaska,3,1,google,2025-10-28 16:11:09.015541,,jobs in mountain village alaska
11,jobs in mountain village alaska,"('jobs in mountain village alaska 2024', 'jobs in mountain village alaska 2024-2025')",jobs in mountain village alaska 2024,jobs in mountain village alaska 2024-2025,4,1,google,2025-10-28 16:11:09.015541,,jobs in mountain village alaska
12,jobs in mountain village alaska,"('jobs in mountain village alaska 2024', 'jobs in mountain village alaska 2024 openings')",jobs in mountain village alaska 2024,jobs in mountain village alaska 2024 openings,5,1,google,2025-10-28 16:11:09.015541,,jobs in mountain village alaska
13,jobs in mountain village alaska,"('jobs in mountain village alaska full time', 'jobs in mountain village alaska full time jobs')",jobs in mountain village alaska full time,jobs in mountain village alaska full time jobs,1,1,google,2025-10-28 16:11:10.363782,,jobs in mountain village alaska
14,jobs in mountain village alaska,"('jobs in mountain village alaska full time', 'jobs in mountain village alaska full time 2024')",jobs in mountain village alaska full time,jobs in mountain village alaska full time 2024,2,1,google,2025-10-28 16:11:10.363782,,jobs in mountain village alaska
15,jobs in mountain village alaska,"('jobs in mountain village alaska full time', 'jobs in mountain village alaska full time part time')",jobs in mountain village alaska full time,jobs in mountain village alaska full time part time,3,1,google,2025-10-28 16:11:10.363782,,jobs in mountain village alaska
