,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in mountainburg arkansas,"('jobs in mountainburg arkansas', 'jobs in mountainburg ar')",jobs in mountainburg arkansas,jobs in mountainburg ar,1,0,google,2025-11-01 16:49:08.501049,,
1,jobs in mountainburg arkansas,"('jobs in mountainburg arkansas', 'what kind of jobs are in arkansas')",jobs in mountainburg arkansas,what kind of jobs are in arkansas,2,0,google,2025-11-01 16:49:08.501049,,
2,jobs in mountainburg arkansas,"('jobs in mountainburg arkansas', 'what jobs are in arkansas')",jobs in mountainburg arkansas,what jobs are in arkansas,3,0,google,2025-11-01 16:49:08.501049,,
3,jobs in mountainburg arkansas,"('jobs in mountainburg arkansas', 'state of arkansas jobs')",jobs in mountainburg arkansas,state of arkansas jobs,4,0,google,2025-11-01 16:49:08.501049,,
4,jobs in mountainburg arkansas,"('jobs in mountainburg arkansas', 'high paying jobs in arkansas')",jobs in mountainburg arkansas,high paying jobs in arkansas,5,0,google,2025-11-01 16:49:08.501049,,
5,jobs in mountainburg arkansas,"('jobs in mountainburg arkansas', 'jobs in mountain home arkansas')",jobs in mountainburg arkansas,jobs in mountain home arkansas,6,0,google,2025-11-01 16:49:08.501049,,
6,jobs in mountainburg arkansas,"('jobs in mountainburg arkansas', 'jobs in mountain home')",jobs in mountainburg arkansas,jobs in mountain home,7,0,google,2025-11-01 16:49:08.501049,,
7,jobs in mountainburg arkansas,"('jobs in mountainburg arkansas', 'jobs in mountain view arkansas')",jobs in mountainburg arkansas,jobs in mountain view arkansas,8,0,google,2025-11-01 16:49:08.501049,,
8,jobs in mountainburg arkansas,"('jobs in mountainburg ar', 'jobs in mountain home')",jobs in mountainburg ar,jobs in mountain home,1,1,google,2025-11-01 16:49:09.475468,,jobs in mountainburg arkansas
9,jobs in mountainburg arkansas,"('jobs in mountainburg ar', 'jobs in mountain view arkansas')",jobs in mountainburg ar,jobs in mountain view arkansas,2,1,google,2025-11-01 16:49:09.475468,,jobs in mountainburg arkansas
10,jobs in mountainburg arkansas,"('jobs in mountainburg ar', 'jobs in mountain view ar')",jobs in mountainburg ar,jobs in mountain view ar,3,1,google,2025-11-01 16:49:09.475468,,jobs in mountainburg arkansas
11,jobs in mountainburg arkansas,"('what kind of jobs are in arkansas', 'what kind of work is in arkansas')",what kind of jobs are in arkansas,what kind of work is in arkansas,1,1,google,2025-11-01 16:49:10.719312,,jobs in mountainburg arkansas
12,jobs in mountainburg arkansas,"('what kind of jobs are in arkansas', 'what jobs are in arkansas')",what kind of jobs are in arkansas,what jobs are in arkansas,2,1,google,2025-11-01 16:49:10.719312,,jobs in mountainburg arkansas
13,jobs in mountainburg arkansas,"('what kind of jobs are in arkansas', 'what is the best paying job in arkansas')",what kind of jobs are in arkansas,what is the best paying job in arkansas,3,1,google,2025-11-01 16:49:10.719312,,jobs in mountainburg arkansas
14,jobs in mountainburg arkansas,"('what kind of jobs are in arkansas', 'what jobs are in demand in arkansas')",what kind of jobs are in arkansas,what jobs are in demand in arkansas,4,1,google,2025-11-01 16:49:10.719312,,jobs in mountainburg arkansas
15,jobs in mountainburg arkansas,"('what kind of jobs are in arkansas', 'what kind of jobs are in kansas')",what kind of jobs are in arkansas,what kind of jobs are in kansas,5,1,google,2025-11-01 16:49:10.719312,,jobs in mountainburg arkansas
16,jobs in mountainburg arkansas,"('what kind of jobs are in arkansas', 'what jobs are in high demand in arkansas')",what kind of jobs are in arkansas,what jobs are in high demand in arkansas,6,1,google,2025-11-01 16:49:10.719312,,jobs in mountainburg arkansas
17,jobs in mountainburg arkansas,"('what jobs are in arkansas', 'what jobs are hiring in arkansas')",what jobs are in arkansas,what jobs are hiring in arkansas,1,1,google,2025-11-01 16:49:12.023324,,jobs in mountainburg arkansas
18,jobs in mountainburg arkansas,"('what jobs are in arkansas', 'what jobs in arkansas hire at 15')",what jobs are in arkansas,what jobs in arkansas hire at 15,2,1,google,2025-11-01 16:49:12.023324,,jobs in mountainburg arkansas
19,jobs in mountainburg arkansas,"('what jobs are in arkansas', 'what jobs in arkansas hire at 14')",what jobs are in arkansas,what jobs in arkansas hire at 14,3,1,google,2025-11-01 16:49:12.023324,,jobs in mountainburg arkansas
20,jobs in mountainburg arkansas,"('what jobs are in arkansas', 'what jobs are in hot springs arkansas')",what jobs are in arkansas,what jobs are in hot springs arkansas,4,1,google,2025-11-01 16:49:12.023324,,jobs in mountainburg arkansas
21,jobs in mountainburg arkansas,"('what jobs are in arkansas', 'what jobs hire felons in arkansas')",what jobs are in arkansas,what jobs hire felons in arkansas,5,1,google,2025-11-01 16:49:12.023324,,jobs in mountainburg arkansas
22,jobs in mountainburg arkansas,"('what jobs are in arkansas', 'what are the best jobs in arkansas')",what jobs are in arkansas,what are the best jobs in arkansas,6,1,google,2025-11-01 16:49:12.023324,,jobs in mountainburg arkansas
23,jobs in mountainburg arkansas,"('what jobs are in arkansas', 'what are high paying jobs in arkansas')",what jobs are in arkansas,what are high paying jobs in arkansas,7,1,google,2025-11-01 16:49:12.023324,,jobs in mountainburg arkansas
24,jobs in mountainburg arkansas,"('what jobs are in arkansas', 'what are the highest paying jobs in arkansas')",what jobs are in arkansas,what are the highest paying jobs in arkansas,8,1,google,2025-11-01 16:49:12.023324,,jobs in mountainburg arkansas
25,jobs in mountainburg arkansas,"('what jobs are in arkansas', 'what are the best paying jobs in arkansas')",what jobs are in arkansas,what are the best paying jobs in arkansas,9,1,google,2025-11-01 16:49:12.023324,,jobs in mountainburg arkansas
26,jobs in mountainburg arkansas,"('state of arkansas jobs', 'state of arkansas jobs remote')",state of arkansas jobs,state of arkansas jobs remote,1,1,google,2025-11-01 16:49:12.926558,,jobs in mountainburg arkansas
27,jobs in mountainburg arkansas,"('state of arkansas jobs', 'state of arkansas jobs near me')",state of arkansas jobs,state of arkansas jobs near me,2,1,google,2025-11-01 16:49:12.926558,,jobs in mountainburg arkansas
28,jobs in mountainburg arkansas,"('state of arkansas jobs', 'state of arkansas jobs little rock')",state of arkansas jobs,state of arkansas jobs little rock,3,1,google,2025-11-01 16:49:12.926558,,jobs in mountainburg arkansas
29,jobs in mountainburg arkansas,"('state of arkansas jobs', 'state of arkansas jobs login')",state of arkansas jobs,state of arkansas jobs login,4,1,google,2025-11-01 16:49:12.926558,,jobs in mountainburg arkansas
30,jobs in mountainburg arkansas,"('state of arkansas jobs', 'state of arkansas jobs website')",state of arkansas jobs,state of arkansas jobs website,5,1,google,2025-11-01 16:49:12.926558,,jobs in mountainburg arkansas
