,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in munford alabama,"('jobs in munford alabama', 'jobs in munford al')",jobs in munford alabama,jobs in munford al,1,0,google,2025-10-28 23:43:11.991893,,
1,jobs in munford alabama,"('jobs in munford alabama', 'jobs in munford tn')",jobs in munford alabama,jobs in munford tn,2,0,google,2025-10-28 23:43:11.991893,,
2,jobs in munford alabama,"('jobs in munford alabama', 'jobs in munfordville ky')",jobs in munford alabama,jobs in munfordville ky,3,0,google,2025-10-28 23:43:11.991893,,
3,jobs in munford alabama,"('jobs in munford alabama', 'munfordville jobs')",jobs in munford alabama,munfordville jobs,4,0,google,2025-10-28 23:43:11.991893,,
4,jobs in munford alabama,"('jobs in munford al', 'jobs in munford tn')",jobs in munford al,jobs in munford tn,1,1,google,2025-10-28 23:43:13.337362,,jobs in munford alabama
5,jobs in munford alabama,"('jobs in munford al', 'jobs in munfordville ky')",jobs in munford al,jobs in munfordville ky,2,1,google,2025-10-28 23:43:13.337362,,jobs in munford alabama
6,jobs in munford alabama,"('jobs in munford tn', 'jobs in atoka tn')",jobs in munford tn,jobs in atoka tn,1,1,google,2025-10-28 23:43:14.269716,,jobs in munford alabama
7,jobs in munford alabama,"('jobs in munford tn', 'jobs hiring in munford tn')",jobs in munford tn,jobs hiring in munford tn,2,1,google,2025-10-28 23:43:14.269716,,jobs in munford alabama
8,jobs in munford alabama,"('jobs in munford tn', 'x ray jobs in munford tn')",jobs in munford tn,x ray jobs in munford tn,3,1,google,2025-10-28 23:43:14.269716,,jobs in munford alabama
9,jobs in munford alabama,"('jobs in munford tn', 'job openings in munford tn')",jobs in munford tn,job openings in munford tn,4,1,google,2025-10-28 23:43:14.269716,,jobs in munford alabama
10,jobs in munford alabama,"('jobs in munford tn', 'part time jobs in munford tn')",jobs in munford tn,part time jobs in munford tn,5,1,google,2025-10-28 23:43:14.269716,,jobs in munford alabama
11,jobs in munford alabama,"('jobs in munford tn', 'full time jobs in munford tn')",jobs in munford tn,full time jobs in munford tn,6,1,google,2025-10-28 23:43:14.269716,,jobs in munford alabama
12,jobs in munford alabama,"('jobs in munford tn', 'jobs hiring in atoka tn')",jobs in munford tn,jobs hiring in atoka tn,7,1,google,2025-10-28 23:43:14.269716,,jobs in munford alabama
