,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in muscle shoals alabama,"('jobs in muscle shoals alabama', 'hiring in muscle shoals alabama')",jobs in muscle shoals alabama,hiring in muscle shoals alabama,1,0,google,2025-10-28 23:44:33.333097,,
1,jobs in muscle shoals alabama,"('jobs in muscle shoals alabama', 'jobs in muscle shoals al')",jobs in muscle shoals alabama,jobs in muscle shoals al,2,0,google,2025-10-28 23:44:33.333097,,
2,jobs in muscle shoals alabama,"('jobs in muscle shoals alabama', 'constellium jobs in muscle shoals alabama')",jobs in muscle shoals alabama,constellium jobs in muscle shoals alabama,3,0,google,2025-10-28 23:44:33.333097,,
3,jobs in muscle shoals alabama,"('jobs in muscle shoals alabama', 'jobs hiring in muscle shoals alabama')",jobs in muscle shoals alabama,jobs hiring in muscle shoals alabama,4,0,google,2025-10-28 23:44:33.333097,,
4,jobs in muscle shoals alabama,"('jobs in muscle shoals alabama', 'indeed jobs in muscle shoals alabama')",jobs in muscle shoals alabama,indeed jobs in muscle shoals alabama,5,0,google,2025-10-28 23:44:33.333097,,
5,jobs in muscle shoals alabama,"('jobs in muscle shoals alabama', 'rn jobs in muscle shoals alabama')",jobs in muscle shoals alabama,rn jobs in muscle shoals alabama,6,0,google,2025-10-28 23:44:33.333097,,
6,jobs in muscle shoals alabama,"('jobs in muscle shoals alabama', 'jobs available in muscle shoals alabama')",jobs in muscle shoals alabama,jobs available in muscle shoals alabama,7,0,google,2025-10-28 23:44:33.333097,,
7,jobs in muscle shoals alabama,"('jobs in muscle shoals alabama', 'part time jobs in muscle shoals alabama')",jobs in muscle shoals alabama,part time jobs in muscle shoals alabama,8,0,google,2025-10-28 23:44:33.333097,,
8,jobs in muscle shoals alabama,"('jobs in muscle shoals alabama', 'places hiring in muscle shoals alabama')",jobs in muscle shoals alabama,places hiring in muscle shoals alabama,9,0,google,2025-10-28 23:44:33.333097,,
9,jobs in muscle shoals alabama,"('hiring in muscle shoals alabama', 'jobs in muscle shoals alabama')",hiring in muscle shoals alabama,jobs in muscle shoals alabama,1,1,google,2025-10-28 23:44:34.388242,,jobs in muscle shoals alabama
10,jobs in muscle shoals alabama,"('hiring in muscle shoals alabama', 'jobs hiring in muscle shoals alabama')",hiring in muscle shoals alabama,jobs hiring in muscle shoals alabama,2,1,google,2025-10-28 23:44:34.388242,,jobs in muscle shoals alabama
11,jobs in muscle shoals alabama,"('hiring in muscle shoals alabama', 'places hiring in muscle shoals alabama')",hiring in muscle shoals alabama,places hiring in muscle shoals alabama,3,1,google,2025-10-28 23:44:34.388242,,jobs in muscle shoals alabama
12,jobs in muscle shoals alabama,"('hiring in muscle shoals alabama', 'constellium jobs in muscle shoals alabama')",hiring in muscle shoals alabama,constellium jobs in muscle shoals alabama,4,1,google,2025-10-28 23:44:34.388242,,jobs in muscle shoals alabama
13,jobs in muscle shoals alabama,"('hiring in muscle shoals alabama', 'job openings in muscle shoals alabama')",hiring in muscle shoals alabama,job openings in muscle shoals alabama,5,1,google,2025-10-28 23:44:34.388242,,jobs in muscle shoals alabama
14,jobs in muscle shoals alabama,"('hiring in muscle shoals alabama', 'indeed jobs in muscle shoals alabama')",hiring in muscle shoals alabama,indeed jobs in muscle shoals alabama,6,1,google,2025-10-28 23:44:34.388242,,jobs in muscle shoals alabama
15,jobs in muscle shoals alabama,"('hiring in muscle shoals alabama', 'rn jobs in muscle shoals alabama')",hiring in muscle shoals alabama,rn jobs in muscle shoals alabama,7,1,google,2025-10-28 23:44:34.388242,,jobs in muscle shoals alabama
16,jobs in muscle shoals alabama,"('hiring in muscle shoals alabama', 'part time jobs in muscle shoals alabama')",hiring in muscle shoals alabama,part time jobs in muscle shoals alabama,8,1,google,2025-10-28 23:44:34.388242,,jobs in muscle shoals alabama
17,jobs in muscle shoals alabama,"('hiring in muscle shoals alabama', 'welding jobs in muscle shoals al')",hiring in muscle shoals alabama,welding jobs in muscle shoals al,9,1,google,2025-10-28 23:44:34.388242,,jobs in muscle shoals alabama
18,jobs in muscle shoals alabama,"('jobs in muscle shoals al', 'jobs in muscle shoals alabama')",jobs in muscle shoals al,jobs in muscle shoals alabama,1,1,google,2025-10-28 23:44:35.389255,,jobs in muscle shoals alabama
19,jobs in muscle shoals alabama,"('jobs in muscle shoals al', 'jobs hiring in muscle shoals al')",jobs in muscle shoals al,jobs hiring in muscle shoals al,2,1,google,2025-10-28 23:44:35.389255,,jobs in muscle shoals alabama
