,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in new brockton alabama,"('jobs in new brockton alabama', 'jobs in new brockton al')",jobs in new brockton alabama,jobs in new brockton al,1,0,google,2025-10-28 23:47:36.062826,,
1,jobs in new brockton alabama,"('jobs in new brockton alabama', 'jobs in brewton alabama')",jobs in new brockton alabama,jobs in brewton alabama,2,0,google,2025-10-28 23:47:36.062826,,
2,jobs in new brockton alabama,"('jobs in new brockton alabama', 'jobs in brewton')",jobs in new brockton alabama,jobs in brewton,3,0,google,2025-10-28 23:47:36.062826,,
3,jobs in new brockton alabama,"('jobs in new brockton al', 'entry level jobs for 40 year olds')",jobs in new brockton al,entry level jobs for 40 year olds,1,1,google,2025-10-28 23:47:36.966724,,jobs in new brockton alabama
4,jobs in new brockton alabama,"('jobs in new brockton al', 'jobs in brockton massachusetts')",jobs in new brockton al,jobs in brockton massachusetts,2,1,google,2025-10-28 23:47:36.966724,,jobs in new brockton alabama
5,jobs in new brockton alabama,"('jobs in new brockton al', 'jobs in brockton hiring')",jobs in new brockton al,jobs in brockton hiring,3,1,google,2025-10-28 23:47:36.966724,,jobs in new brockton alabama
6,jobs in new brockton alabama,"('jobs in brewton alabama', 'jobs in escambia county alabama')",jobs in brewton alabama,jobs in escambia county alabama,1,1,google,2025-10-28 23:47:37.895479,,jobs in new brockton alabama
7,jobs in new brockton alabama,"('jobs in brewton alabama', 'jobs in brewton al remote')",jobs in brewton alabama,jobs in brewton al remote,2,1,google,2025-10-28 23:47:37.895479,,jobs in new brockton alabama
8,jobs in new brockton alabama,"('jobs in brewton alabama', 'jobs in brewton al hiring')",jobs in brewton alabama,jobs in brewton al hiring,3,1,google,2025-10-28 23:47:37.895479,,jobs in new brockton alabama
9,jobs in new brockton alabama,"('jobs in brewton alabama', 'job openings in brewton alabama')",jobs in brewton alabama,job openings in brewton alabama,4,1,google,2025-10-28 23:47:37.895479,,jobs in new brockton alabama
10,jobs in new brockton alabama,"('jobs in brewton alabama', 'part time jobs in brewton alabama')",jobs in brewton alabama,part time jobs in brewton alabama,5,1,google,2025-10-28 23:47:37.895479,,jobs in new brockton alabama
11,jobs in new brockton alabama,"('jobs in brewton alabama', 'georgia pacific jobs in brewton alabama')",jobs in brewton alabama,georgia pacific jobs in brewton alabama,6,1,google,2025-10-28 23:47:37.895479,,jobs in new brockton alabama
12,jobs in new brockton alabama,"('jobs in brewton alabama', 'indeed jobs in brewton al')",jobs in brewton alabama,indeed jobs in brewton al,7,1,google,2025-10-28 23:47:37.895479,,jobs in new brockton alabama
13,jobs in new brockton alabama,"('jobs in brewton alabama', 'jobs in brewton al in the last 3 days')",jobs in brewton alabama,jobs in brewton al in the last 3 days,8,1,google,2025-10-28 23:47:37.895479,,jobs in new brockton alabama
14,jobs in new brockton alabama,"('jobs in brewton alabama', 'jobs in brewton al in the last week')",jobs in brewton alabama,jobs in brewton al in the last week,9,1,google,2025-10-28 23:47:37.895479,,jobs in new brockton alabama
