,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in newton alabama,"('jobs in newton alabama', 'jobs in newton mississippi')",jobs in newton alabama,jobs in newton mississippi,1,0,google,2025-10-28 23:50:34.817490,,
1,jobs in newton alabama,"('jobs in newton alabama', 'jobs in newton ga')",jobs in newton alabama,jobs in newton ga,2,0,google,2025-10-28 23:50:34.817490,,
2,jobs in newton alabama,"('jobs in newton alabama', 'jobs in newton ms')",jobs in newton alabama,jobs in newton ms,3,0,google,2025-10-28 23:50:34.817490,,
3,jobs in newton alabama,"('jobs in newton alabama', 'jobs in newton county')",jobs in newton alabama,jobs in newton county,4,0,google,2025-10-28 23:50:34.817490,,
4,jobs in newton alabama,"('jobs in newton mississippi', 'jobs in newton ms no degree')",jobs in newton mississippi,jobs in newton ms no degree,1,1,google,2025-10-28 23:50:35.888892,,jobs in newton alabama
5,jobs in newton alabama,"('jobs in newton mississippi', 'jobs hiring in newton ms')",jobs in newton mississippi,jobs hiring in newton ms,2,1,google,2025-10-28 23:50:35.888892,,jobs in newton alabama
6,jobs in newton alabama,"('jobs in newton mississippi', 'jobs in newton county ms')",jobs in newton mississippi,jobs in newton county ms,3,1,google,2025-10-28 23:50:35.888892,,jobs in newton alabama
7,jobs in newton alabama,"('jobs in newton mississippi', 'cna jobs in newton ms')",jobs in newton mississippi,cna jobs in newton ms,4,1,google,2025-10-28 23:50:35.888892,,jobs in newton alabama
8,jobs in newton alabama,"('jobs in newton mississippi', 'mdot jobs in newton ms')",jobs in newton mississippi,mdot jobs in newton ms,5,1,google,2025-10-28 23:50:35.888892,,jobs in newton alabama
9,jobs in newton alabama,"('jobs in newton mississippi', 'jobs in newton ms')",jobs in newton mississippi,jobs in newton ms,6,1,google,2025-10-28 23:50:35.888892,,jobs in newton alabama
10,jobs in newton alabama,"('jobs in newton ga', 'jobs in newton county ga')",jobs in newton ga,jobs in newton county ga,1,1,google,2025-10-28 23:50:36.998231,,jobs in newton alabama
11,jobs in newton alabama,"('jobs in newton ga', 'jobs in newton county')",jobs in newton ga,jobs in newton county,2,1,google,2025-10-28 23:50:36.998231,,jobs in newton alabama
12,jobs in newton alabama,"('jobs in newton ga', 'jobs in newton county indiana')",jobs in newton ga,jobs in newton county indiana,3,1,google,2025-10-28 23:50:36.998231,,jobs in newton alabama
13,jobs in newton alabama,"('jobs in newton ga', 'jobs in newton county ms')",jobs in newton ga,jobs in newton county ms,4,1,google,2025-10-28 23:50:36.998231,,jobs in newton alabama
14,jobs in newton alabama,"('jobs in newton ga', 'jobs in newton county arkansas')",jobs in newton ga,jobs in newton county arkansas,5,1,google,2025-10-28 23:50:36.998231,,jobs in newton alabama
15,jobs in newton alabama,"('jobs in newton ga', 'jobs in newton county texas')",jobs in newton ga,jobs in newton county texas,6,1,google,2025-10-28 23:50:36.998231,,jobs in newton alabama
