,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in north little rock arkansas,"('jobs in north little rock arkansas', 'jobs in north little rock arkansas hiring')",jobs in north little rock arkansas,jobs in north little rock arkansas hiring,1,0,google,2025-11-01 17:08:07.308406,,
1,jobs in north little rock arkansas,"('jobs in north little rock arkansas', 'amazon jobs in north little rock arkansas')",jobs in north little rock arkansas,amazon jobs in north little rock arkansas,2,0,google,2025-11-01 17:08:07.308406,,
2,jobs in north little rock arkansas,"('jobs in north little rock arkansas', 'hiring in north little rock ar')",jobs in north little rock arkansas,hiring in north little rock ar,3,0,google,2025-11-01 17:08:07.308406,,
3,jobs in north little rock arkansas,"('jobs in north little rock arkansas', 'part time jobs in north little rock arkansas')",jobs in north little rock arkansas,part time jobs in north little rock arkansas,4,0,google,2025-11-01 17:08:07.308406,,
4,jobs in north little rock arkansas,"('jobs in north little rock arkansas', 'indeed jobs in north little rock ar')",jobs in north little rock arkansas,indeed jobs in north little rock ar,5,0,google,2025-11-01 17:08:07.308406,,
5,jobs in north little rock arkansas,"('jobs in north little rock arkansas', 'warehouse jobs in north little rock ar')",jobs in north little rock arkansas,warehouse jobs in north little rock ar,6,0,google,2025-11-01 17:08:07.308406,,
6,jobs in north little rock arkansas,"('jobs in north little rock arkansas', 'job openings north little rock arkansas')",jobs in north little rock arkansas,job openings north little rock arkansas,7,0,google,2025-11-01 17:08:07.308406,,
7,jobs in north little rock arkansas,"('jobs in north little rock arkansas', 'part time jobs hiring in north little rock arkansas')",jobs in north little rock arkansas,part time jobs hiring in north little rock arkansas,8,0,google,2025-11-01 17:08:07.308406,,
8,jobs in north little rock arkansas,"('jobs in north little rock arkansas', 'jobs hiring immediately in north little rock ar')",jobs in north little rock arkansas,jobs hiring immediately in north little rock ar,9,0,google,2025-11-01 17:08:07.308406,,
9,jobs in north little rock arkansas,"('jobs in north little rock arkansas hiring', 'jobs hiring immediately in north little rock ar')",jobs in north little rock arkansas hiring,jobs hiring immediately in north little rock ar,1,1,google,2025-11-01 17:08:08.560502,,jobs in north little rock arkansas
10,jobs in north little rock arkansas,"('jobs in north little rock arkansas hiring', 'jobs hiring near north little rock ar')",jobs in north little rock arkansas hiring,jobs hiring near north little rock ar,2,1,google,2025-11-01 17:08:08.560502,,jobs in north little rock arkansas
11,jobs in north little rock arkansas,"('jobs in north little rock arkansas hiring', 'part time jobs hiring in north little rock arkansas')",jobs in north little rock arkansas hiring,part time jobs hiring in north little rock arkansas,3,1,google,2025-11-01 17:08:08.560502,,jobs in north little rock arkansas
12,jobs in north little rock arkansas,"('jobs in north little rock arkansas hiring', 'jobs in little rock arkansas hiring')",jobs in north little rock arkansas hiring,jobs in little rock arkansas hiring,4,1,google,2025-11-01 17:08:08.560502,,jobs in north little rock arkansas
13,jobs in north little rock arkansas,"('jobs in north little rock arkansas hiring', 'jobs in little rock hiring')",jobs in north little rock arkansas hiring,jobs in little rock hiring,5,1,google,2025-11-01 17:08:08.560502,,jobs in north little rock arkansas
14,jobs in north little rock arkansas,"('jobs in north little rock arkansas hiring', 'jobs that hire at 15 in little rock arkansas')",jobs in north little rock arkansas hiring,jobs that hire at 15 in little rock arkansas,6,1,google,2025-11-01 17:08:08.560502,,jobs in north little rock arkansas
15,jobs in north little rock arkansas,"('jobs in north little rock arkansas hiring', 'jobs in north little rock arkansas')",jobs in north little rock arkansas hiring,jobs in north little rock arkansas,7,1,google,2025-11-01 17:08:08.560502,,jobs in north little rock arkansas
16,jobs in north little rock arkansas,"('jobs in north little rock arkansas hiring', 'jobs in north little rock ar')",jobs in north little rock arkansas hiring,jobs in north little rock ar,8,1,google,2025-11-01 17:08:08.560502,,jobs in north little rock arkansas
17,jobs in north little rock arkansas,"('amazon jobs in north little rock arkansas', 'amazon jobs near north little rock ar')",amazon jobs in north little rock arkansas,amazon jobs near north little rock ar,1,1,google,2025-11-01 17:08:09.502356,,jobs in north little rock arkansas
18,jobs in north little rock arkansas,"('amazon jobs in north little rock arkansas', 'jobs hiring in north little rock arkansas')",amazon jobs in north little rock arkansas,jobs hiring in north little rock arkansas,2,1,google,2025-11-01 17:08:09.502356,,jobs in north little rock arkansas
