,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in notasulga alabama,"('jobs in notasulga alabama', 'jobs in notasulga al')",jobs in notasulga alabama,jobs in notasulga al,1,0,google,2025-10-29 00:01:24.530754,,
1,jobs in notasulga alabama,"('jobs in notasulga alabama', 'jobs in northeast alabama')",jobs in notasulga alabama,jobs in northeast alabama,2,0,google,2025-10-29 00:01:24.530754,,
2,jobs in notasulga alabama,"('jobs in notasulga alabama', 'jobs in north alabama')",jobs in notasulga alabama,jobs in north alabama,3,0,google,2025-10-29 00:01:24.530754,,
3,jobs in notasulga alabama,"('jobs in notasulga alabama', 'jobs in northwest alabama')",jobs in notasulga alabama,jobs in northwest alabama,4,0,google,2025-10-29 00:01:24.530754,,
4,jobs in notasulga alabama,"('jobs in notasulga alabama', 'jobs in northern alabama')",jobs in notasulga alabama,jobs in northern alabama,5,0,google,2025-10-29 00:01:24.530754,,
5,jobs in notasulga alabama,"('jobs in notasulga al', 'jobs in tallassee al')",jobs in notasulga al,jobs in tallassee al,1,1,google,2025-10-29 00:01:25.489672,,jobs in notasulga alabama
6,jobs in notasulga alabama,"('jobs in notasulga al', 'jobs hiring in tallassee al')",jobs in notasulga al,jobs hiring in tallassee al,2,1,google,2025-10-29 00:01:25.489672,,jobs in notasulga alabama
7,jobs in notasulga alabama,"('jobs in notasulga al', 'warehouse jobs in tallassee al')",jobs in notasulga al,warehouse jobs in tallassee al,3,1,google,2025-10-29 00:01:25.489672,,jobs in notasulga alabama
8,jobs in notasulga alabama,"('jobs in notasulga al', 'office jobs in tallassee al')",jobs in notasulga al,office jobs in tallassee al,4,1,google,2025-10-29 00:01:25.489672,,jobs in notasulga alabama
9,jobs in notasulga alabama,"('jobs in notasulga al', 'plant jobs in tallassee al')",jobs in notasulga al,plant jobs in tallassee al,5,1,google,2025-10-29 00:01:25.489672,,jobs in notasulga alabama
10,jobs in notasulga alabama,"('jobs in notasulga al', 'jobs in alamogordo new mexico')",jobs in notasulga al,jobs in alamogordo new mexico,6,1,google,2025-10-29 00:01:25.489672,,jobs in notasulga alabama
11,jobs in notasulga alabama,"('jobs in notasulga al', 'jobs in north augusta sc')",jobs in notasulga al,jobs in north augusta sc,7,1,google,2025-10-29 00:01:25.489672,,jobs in notasulga alabama
12,jobs in notasulga alabama,"('jobs in notasulga al', 'jobs in north al')",jobs in notasulga al,jobs in north al,8,1,google,2025-10-29 00:01:25.489672,,jobs in notasulga alabama
13,jobs in notasulga alabama,"('jobs in notasulga al', 'jobs in northwest alabama')",jobs in notasulga al,jobs in northwest alabama,9,1,google,2025-10-29 00:01:25.489672,,jobs in notasulga alabama
14,jobs in notasulga alabama,"('jobs in northeast alabama', 'jobs in northwest alabama')",jobs in northeast alabama,jobs in northwest alabama,1,1,google,2025-10-29 00:01:26.705094,,jobs in notasulga alabama
15,jobs in notasulga alabama,"('jobs in northeast alabama', 'jobs at northeast alabama regional medical center')",jobs in northeast alabama,jobs at northeast alabama regional medical center,2,1,google,2025-10-29 00:01:26.705094,,jobs in notasulga alabama
16,jobs in notasulga alabama,"('jobs in northeast alabama', 'jobs at northeast alabama community college')",jobs in northeast alabama,jobs at northeast alabama community college,3,1,google,2025-10-29 00:01:26.705094,,jobs in notasulga alabama
17,jobs in notasulga alabama,"('jobs in northeast alabama', 'jobs in northern alabama')",jobs in northeast alabama,jobs in northern alabama,4,1,google,2025-10-29 00:01:26.705094,,jobs in notasulga alabama
18,jobs in notasulga alabama,"('jobs in northeast alabama', 'jobs in north alabama')",jobs in northeast alabama,jobs in north alabama,5,1,google,2025-10-29 00:01:26.705094,,jobs in notasulga alabama
19,jobs in notasulga alabama,"('jobs in north alabama', 'jobs in northern alabama')",jobs in north alabama,jobs in northern alabama,1,1,google,2025-10-29 00:01:28.035268,,jobs in notasulga alabama
20,jobs in notasulga alabama,"('jobs in north alabama', 'welding jobs in north alabama')",jobs in north alabama,welding jobs in north alabama,2,1,google,2025-10-29 00:01:28.035268,,jobs in notasulga alabama
21,jobs in notasulga alabama,"('jobs in north alabama', 'nursing jobs in north alabama')",jobs in north alabama,nursing jobs in north alabama,3,1,google,2025-10-29 00:01:28.035268,,jobs in notasulga alabama
22,jobs in notasulga alabama,"('jobs in north alabama', 'jobs hiring in north alabama')",jobs in north alabama,jobs hiring in north alabama,4,1,google,2025-10-29 00:01:28.035268,,jobs in notasulga alabama
23,jobs in notasulga alabama,"('jobs in north alabama', 'manufacturing jobs in north alabama')",jobs in north alabama,manufacturing jobs in north alabama,5,1,google,2025-10-29 00:01:28.035268,,jobs in notasulga alabama
24,jobs in notasulga alabama,"('jobs in north alabama', 'remote jobs in north alabama')",jobs in north alabama,remote jobs in north alabama,6,1,google,2025-10-29 00:01:28.035268,,jobs in notasulga alabama
25,jobs in notasulga alabama,"('jobs in north alabama', 'teaching jobs in north alabama')",jobs in north alabama,teaching jobs in north alabama,7,1,google,2025-10-29 00:01:28.035268,,jobs in notasulga alabama
26,jobs in notasulga alabama,"('jobs in north alabama', 'sales jobs in north alabama')",jobs in north alabama,sales jobs in north alabama,8,1,google,2025-10-29 00:01:28.035268,,jobs in notasulga alabama
27,jobs in notasulga alabama,"('jobs in north alabama', 'construction jobs in north alabama')",jobs in north alabama,construction jobs in north alabama,9,1,google,2025-10-29 00:01:28.035268,,jobs in notasulga alabama
28,jobs in notasulga alabama,"('jobs in northwest alabama', 'jobs in north alabama')",jobs in northwest alabama,jobs in north alabama,1,1,google,2025-10-29 00:01:29.140582,,jobs in notasulga alabama
29,jobs in notasulga alabama,"('jobs in northwest alabama', 'jobs at northwest alabama mental health center')",jobs in northwest alabama,jobs at northwest alabama mental health center,2,1,google,2025-10-29 00:01:29.140582,,jobs in notasulga alabama
30,jobs in notasulga alabama,"('jobs in northwest alabama', 'welding jobs in north alabama')",jobs in northwest alabama,welding jobs in north alabama,3,1,google,2025-10-29 00:01:29.140582,,jobs in notasulga alabama
31,jobs in notasulga alabama,"('jobs in northwest alabama', 'nursing jobs in north alabama')",jobs in northwest alabama,nursing jobs in north alabama,4,1,google,2025-10-29 00:01:29.140582,,jobs in notasulga alabama
32,jobs in notasulga alabama,"('jobs in northwest alabama', 'jobs hiring in north alabama')",jobs in northwest alabama,jobs hiring in north alabama,5,1,google,2025-10-29 00:01:29.140582,,jobs in notasulga alabama
33,jobs in notasulga alabama,"('jobs in northwest alabama', 'manufacturing jobs in north alabama')",jobs in northwest alabama,manufacturing jobs in north alabama,6,1,google,2025-10-29 00:01:29.140582,,jobs in notasulga alabama
34,jobs in notasulga alabama,"('jobs in northwest alabama', 'remote jobs in north alabama')",jobs in northwest alabama,remote jobs in north alabama,7,1,google,2025-10-29 00:01:29.140582,,jobs in notasulga alabama
35,jobs in notasulga alabama,"('jobs in northwest alabama', 'teaching jobs in north alabama')",jobs in northwest alabama,teaching jobs in north alabama,8,1,google,2025-10-29 00:01:29.140582,,jobs in notasulga alabama
36,jobs in notasulga alabama,"('jobs in northwest alabama', 'sales jobs in north alabama')",jobs in northwest alabama,sales jobs in north alabama,9,1,google,2025-10-29 00:01:29.140582,,jobs in notasulga alabama
37,jobs in notasulga alabama,"('jobs in northern alabama', 'jobs in huntsville alabama')",jobs in northern alabama,jobs in huntsville alabama,1,1,google,2025-10-29 00:01:30.244137,,jobs in notasulga alabama
38,jobs in notasulga alabama,"('jobs in northern alabama', 'jobs in huntsville alabama no degree')",jobs in northern alabama,jobs in huntsville alabama no degree,2,1,google,2025-10-29 00:01:30.244137,,jobs in notasulga alabama
39,jobs in notasulga alabama,"('jobs in northern alabama', 'jobs in huntsville alabama remote')",jobs in northern alabama,jobs in huntsville alabama remote,3,1,google,2025-10-29 00:01:30.244137,,jobs in notasulga alabama
40,jobs in notasulga alabama,"('jobs in northern alabama', 'jobs in huntsville alabama full time')",jobs in northern alabama,jobs in huntsville alabama full time,4,1,google,2025-10-29 00:01:30.244137,,jobs in notasulga alabama
41,jobs in notasulga alabama,"('jobs in northern alabama', 'jobs in huntsville alabama part time')",jobs in northern alabama,jobs in huntsville alabama part time,5,1,google,2025-10-29 00:01:30.244137,,jobs in notasulga alabama
42,jobs in notasulga alabama,"('jobs in northern alabama', 'jobs in huntsville alabama indeed')",jobs in northern alabama,jobs in huntsville alabama indeed,6,1,google,2025-10-29 00:01:30.244137,,jobs in notasulga alabama
43,jobs in notasulga alabama,"('jobs in northern alabama', 'jobs in huntsville alabama no experience')",jobs in northern alabama,jobs in huntsville alabama no experience,7,1,google,2025-10-29 00:01:30.244137,,jobs in notasulga alabama
44,jobs in notasulga alabama,"('jobs in northern alabama', 'jobs hiring in huntsville alabama')",jobs in northern alabama,jobs hiring in huntsville alabama,8,1,google,2025-10-29 00:01:30.244137,,jobs in notasulga alabama
45,jobs in notasulga alabama,"('jobs in northern alabama', 'welding jobs in huntsville alabama')",jobs in northern alabama,welding jobs in huntsville alabama,9,1,google,2025-10-29 00:01:30.244137,,jobs in notasulga alabama
46,jobs in notasulga alabama,"('jobs in tallassee al', 'hiring in tallassee al')",jobs in tallassee al,hiring in tallassee al,1,2,google,2025-10-29 00:01:31.237632,jobs in notasulga alabama,jobs in notasulga al
47,jobs in notasulga alabama,"('jobs in tallassee al', 'jobs hiring in tallassee al')",jobs in tallassee al,jobs hiring in tallassee al,2,2,google,2025-10-29 00:01:31.237632,jobs in notasulga alabama,jobs in notasulga al
48,jobs in notasulga alabama,"('jobs in tallassee al', 'warehouse jobs in tallassee al')",jobs in tallassee al,warehouse jobs in tallassee al,3,2,google,2025-10-29 00:01:31.237632,jobs in notasulga alabama,jobs in notasulga al
49,jobs in notasulga alabama,"('jobs in tallassee al', 'office jobs in tallassee al')",jobs in tallassee al,office jobs in tallassee al,4,2,google,2025-10-29 00:01:31.237632,jobs in notasulga alabama,jobs in notasulga al
50,jobs in notasulga alabama,"('jobs in tallassee al', 'plant jobs in tallassee al')",jobs in tallassee al,plant jobs in tallassee al,5,2,google,2025-10-29 00:01:31.237632,jobs in notasulga alabama,jobs in notasulga al
51,jobs in notasulga alabama,"('jobs in tallassee al', 'part time jobs in tallassee al')",jobs in tallassee al,part time jobs in tallassee al,6,2,google,2025-10-29 00:01:31.237632,jobs in notasulga alabama,jobs in notasulga al
52,jobs in notasulga alabama,"('jobs in tallassee al', 'full time jobs in tallassee al')",jobs in tallassee al,full time jobs in tallassee al,7,2,google,2025-10-29 00:01:31.237632,jobs in notasulga alabama,jobs in notasulga al
53,jobs in notasulga alabama,"('jobs in tallassee al', 'jobs in tallassee alabama')",jobs in tallassee al,jobs in tallassee alabama,8,2,google,2025-10-29 00:01:31.237632,jobs in notasulga alabama,jobs in notasulga al
54,jobs in notasulga alabama,"('jobs hiring in tallassee al', 'jobs near tallassee al')",jobs hiring in tallassee al,jobs near tallassee al,1,2,google,2025-10-29 00:01:32.246826,jobs in notasulga alabama,jobs in notasulga al
55,jobs in notasulga alabama,"('jobs hiring in tallassee al', 'job openings tallassee al')",jobs hiring in tallassee al,job openings tallassee al,2,2,google,2025-10-29 00:01:32.246826,jobs in notasulga alabama,jobs in notasulga al
56,jobs in notasulga alabama,"('jobs hiring in tallassee al', 'jobs hiring in tallassee alabama')",jobs hiring in tallassee al,jobs hiring in tallassee alabama,3,2,google,2025-10-29 00:01:32.246826,jobs in notasulga alabama,jobs in notasulga al
