,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in oakman alabama,"('jobs in oakman alabama', 'jobs in oakman al')",jobs in oakman alabama,jobs in oakman al,1,0,google,2025-10-29 00:05:04.519797,,
1,jobs in oakman alabama,"('jobs in oakman alabama', 'oakman alabama')",jobs in oakman alabama,oakman alabama,2,0,google,2025-10-29 00:05:04.519797,,
2,jobs in oakman alabama,"('jobs in oakman alabama', 'oakman al')",jobs in oakman alabama,oakman al,3,0,google,2025-10-29 00:05:04.519797,,
3,jobs in oakman alabama,"('jobs in oakman alabama', 'jobs at oak mountain state park')",jobs in oakman alabama,jobs at oak mountain state park,4,0,google,2025-10-29 00:05:04.519797,,
4,jobs in oakman alabama,"('jobs in oakman alabama', 'oakman al apartments')",jobs in oakman alabama,oakman al apartments,5,0,google,2025-10-29 00:05:04.519797,,
5,jobs in oakman alabama,"('jobs in oakman al', 'jobs in oakmont')",jobs in oakman al,jobs in oakmont,1,1,google,2025-10-29 00:05:05.405240,,jobs in oakman alabama
6,jobs in oakman alabama,"('jobs in oakman al', 'jobs in oakmont pa')",jobs in oakman al,jobs in oakmont pa,2,1,google,2025-10-29 00:05:05.405240,,jobs in oakman alabama
7,jobs in oakman alabama,"('jobs in oakman al', 'jobs in oatman az')",jobs in oakman al,jobs in oatman az,3,1,google,2025-10-29 00:05:05.405240,,jobs in oakman alabama
8,jobs in oakman alabama,"('jobs in oakman al', 'oakman al')",jobs in oakman al,oakman al,4,1,google,2025-10-29 00:05:05.405240,,jobs in oakman alabama
9,jobs in oakman alabama,"('oakman alabama', 'oakman alabama map')",oakman alabama,oakman alabama map,1,1,google,2025-10-29 00:05:06.427442,,jobs in oakman alabama
10,jobs in oakman alabama,"('oakman alabama', 'oakman alabama weather')",oakman alabama,oakman alabama weather,2,1,google,2025-10-29 00:05:06.427442,,jobs in oakman alabama
11,jobs in oakman alabama,"('oakman alabama', 'oakman alabama football')",oakman alabama,oakman alabama football,3,1,google,2025-10-29 00:05:06.427442,,jobs in oakman alabama
12,jobs in oakman alabama,"('oakman alabama', 'oakman alabama steakhouse')",oakman alabama,oakman alabama steakhouse,4,1,google,2025-10-29 00:05:06.427442,,jobs in oakman alabama
13,jobs in oakman alabama,"('oakman alabama', 'oakman alabama election results')",oakman alabama,oakman alabama election results,5,1,google,2025-10-29 00:05:06.427442,,jobs in oakman alabama
14,jobs in oakman alabama,"('oakman alabama', 'oakman alabama post office')",oakman alabama,oakman alabama post office,6,1,google,2025-10-29 00:05:06.427442,,jobs in oakman alabama
15,jobs in oakman alabama,"('oakman alabama', 'oakman alabama from my location')",oakman alabama,oakman alabama from my location,7,1,google,2025-10-29 00:05:06.427442,,jobs in oakman alabama
16,jobs in oakman alabama,"('oakman alabama', 'oakman alabama football schedule')",oakman alabama,oakman alabama football schedule,8,1,google,2025-10-29 00:05:06.427442,,jobs in oakman alabama
17,jobs in oakman alabama,"('oakman alabama', 'oakman alabama restaurants')",oakman alabama,oakman alabama restaurants,9,1,google,2025-10-29 00:05:06.427442,,jobs in oakman alabama
18,jobs in oakman alabama,"('oakman al', 'oakman alabama')",oakman al,oakman alabama,1,1,google,2025-10-29 00:05:07.201957,,jobs in oakman alabama
19,jobs in oakman alabama,"('oakman al', 'oakman alabama map')",oakman al,oakman alabama map,2,1,google,2025-10-29 00:05:07.201957,,jobs in oakman alabama
20,jobs in oakman alabama,"('oakman al', 'oakman al population')",oakman al,oakman al population,3,1,google,2025-10-29 00:05:07.201957,,jobs in oakman alabama
21,jobs in oakman alabama,"('oakman al', 'oakman al weather')",oakman al,oakman al weather,4,1,google,2025-10-29 00:05:07.201957,,jobs in oakman alabama
22,jobs in oakman alabama,"('oakman al', 'oakman alabama football')",oakman al,oakman alabama football,5,1,google,2025-10-29 00:05:07.201957,,jobs in oakman alabama
23,jobs in oakman alabama,"('oakman al', 'oakman alabama steakhouse')",oakman al,oakman alabama steakhouse,6,1,google,2025-10-29 00:05:07.201957,,jobs in oakman alabama
24,jobs in oakman alabama,"('oakman al', 'oakman al 35579')",oakman al,oakman al 35579,7,1,google,2025-10-29 00:05:07.201957,,jobs in oakman alabama
25,jobs in oakman alabama,"('oakman al', 'oakman al football')",oakman al,oakman al football,8,1,google,2025-10-29 00:05:07.201957,,jobs in oakman alabama
26,jobs in oakman alabama,"('oakman al', 'oakman al restaurants')",oakman al,oakman al restaurants,9,1,google,2025-10-29 00:05:07.201957,,jobs in oakman alabama
27,jobs in oakman alabama,"('oakman al', 'oakman al police department')",oakman al,oakman al police department,10,1,google,2025-10-29 00:05:07.201957,,jobs in oakman alabama
28,jobs in oakman alabama,"('jobs at oak mountain state park', 'part time jobs at oak mountain state park')",jobs at oak mountain state park,part time jobs at oak mountain state park,1,1,google,2025-10-29 00:05:08.074956,,jobs in oakman alabama
29,jobs in oakman alabama,"('jobs at oak mountain state park', 'oak mountain state park careers')",jobs at oak mountain state park,oak mountain state park careers,2,1,google,2025-10-29 00:05:08.074956,,jobs in oakman alabama
30,jobs in oakman alabama,"('jobs at oak mountain state park', 'oak mountain state park employment')",jobs at oak mountain state park,oak mountain state park employment,3,1,google,2025-10-29 00:05:08.074956,,jobs in oakman alabama
31,jobs in oakman alabama,"('oakman al apartments', 'oakman al houses for sale')",oakman al apartments,oakman al houses for sale,1,1,google,2025-10-29 00:05:09.086339,,jobs in oakman alabama
32,jobs in oakman alabama,"('oakman al apartments', 'oakman terrace apartments')",oakman al apartments,oakman terrace apartments,2,1,google,2025-10-29 00:05:09.086339,,jobs in oakman alabama
33,jobs in oakman alabama,"('jobs in oakmont', 'jobs in oakmont pa')",jobs in oakmont,jobs in oakmont pa,1,2,google,2025-10-29 00:05:10.339454,jobs in oakman alabama,jobs in oakman al
34,jobs in oakman alabama,"('jobs in oakmont', 'jobs hiring in oakmont pa')",jobs in oakmont,jobs hiring in oakmont pa,2,2,google,2025-10-29 00:05:10.339454,jobs in oakman alabama,jobs in oakman al
35,jobs in oakman alabama,"('jobs in oakmont', 'jobs oakmont country club')",jobs in oakmont,jobs oakmont country club,3,2,google,2025-10-29 00:05:10.339454,jobs in oakman alabama,jobs in oakman al
36,jobs in oakman alabama,"('jobs in oakmont', 'part time jobs in oakmont pa')",jobs in oakmont,part time jobs in oakmont pa,4,2,google,2025-10-29 00:05:10.339454,jobs in oakman alabama,jobs in oakman al
37,jobs in oakman alabama,"('jobs in oakmont', 'part time jobs in oakmont')",jobs in oakmont,part time jobs in oakmont,5,2,google,2025-10-29 00:05:10.339454,jobs in oakman alabama,jobs in oakman al
38,jobs in oakman alabama,"('jobs in oakmont pa', 'jobs hiring in oakmont pa')",jobs in oakmont pa,jobs hiring in oakmont pa,1,2,google,2025-10-29 00:05:11.283801,jobs in oakman alabama,jobs in oakman al
39,jobs in oakman alabama,"('jobs in oakmont pa', 'part time jobs in oakmont pa')",jobs in oakmont pa,part time jobs in oakmont pa,2,2,google,2025-10-29 00:05:11.283801,jobs in oakman alabama,jobs in oakman al
40,jobs in oakman alabama,"('jobs in oakmont pa', 'part time jobs in oakmont')",jobs in oakmont pa,part time jobs in oakmont,3,2,google,2025-10-29 00:05:11.283801,jobs in oakman alabama,jobs in oakman al
41,jobs in oakman alabama,"('jobs in oakmont pa', 'jobs in oakmont')",jobs in oakmont pa,jobs in oakmont,4,2,google,2025-10-29 00:05:11.283801,jobs in oakman alabama,jobs in oakman al
42,jobs in oakman alabama,"('jobs in oatman az', 'is oatman az worth visiting')",jobs in oatman az,is oatman az worth visiting,1,2,google,2025-10-29 00:05:12.074041,jobs in oakman alabama,jobs in oakman al
43,jobs in oakman alabama,"('jobs in oatman az', 'where is oatman arizona')",jobs in oatman az,where is oatman arizona,2,2,google,2025-10-29 00:05:12.074041,jobs in oakman alabama,jobs in oakman al
44,jobs in oakman alabama,"('jobs in oatman az', 'oatman. az')",jobs in oatman az,oatman. az,3,2,google,2025-10-29 00:05:12.074041,jobs in oakman alabama,jobs in oakman al
45,jobs in oakman alabama,"('jobs in oatman az', 'oatman az population')",jobs in oatman az,oatman az population,4,2,google,2025-10-29 00:05:12.074041,jobs in oakman alabama,jobs in oakman al
46,jobs in oakman alabama,"('jobs in oatman az', 'oatman az businesses')",jobs in oatman az,oatman az businesses,5,2,google,2025-10-29 00:05:12.074041,jobs in oakman alabama,jobs in oakman al
47,jobs in oakman alabama,"('oakman alabama map', 'oakman al map')",oakman alabama map,oakman al map,1,2,google,2025-10-29 00:05:13.318141,jobs in oakman alabama jobs in oakman alabama,oakman alabama oakman al
48,jobs in oakman alabama,"('oakman alabama map', 'directions to oakman alabama')",oakman alabama map,directions to oakman alabama,2,2,google,2025-10-29 00:05:13.318141,jobs in oakman alabama jobs in oakman alabama,oakman alabama oakman al
49,jobs in oakman alabama,"('oakman alabama map', 'where is oakman alabama')",oakman alabama map,where is oakman alabama,3,2,google,2025-10-29 00:05:13.318141,jobs in oakman alabama jobs in oakman alabama,oakman alabama oakman al
50,jobs in oakman alabama,"('oakman alabama map', 'every town in alabama')",oakman alabama map,every town in alabama,4,2,google,2025-10-29 00:05:13.318141,jobs in oakman alabama jobs in oakman alabama,oakman alabama oakman al
51,jobs in oakman alabama,"('oakman alabama map', 'alabama football list of seasons')",oakman alabama map,alabama football list of seasons,5,2,google,2025-10-29 00:05:13.318141,jobs in oakman alabama jobs in oakman alabama,oakman alabama oakman al
52,jobs in oakman alabama,"('oakman alabama map', 'oakman al')",oakman alabama map,oakman al,6,2,google,2025-10-29 00:05:13.318141,jobs in oakman alabama jobs in oakman alabama,oakman alabama oakman al
53,jobs in oakman alabama,"('oakman alabama map', 'oakman al directions')",oakman alabama map,oakman al directions,7,2,google,2025-10-29 00:05:13.318141,jobs in oakman alabama jobs in oakman alabama,oakman alabama oakman al
54,jobs in oakman alabama,"('oakman alabama weather', 'oakman al weather radar')",oakman alabama weather,oakman al weather radar,1,2,google,2025-10-29 00:05:14.763415,jobs in oakman alabama,oakman alabama
55,jobs in oakman alabama,"('oakman alabama weather', 'alabama humidity by month')",oakman alabama weather,alabama humidity by month,2,2,google,2025-10-29 00:05:14.763415,jobs in oakman alabama,oakman alabama
56,jobs in oakman alabama,"('oakman alabama weather', 'oakman al weather')",oakman alabama weather,oakman al weather,3,2,google,2025-10-29 00:05:14.763415,jobs in oakman alabama,oakman alabama
