,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in oneonta alabama,"('jobs in oneonta alabama', 'jobs in oneonta al')",jobs in oneonta alabama,jobs in oneonta al,1,0,google,2025-10-29 00:07:00.501841,,
1,jobs in oneonta alabama,"('jobs in oneonta alabama', 'jobs hiring in oneonta alabama')",jobs in oneonta alabama,jobs hiring in oneonta alabama,2,0,google,2025-10-29 00:07:00.501841,,
2,jobs in oneonta alabama,"('jobs in oneonta alabama', 'part time jobs in oneonta alabama')",jobs in oneonta alabama,part time jobs in oneonta alabama,3,0,google,2025-10-29 00:07:00.501841,,
3,jobs in oneonta alabama,"('jobs in oneonta alabama', 'indeed jobs in oneonta al')",jobs in oneonta alabama,indeed jobs in oneonta al,4,0,google,2025-10-29 00:07:00.501841,,
4,jobs in oneonta alabama,"('jobs in oneonta alabama', 'jobs available in oneonta al')",jobs in oneonta alabama,jobs available in oneonta al,5,0,google,2025-10-29 00:07:00.501841,,
5,jobs in oneonta alabama,"('jobs in oneonta al', 'jobs in oneonta alabama')",jobs in oneonta al,jobs in oneonta alabama,1,1,google,2025-10-29 00:07:02.065914,,jobs in oneonta alabama
6,jobs in oneonta alabama,"('jobs in oneonta al', 'hiring in oneonta al')",jobs in oneonta al,hiring in oneonta al,2,1,google,2025-10-29 00:07:02.065914,,jobs in oneonta alabama
7,jobs in oneonta alabama,"('jobs in oneonta al', 'jobs hiring in oneonta al')",jobs in oneonta al,jobs hiring in oneonta al,3,1,google,2025-10-29 00:07:02.065914,,jobs in oneonta alabama
8,jobs in oneonta alabama,"('jobs in oneonta al', 'indeed jobs in oneonta al')",jobs in oneonta al,indeed jobs in oneonta al,4,1,google,2025-10-29 00:07:02.065914,,jobs in oneonta alabama
9,jobs in oneonta alabama,"('jobs in oneonta al', 'jobs available in oneonta al')",jobs in oneonta al,jobs available in oneonta al,5,1,google,2025-10-29 00:07:02.065914,,jobs in oneonta alabama
10,jobs in oneonta alabama,"('jobs in oneonta al', 'jobs oneonta al since yesterday')",jobs in oneonta al,jobs oneonta al since yesterday,6,1,google,2025-10-29 00:07:02.065914,,jobs in oneonta alabama
11,jobs in oneonta alabama,"('jobs in oneonta al', 'jobs oneonta al no degree')",jobs in oneonta al,jobs oneonta al no degree,7,1,google,2025-10-29 00:07:02.065914,,jobs in oneonta alabama
12,jobs in oneonta alabama,"('jobs in oneonta al', 'part time jobs in oneonta al')",jobs in oneonta al,part time jobs in oneonta al,8,1,google,2025-10-29 00:07:02.065914,,jobs in oneonta alabama
13,jobs in oneonta alabama,"('jobs in oneonta al', 'full time jobs in oneonta al')",jobs in oneonta al,full time jobs in oneonta al,9,1,google,2025-10-29 00:07:02.065914,,jobs in oneonta alabama
14,jobs in oneonta alabama,"('jobs hiring in oneonta alabama', 'jobs hiring in oneonta al')",jobs hiring in oneonta alabama,jobs hiring in oneonta al,1,1,google,2025-10-29 00:07:02.971523,,jobs in oneonta alabama
15,jobs in oneonta alabama,"('jobs hiring in oneonta alabama', 'jobs available in oneonta al')",jobs hiring in oneonta alabama,jobs available in oneonta al,2,1,google,2025-10-29 00:07:02.971523,,jobs in oneonta alabama
16,jobs in oneonta alabama,"('jobs hiring in oneonta alabama', 'jobs near oneonta alabama')",jobs hiring in oneonta alabama,jobs near oneonta alabama,3,1,google,2025-10-29 00:07:02.971523,,jobs in oneonta alabama
17,jobs in oneonta alabama,"('jobs hiring in oneonta alabama', 'jobs near me oneonta alabama')",jobs hiring in oneonta alabama,jobs near me oneonta alabama,4,1,google,2025-10-29 00:07:02.971523,,jobs in oneonta alabama
18,jobs in oneonta alabama,"('part time jobs in oneonta alabama', 'full time jobs in oneonta al')",part time jobs in oneonta alabama,full time jobs in oneonta al,1,1,google,2025-10-29 00:07:04.307432,,jobs in oneonta alabama
19,jobs in oneonta alabama,"('part time jobs in oneonta alabama', 'part time jobs near oneonta al')",part time jobs in oneonta alabama,part time jobs near oneonta al,2,1,google,2025-10-29 00:07:04.307432,,jobs in oneonta alabama
