,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in opp alabama,"('jobs in opp alabama', 'jobs hiring in opp alabama')",jobs in opp alabama,jobs hiring in opp alabama,1,0,google,2025-10-29 00:12:05.929267,,
1,jobs in opp alabama,"('jobs in opp alabama', 'job openings in opp alabama')",jobs in opp alabama,job openings in opp alabama,2,0,google,2025-10-29 00:12:05.929267,,
2,jobs in opp alabama,"('jobs in opp alabama', 'part-time jobs in opp alabama')",jobs in opp alabama,part-time jobs in opp alabama,3,0,google,2025-10-29 00:12:05.929267,,
3,jobs in opp alabama,"('jobs in opp alabama', 'places hiring in opp alabama')",jobs in opp alabama,places hiring in opp alabama,4,0,google,2025-10-29 00:12:05.929267,,
4,jobs in opp alabama,"('jobs in opp alabama', 'jobs in opp al')",jobs in opp alabama,jobs in opp al,5,0,google,2025-10-29 00:12:05.929267,,
5,jobs in opp alabama,"('jobs in opp alabama', 'jobs in opp')",jobs in opp alabama,jobs in opp,6,0,google,2025-10-29 00:12:05.929267,,
6,jobs in opp alabama,"('jobs hiring in opp alabama', 'job openings in opp alabama')",jobs hiring in opp alabama,job openings in opp alabama,1,1,google,2025-10-29 00:12:07.128184,,jobs in opp alabama
7,jobs in opp alabama,"('jobs hiring in opp alabama', 'jobs near opp alabama')",jobs hiring in opp alabama,jobs near opp alabama,2,1,google,2025-10-29 00:12:07.128184,,jobs in opp alabama
8,jobs in opp alabama,"('jobs hiring in opp alabama', 'jobs hiring near opp al')",jobs hiring in opp alabama,jobs hiring near opp al,3,1,google,2025-10-29 00:12:07.128184,,jobs in opp alabama
9,jobs in opp alabama,"('job openings in opp alabama', 'jobs hiring in opp alabama')",job openings in opp alabama,jobs hiring in opp alabama,1,1,google,2025-10-29 00:12:08.163341,,jobs in opp alabama
10,jobs in opp alabama,"('job openings in opp alabama', 'job openings available near me')",job openings in opp alabama,job openings available near me,2,1,google,2025-10-29 00:12:08.163341,,jobs in opp alabama
