,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in osceola arkansas,"('jobs in osceola arkansas', 'jobs in osceola ar no experience')",jobs in osceola arkansas,jobs in osceola ar no experience,1,0,google,2025-10-30 17:26:56.173341,,
1,jobs in osceola arkansas,"('jobs in osceola arkansas', 'jobs hiring in osceola arkansas')",jobs in osceola arkansas,jobs hiring in osceola arkansas,2,0,google,2025-10-30 17:26:56.173341,,
2,jobs in osceola arkansas,"('jobs in osceola arkansas', 'indeed jobs in osceola arkansas')",jobs in osceola arkansas,indeed jobs in osceola arkansas,3,0,google,2025-10-30 17:26:56.173341,,
3,jobs in osceola arkansas,"('jobs in osceola arkansas', 'factory jobs in osceola arkansas')",jobs in osceola arkansas,factory jobs in osceola arkansas,4,0,google,2025-10-30 17:26:56.173341,,
4,jobs in osceola arkansas,"('jobs in osceola arkansas', 'job openings in osceola arkansas')",jobs in osceola arkansas,job openings in osceola arkansas,5,0,google,2025-10-30 17:26:56.173341,,
5,jobs in osceola arkansas,"('jobs in osceola arkansas', 'welding jobs osceola ar')",jobs in osceola arkansas,welding jobs osceola ar,6,0,google,2025-10-30 17:26:56.173341,,
6,jobs in osceola arkansas,"('jobs in osceola arkansas', 'jobs in osceola ar')",jobs in osceola arkansas,jobs in osceola ar,7,0,google,2025-10-30 17:26:56.173341,,
7,jobs in osceola arkansas,"('jobs in osceola ar no experience', 'jobs in osceola arkansas')",jobs in osceola ar no experience,jobs in osceola arkansas,1,1,google,2025-10-30 17:26:57.570947,,jobs in osceola arkansas
8,jobs in osceola arkansas,"('jobs in osceola ar no experience', 'jobs in osceola ar')",jobs in osceola ar no experience,jobs in osceola ar,2,1,google,2025-10-30 17:26:57.570947,,jobs in osceola arkansas
9,jobs in osceola arkansas,"('jobs in osceola ar no experience', 'jobs in osceola')",jobs in osceola ar no experience,jobs in osceola,3,1,google,2025-10-30 17:26:57.570947,,jobs in osceola arkansas
10,jobs in osceola arkansas,"('jobs hiring in osceola arkansas', 'job openings in osceola arkansas')",jobs hiring in osceola arkansas,job openings in osceola arkansas,1,1,google,2025-10-30 17:26:58.432851,,jobs in osceola arkansas
11,jobs in osceola arkansas,"('jobs hiring in osceola arkansas', 'jobs hiring immediately osceola ar')",jobs hiring in osceola arkansas,jobs hiring immediately osceola ar,2,1,google,2025-10-30 17:26:58.432851,,jobs in osceola arkansas
12,jobs in osceola arkansas,"('jobs hiring in osceola arkansas', 'jobs osceola arkansas')",jobs hiring in osceola arkansas,jobs osceola arkansas,3,1,google,2025-10-30 17:26:58.432851,,jobs in osceola arkansas
13,jobs in osceola arkansas,"('jobs hiring in osceola arkansas', 'jobs hiring in osceola ar')",jobs hiring in osceola arkansas,jobs hiring in osceola ar,4,1,google,2025-10-30 17:26:58.432851,,jobs in osceola arkansas
14,jobs in osceola arkansas,"('jobs hiring in osceola arkansas', 'jobs osceola ar')",jobs hiring in osceola arkansas,jobs osceola ar,5,1,google,2025-10-30 17:26:58.432851,,jobs in osceola arkansas
15,jobs in osceola arkansas,"('indeed jobs in osceola arkansas', 'indeed jobs osceola ar full time')",indeed jobs in osceola arkansas,indeed jobs osceola ar full time,1,1,google,2025-10-30 17:26:59.396503,,jobs in osceola arkansas
16,jobs in osceola arkansas,"('indeed jobs in osceola arkansas', 'indeed jobs near osceola ar')",indeed jobs in osceola arkansas,indeed jobs near osceola ar,2,1,google,2025-10-30 17:26:59.396503,,jobs in osceola arkansas
17,jobs in osceola arkansas,"('indeed jobs in osceola arkansas', 'indeed osceola ar')",indeed jobs in osceola arkansas,indeed osceola ar,3,1,google,2025-10-30 17:26:59.396503,,jobs in osceola arkansas
