,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in ozark alabama,"('jobs in ozark alabama', 'hiring in ozark alabama')",jobs in ozark alabama,hiring in ozark alabama,1,0,google,2025-10-29 00:22:32.293293,,
1,jobs in ozark alabama,"('jobs in ozark alabama', 'jobs hiring in ozark alabama')",jobs in ozark alabama,jobs hiring in ozark alabama,2,0,google,2025-10-29 00:22:32.293293,,
2,jobs in ozark alabama,"('jobs in ozark alabama', 'job openings in ozark alabama')",jobs in ozark alabama,job openings in ozark alabama,3,0,google,2025-10-29 00:22:32.293293,,
3,jobs in ozark alabama,"('jobs in ozark alabama', 'part time jobs in ozark alabama')",jobs in ozark alabama,part time jobs in ozark alabama,4,0,google,2025-10-29 00:22:32.293293,,
4,jobs in ozark alabama,"('jobs in ozark alabama', 'full time jobs in ozark alabama')",jobs in ozark alabama,full time jobs in ozark alabama,5,0,google,2025-10-29 00:22:32.293293,,
5,jobs in ozark alabama,"('jobs in ozark alabama', 'warehouse jobs in ozark al')",jobs in ozark alabama,warehouse jobs in ozark al,6,0,google,2025-10-29 00:22:32.293293,,
6,jobs in ozark alabama,"('jobs in ozark alabama', 'jobs in ozark al in the last 3 days')",jobs in ozark alabama,jobs in ozark al in the last 3 days,7,0,google,2025-10-29 00:22:32.293293,,
7,jobs in ozark alabama,"('jobs in ozark alabama', 'ozark salary')",jobs in ozark alabama,ozark salary,8,0,google,2025-10-29 00:22:32.293293,,
8,jobs in ozark alabama,"('jobs in ozark alabama', 'ozark job openings')",jobs in ozark alabama,ozark job openings,9,0,google,2025-10-29 00:22:32.293293,,
9,jobs in ozark alabama,"('hiring in ozark alabama', 'jobs in ozark alabama')",hiring in ozark alabama,jobs in ozark alabama,1,1,google,2025-10-29 00:22:33.501936,,jobs in ozark alabama
10,jobs in ozark alabama,"('hiring in ozark alabama', 'jobs hiring in ozark alabama')",hiring in ozark alabama,jobs hiring in ozark alabama,2,1,google,2025-10-29 00:22:33.501936,,jobs in ozark alabama
11,jobs in ozark alabama,"('hiring in ozark alabama', 'job openings in ozark alabama')",hiring in ozark alabama,job openings in ozark alabama,3,1,google,2025-10-29 00:22:33.501936,,jobs in ozark alabama
12,jobs in ozark alabama,"('hiring in ozark alabama', 'places hiring in ozark al')",hiring in ozark alabama,places hiring in ozark al,4,1,google,2025-10-29 00:22:33.501936,,jobs in ozark alabama
13,jobs in ozark alabama,"('hiring in ozark alabama', 'is ozark filmed in the ozarks')",hiring in ozark alabama,is ozark filmed in the ozarks,5,1,google,2025-10-29 00:22:33.501936,,jobs in ozark alabama
14,jobs in ozark alabama,"('hiring in ozark alabama', 'ozark job openings')",hiring in ozark alabama,ozark job openings,6,1,google,2025-10-29 00:22:33.501936,,jobs in ozark alabama
15,jobs in ozark alabama,"('hiring in ozark alabama', 'hiring ozark al')",hiring in ozark alabama,hiring ozark al,7,1,google,2025-10-29 00:22:33.501936,,jobs in ozark alabama
16,jobs in ozark alabama,"('hiring in ozark alabama', 'ozark al jobs hiring')",hiring in ozark alabama,ozark al jobs hiring,8,1,google,2025-10-29 00:22:33.501936,,jobs in ozark alabama
17,jobs in ozark alabama,"('hiring in ozark alabama', 'ozark al jobs')",hiring in ozark alabama,ozark al jobs,9,1,google,2025-10-29 00:22:33.501936,,jobs in ozark alabama
18,jobs in ozark alabama,"('jobs hiring in ozark alabama', 'job openings in ozark alabama')",jobs hiring in ozark alabama,job openings in ozark alabama,1,1,google,2025-10-29 00:22:34.648076,,jobs in ozark alabama
19,jobs in ozark alabama,"('jobs hiring in ozark alabama', 'jobs near ozark alabama')",jobs hiring in ozark alabama,jobs near ozark alabama,2,1,google,2025-10-29 00:22:34.648076,,jobs in ozark alabama
20,jobs in ozark alabama,"('jobs hiring in ozark alabama', 'jobs hiring near ozark al')",jobs hiring in ozark alabama,jobs hiring near ozark al,3,1,google,2025-10-29 00:22:34.648076,,jobs in ozark alabama
21,jobs in ozark alabama,"('jobs hiring in ozark alabama', 'jobs ozark al')",jobs hiring in ozark alabama,jobs ozark al,4,1,google,2025-10-29 00:22:34.648076,,jobs in ozark alabama
22,jobs in ozark alabama,"('job openings in ozark alabama', 'jobs hiring in ozark alabama')",job openings in ozark alabama,jobs hiring in ozark alabama,1,1,google,2025-10-29 00:22:35.749209,,jobs in ozark alabama
23,jobs in ozark alabama,"('job openings in ozark alabama', 'ozark job openings')",job openings in ozark alabama,ozark job openings,2,1,google,2025-10-29 00:22:35.749209,,jobs in ozark alabama
24,jobs in ozark alabama,"('job openings in ozark alabama', 'job openings in ozark mo')",job openings in ozark alabama,job openings in ozark mo,3,1,google,2025-10-29 00:22:35.749209,,jobs in ozark alabama
25,jobs in ozark alabama,"('job openings in ozark alabama', 'atu ozark job openings')",job openings in ozark alabama,atu ozark job openings,4,1,google,2025-10-29 00:22:35.749209,,jobs in ozark alabama
26,jobs in ozark alabama,"('job openings in ozark alabama', 'ozark alabama jobs')",job openings in ozark alabama,ozark alabama jobs,5,1,google,2025-10-29 00:22:35.749209,,jobs in ozark alabama
27,jobs in ozark alabama,"('job openings in ozark alabama', 'job openings in ozark arkansas')",job openings in ozark alabama,job openings in ozark arkansas,6,1,google,2025-10-29 00:22:35.749209,,jobs in ozark alabama
28,jobs in ozark alabama,"('part time jobs in ozark alabama', 'full time jobs in ozark alabama')",part time jobs in ozark alabama,full time jobs in ozark alabama,1,1,google,2025-10-29 00:22:37.039731,,jobs in ozark alabama
29,jobs in ozark alabama,"('part time jobs in ozark alabama', 'full time jobs in ozark al')",part time jobs in ozark alabama,full time jobs in ozark al,2,1,google,2025-10-29 00:22:37.039731,,jobs in ozark alabama
30,jobs in ozark alabama,"('part time jobs in ozark alabama', 'part time jobs hiring ozark al')",part time jobs in ozark alabama,part time jobs hiring ozark al,3,1,google,2025-10-29 00:22:37.039731,,jobs in ozark alabama
31,jobs in ozark alabama,"('part time jobs in ozark alabama', 'part time jobs in ozark al')",part time jobs in ozark alabama,part time jobs in ozark al,4,1,google,2025-10-29 00:22:37.039731,,jobs in ozark alabama
