,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in paint rock alabama,"('jobs in paint rock alabama', 'jobs in paint rock alabama area')",jobs in paint rock alabama,jobs in paint rock alabama area,1,0,google,2025-10-29 00:26:31.810160,,
1,jobs in paint rock alabama,"('jobs in paint rock alabama', 'jobs in paint rock alabama hiring')",jobs in paint rock alabama,jobs in paint rock alabama hiring,2,0,google,2025-10-29 00:26:31.810160,,
2,jobs in paint rock alabama,"('jobs in paint rock alabama', 'jobs in paint rock alabama hiring now')",jobs in paint rock alabama,jobs in paint rock alabama hiring now,3,0,google,2025-10-29 00:26:31.810160,,
3,jobs in paint rock alabama,"('jobs in paint rock alabama', 'jobs in paint rock alabama part time')",jobs in paint rock alabama,jobs in paint rock alabama part time,4,0,google,2025-10-29 00:26:31.810160,,
4,jobs in paint rock alabama,"('jobs in paint rock alabama', 'jobs in paint rock alabama for 16 year olds')",jobs in paint rock alabama,jobs in paint rock alabama for 16 year olds,5,0,google,2025-10-29 00:26:31.810160,,
5,jobs in paint rock alabama,"('jobs in paint rock alabama', 'jobs in paint rock alabama history')",jobs in paint rock alabama,jobs in paint rock alabama history,6,0,google,2025-10-29 00:26:31.810160,,
6,jobs in paint rock alabama,"('jobs in paint rock alabama', 'jobs in paint rock alabama real estate')",jobs in paint rock alabama,jobs in paint rock alabama real estate,7,0,google,2025-10-29 00:26:31.810160,,
7,jobs in paint rock alabama,"('jobs in paint rock alabama', 'jobs in paint rock alabama directions')",jobs in paint rock alabama,jobs in paint rock alabama directions,8,0,google,2025-10-29 00:26:31.810160,,
8,jobs in paint rock alabama,"('jobs in paint rock alabama', 'jobs in paint rock alabama weather')",jobs in paint rock alabama,jobs in paint rock alabama weather,9,0,google,2025-10-29 00:26:31.810160,,
9,jobs in paint rock alabama,"('jobs in paint rock alabama area', 'jobs in paint rock alabama area hiring')",jobs in paint rock alabama area,jobs in paint rock alabama area hiring,1,1,google,2025-10-29 00:26:33.414157,,jobs in paint rock alabama
10,jobs in paint rock alabama,"('jobs in paint rock alabama area', 'jobs in paint rock alabama area hiring now')",jobs in paint rock alabama area,jobs in paint rock alabama area hiring now,2,1,google,2025-10-29 00:26:33.414157,,jobs in paint rock alabama
11,jobs in paint rock alabama,"('jobs in paint rock alabama area', 'jobs in paint rock alabama area area')",jobs in paint rock alabama area,jobs in paint rock alabama area area,3,1,google,2025-10-29 00:26:33.414157,,jobs in paint rock alabama
12,jobs in paint rock alabama,"('jobs in paint rock alabama area', 'jobs in paint rock alabama areas')",jobs in paint rock alabama area,jobs in paint rock alabama areas,4,1,google,2025-10-29 00:26:33.414157,,jobs in paint rock alabama
13,jobs in paint rock alabama,"('jobs in paint rock alabama area', 'jobs in paint rock alabama area hiring immediately')",jobs in paint rock alabama area,jobs in paint rock alabama area hiring immediately,5,1,google,2025-10-29 00:26:33.414157,,jobs in paint rock alabama
14,jobs in paint rock alabama,"('jobs in paint rock alabama hiring', 'jobs in paint rock alabama hiring now')",jobs in paint rock alabama hiring,jobs in paint rock alabama hiring now,1,1,google,2025-10-29 00:26:34.433512,,jobs in paint rock alabama
15,jobs in paint rock alabama,"('jobs in paint rock alabama hiring', 'jobs in paint rock alabama hiring immediately')",jobs in paint rock alabama hiring,jobs in paint rock alabama hiring immediately,2,1,google,2025-10-29 00:26:34.433512,,jobs in paint rock alabama
16,jobs in paint rock alabama,"('jobs in paint rock alabama hiring', 'jobs in paint rock alabama hiring 16 year olds')",jobs in paint rock alabama hiring,jobs in paint rock alabama hiring 16 year olds,3,1,google,2025-10-29 00:26:34.433512,,jobs in paint rock alabama
17,jobs in paint rock alabama,"('jobs in paint rock alabama hiring', 'jobs in paint rock alabama hiring right now')",jobs in paint rock alabama hiring,jobs in paint rock alabama hiring right now,4,1,google,2025-10-29 00:26:34.433512,,jobs in paint rock alabama
18,jobs in paint rock alabama,"('jobs in paint rock alabama hiring', 'jobs in paint rock alabama hiring 15 year olds')",jobs in paint rock alabama hiring,jobs in paint rock alabama hiring 15 year olds,5,1,google,2025-10-29 00:26:34.433512,,jobs in paint rock alabama
19,jobs in paint rock alabama,"('jobs in paint rock alabama hiring now', 'jobs in paint rock alabama hiring now part time')",jobs in paint rock alabama hiring now,jobs in paint rock alabama hiring now part time,1,1,google,2025-10-29 00:26:35.390167,,jobs in paint rock alabama
20,jobs in paint rock alabama,"('jobs in paint rock alabama hiring now', 'jobs in paint rock alabama hiring now 2024')",jobs in paint rock alabama hiring now,jobs in paint rock alabama hiring now 2024,2,1,google,2025-10-29 00:26:35.390167,,jobs in paint rock alabama
21,jobs in paint rock alabama,"('jobs in paint rock alabama hiring now', 'jobs in paint rock alabama hiring now hiring')",jobs in paint rock alabama hiring now,jobs in paint rock alabama hiring now hiring,3,1,google,2025-10-29 00:26:35.390167,,jobs in paint rock alabama
22,jobs in paint rock alabama,"('jobs in paint rock alabama hiring now', 'jobs in paint rock alabama hiring now no experience')",jobs in paint rock alabama hiring now,jobs in paint rock alabama hiring now no experience,4,1,google,2025-10-29 00:26:35.390167,,jobs in paint rock alabama
23,jobs in paint rock alabama,"('jobs in paint rock alabama hiring now', 'jobs in paint rock alabama hiring now no experience needed')",jobs in paint rock alabama hiring now,jobs in paint rock alabama hiring now no experience needed,5,1,google,2025-10-29 00:26:35.390167,,jobs in paint rock alabama
24,jobs in paint rock alabama,"('jobs in paint rock alabama part time', 'jobs in paint rock alabama part time jobs')",jobs in paint rock alabama part time,jobs in paint rock alabama part time jobs,1,1,google,2025-10-29 00:26:36.408567,,jobs in paint rock alabama
25,jobs in paint rock alabama,"('jobs in paint rock alabama part time', 'jobs in paint rock alabama part time part time')",jobs in paint rock alabama part time,jobs in paint rock alabama part time part time,2,1,google,2025-10-29 00:26:36.408567,,jobs in paint rock alabama
26,jobs in paint rock alabama,"('jobs in paint rock alabama part time', 'jobs in paint rock alabama part time no experience needed')",jobs in paint rock alabama part time,jobs in paint rock alabama part time no experience needed,3,1,google,2025-10-29 00:26:36.408567,,jobs in paint rock alabama
27,jobs in paint rock alabama,"('jobs in paint rock alabama part time', 'jobs in paint rock alabama part time no experience')",jobs in paint rock alabama part time,jobs in paint rock alabama part time no experience,4,1,google,2025-10-29 00:26:36.408567,,jobs in paint rock alabama
28,jobs in paint rock alabama,"('jobs in paint rock alabama part time', 'jobs in paint rock alabama part time no degree')",jobs in paint rock alabama part time,jobs in paint rock alabama part time no degree,5,1,google,2025-10-29 00:26:36.408567,,jobs in paint rock alabama
29,jobs in paint rock alabama,"('jobs in paint rock alabama part time', 'jobs in paint rock alabama part time student')",jobs in paint rock alabama part time,jobs in paint rock alabama part time student,6,1,google,2025-10-29 00:26:36.408567,,jobs in paint rock alabama
30,jobs in paint rock alabama,"('jobs in paint rock alabama for 16 year olds', 'jobs in paint rock alabama for 16 year olds hiring')",jobs in paint rock alabama for 16 year olds,jobs in paint rock alabama for 16 year olds hiring,1,1,google,2025-10-29 00:26:37.183909,,jobs in paint rock alabama
31,jobs in paint rock alabama,"('jobs in paint rock alabama for 16 year olds', 'jobs in paint rock alabama for 16 year olds part time')",jobs in paint rock alabama for 16 year olds,jobs in paint rock alabama for 16 year olds part time,2,1,google,2025-10-29 00:26:37.183909,,jobs in paint rock alabama
