,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in pea ridge arkansas,"('jobs in pea ridge arkansas', 'job openings in pea ridge arkansas')",jobs in pea ridge arkansas,job openings in pea ridge arkansas,1,0,google,2025-10-29 23:18:48.598887,,
1,jobs in pea ridge arkansas,"('jobs in pea ridge arkansas', 'part time jobs in pea ridge arkansas')",jobs in pea ridge arkansas,part time jobs in pea ridge arkansas,2,0,google,2025-10-29 23:18:48.598887,,
2,jobs in pea ridge arkansas,"('jobs in pea ridge arkansas', 'jobs hiring pea ridge arkansas')",jobs in pea ridge arkansas,jobs hiring pea ridge arkansas,3,0,google,2025-10-29 23:18:48.598887,,
3,jobs in pea ridge arkansas,"('jobs in pea ridge arkansas', 'jobs pea ridge ar no degree')",jobs in pea ridge arkansas,jobs pea ridge ar no degree,4,0,google,2025-10-29 23:18:48.598887,,
4,jobs in pea ridge arkansas,"('jobs in pea ridge arkansas', 'jobs near pea ridge ar')",jobs in pea ridge arkansas,jobs near pea ridge ar,5,0,google,2025-10-29 23:18:48.598887,,
5,jobs in pea ridge arkansas,"('jobs in pea ridge arkansas', 'closest airport to pea ridge arkansas')",jobs in pea ridge arkansas,closest airport to pea ridge arkansas,6,0,google,2025-10-29 23:18:48.598887,,
6,jobs in pea ridge arkansas,"('jobs in pea ridge arkansas', 'jobs in pea ridge')",jobs in pea ridge arkansas,jobs in pea ridge,7,0,google,2025-10-29 23:18:48.598887,,
7,jobs in pea ridge arkansas,"('job openings in pea ridge arkansas', 'jobs hiring in pea ridge ar')",job openings in pea ridge arkansas,jobs hiring in pea ridge ar,1,1,google,2025-10-29 23:18:49.507732,,jobs in pea ridge arkansas
8,jobs in pea ridge arkansas,"('job openings in pea ridge arkansas', 'jobs pea ridge ar')",job openings in pea ridge arkansas,jobs pea ridge ar,2,1,google,2025-10-29 23:18:49.507732,,jobs in pea ridge arkansas
9,jobs in pea ridge arkansas,"('job openings in pea ridge arkansas', 'jobs in pea ridge')",job openings in pea ridge arkansas,jobs in pea ridge,3,1,google,2025-10-29 23:18:49.507732,,jobs in pea ridge arkansas
10,jobs in pea ridge arkansas,"('part time jobs in pea ridge arkansas', 'part time jobs in pea ridge ar')",part time jobs in pea ridge arkansas,part time jobs in pea ridge ar,1,1,google,2025-10-29 23:18:50.683123,,jobs in pea ridge arkansas
11,jobs in pea ridge arkansas,"('part time jobs in pea ridge arkansas', 'pea ridge arkansas jobs')",part time jobs in pea ridge arkansas,pea ridge arkansas jobs,2,1,google,2025-10-29 23:18:50.683123,,jobs in pea ridge arkansas
12,jobs in pea ridge arkansas,"('part time jobs in pea ridge arkansas', 'pea ridge jobs')",part time jobs in pea ridge arkansas,pea ridge jobs,3,1,google,2025-10-29 23:18:50.683123,,jobs in pea ridge arkansas
13,jobs in pea ridge arkansas,"('part time jobs in pea ridge arkansas', 'pea ridge ar jobs')",part time jobs in pea ridge arkansas,pea ridge ar jobs,4,1,google,2025-10-29 23:18:50.683123,,jobs in pea ridge arkansas
14,jobs in pea ridge arkansas,"('jobs hiring pea ridge arkansas', 'jobs in pea ridge arkansas')",jobs hiring pea ridge arkansas,jobs in pea ridge arkansas,1,1,google,2025-10-29 23:18:51.690393,,jobs in pea ridge arkansas
15,jobs in pea ridge arkansas,"('jobs hiring pea ridge arkansas', 'job openings in pea ridge arkansas')",jobs hiring pea ridge arkansas,job openings in pea ridge arkansas,2,1,google,2025-10-29 23:18:51.690393,,jobs in pea ridge arkansas
16,jobs in pea ridge arkansas,"('jobs hiring pea ridge arkansas', 'pizza places in pea ridge arkansas')",jobs hiring pea ridge arkansas,pizza places in pea ridge arkansas,3,1,google,2025-10-29 23:18:51.690393,,jobs in pea ridge arkansas
17,jobs in pea ridge arkansas,"('jobs hiring pea ridge arkansas', 'part time jobs in pea ridge arkansas')",jobs hiring pea ridge arkansas,part time jobs in pea ridge arkansas,4,1,google,2025-10-29 23:18:51.690393,,jobs in pea ridge arkansas
18,jobs in pea ridge arkansas,"('jobs hiring pea ridge arkansas', 'jobs pea ridge ar')",jobs hiring pea ridge arkansas,jobs pea ridge ar,5,1,google,2025-10-29 23:18:51.690393,,jobs in pea ridge arkansas
19,jobs in pea ridge arkansas,"('jobs hiring pea ridge arkansas', 'jobs hiring in pea ridge ar')",jobs hiring pea ridge arkansas,jobs hiring in pea ridge ar,6,1,google,2025-10-29 23:18:51.690393,,jobs in pea ridge arkansas
20,jobs in pea ridge arkansas,"('jobs hiring pea ridge arkansas', 'pea ridge jobs')",jobs hiring pea ridge arkansas,pea ridge jobs,7,1,google,2025-10-29 23:18:51.690393,,jobs in pea ridge arkansas
21,jobs in pea ridge arkansas,"('jobs pea ridge ar no degree', 'highest paying jobs in arkansas without a degree')",jobs pea ridge ar no degree,highest paying jobs in arkansas without a degree,1,1,google,2025-10-29 23:18:52.870181,,jobs in pea ridge arkansas
22,jobs in pea ridge arkansas,"('jobs pea ridge ar no degree', 'pea jobs')",jobs pea ridge ar no degree,pea jobs,2,1,google,2025-10-29 23:18:52.870181,,jobs in pea ridge arkansas
23,jobs in pea ridge arkansas,"('jobs pea ridge ar no degree', 'high paying jobs in colorado springs without a degree')",jobs pea ridge ar no degree,high paying jobs in colorado springs without a degree,3,1,google,2025-10-29 23:18:52.870181,,jobs in pea ridge arkansas
24,jobs in pea ridge arkansas,"('jobs pea ridge ar no degree', 'jobs pea ridge ar')",jobs pea ridge ar no degree,jobs pea ridge ar,4,1,google,2025-10-29 23:18:52.870181,,jobs in pea ridge arkansas
25,jobs in pea ridge arkansas,"('jobs pea ridge ar no degree', 'jobs pea ridge public schools')",jobs pea ridge ar no degree,jobs pea ridge public schools,5,1,google,2025-10-29 23:18:52.870181,,jobs in pea ridge arkansas
26,jobs in pea ridge arkansas,"('jobs pea ridge ar no degree', 'pea ridge arkansas jobs')",jobs pea ridge ar no degree,pea ridge arkansas jobs,6,1,google,2025-10-29 23:18:52.870181,,jobs in pea ridge arkansas
27,jobs in pea ridge arkansas,"('jobs pea ridge ar no degree', 'pea ridge jobs')",jobs pea ridge ar no degree,pea ridge jobs,7,1,google,2025-10-29 23:18:52.870181,,jobs in pea ridge arkansas
28,jobs in pea ridge arkansas,"('jobs near pea ridge ar', 'jobs near pea ridge arkansas')",jobs near pea ridge ar,jobs near pea ridge arkansas,1,1,google,2025-10-29 23:18:54.208451,,jobs in pea ridge arkansas
29,jobs in pea ridge arkansas,"('jobs near pea ridge ar', 'part time jobs near pea ridge ar')",jobs near pea ridge ar,part time jobs near pea ridge ar,2,1,google,2025-10-29 23:18:54.208451,,jobs in pea ridge arkansas
30,jobs in pea ridge arkansas,"('jobs near pea ridge ar', 'jobs pea ridge ar no degree')",jobs near pea ridge ar,jobs pea ridge ar no degree,3,1,google,2025-10-29 23:18:54.208451,,jobs in pea ridge arkansas
31,jobs in pea ridge arkansas,"('jobs near pea ridge ar', 'jobs pea ridge public schools')",jobs near pea ridge ar,jobs pea ridge public schools,4,1,google,2025-10-29 23:18:54.208451,,jobs in pea ridge arkansas
32,jobs in pea ridge arkansas,"('jobs near pea ridge ar', 'jobs in pea ridge')",jobs near pea ridge ar,jobs in pea ridge,5,1,google,2025-10-29 23:18:54.208451,,jobs in pea ridge arkansas
33,jobs in pea ridge arkansas,"('closest airport to pea ridge arkansas', 'closest airport to walnut ridge arkansas')",closest airport to pea ridge arkansas,closest airport to walnut ridge arkansas,1,1,google,2025-10-29 23:18:55.113900,,jobs in pea ridge arkansas
34,jobs in pea ridge arkansas,"('closest airport to pea ridge arkansas', 'how far is pea ridge arkansas')",closest airport to pea ridge arkansas,how far is pea ridge arkansas,2,1,google,2025-10-29 23:18:55.113900,,jobs in pea ridge arkansas
35,jobs in pea ridge arkansas,"('closest airport to pea ridge arkansas', 'closest international airport to arkansas')",closest airport to pea ridge arkansas,closest international airport to arkansas,3,1,google,2025-10-29 23:18:55.113900,,jobs in pea ridge arkansas
36,jobs in pea ridge arkansas,"('closest airport to pea ridge arkansas', 'airports near pea ridge arkansas')",closest airport to pea ridge arkansas,airports near pea ridge arkansas,4,1,google,2025-10-29 23:18:55.113900,,jobs in pea ridge arkansas
37,jobs in pea ridge arkansas,"('closest airport to pea ridge arkansas', 'where is pea ridge arkansas located')",closest airport to pea ridge arkansas,where is pea ridge arkansas located,5,1,google,2025-10-29 23:18:55.113900,,jobs in pea ridge arkansas
38,jobs in pea ridge arkansas,"('closest airport to pea ridge arkansas', 'pea ridge arkansas zip code')",closest airport to pea ridge arkansas,pea ridge arkansas zip code,6,1,google,2025-10-29 23:18:55.113900,,jobs in pea ridge arkansas
39,jobs in pea ridge arkansas,"('jobs in pea ridge', 'jobs in pea ridge arkansas')",jobs in pea ridge,jobs in pea ridge arkansas,1,1,google,2025-10-29 23:18:56.447279,,jobs in pea ridge arkansas
40,jobs in pea ridge arkansas,"('jobs in pea ridge', 'jobs hiring in pea ridge ar')",jobs in pea ridge,jobs hiring in pea ridge ar,2,1,google,2025-10-29 23:18:56.447279,,jobs in pea ridge arkansas
41,jobs in pea ridge arkansas,"('jobs in pea ridge', 'jobs hiring in pea ridge')",jobs in pea ridge,jobs hiring in pea ridge,3,1,google,2025-10-29 23:18:56.447279,,jobs in pea ridge arkansas
42,jobs in pea ridge arkansas,"('jobs in pea ridge', 'jobs pea ridge public schools')",jobs in pea ridge,jobs pea ridge public schools,4,1,google,2025-10-29 23:18:56.447279,,jobs in pea ridge arkansas
43,jobs in pea ridge arkansas,"('jobs in pea ridge', 'jobs pea ridge ar no degree')",jobs in pea ridge,jobs pea ridge ar no degree,5,1,google,2025-10-29 23:18:56.447279,,jobs in pea ridge arkansas
44,jobs in pea ridge arkansas,"('jobs in pea ridge', 'job openings in pea ridge arkansas')",jobs in pea ridge,job openings in pea ridge arkansas,6,1,google,2025-10-29 23:18:56.447279,,jobs in pea ridge arkansas
45,jobs in pea ridge arkansas,"('jobs in pea ridge', 'part time jobs in pea ridge ar')",jobs in pea ridge,part time jobs in pea ridge ar,7,1,google,2025-10-29 23:18:56.447279,,jobs in pea ridge arkansas
46,jobs in pea ridge arkansas,"('jobs in pea ridge', 'part time jobs in pea ridge')",jobs in pea ridge,part time jobs in pea ridge,8,1,google,2025-10-29 23:18:56.447279,,jobs in pea ridge arkansas
47,jobs in pea ridge arkansas,"('jobs in pea ridge', 'jobs near pea ridge ar')",jobs in pea ridge,jobs near pea ridge ar,9,1,google,2025-10-29 23:18:56.447279,,jobs in pea ridge arkansas
48,jobs in pea ridge arkansas,"('jobs hiring in pea ridge ar', 'job openings in pea ridge arkansas')",jobs hiring in pea ridge ar,job openings in pea ridge arkansas,1,2,google,2025-10-29 23:18:57.203755,jobs in pea ridge arkansas jobs in pea ridge arkansas jobs in pea ridge arkansas,job openings in pea ridge arkansas jobs hiring pea ridge arkansas jobs in pea ridge
49,jobs in pea ridge arkansas,"('jobs hiring in pea ridge ar', 'jobs near pea ridge ar')",jobs hiring in pea ridge ar,jobs near pea ridge ar,2,2,google,2025-10-29 23:18:57.203755,jobs in pea ridge arkansas jobs in pea ridge arkansas jobs in pea ridge arkansas,job openings in pea ridge arkansas jobs hiring pea ridge arkansas jobs in pea ridge
50,jobs in pea ridge arkansas,"('jobs hiring in pea ridge ar', 'jobs near pea ridge arkansas')",jobs hiring in pea ridge ar,jobs near pea ridge arkansas,3,2,google,2025-10-29 23:18:57.203755,jobs in pea ridge arkansas jobs in pea ridge arkansas jobs in pea ridge arkansas,job openings in pea ridge arkansas jobs hiring pea ridge arkansas jobs in pea ridge
51,jobs in pea ridge arkansas,"('jobs hiring in pea ridge ar', 'jobs in pea ridge')",jobs hiring in pea ridge ar,jobs in pea ridge,4,2,google,2025-10-29 23:18:57.203755,jobs in pea ridge arkansas jobs in pea ridge arkansas jobs in pea ridge arkansas,job openings in pea ridge arkansas jobs hiring pea ridge arkansas jobs in pea ridge
52,jobs in pea ridge arkansas,"('jobs pea ridge ar', 'jobs pea ridge ar no degree')",jobs pea ridge ar,jobs pea ridge ar no degree,1,2,google,2025-10-29 23:18:58.365141,jobs in pea ridge arkansas jobs in pea ridge arkansas jobs in pea ridge arkansas,job openings in pea ridge arkansas jobs hiring pea ridge arkansas jobs pea ridge ar no degree
53,jobs in pea ridge arkansas,"('jobs pea ridge ar', 'walmart jobs pea ridge ar')",jobs pea ridge ar,walmart jobs pea ridge ar,2,2,google,2025-10-29 23:18:58.365141,jobs in pea ridge arkansas jobs in pea ridge arkansas jobs in pea ridge arkansas,job openings in pea ridge arkansas jobs hiring pea ridge arkansas jobs pea ridge ar no degree
54,jobs in pea ridge arkansas,"('jobs pea ridge ar', 'indeed jobs pea ridge ar')",jobs pea ridge ar,indeed jobs pea ridge ar,3,2,google,2025-10-29 23:18:58.365141,jobs in pea ridge arkansas jobs in pea ridge arkansas jobs in pea ridge arkansas,job openings in pea ridge arkansas jobs hiring pea ridge arkansas jobs pea ridge ar no degree
55,jobs in pea ridge arkansas,"('jobs pea ridge ar', 'jobs hiring pea ridge arkansas')",jobs pea ridge ar,jobs hiring pea ridge arkansas,4,2,google,2025-10-29 23:18:58.365141,jobs in pea ridge arkansas jobs in pea ridge arkansas jobs in pea ridge arkansas,job openings in pea ridge arkansas jobs hiring pea ridge arkansas jobs pea ridge ar no degree
56,jobs in pea ridge arkansas,"('jobs pea ridge ar', 'part time jobs pea ridge ar')",jobs pea ridge ar,part time jobs pea ridge ar,5,2,google,2025-10-29 23:18:58.365141,jobs in pea ridge arkansas jobs in pea ridge arkansas jobs in pea ridge arkansas,job openings in pea ridge arkansas jobs hiring pea ridge arkansas jobs pea ridge ar no degree
