,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in pelham alabama,"('jobs in pelham alabama', 'jobs hiring in pelham alabama')",jobs in pelham alabama,jobs hiring in pelham alabama,1,0,google,2025-10-29 00:32:00.457886,,
1,jobs in pelham alabama,"('jobs in pelham alabama', 'part time jobs in pelham alabama')",jobs in pelham alabama,part time jobs in pelham alabama,2,0,google,2025-10-29 00:32:00.457886,,
2,jobs in pelham alabama,"('jobs in pelham alabama', 'warehouse jobs in pelham al')",jobs in pelham alabama,warehouse jobs in pelham al,3,0,google,2025-10-29 00:32:00.457886,,
3,jobs in pelham alabama,"('jobs in pelham alabama', 'management jobs in pelham al')",jobs in pelham alabama,management jobs in pelham al,4,0,google,2025-10-29 00:32:00.457886,,
4,jobs in pelham alabama,"('jobs in pelham alabama', 'indeed jobs in pelham al')",jobs in pelham alabama,indeed jobs in pelham al,5,0,google,2025-10-29 00:32:00.457886,,
5,jobs in pelham alabama,"('jobs in pelham alabama', 'jobs in pelham al')",jobs in pelham alabama,jobs in pelham al,6,0,google,2025-10-29 00:32:00.457886,,
6,jobs in pelham alabama,"('jobs hiring in pelham alabama', 'job openings in pelham al')",jobs hiring in pelham alabama,job openings in pelham al,1,1,google,2025-10-29 00:32:01.714742,,jobs in pelham alabama
7,jobs in pelham alabama,"('jobs hiring in pelham alabama', 'jobs near pelham alabama')",jobs hiring in pelham alabama,jobs near pelham alabama,2,1,google,2025-10-29 00:32:01.714742,,jobs in pelham alabama
8,jobs in pelham alabama,"('jobs hiring in pelham alabama', 'jobs hiring near pelham al')",jobs hiring in pelham alabama,jobs hiring near pelham al,3,1,google,2025-10-29 00:32:01.714742,,jobs in pelham alabama
9,jobs in pelham alabama,"('jobs hiring in pelham alabama', 'jobs hiring in pelham ga')",jobs hiring in pelham alabama,jobs hiring in pelham ga,4,1,google,2025-10-29 00:32:01.714742,,jobs in pelham alabama
10,jobs in pelham alabama,"('part time jobs in pelham alabama', 'full time jobs in pelham al')",part time jobs in pelham alabama,full time jobs in pelham al,1,1,google,2025-10-29 00:32:03.036980,,jobs in pelham alabama
11,jobs in pelham alabama,"('part time jobs in pelham alabama', 'part time jobs near pelham al')",part time jobs in pelham alabama,part time jobs near pelham al,2,1,google,2025-10-29 00:32:03.036980,,jobs in pelham alabama
12,jobs in pelham alabama,"('part time jobs in pelham alabama', 'part time jobs in pell city')",part time jobs in pelham alabama,part time jobs in pell city,3,1,google,2025-10-29 00:32:03.036980,,jobs in pelham alabama
13,jobs in pelham alabama,"('part time jobs in pelham alabama', 'part-time jobs in pell city al')",part time jobs in pelham alabama,part-time jobs in pell city al,4,1,google,2025-10-29 00:32:03.036980,,jobs in pelham alabama
14,jobs in pelham alabama,"('warehouse jobs in pelham al', 'warehouses in pelham al')",warehouse jobs in pelham al,warehouses in pelham al,1,1,google,2025-10-29 00:32:04.443565,,jobs in pelham alabama
15,jobs in pelham alabama,"('warehouse jobs in pelham al', 'warehouse jobs in phenix city al')",warehouse jobs in pelham al,warehouse jobs in phenix city al,2,1,google,2025-10-29 00:32:04.443565,,jobs in pelham alabama
16,jobs in pelham alabama,"('warehouse jobs in pelham al', 'warehouse jobs in alabaster al')",warehouse jobs in pelham al,warehouse jobs in alabaster al,3,1,google,2025-10-29 00:32:04.443565,,jobs in pelham alabama
17,jobs in pelham alabama,"('warehouse jobs in pelham al', 'warehouse jobs in prattville al')",warehouse jobs in pelham al,warehouse jobs in prattville al,4,1,google,2025-10-29 00:32:04.443565,,jobs in pelham alabama
18,jobs in pelham alabama,"('management jobs in pelham al', 'management jobs in alabama')",management jobs in pelham al,management jobs in alabama,1,1,google,2025-10-29 00:32:05.470827,,jobs in pelham alabama
19,jobs in pelham alabama,"('management jobs in pelham al', 'pelham jobs hiring')",management jobs in pelham al,pelham jobs hiring,2,1,google,2025-10-29 00:32:05.470827,,jobs in pelham alabama
20,jobs in pelham alabama,"('management jobs in pelham al', 'pelham al jobs')",management jobs in pelham al,pelham al jobs,3,1,google,2025-10-29 00:32:05.470827,,jobs in pelham alabama
21,jobs in pelham alabama,"('management jobs in pelham al', 'pelham al careers')",management jobs in pelham al,pelham al careers,4,1,google,2025-10-29 00:32:05.470827,,jobs in pelham alabama
22,jobs in pelham alabama,"('management jobs in pelham al', 'pelham alabama jobs')",management jobs in pelham al,pelham alabama jobs,5,1,google,2025-10-29 00:32:05.470827,,jobs in pelham alabama
