,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in pennington alabama,"('jobs in pennington alabama', 'georgia pacific jobs in pennington alabama')",jobs in pennington alabama,georgia pacific jobs in pennington alabama,1,0,google,2025-10-29 00:36:14.044008,,
1,jobs in pennington alabama,"('jobs in pennington alabama', 'jobs in pennington al')",jobs in pennington alabama,jobs in pennington al,2,0,google,2025-10-29 00:36:14.044008,,
2,jobs in pennington alabama,"('jobs in pennington alabama', 'jobs in pennington county')",jobs in pennington alabama,jobs in pennington county,3,0,google,2025-10-29 00:36:14.044008,,
3,jobs in pennington alabama,"('georgia pacific jobs in pennington alabama', 'georgia pacific pennington al jobs')",georgia pacific jobs in pennington alabama,georgia pacific pennington al jobs,1,1,google,2025-10-29 00:36:14.868273,,jobs in pennington alabama
4,jobs in pennington alabama,"('georgia pacific jobs in pennington alabama', 'georgia pacific starting pay')",georgia pacific jobs in pennington alabama,georgia pacific starting pay,2,1,google,2025-10-29 00:36:14.868273,,jobs in pennington alabama
5,jobs in pennington alabama,"('georgia pacific jobs in pennington alabama', 'georgia pacific salary')",georgia pacific jobs in pennington alabama,georgia pacific salary,3,1,google,2025-10-29 00:36:14.868273,,jobs in pennington alabama
6,jobs in pennington alabama,"('georgia pacific jobs in pennington alabama', 'georgia pacific in pennington al')",georgia pacific jobs in pennington alabama,georgia pacific in pennington al,4,1,google,2025-10-29 00:36:14.868273,,jobs in pennington alabama
7,jobs in pennington alabama,"('georgia pacific jobs in pennington alabama', 'georgia pacific jobs in alabama')",georgia pacific jobs in pennington alabama,georgia pacific jobs in alabama,5,1,google,2025-10-29 00:36:14.868273,,jobs in pennington alabama
8,jobs in pennington alabama,"('jobs in pennington al', 'georgia pacific jobs in pennington alabama')",jobs in pennington al,georgia pacific jobs in pennington alabama,1,1,google,2025-10-29 00:36:16.131484,,jobs in pennington alabama
9,jobs in pennington alabama,"('jobs in pennington al', 'jobs hiring pennington al')",jobs in pennington al,jobs hiring pennington al,2,1,google,2025-10-29 00:36:16.131484,,jobs in pennington alabama
10,jobs in pennington alabama,"('jobs in pennington al', 'jobs in pennington alabama')",jobs in pennington al,jobs in pennington alabama,3,1,google,2025-10-29 00:36:16.131484,,jobs in pennington alabama
11,jobs in pennington alabama,"('jobs in pennington al', 'jobs in pennington county')",jobs in pennington al,jobs in pennington county,4,1,google,2025-10-29 00:36:16.131484,,jobs in pennington alabama
