,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in perdue hill alabama,"('jobs in perdue hill alabama', 'jobs in perdue hill alabama area')",jobs in perdue hill alabama,jobs in perdue hill alabama area,1,0,google,2025-10-29 00:37:18.757523,,
1,jobs in perdue hill alabama,"('jobs in perdue hill alabama', 'jobs in perdue hill alabama hiring')",jobs in perdue hill alabama,jobs in perdue hill alabama hiring,2,0,google,2025-10-29 00:37:18.757523,,
2,jobs in perdue hill alabama,"('jobs in perdue hill alabama', 'jobs in perdue hill alabama hiring now')",jobs in perdue hill alabama,jobs in perdue hill alabama hiring now,3,0,google,2025-10-29 00:37:18.757523,,
3,jobs in perdue hill alabama,"('jobs in perdue hill alabama', 'jobs in perdue hill alabama indeed')",jobs in perdue hill alabama,jobs in perdue hill alabama indeed,4,0,google,2025-10-29 00:37:18.757523,,
4,jobs in perdue hill alabama,"('jobs in perdue hill alabama', 'jobs in perdue hill alabama for 16 year olds')",jobs in perdue hill alabama,jobs in perdue hill alabama for 16 year olds,5,0,google,2025-10-29 00:37:18.757523,,
5,jobs in perdue hill alabama,"('jobs in perdue hill alabama', 'jobs in perdue hill alabama usa')",jobs in perdue hill alabama,jobs in perdue hill alabama usa,6,0,google,2025-10-29 00:37:18.757523,,
6,jobs in perdue hill alabama,"('jobs in perdue hill alabama', 'jobs in perdue hill alabama map')",jobs in perdue hill alabama,jobs in perdue hill alabama map,7,0,google,2025-10-29 00:37:18.757523,,
7,jobs in perdue hill alabama,"('jobs in perdue hill alabama', 'jobs in perdue hill al')",jobs in perdue hill alabama,jobs in perdue hill al,8,0,google,2025-10-29 00:37:18.757523,,
8,jobs in perdue hill alabama,"('jobs in perdue hill alabama', 'jobs in perdue hill al paper mill')",jobs in perdue hill alabama,jobs in perdue hill al paper mill,9,0,google,2025-10-29 00:37:18.757523,,
9,jobs in perdue hill alabama,"('jobs in perdue hill alabama area', 'jobs in perdue hill alabama area hiring')",jobs in perdue hill alabama area,jobs in perdue hill alabama area hiring,1,1,google,2025-10-29 00:37:19.613654,,jobs in perdue hill alabama
10,jobs in perdue hill alabama,"('jobs in perdue hill alabama area', 'jobs in perdue hill alabama area indeed')",jobs in perdue hill alabama area,jobs in perdue hill alabama area indeed,2,1,google,2025-10-29 00:37:19.613654,,jobs in perdue hill alabama
11,jobs in perdue hill alabama,"('jobs in perdue hill alabama area', 'jobs in perdue hill alabama area hiring now')",jobs in perdue hill alabama area,jobs in perdue hill alabama area hiring now,3,1,google,2025-10-29 00:37:19.613654,,jobs in perdue hill alabama
12,jobs in perdue hill alabama,"('jobs in perdue hill alabama area', 'jobs in perdue hill alabama area area')",jobs in perdue hill alabama area,jobs in perdue hill alabama area area,4,1,google,2025-10-29 00:37:19.613654,,jobs in perdue hill alabama
13,jobs in perdue hill alabama,"('jobs in perdue hill alabama area', 'jobs in perdue hill alabama areas')",jobs in perdue hill alabama area,jobs in perdue hill alabama areas,5,1,google,2025-10-29 00:37:19.613654,,jobs in perdue hill alabama
14,jobs in perdue hill alabama,"('jobs in perdue hill alabama hiring', 'jobs in perdue hill alabama hiring now')",jobs in perdue hill alabama hiring,jobs in perdue hill alabama hiring now,1,1,google,2025-10-29 00:37:20.551887,,jobs in perdue hill alabama
15,jobs in perdue hill alabama,"('jobs in perdue hill alabama hiring', 'jobs in perdue hill alabama hiring immediately')",jobs in perdue hill alabama hiring,jobs in perdue hill alabama hiring immediately,2,1,google,2025-10-29 00:37:20.551887,,jobs in perdue hill alabama
