,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in phenix city alabama,"('jobs in phenix city alabama', 'jobs in phenix city al hiring')",jobs in phenix city alabama,jobs in phenix city al hiring,1,0,google,2025-10-29 00:42:04.184770,,
1,jobs in phenix city alabama,"('jobs in phenix city alabama', 'jobs in phenix city al remote')",jobs in phenix city alabama,jobs in phenix city al remote,2,0,google,2025-10-29 00:42:04.184770,,
2,jobs in phenix city alabama,"('jobs in phenix city alabama', 'factory jobs in phenix city alabama')",jobs in phenix city alabama,factory jobs in phenix city alabama,3,0,google,2025-10-29 00:42:04.184770,,
3,jobs in phenix city alabama,"('jobs in phenix city alabama', 'indeed jobs in phenix city alabama')",jobs in phenix city alabama,indeed jobs in phenix city alabama,4,0,google,2025-10-29 00:42:04.184770,,
4,jobs in phenix city alabama,"('jobs in phenix city alabama', 'welding jobs in phenix city alabama')",jobs in phenix city alabama,welding jobs in phenix city alabama,5,0,google,2025-10-29 00:42:04.184770,,
5,jobs in phenix city alabama,"('jobs in phenix city alabama', 'teaching jobs in phenix city alabama')",jobs in phenix city alabama,teaching jobs in phenix city alabama,6,0,google,2025-10-29 00:42:04.184770,,
6,jobs in phenix city alabama,"('jobs in phenix city alabama', 'warehouse jobs in phenix city alabama')",jobs in phenix city alabama,warehouse jobs in phenix city alabama,7,0,google,2025-10-29 00:42:04.184770,,
7,jobs in phenix city alabama,"('jobs in phenix city alabama', 'government jobs in phenix city alabama')",jobs in phenix city alabama,government jobs in phenix city alabama,8,0,google,2025-10-29 00:42:04.184770,,
8,jobs in phenix city alabama,"('jobs in phenix city alabama', 'security jobs in phenix city alabama')",jobs in phenix city alabama,security jobs in phenix city alabama,9,0,google,2025-10-29 00:42:04.184770,,
9,jobs in phenix city alabama,"('jobs in phenix city al hiring', 'jobs hiring in phenix city alabama')",jobs in phenix city al hiring,jobs hiring in phenix city alabama,1,1,google,2025-10-29 00:42:05.228439,,jobs in phenix city alabama
10,jobs in phenix city alabama,"('jobs in phenix city al hiring', 'jobs hiring phenix city al in the last 3 days')",jobs in phenix city al hiring,jobs hiring phenix city al in the last 3 days,2,1,google,2025-10-29 00:42:05.228439,,jobs in phenix city alabama
11,jobs in phenix city alabama,"('jobs in phenix city al hiring', 'part time jobs hiring in phenix city al')",jobs in phenix city al hiring,part time jobs hiring in phenix city al,3,1,google,2025-10-29 00:42:05.228439,,jobs in phenix city alabama
12,jobs in phenix city alabama,"('jobs in phenix city al hiring', 'jobs in phoenix az hiring')",jobs in phenix city al hiring,jobs in phoenix az hiring,4,1,google,2025-10-29 00:42:05.228439,,jobs in phenix city alabama
13,jobs in phenix city alabama,"('jobs in phenix city al hiring', 'jobs that pay at least 40 an hour')",jobs in phenix city al hiring,jobs that pay at least 40 an hour,5,1,google,2025-10-29 00:42:05.228439,,jobs in phenix city alabama
14,jobs in phenix city alabama,"('jobs in phenix city al hiring', 'is it easy to get a job in phoenix')",jobs in phenix city al hiring,is it easy to get a job in phoenix,6,1,google,2025-10-29 00:42:05.228439,,jobs in phenix city alabama
15,jobs in phenix city alabama,"('jobs in phenix city al hiring', 'jobs in phenix city alabama')",jobs in phenix city al hiring,jobs in phenix city alabama,7,1,google,2025-10-29 00:42:05.228439,,jobs in phenix city alabama
16,jobs in phenix city alabama,"('jobs in phenix city al hiring', 'jobs in phenix city al')",jobs in phenix city al hiring,jobs in phenix city al,8,1,google,2025-10-29 00:42:05.228439,,jobs in phenix city alabama
17,jobs in phenix city alabama,"('jobs in phenix city al remote', 'remote phoenix jobs')",jobs in phenix city al remote,remote phoenix jobs,1,1,google,2025-10-29 00:42:06.151013,,jobs in phenix city alabama
18,jobs in phenix city alabama,"('jobs in phenix city al remote', 'city of phoenix job opportunities')",jobs in phenix city al remote,city of phoenix job opportunities,2,1,google,2025-10-29 00:42:06.151013,,jobs in phenix city alabama
19,jobs in phenix city alabama,"('jobs in phenix city al remote', 'city of phenix city al jobs')",jobs in phenix city al remote,city of phenix city al jobs,3,1,google,2025-10-29 00:42:06.151013,,jobs in phenix city alabama
20,jobs in phenix city alabama,"('jobs in phenix city al remote', 'city of phoenix entry level jobs')",jobs in phenix city al remote,city of phoenix entry level jobs,4,1,google,2025-10-29 00:42:06.151013,,jobs in phenix city alabama
21,jobs in phenix city alabama,"('jobs in phenix city al remote', 'entry level remote jobs phoenix')",jobs in phenix city al remote,entry level remote jobs phoenix,5,1,google,2025-10-29 00:42:06.151013,,jobs in phenix city alabama
22,jobs in phenix city alabama,"('jobs in phenix city al remote', 'jobs in phenix city al hiring')",jobs in phenix city al remote,jobs in phenix city al hiring,6,1,google,2025-10-29 00:42:06.151013,,jobs in phenix city alabama
23,jobs in phenix city alabama,"('jobs in phenix city al remote', 'jobs in phenix city alabama')",jobs in phenix city al remote,jobs in phenix city alabama,7,1,google,2025-10-29 00:42:06.151013,,jobs in phenix city alabama
24,jobs in phenix city alabama,"('jobs in phenix city al remote', 'jobs in phenix city al')",jobs in phenix city al remote,jobs in phenix city al,8,1,google,2025-10-29 00:42:06.151013,,jobs in phenix city alabama
25,jobs in phenix city alabama,"('factory jobs in phenix city alabama', 'warehouse jobs in phenix city alabama')",factory jobs in phenix city alabama,warehouse jobs in phenix city alabama,1,1,google,2025-10-29 00:42:07.501427,,jobs in phenix city alabama
26,jobs in phenix city alabama,"('factory jobs in phenix city alabama', 'manufacturing jobs in phenix city al')",factory jobs in phenix city alabama,manufacturing jobs in phenix city al,2,1,google,2025-10-29 00:42:07.501427,,jobs in phenix city alabama
27,jobs in phenix city alabama,"('factory jobs in phenix city alabama', 'factory jobs in alabama')",factory jobs in phenix city alabama,factory jobs in alabama,3,1,google,2025-10-29 00:42:07.501427,,jobs in phenix city alabama
28,jobs in phenix city alabama,"('factory jobs in phenix city alabama', 'factory jobs in phoenix arizona')",factory jobs in phenix city alabama,factory jobs in phoenix arizona,4,1,google,2025-10-29 00:42:07.501427,,jobs in phenix city alabama
29,jobs in phenix city alabama,"('factory jobs in phenix city alabama', 'factory jobs in phoenix')",factory jobs in phenix city alabama,factory jobs in phoenix,5,1,google,2025-10-29 00:42:07.501427,,jobs in phenix city alabama
30,jobs in phenix city alabama,"('factory jobs in phenix city alabama', 'factory jobs in mobile al')",factory jobs in phenix city alabama,factory jobs in mobile al,6,1,google,2025-10-29 00:42:07.501427,,jobs in phenix city alabama
31,jobs in phenix city alabama,"('indeed jobs in phenix city alabama', 'indeed jobs phenix city al full time')",indeed jobs in phenix city alabama,indeed jobs phenix city al full time,1,1,google,2025-10-29 00:42:08.446674,,jobs in phenix city alabama
32,jobs in phenix city alabama,"('indeed jobs in phenix city alabama', 'indeed jobs phenix city al part time')",indeed jobs in phenix city alabama,indeed jobs phenix city al part time,2,1,google,2025-10-29 00:42:08.446674,,jobs in phenix city alabama
33,jobs in phenix city alabama,"('indeed jobs in phenix city alabama', 'indeed jobs phenix city al full time no experience')",indeed jobs in phenix city alabama,indeed jobs phenix city al full time no experience,3,1,google,2025-10-29 00:42:08.446674,,jobs in phenix city alabama
34,jobs in phenix city alabama,"('indeed jobs in phenix city alabama', 'indeed phenix city alabama')",indeed jobs in phenix city alabama,indeed phenix city alabama,4,1,google,2025-10-29 00:42:08.446674,,jobs in phenix city alabama
35,jobs in phenix city alabama,"('indeed jobs in phenix city alabama', 'indeed phenix city al')",indeed jobs in phenix city alabama,indeed phenix city al,5,1,google,2025-10-29 00:42:08.446674,,jobs in phenix city alabama
36,jobs in phenix city alabama,"('indeed jobs in phenix city alabama', 'indeed jobs phenix city al')",indeed jobs in phenix city alabama,indeed jobs phenix city al,6,1,google,2025-10-29 00:42:08.446674,,jobs in phenix city alabama
37,jobs in phenix city alabama,"('indeed jobs in phenix city alabama', 'indeed jobs phenix city')",indeed jobs in phenix city alabama,indeed jobs phenix city,7,1,google,2025-10-29 00:42:08.446674,,jobs in phenix city alabama
38,jobs in phenix city alabama,"('indeed jobs in phenix city alabama', 'places hiring in phenix city alabama')",indeed jobs in phenix city alabama,places hiring in phenix city alabama,8,1,google,2025-10-29 00:42:08.446674,,jobs in phenix city alabama
39,jobs in phenix city alabama,"('welding jobs in phenix city alabama', 'welding jobs in phoenix')",welding jobs in phenix city alabama,welding jobs in phoenix,1,1,google,2025-10-29 00:42:09.269662,,jobs in phenix city alabama
40,jobs in phenix city alabama,"('welding jobs in phenix city alabama', 'city of phoenix welding jobs')",welding jobs in phenix city alabama,city of phoenix welding jobs,2,1,google,2025-10-29 00:42:09.269662,,jobs in phenix city alabama
41,jobs in phenix city alabama,"('welding jobs in phenix city alabama', 'welding jobs in alabama')",welding jobs in phenix city alabama,welding jobs in alabama,3,1,google,2025-10-29 00:42:09.269662,,jobs in phenix city alabama
42,jobs in phenix city alabama,"('welding jobs in phenix city alabama', 'welding jobs in pell city al')",welding jobs in phenix city alabama,welding jobs in pell city al,4,1,google,2025-10-29 00:42:09.269662,,jobs in phenix city alabama
43,jobs in phenix city alabama,"('welding jobs in phenix city alabama', 'welders in phenix city alabama')",welding jobs in phenix city alabama,welders in phenix city alabama,5,1,google,2025-10-29 00:42:09.269662,,jobs in phenix city alabama
