,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in piedmont alabama,"('jobs in piedmont alabama', 'jobs hiring in piedmont alabama')",jobs in piedmont alabama,jobs hiring in piedmont alabama,1,0,google,2025-10-29 00:48:04.129534,,
1,jobs in piedmont alabama,"('jobs in piedmont alabama', 'jobs in piedmont al')",jobs in piedmont alabama,jobs in piedmont al,2,0,google,2025-10-29 00:48:04.129534,,
2,jobs in piedmont alabama,"('jobs in piedmont alabama', 'jobs in piedmont ok')",jobs in piedmont alabama,jobs in piedmont ok,3,0,google,2025-10-29 00:48:04.129534,,
3,jobs in piedmont alabama,"('jobs hiring in piedmont alabama', 'jobs near piedmont alabama')",jobs hiring in piedmont alabama,jobs near piedmont alabama,1,1,google,2025-10-29 00:48:05.151008,,jobs in piedmont alabama
4,jobs in piedmont alabama,"('jobs hiring in piedmont alabama', 'jobs hiring near piedmont al')",jobs hiring in piedmont alabama,jobs hiring near piedmont al,2,1,google,2025-10-29 00:48:05.151008,,jobs in piedmont alabama
5,jobs in piedmont alabama,"('jobs in piedmont al', 'jobs hiring in piedmont al')",jobs in piedmont al,jobs hiring in piedmont al,1,1,google,2025-10-29 00:48:06.217657,,jobs in piedmont alabama
6,jobs in piedmont alabama,"('jobs in piedmont al', 'part time jobs in piedmont al')",jobs in piedmont al,part time jobs in piedmont al,2,1,google,2025-10-29 00:48:06.217657,,jobs in piedmont alabama
7,jobs in piedmont alabama,"('jobs in piedmont al', 'places hiring in piedmont al')",jobs in piedmont al,places hiring in piedmont al,3,1,google,2025-10-29 00:48:06.217657,,jobs in piedmont alabama
8,jobs in piedmont alabama,"('jobs in piedmont al', 'jobs in piedmont ok')",jobs in piedmont al,jobs in piedmont ok,4,1,google,2025-10-29 00:48:06.217657,,jobs in piedmont alabama
9,jobs in piedmont alabama,"('jobs in piedmont al', 'piedmont airlines jobs')",jobs in piedmont al,piedmont airlines jobs,5,1,google,2025-10-29 00:48:06.217657,,jobs in piedmont alabama
10,jobs in piedmont alabama,"('jobs in piedmont al', 'jobs in piedmont alabama')",jobs in piedmont al,jobs in piedmont alabama,6,1,google,2025-10-29 00:48:06.217657,,jobs in piedmont alabama
11,jobs in piedmont alabama,"('jobs in piedmont al', 'jobs in piedmont sc')",jobs in piedmont al,jobs in piedmont sc,7,1,google,2025-10-29 00:48:06.217657,,jobs in piedmont alabama
