,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in pike road alabama,"('jobs in pike road alabama', 'jobs pike road al')",jobs in pike road alabama,jobs pike road al,1,0,google,2025-10-29 00:49:00.948510,,
1,jobs in pike road alabama,"('jobs in pike road alabama', 'jobs hiring pike road al')",jobs in pike road alabama,jobs hiring pike road al,2,0,google,2025-10-29 00:49:00.948510,,
2,jobs in pike road alabama,"('jobs in pike road alabama', 'jobs in pike road')",jobs in pike road alabama,jobs in pike road,3,0,google,2025-10-29 00:49:00.948510,,
3,jobs in pike road alabama,"('jobs pike road al', 'jobs hiring pike road al')",jobs pike road al,jobs hiring pike road al,1,1,google,2025-10-29 00:49:02.136521,,jobs in pike road alabama
4,jobs in pike road alabama,"('jobs pike road al', 'publix jobs pike road al')",jobs pike road al,publix jobs pike road al,2,1,google,2025-10-29 00:49:02.136521,,jobs in pike road alabama
5,jobs in pike road alabama,"('jobs pike road al', 'part time jobs pike road al')",jobs pike road al,part time jobs pike road al,3,1,google,2025-10-29 00:49:02.136521,,jobs in pike road alabama
6,jobs in pike road alabama,"('jobs pike road al', 'jobs at pike road school')",jobs pike road al,jobs at pike road school,4,1,google,2025-10-29 00:49:02.136521,,jobs in pike road alabama
7,jobs in pike road alabama,"('jobs pike road al', 'jobs in pike road')",jobs pike road al,jobs in pike road,5,1,google,2025-10-29 00:49:02.136521,,jobs in pike road alabama
8,jobs in pike road alabama,"('jobs hiring pike road al', 'jobs in pike road al')",jobs hiring pike road al,jobs in pike road al,1,1,google,2025-10-29 00:49:03.006405,,jobs in pike road alabama
9,jobs in pike road alabama,"('jobs hiring pike road al', 'jobs at pike road school')",jobs hiring pike road al,jobs at pike road school,2,1,google,2025-10-29 00:49:03.006405,,jobs in pike road alabama
10,jobs in pike road alabama,"('jobs hiring pike road al', 'jobs in pike road')",jobs hiring pike road al,jobs in pike road,3,1,google,2025-10-29 00:49:03.006405,,jobs in pike road alabama
11,jobs in pike road alabama,"('jobs in pike road', 'jobs in pike road al')",jobs in pike road,jobs in pike road al,1,1,google,2025-10-29 00:49:04.032020,,jobs in pike road alabama
12,jobs in pike road alabama,"('jobs in pike road', 'jobs hiring pike road al')",jobs in pike road,jobs hiring pike road al,2,1,google,2025-10-29 00:49:04.032020,,jobs in pike road alabama
13,jobs in pike road alabama,"('jobs in pike road', 'jobs at pike road school')",jobs in pike road,jobs at pike road school,3,1,google,2025-10-29 00:49:04.032020,,jobs in pike road alabama
14,jobs in pike road alabama,"('jobs in pike road', 'jobs at pike road school district')",jobs in pike road,jobs at pike road school district,4,1,google,2025-10-29 00:49:04.032020,,jobs in pike road alabama
15,jobs in pike road alabama,"('jobs in pike road', 'pike entry level jobs')",jobs in pike road,pike entry level jobs,5,1,google,2025-10-29 00:49:04.032020,,jobs in pike road alabama
16,jobs in pike road alabama,"('jobs in pike road', 'pike place jobs')",jobs in pike road,pike place jobs,6,1,google,2025-10-29 00:49:04.032020,,jobs in pike road alabama
17,jobs in pike road alabama,"('jobs in pike road', 'pike engineering jobs')",jobs in pike road,pike engineering jobs,7,1,google,2025-10-29 00:49:04.032020,,jobs in pike road alabama
18,jobs in pike road alabama,"('jobs in pike road', 'jobs in pike county')",jobs in pike road,jobs in pike county,8,1,google,2025-10-29 00:49:04.032020,,jobs in pike road alabama
19,jobs in pike road alabama,"('jobs in pike road', 'jobs in piketon ohio')",jobs in pike road,jobs in piketon ohio,9,1,google,2025-10-29 00:49:04.032020,,jobs in pike road alabama
