,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in pine hill alabama,"('jobs in pine hill alabama', 'jobs in pine hill al')",jobs in pine hill alabama,jobs in pine hill al,1,0,google,2025-10-29 00:50:15.722242,,
1,jobs in pine hill alabama,"('jobs in pine hill alabama', 'jobs in pine hill nj')",jobs in pine hill alabama,jobs in pine hill nj,2,0,google,2025-10-29 00:50:15.722242,,
2,jobs in pine hill alabama,"('jobs in pine hill alabama', 'jobs in pine hills orlando fl')",jobs in pine hill alabama,jobs in pine hills orlando fl,3,0,google,2025-10-29 00:50:15.722242,,
3,jobs in pine hill alabama,"('jobs in pine hill al', 'ip jobs pine hill al')",jobs in pine hill al,ip jobs pine hill al,1,1,google,2025-10-29 00:50:16.968935,,jobs in pine hill alabama
4,jobs in pine hill alabama,"('jobs in pine hill al', 'jobs in pine hill alabama')",jobs in pine hill al,jobs in pine hill alabama,2,1,google,2025-10-29 00:50:16.968935,,jobs in pine hill alabama
5,jobs in pine hill alabama,"('jobs in pine hill al', 'jobs in pine hill nj')",jobs in pine hill al,jobs in pine hill nj,3,1,google,2025-10-29 00:50:16.968935,,jobs in pine hill alabama
6,jobs in pine hill alabama,"('jobs in pine hill al', 'jobs in pine hills orlando fl')",jobs in pine hill al,jobs in pine hills orlando fl,4,1,google,2025-10-29 00:50:16.968935,,jobs in pine hill alabama
7,jobs in pine hill alabama,"('jobs in pine hill nj', 'jobs hiring in pine hill nj')",jobs in pine hill nj,jobs hiring in pine hill nj,1,1,google,2025-10-29 00:50:18.294888,,jobs in pine hill alabama
8,jobs in pine hill alabama,"('jobs in pine hill nj', 'pine hill jobs')",jobs in pine hill nj,pine hill jobs,2,1,google,2025-10-29 00:50:18.294888,,jobs in pine hill alabama
9,jobs in pine hill alabama,"('jobs in pine hill nj', 'jobs in pine hill al')",jobs in pine hill nj,jobs in pine hill al,3,1,google,2025-10-29 00:50:18.294888,,jobs in pine hill alabama
10,jobs in pine hill alabama,"('jobs in pine hill nj', 'jobs in pine hill alabama')",jobs in pine hill nj,jobs in pine hill alabama,4,1,google,2025-10-29 00:50:18.294888,,jobs in pine hill alabama
11,jobs in pine hill alabama,"('jobs in pine hills orlando fl', 'pine haven jobs')",jobs in pine hills orlando fl,pine haven jobs,1,1,google,2025-10-29 00:50:19.131717,,jobs in pine hill alabama
12,jobs in pine hill alabama,"('jobs in pine hills orlando fl', 'is pine hills orlando safe')",jobs in pine hills orlando fl,is pine hills orlando safe,2,1,google,2025-10-29 00:50:19.131717,,jobs in pine hill alabama
13,jobs in pine hill alabama,"('jobs in pine hills orlando fl', 'pine hills jobs')",jobs in pine hills orlando fl,pine hills jobs,3,1,google,2025-10-29 00:50:19.131717,,jobs in pine hill alabama
14,jobs in pine hill alabama,"('jobs in pine hills orlando fl', 'jobs in pine hill al')",jobs in pine hills orlando fl,jobs in pine hill al,4,1,google,2025-10-29 00:50:19.131717,,jobs in pine hill alabama
15,jobs in pine hill alabama,"('jobs in pine hills orlando fl', 'jobs in pine hill alabama')",jobs in pine hills orlando fl,jobs in pine hill alabama,5,1,google,2025-10-29 00:50:19.131717,,jobs in pine hill alabama
16,jobs in pine hill alabama,"('ip jobs pine hill al', 'ip pine hill al')",ip jobs pine hill al,ip pine hill al,1,2,google,2025-10-29 00:50:20.414666,jobs in pine hill alabama,jobs in pine hill al
17,jobs in pine hill alabama,"('ip jobs pine hill al', 'ip pine hill alabama')",ip jobs pine hill al,ip pine hill alabama,2,2,google,2025-10-29 00:50:20.414666,jobs in pine hill alabama,jobs in pine hill al
18,jobs in pine hill alabama,"('ip jobs pine hill al', 'ip pine hill')",ip jobs pine hill al,ip pine hill,3,2,google,2025-10-29 00:50:20.414666,jobs in pine hill alabama,jobs in pine hill al
19,jobs in pine hill alabama,"('ip jobs pine hill al', 'pine hill jobs')",ip jobs pine hill al,pine hill jobs,4,2,google,2025-10-29 00:50:20.414666,jobs in pine hill alabama,jobs in pine hill al
20,jobs in pine hill alabama,"('jobs hiring in pine hill nj', 'jobs near pine hill nj')",jobs hiring in pine hill nj,jobs near pine hill nj,1,2,google,2025-10-29 00:50:21.389583,jobs in pine hill alabama,jobs in pine hill nj
