,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in pinson alabama,"('jobs in pinson alabama', 'jobs hiring in pinson al')",jobs in pinson alabama,jobs hiring in pinson al,1,0,google,2025-10-29 00:51:07.939646,,
1,jobs in pinson alabama,"('jobs in pinson alabama', 'warehouse jobs in pinson al')",jobs in pinson alabama,warehouse jobs in pinson al,2,0,google,2025-10-29 00:51:07.939646,,
2,jobs in pinson alabama,"('jobs in pinson alabama', 'jobs in pinson')",jobs in pinson alabama,jobs in pinson,3,0,google,2025-10-29 00:51:07.939646,,
3,jobs in pinson alabama,"('jobs in pinson alabama', 'what kind of jobs are in alabama')",jobs in pinson alabama,what kind of jobs are in alabama,4,0,google,2025-10-29 00:51:07.939646,,
4,jobs in pinson alabama,"('jobs hiring in pinson al', 'jobs near pinson al')",jobs hiring in pinson al,jobs near pinson al,1,1,google,2025-10-29 00:51:08.853251,,jobs in pinson alabama
5,jobs in pinson alabama,"('jobs hiring in pinson al', 'jobs in pinson alabama')",jobs hiring in pinson al,jobs in pinson alabama,2,1,google,2025-10-29 00:51:08.853251,,jobs in pinson alabama
6,jobs in pinson alabama,"('warehouse jobs in pinson al', 'warehouse jobs in pineville la')",warehouse jobs in pinson al,warehouse jobs in pineville la,1,1,google,2025-10-29 00:51:09.817823,,jobs in pinson alabama
7,jobs in pinson alabama,"('warehouse jobs in pinson al', 'warehouse jobs in pine bluff ar')",warehouse jobs in pinson al,warehouse jobs in pine bluff ar,2,1,google,2025-10-29 00:51:09.817823,,jobs in pinson alabama
8,jobs in pinson alabama,"('warehouse jobs in pinson al', 'warehouse jobs in pinellas county')",warehouse jobs in pinson al,warehouse jobs in pinellas county,3,1,google,2025-10-29 00:51:09.817823,,jobs in pinson alabama
9,jobs in pinson alabama,"('warehouse jobs in pinson al', 'warehouse jobs in pensacola fl')",warehouse jobs in pinson al,warehouse jobs in pensacola fl,4,1,google,2025-10-29 00:51:09.817823,,jobs in pinson alabama
10,jobs in pinson alabama,"('warehouse jobs in pinson al', 'warehouse jobs in pensacola florida')",warehouse jobs in pinson al,warehouse jobs in pensacola florida,5,1,google,2025-10-29 00:51:09.817823,,jobs in pinson alabama
11,jobs in pinson alabama,"('jobs in pinson', 'jobs in pinson al')",jobs in pinson,jobs in pinson al,1,1,google,2025-10-29 00:51:10.859074,,jobs in pinson alabama
12,jobs in pinson alabama,"('jobs in pinson', 'jobs in pinson tn')",jobs in pinson,jobs in pinson tn,2,1,google,2025-10-29 00:51:10.859074,,jobs in pinson alabama
13,jobs in pinson alabama,"('jobs in pinson', 'jobs hiring in pinson al')",jobs in pinson,jobs hiring in pinson al,3,1,google,2025-10-29 00:51:10.859074,,jobs in pinson alabama
14,jobs in pinson alabama,"('jobs in pinson', 'jobs hiring in pinson')",jobs in pinson,jobs hiring in pinson,4,1,google,2025-10-29 00:51:10.859074,,jobs in pinson alabama
15,jobs in pinson alabama,"('jobs in pinson', 'warehouse jobs in pinson al')",jobs in pinson,warehouse jobs in pinson al,5,1,google,2025-10-29 00:51:10.859074,,jobs in pinson alabama
16,jobs in pinson alabama,"('jobs in pinson', 'part time jobs in pinson al')",jobs in pinson,part time jobs in pinson al,6,1,google,2025-10-29 00:51:10.859074,,jobs in pinson alabama
17,jobs in pinson alabama,"('jobs in pinson', 'jobs in pinson alabama')",jobs in pinson,jobs in pinson alabama,7,1,google,2025-10-29 00:51:10.859074,,jobs in pinson alabama
18,jobs in pinson alabama,"('jobs in pinson', 'jobs in pinon')",jobs in pinson,jobs in pinon,8,1,google,2025-10-29 00:51:10.859074,,jobs in pinson alabama
19,jobs in pinson alabama,"('jobs in pinson', 'jobs in pinon az')",jobs in pinson,jobs in pinon az,9,1,google,2025-10-29 00:51:10.859074,,jobs in pinson alabama
20,jobs in pinson alabama,"('what kind of jobs are in alabama', 'what jobs are in demand in alabama')",what kind of jobs are in alabama,what jobs are in demand in alabama,1,1,google,2025-10-29 00:51:12.241593,,jobs in pinson alabama
21,jobs in pinson alabama,"('what kind of jobs are in alabama', 'what jobs are in high demand in alabama')",what kind of jobs are in alabama,what jobs are in high demand in alabama,2,1,google,2025-10-29 00:51:12.241593,,jobs in pinson alabama
22,jobs in pinson alabama,"('what kind of jobs are in alabama', 'whats the highest paying job in alabama')",what kind of jobs are in alabama,whats the highest paying job in alabama,3,1,google,2025-10-29 00:51:12.241593,,jobs in pinson alabama
23,jobs in pinson alabama,"('what kind of jobs are in alabama', 'what jobs are in alabama')",what kind of jobs are in alabama,what jobs are in alabama,4,1,google,2025-10-29 00:51:12.241593,,jobs in pinson alabama
24,jobs in pinson alabama,"('what kind of jobs are in alabama', 'what are the best jobs in alabama')",what kind of jobs are in alabama,what are the best jobs in alabama,5,1,google,2025-10-29 00:51:12.241593,,jobs in pinson alabama
25,jobs in pinson alabama,"('jobs near pinson al', 'jobs hiring near pinson al')",jobs near pinson al,jobs hiring near pinson al,1,2,google,2025-10-29 00:51:13.282064,jobs in pinson alabama,jobs hiring in pinson al
26,jobs in pinson alabama,"('jobs near pinson al', 'part time jobs near pinson al')",jobs near pinson al,part time jobs near pinson al,2,2,google,2025-10-29 00:51:13.282064,jobs in pinson alabama,jobs hiring in pinson al
27,jobs in pinson alabama,"('jobs near pinson al', 'jobs in pinson alabama')",jobs near pinson al,jobs in pinson alabama,3,2,google,2025-10-29 00:51:13.282064,jobs in pinson alabama,jobs hiring in pinson al
28,jobs in pinson alabama,"('warehouse jobs in pineville la', 'warehouse jobs in alexandria la')",warehouse jobs in pineville la,warehouse jobs in alexandria la,1,2,google,2025-10-29 00:51:14.315209,jobs in pinson alabama,warehouse jobs in pinson al
29,jobs in pinson alabama,"('warehouse jobs in pineville la', 'warehouse jobs in pine bluff ar')",warehouse jobs in pineville la,warehouse jobs in pine bluff ar,2,2,google,2025-10-29 00:51:14.315209,jobs in pinson alabama,warehouse jobs in pinson al
30,jobs in pinson alabama,"('warehouse jobs in pineville la', 'part-time jobs in pineville la')",warehouse jobs in pineville la,part-time jobs in pineville la,3,2,google,2025-10-29 00:51:14.315209,jobs in pinson alabama,warehouse jobs in pinson al
31,jobs in pinson alabama,"('warehouse jobs in pineville la', 'warehouse jobs in piedmont sc')",warehouse jobs in pineville la,warehouse jobs in piedmont sc,4,2,google,2025-10-29 00:51:14.315209,jobs in pinson alabama,warehouse jobs in pinson al
32,jobs in pinson alabama,"('warehouse jobs in pineville la', 'warehouse jobs in pinellas county')",warehouse jobs in pineville la,warehouse jobs in pinellas county,5,2,google,2025-10-29 00:51:14.315209,jobs in pinson alabama,warehouse jobs in pinson al
33,jobs in pinson alabama,"('warehouse jobs in pine bluff ar', 'warehouse jobs in pinellas county')",warehouse jobs in pine bluff ar,warehouse jobs in pinellas county,1,2,google,2025-10-29 00:51:15.407037,jobs in pinson alabama,warehouse jobs in pinson al
34,jobs in pinson alabama,"('warehouse jobs in pine bluff ar', 'warehouse jobs in pineville la')",warehouse jobs in pine bluff ar,warehouse jobs in pineville la,2,2,google,2025-10-29 00:51:15.407037,jobs in pinson alabama,warehouse jobs in pinson al
35,jobs in pinson alabama,"('warehouse jobs in pine bluff ar', 'jobs hiring in pine bluff arkansas')",warehouse jobs in pine bluff ar,jobs hiring in pine bluff arkansas,3,2,google,2025-10-29 00:51:15.407037,jobs in pinson alabama,warehouse jobs in pinson al
36,jobs in pinson alabama,"('warehouse jobs in pinellas county', 'warehouse jobs in pinellas park')",warehouse jobs in pinellas county,warehouse jobs in pinellas park,1,2,google,2025-10-29 00:51:16.279899,jobs in pinson alabama,warehouse jobs in pinson al
37,jobs in pinson alabama,"('warehouse jobs in pinellas county', 'warehouse in pinellas park')",warehouse jobs in pinellas county,warehouse in pinellas park,2,2,google,2025-10-29 00:51:16.279899,jobs in pinson alabama,warehouse jobs in pinson al
38,jobs in pinson alabama,"('warehouse jobs in pinellas county', 'warehouse jobs in st petersburg florida')",warehouse jobs in pinellas county,warehouse jobs in st petersburg florida,3,2,google,2025-10-29 00:51:16.279899,jobs in pinson alabama,warehouse jobs in pinson al
39,jobs in pinson alabama,"('warehouse jobs in pinellas county', 'warehouse jobs in st petersburg fl')",warehouse jobs in pinellas county,warehouse jobs in st petersburg fl,4,2,google,2025-10-29 00:51:16.279899,jobs in pinson alabama,warehouse jobs in pinson al
40,jobs in pinson alabama,"('warehouse jobs in pensacola fl', 'amazon warehouse jobs in pensacola fl')",warehouse jobs in pensacola fl,amazon warehouse jobs in pensacola fl,1,2,google,2025-10-29 00:51:17.738546,jobs in pinson alabama,warehouse jobs in pinson al
