,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in pleasant grove alabama,"('jobs in pleasant grove alabama', 'jobs near pleasant grove al')",jobs in pleasant grove alabama,jobs near pleasant grove al,1,0,google,2025-10-29 00:52:40.304006,,
1,jobs in pleasant grove alabama,"('jobs in pleasant grove alabama', 'jobs in pleasant grove utah')",jobs in pleasant grove alabama,jobs in pleasant grove utah,2,0,google,2025-10-29 00:52:40.304006,,
2,jobs in pleasant grove alabama,"('jobs in pleasant grove alabama', 'jobs in pleasant grove')",jobs in pleasant grove alabama,jobs in pleasant grove,3,0,google,2025-10-29 00:52:40.304006,,
3,jobs in pleasant grove alabama,"('jobs in pleasant grove alabama', 'jobs in pleasant grove dallas tx')",jobs in pleasant grove alabama,jobs in pleasant grove dallas tx,4,0,google,2025-10-29 00:52:40.304006,,
4,jobs in pleasant grove alabama,"('jobs in pleasant grove alabama', 'jobs hiring in pleasant grove utah')",jobs in pleasant grove alabama,jobs hiring in pleasant grove utah,5,0,google,2025-10-29 00:52:40.304006,,
5,jobs in pleasant grove alabama,"('jobs near pleasant grove al', 'jobs hiring near pleasant grove al')",jobs near pleasant grove al,jobs hiring near pleasant grove al,1,1,google,2025-10-29 00:52:41.782823,,jobs in pleasant grove alabama
6,jobs in pleasant grove alabama,"('jobs near pleasant grove al', 'jobs in pleasant grove alabama')",jobs near pleasant grove al,jobs in pleasant grove alabama,2,1,google,2025-10-29 00:52:41.782823,,jobs in pleasant grove alabama
7,jobs in pleasant grove alabama,"('jobs near pleasant grove al', 'jobs near pleasant grove utah')",jobs near pleasant grove al,jobs near pleasant grove utah,3,1,google,2025-10-29 00:52:41.782823,,jobs in pleasant grove alabama
8,jobs in pleasant grove alabama,"('jobs near pleasant grove al', 'jobs near pleasant grove')",jobs near pleasant grove al,jobs near pleasant grove,4,1,google,2025-10-29 00:52:41.782823,,jobs in pleasant grove alabama
9,jobs in pleasant grove alabama,"('jobs in pleasant grove utah', 'jobs in pleasant grove utah part time')",jobs in pleasant grove utah,jobs in pleasant grove utah part time,1,1,google,2025-10-29 00:52:42.782389,,jobs in pleasant grove alabama
10,jobs in pleasant grove alabama,"('jobs in pleasant grove utah', 'jobs in pleasant grove utah no degree')",jobs in pleasant grove utah,jobs in pleasant grove utah no degree,2,1,google,2025-10-29 00:52:42.782389,,jobs in pleasant grove alabama
11,jobs in pleasant grove alabama,"('jobs in pleasant grove utah', 'jobs in pleasant grove utah for 15 year olds')",jobs in pleasant grove utah,jobs in pleasant grove utah for 15 year olds,3,1,google,2025-10-29 00:52:42.782389,,jobs in pleasant grove alabama
12,jobs in pleasant grove alabama,"('jobs in pleasant grove utah', 'jobs hiring in pleasant grove utah')",jobs in pleasant grove utah,jobs hiring in pleasant grove utah,4,1,google,2025-10-29 00:52:42.782389,,jobs in pleasant grove alabama
13,jobs in pleasant grove alabama,"('jobs in pleasant grove utah', 'full time jobs in pleasant grove utah')",jobs in pleasant grove utah,full time jobs in pleasant grove utah,5,1,google,2025-10-29 00:52:42.782389,,jobs in pleasant grove alabama
14,jobs in pleasant grove alabama,"('jobs in pleasant grove utah', 'doterra jobs pleasant grove utah')",jobs in pleasant grove utah,doterra jobs pleasant grove utah,6,1,google,2025-10-29 00:52:42.782389,,jobs in pleasant grove alabama
15,jobs in pleasant grove alabama,"('jobs in pleasant grove utah', 'indeed jobs pleasant grove utah')",jobs in pleasant grove utah,indeed jobs pleasant grove utah,7,1,google,2025-10-29 00:52:42.782389,,jobs in pleasant grove alabama
16,jobs in pleasant grove alabama,"('jobs in pleasant grove utah', 'ksl jobs pleasant grove utah')",jobs in pleasant grove utah,ksl jobs pleasant grove utah,8,1,google,2025-10-29 00:52:42.782389,,jobs in pleasant grove alabama
17,jobs in pleasant grove alabama,"('jobs in pleasant grove utah', 'usps jobs pleasant grove utah')",jobs in pleasant grove utah,usps jobs pleasant grove utah,9,1,google,2025-10-29 00:52:42.782389,,jobs in pleasant grove alabama
18,jobs in pleasant grove alabama,"('jobs in pleasant grove', 'jobs in pleasant grove utah')",jobs in pleasant grove,jobs in pleasant grove utah,1,1,google,2025-10-29 00:52:44.147835,,jobs in pleasant grove alabama
19,jobs in pleasant grove alabama,"('jobs in pleasant grove', 'jobs in pleasant grove tx')",jobs in pleasant grove,jobs in pleasant grove tx,2,1,google,2025-10-29 00:52:44.147835,,jobs in pleasant grove alabama
20,jobs in pleasant grove alabama,"('jobs in pleasant grove', 'jobs in pleasant grove alabama')",jobs in pleasant grove,jobs in pleasant grove alabama,3,1,google,2025-10-29 00:52:44.147835,,jobs in pleasant grove alabama
21,jobs in pleasant grove alabama,"('jobs in pleasant grove', 'jobs in pleasant grove dallas tx')",jobs in pleasant grove,jobs in pleasant grove dallas tx,4,1,google,2025-10-29 00:52:44.147835,,jobs in pleasant grove alabama
22,jobs in pleasant grove alabama,"('jobs in pleasant grove', 'jobs in pleasant grove utah part time')",jobs in pleasant grove,jobs in pleasant grove utah part time,5,1,google,2025-10-29 00:52:44.147835,,jobs in pleasant grove alabama
23,jobs in pleasant grove alabama,"('jobs in pleasant grove', 'jobs in pleasant grove ca')",jobs in pleasant grove,jobs in pleasant grove ca,6,1,google,2025-10-29 00:52:44.147835,,jobs in pleasant grove alabama
24,jobs in pleasant grove alabama,"('jobs in pleasant grove', 'jobs in pleasant grove utah no degree')",jobs in pleasant grove,jobs in pleasant grove utah no degree,7,1,google,2025-10-29 00:52:44.147835,,jobs in pleasant grove alabama
25,jobs in pleasant grove alabama,"('jobs in pleasant grove', 'jobs in pleasant grove utah for 15 year olds')",jobs in pleasant grove,jobs in pleasant grove utah for 15 year olds,8,1,google,2025-10-29 00:52:44.147835,,jobs in pleasant grove alabama
