,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in pocahontas arkansas,"('jobs in pocahontas arkansas', 'jobs in pocahontas ar no experience')",jobs in pocahontas arkansas,jobs in pocahontas ar no experience,1,0,google,2025-10-31 17:54:58.973282,,
1,jobs in pocahontas arkansas,"('jobs in pocahontas arkansas', 'jobs hiring in pocahontas arkansas')",jobs in pocahontas arkansas,jobs hiring in pocahontas arkansas,2,0,google,2025-10-31 17:54:58.973282,,
2,jobs in pocahontas arkansas,"('jobs in pocahontas arkansas', 'factory jobs in pocahontas arkansas')",jobs in pocahontas arkansas,factory jobs in pocahontas arkansas,3,0,google,2025-10-31 17:54:58.973282,,
3,jobs in pocahontas arkansas,"('jobs in pocahontas arkansas', 'jobs available in pocahontas arkansas')",jobs in pocahontas arkansas,jobs available in pocahontas arkansas,4,0,google,2025-10-31 17:54:58.973282,,
4,jobs in pocahontas arkansas,"('jobs in pocahontas arkansas', 'welding jobs in pocahontas arkansas')",jobs in pocahontas arkansas,welding jobs in pocahontas arkansas,5,0,google,2025-10-31 17:54:58.973282,,
5,jobs in pocahontas arkansas,"('jobs in pocahontas arkansas', 'full time jobs in pocahontas arkansas')",jobs in pocahontas arkansas,full time jobs in pocahontas arkansas,6,0,google,2025-10-31 17:54:58.973282,,
6,jobs in pocahontas arkansas,"('jobs in pocahontas arkansas', 'part time jobs in pocahontas arkansas')",jobs in pocahontas arkansas,part time jobs in pocahontas arkansas,7,0,google,2025-10-31 17:54:58.973282,,
7,jobs in pocahontas arkansas,"('jobs in pocahontas arkansas', 'jobs around pocahontas arkansas')",jobs in pocahontas arkansas,jobs around pocahontas arkansas,8,0,google,2025-10-31 17:54:58.973282,,
8,jobs in pocahontas arkansas,"('jobs in pocahontas arkansas', 'jobs in pocahontas ar')",jobs in pocahontas arkansas,jobs in pocahontas ar,9,0,google,2025-10-31 17:54:58.973282,,
9,jobs in pocahontas arkansas,"('jobs in pocahontas ar no experience', 'jobs in pocahontas ar')",jobs in pocahontas ar no experience,jobs in pocahontas ar,1,1,google,2025-10-31 17:54:59.915265,,jobs in pocahontas arkansas
10,jobs in pocahontas arkansas,"('jobs in pocahontas ar no experience', 'jobs in pocahontas arkansas')",jobs in pocahontas ar no experience,jobs in pocahontas arkansas,2,1,google,2025-10-31 17:54:59.915265,,jobs in pocahontas arkansas
11,jobs in pocahontas arkansas,"('jobs in pocahontas ar no experience', 'jobs in pocahontas')",jobs in pocahontas ar no experience,jobs in pocahontas,3,1,google,2025-10-31 17:54:59.915265,,jobs in pocahontas arkansas
12,jobs in pocahontas arkansas,"('jobs hiring in pocahontas arkansas', 'jobs available in pocahontas arkansas')",jobs hiring in pocahontas arkansas,jobs available in pocahontas arkansas,1,1,google,2025-10-31 17:55:01.247136,,jobs in pocahontas arkansas
13,jobs in pocahontas arkansas,"('jobs hiring in pocahontas arkansas', 'jobs hiring in pocahontas ar')",jobs hiring in pocahontas arkansas,jobs hiring in pocahontas ar,2,1,google,2025-10-31 17:55:01.247136,,jobs in pocahontas arkansas
14,jobs in pocahontas arkansas,"('jobs hiring in pocahontas arkansas', 'jobs near pocahontas arkansas')",jobs hiring in pocahontas arkansas,jobs near pocahontas arkansas,3,1,google,2025-10-31 17:55:01.247136,,jobs in pocahontas arkansas
15,jobs in pocahontas arkansas,"('factory jobs in pocahontas arkansas', 'factory in pocahontas ar')",factory jobs in pocahontas arkansas,factory in pocahontas ar,1,1,google,2025-10-31 17:55:02.302361,,jobs in pocahontas arkansas
16,jobs in pocahontas arkansas,"('factory jobs in pocahontas arkansas', 'factories in pocahontas arkansas')",factory jobs in pocahontas arkansas,factories in pocahontas arkansas,2,1,google,2025-10-31 17:55:02.302361,,jobs in pocahontas arkansas
17,jobs in pocahontas arkansas,"('jobs available in pocahontas arkansas', 'jobs hiring in pocahontas arkansas')",jobs available in pocahontas arkansas,jobs hiring in pocahontas arkansas,1,1,google,2025-10-31 17:55:03.106083,,jobs in pocahontas arkansas
18,jobs in pocahontas arkansas,"('jobs available in pocahontas arkansas', 'jobs in pocahontas arkansas')",jobs available in pocahontas arkansas,jobs in pocahontas arkansas,2,1,google,2025-10-31 17:55:03.106083,,jobs in pocahontas arkansas
19,jobs in pocahontas arkansas,"('jobs available in pocahontas arkansas', 'jobs in pocahontas ar')",jobs available in pocahontas arkansas,jobs in pocahontas ar,3,1,google,2025-10-31 17:55:03.106083,,jobs in pocahontas arkansas
20,jobs in pocahontas arkansas,"('welding jobs in pocahontas arkansas', 'welding jobs in pocatello idaho')",welding jobs in pocahontas arkansas,welding jobs in pocatello idaho,1,1,google,2025-10-31 17:55:04.086525,,jobs in pocahontas arkansas
21,jobs in pocahontas arkansas,"('welding jobs in pocahontas arkansas', 'welding jobs in arkansas')",welding jobs in pocahontas arkansas,welding jobs in arkansas,2,1,google,2025-10-31 17:55:04.086525,,jobs in pocahontas arkansas
22,jobs in pocahontas arkansas,"('welding jobs in pocahontas arkansas', 'welding jobs pocahontas ar')",welding jobs in pocahontas arkansas,welding jobs pocahontas ar,3,1,google,2025-10-31 17:55:04.086525,,jobs in pocahontas arkansas
23,jobs in pocahontas arkansas,"('welding jobs in pocahontas arkansas', 'welding jobs in picayune ms')",welding jobs in pocahontas arkansas,welding jobs in picayune ms,4,1,google,2025-10-31 17:55:04.086525,,jobs in pocahontas arkansas
24,jobs in pocahontas arkansas,"('full time jobs in pocahontas arkansas', 'part time jobs in pocahontas arkansas')",full time jobs in pocahontas arkansas,part time jobs in pocahontas arkansas,1,1,google,2025-10-31 17:55:05.040669,,jobs in pocahontas arkansas
25,jobs in pocahontas arkansas,"('full time jobs in pocahontas arkansas', 'part time jobs hiring pocahontas ar')",full time jobs in pocahontas arkansas,part time jobs hiring pocahontas ar,2,1,google,2025-10-31 17:55:05.040669,,jobs in pocahontas arkansas
26,jobs in pocahontas arkansas,"('full time jobs in pocahontas arkansas', 'full time jobs pocahontas ar')",full time jobs in pocahontas arkansas,full time jobs pocahontas ar,3,1,google,2025-10-31 17:55:05.040669,,jobs in pocahontas arkansas
27,jobs in pocahontas arkansas,"('full time jobs in pocahontas arkansas', 'pocahontas arkansas jobs')",full time jobs in pocahontas arkansas,pocahontas arkansas jobs,4,1,google,2025-10-31 17:55:05.040669,,jobs in pocahontas arkansas
28,jobs in pocahontas arkansas,"('full time jobs in pocahontas arkansas', 'pocahontas ar jobs')",full time jobs in pocahontas arkansas,pocahontas ar jobs,5,1,google,2025-10-31 17:55:05.040669,,jobs in pocahontas arkansas
29,jobs in pocahontas arkansas,"('full time jobs in pocahontas arkansas', 'pocahontas jobs')",full time jobs in pocahontas arkansas,pocahontas jobs,6,1,google,2025-10-31 17:55:05.040669,,jobs in pocahontas arkansas
30,jobs in pocahontas arkansas,"('part time jobs in pocahontas arkansas', 'full time jobs in pocahontas arkansas')",part time jobs in pocahontas arkansas,full time jobs in pocahontas arkansas,1,1,google,2025-10-31 17:55:06.353000,,jobs in pocahontas arkansas
31,jobs in pocahontas arkansas,"('part time jobs in pocahontas arkansas', 'part time jobs hiring pocahontas ar')",part time jobs in pocahontas arkansas,part time jobs hiring pocahontas ar,2,1,google,2025-10-31 17:55:06.353000,,jobs in pocahontas arkansas
32,jobs in pocahontas arkansas,"('part time jobs in pocahontas arkansas', 'part time jobs in pocahontas ar')",part time jobs in pocahontas arkansas,part time jobs in pocahontas ar,3,1,google,2025-10-31 17:55:06.353000,,jobs in pocahontas arkansas
33,jobs in pocahontas arkansas,"('part time jobs in pocahontas arkansas', 'pocahontas arkansas jobs')",part time jobs in pocahontas arkansas,pocahontas arkansas jobs,4,1,google,2025-10-31 17:55:06.353000,,jobs in pocahontas arkansas
34,jobs in pocahontas arkansas,"('part time jobs in pocahontas arkansas', 'pocahontas ar jobs')",part time jobs in pocahontas arkansas,pocahontas ar jobs,5,1,google,2025-10-31 17:55:06.353000,,jobs in pocahontas arkansas
35,jobs in pocahontas arkansas,"('jobs around pocahontas arkansas', 'jobs near pocahontas ar')",jobs around pocahontas arkansas,jobs near pocahontas ar,1,1,google,2025-10-31 17:55:07.399966,,jobs in pocahontas arkansas
36,jobs in pocahontas arkansas,"('jobs in pocahontas ar', 'jobs in pocahontas arkansas')",jobs in pocahontas ar,jobs in pocahontas arkansas,1,1,google,2025-10-31 17:55:08.884952,,jobs in pocahontas arkansas
37,jobs in pocahontas arkansas,"('jobs in pocahontas ar', 'jobs in pocahontas ar no experience')",jobs in pocahontas ar,jobs in pocahontas ar no experience,2,1,google,2025-10-31 17:55:08.884952,,jobs in pocahontas arkansas
38,jobs in pocahontas arkansas,"('jobs in pocahontas ar', 'jobs hiring in pocahontas arkansas')",jobs in pocahontas ar,jobs hiring in pocahontas arkansas,3,1,google,2025-10-31 17:55:08.884952,,jobs in pocahontas arkansas
39,jobs in pocahontas arkansas,"('jobs in pocahontas ar', 'factory jobs in pocahontas arkansas')",jobs in pocahontas ar,factory jobs in pocahontas arkansas,4,1,google,2025-10-31 17:55:08.884952,,jobs in pocahontas arkansas
40,jobs in pocahontas arkansas,"('jobs in pocahontas ar', 'jobs available in pocahontas arkansas')",jobs in pocahontas ar,jobs available in pocahontas arkansas,5,1,google,2025-10-31 17:55:08.884952,,jobs in pocahontas arkansas
41,jobs in pocahontas arkansas,"('jobs in pocahontas ar', 'welding jobs in pocahontas arkansas')",jobs in pocahontas ar,welding jobs in pocahontas arkansas,6,1,google,2025-10-31 17:55:08.884952,,jobs in pocahontas arkansas
42,jobs in pocahontas arkansas,"('jobs in pocahontas ar', 'part time jobs in pocahontas ar')",jobs in pocahontas ar,part time jobs in pocahontas ar,7,1,google,2025-10-31 17:55:08.884952,,jobs in pocahontas arkansas
43,jobs in pocahontas arkansas,"('jobs in pocahontas ar', 'full time jobs in pocahontas arkansas')",jobs in pocahontas ar,full time jobs in pocahontas arkansas,8,1,google,2025-10-31 17:55:08.884952,,jobs in pocahontas arkansas
44,jobs in pocahontas arkansas,"('jobs in pocahontas ar', 'jobs near pocahontas ar')",jobs in pocahontas ar,jobs near pocahontas ar,9,1,google,2025-10-31 17:55:08.884952,,jobs in pocahontas arkansas
45,jobs in pocahontas arkansas,"('jobs in pocahontas ar', 'jobs in pocahontas')",jobs in pocahontas ar,jobs in pocahontas,10,1,google,2025-10-31 17:55:08.884952,,jobs in pocahontas arkansas
46,jobs in pocahontas arkansas,"('jobs in pocahontas', 'jobs in pocahontas arkansas')",jobs in pocahontas,jobs in pocahontas arkansas,1,2,google,2025-10-31 17:55:10.080002,jobs in pocahontas arkansas jobs in pocahontas arkansas,jobs in pocahontas ar no experience jobs in pocahontas ar
47,jobs in pocahontas arkansas,"('jobs in pocahontas', 'jobs in pocahontas county wv')",jobs in pocahontas,jobs in pocahontas county wv,2,2,google,2025-10-31 17:55:10.080002,jobs in pocahontas arkansas jobs in pocahontas arkansas,jobs in pocahontas ar no experience jobs in pocahontas ar
48,jobs in pocahontas arkansas,"('jobs in pocahontas', 'jobs in pocahontas iowa')",jobs in pocahontas,jobs in pocahontas iowa,3,2,google,2025-10-31 17:55:10.080002,jobs in pocahontas arkansas jobs in pocahontas arkansas,jobs in pocahontas ar no experience jobs in pocahontas ar
49,jobs in pocahontas arkansas,"('jobs in pocahontas', 'jobs in pocahontas ar no experience')",jobs in pocahontas,jobs in pocahontas ar no experience,4,2,google,2025-10-31 17:55:10.080002,jobs in pocahontas arkansas jobs in pocahontas arkansas,jobs in pocahontas ar no experience jobs in pocahontas ar
50,jobs in pocahontas arkansas,"('jobs in pocahontas', 'jobs in pocahontas county iowa')",jobs in pocahontas,jobs in pocahontas county iowa,5,2,google,2025-10-31 17:55:10.080002,jobs in pocahontas arkansas jobs in pocahontas arkansas,jobs in pocahontas ar no experience jobs in pocahontas ar
51,jobs in pocahontas arkansas,"('jobs in pocahontas', 'jobs in pocahontas county')",jobs in pocahontas,jobs in pocahontas county,6,2,google,2025-10-31 17:55:10.080002,jobs in pocahontas arkansas jobs in pocahontas arkansas,jobs in pocahontas ar no experience jobs in pocahontas ar
52,jobs in pocahontas arkansas,"('jobs in pocahontas', 'jobs in pocahontas wv')",jobs in pocahontas,jobs in pocahontas wv,7,2,google,2025-10-31 17:55:10.080002,jobs in pocahontas arkansas jobs in pocahontas arkansas,jobs in pocahontas ar no experience jobs in pocahontas ar
53,jobs in pocahontas arkansas,"('jobs in pocahontas', 'jobs hiring in pocahontas arkansas')",jobs in pocahontas,jobs hiring in pocahontas arkansas,8,2,google,2025-10-31 17:55:10.080002,jobs in pocahontas arkansas jobs in pocahontas arkansas,jobs in pocahontas ar no experience jobs in pocahontas ar
