,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in poplar grove arkansas,"('jobs in poplar grove arkansas', 'jobs in poplar grove arkansas area')",jobs in poplar grove arkansas,jobs in poplar grove arkansas area,1,0,google,2025-11-01 17:48:48.674480,,
1,jobs in poplar grove arkansas,"('jobs in poplar grove arkansas', 'jobs in poplar grove arkansas hiring')",jobs in poplar grove arkansas,jobs in poplar grove arkansas hiring,2,0,google,2025-11-01 17:48:48.674480,,
2,jobs in poplar grove arkansas,"('jobs in poplar grove arkansas', 'jobs in poplar grove arkansas hiring now')",jobs in poplar grove arkansas,jobs in poplar grove arkansas hiring now,3,0,google,2025-11-01 17:48:48.674480,,
3,jobs in poplar grove arkansas,"('jobs in poplar grove arkansas', 'jobs in poplar grove arkansas full time')",jobs in poplar grove arkansas,jobs in poplar grove arkansas full time,4,0,google,2025-11-01 17:48:48.674480,,
4,jobs in poplar grove arkansas,"('jobs in poplar grove arkansas', 'jobs in poplar grove arkansas for 16 year olds')",jobs in poplar grove arkansas,jobs in poplar grove arkansas for 16 year olds,5,0,google,2025-11-01 17:48:48.674480,,
5,jobs in poplar grove arkansas,"('jobs in poplar grove arkansas', 'jobs in poplar grove arkansas zip code')",jobs in poplar grove arkansas,jobs in poplar grove arkansas zip code,6,0,google,2025-11-01 17:48:48.674480,,
6,jobs in poplar grove arkansas,"('jobs in poplar grove arkansas', 'jobs in poplar grove arkansas post office')",jobs in poplar grove arkansas,jobs in poplar grove arkansas post office,7,0,google,2025-11-01 17:48:48.674480,,
7,jobs in poplar grove arkansas,"('jobs in poplar grove arkansas area', 'jobs in poplar grove arkansas area hiring')",jobs in poplar grove arkansas area,jobs in poplar grove arkansas area hiring,1,1,google,2025-11-01 17:48:49.512875,,jobs in poplar grove arkansas
8,jobs in poplar grove arkansas,"('jobs in poplar grove arkansas area', 'jobs in poplar grove arkansas area area')",jobs in poplar grove arkansas area,jobs in poplar grove arkansas area area,2,1,google,2025-11-01 17:48:49.512875,,jobs in poplar grove arkansas
9,jobs in poplar grove arkansas,"('jobs in poplar grove arkansas area', 'jobs in poplar grove arkansas area hiring now')",jobs in poplar grove arkansas area,jobs in poplar grove arkansas area hiring now,3,1,google,2025-11-01 17:48:49.512875,,jobs in poplar grove arkansas
