,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in prairie grove arkansas,"('jobs in prairie grove arkansas', 'jobs hiring in prairie grove ar')",jobs in prairie grove arkansas,jobs hiring in prairie grove ar,1,0,google,2025-10-29 23:50:35.319084,,
1,jobs in prairie grove arkansas,"('jobs in prairie grove arkansas', 'part time jobs in prairie grove ar')",jobs in prairie grove arkansas,part time jobs in prairie grove ar,2,0,google,2025-10-29 23:50:35.319084,,
2,jobs in prairie grove arkansas,"('jobs in prairie grove arkansas', 'jobs in prairie grove ar')",jobs in prairie grove arkansas,jobs in prairie grove ar,3,0,google,2025-10-29 23:50:35.319084,,
3,jobs in prairie grove arkansas,"('jobs in prairie grove arkansas', 'prairie grove jobs')",jobs in prairie grove arkansas,prairie grove jobs,4,0,google,2025-10-29 23:50:35.319084,,
4,jobs in prairie grove arkansas,"('jobs hiring in prairie grove ar', 'jobs near prairie grove ar')",jobs hiring in prairie grove ar,jobs near prairie grove ar,1,1,google,2025-10-29 23:50:36.648694,,jobs in prairie grove arkansas
5,jobs in prairie grove arkansas,"('jobs hiring in prairie grove ar', 'job openings prairie grove ar')",jobs hiring in prairie grove ar,job openings prairie grove ar,2,1,google,2025-10-29 23:50:36.648694,,jobs in prairie grove arkansas
6,jobs in prairie grove arkansas,"('jobs hiring in prairie grove ar', 'jobs in prairie grove arkansas')",jobs hiring in prairie grove ar,jobs in prairie grove arkansas,3,1,google,2025-10-29 23:50:36.648694,,jobs in prairie grove arkansas
7,jobs in prairie grove arkansas,"('jobs hiring in prairie grove ar', 'jobs hiring in grand prairie texas')",jobs hiring in prairie grove ar,jobs hiring in grand prairie texas,4,1,google,2025-10-29 23:50:36.648694,,jobs in prairie grove arkansas
8,jobs in prairie grove arkansas,"('part time jobs in prairie grove ar', 'part-time jobs in grand prairie tx')",part time jobs in prairie grove ar,part-time jobs in grand prairie tx,1,1,google,2025-10-29 23:50:38.093039,,jobs in prairie grove arkansas
9,jobs in prairie grove arkansas,"('jobs in prairie grove ar', 'jobs hiring in prairie grove ar')",jobs in prairie grove ar,jobs hiring in prairie grove ar,1,1,google,2025-10-29 23:50:39.311123,,jobs in prairie grove arkansas
