,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in prescott arkansas,"('jobs in prescott arkansas', 'jobs hiring in prescott arkansas')",jobs in prescott arkansas,jobs hiring in prescott arkansas,1,0,google,2025-10-30 18:17:59.916037,,
1,jobs in prescott arkansas,"('jobs in prescott arkansas', 'part time jobs in prescott arkansas')",jobs in prescott arkansas,part time jobs in prescott arkansas,2,0,google,2025-10-30 18:17:59.916037,,
2,jobs in prescott arkansas,"('jobs in prescott arkansas', 'jobs hiring in prescott ar')",jobs in prescott arkansas,jobs hiring in prescott ar,3,0,google,2025-10-30 18:17:59.916037,,
3,jobs in prescott arkansas,"('jobs in prescott arkansas', 'jobs in prescott ar')",jobs in prescott arkansas,jobs in prescott ar,4,0,google,2025-10-30 18:17:59.916037,,
4,jobs in prescott arkansas,"('jobs hiring in prescott arkansas', 'jobs hiring in prescott ar')",jobs hiring in prescott arkansas,jobs hiring in prescott ar,1,1,google,2025-10-30 18:18:01.016641,,jobs in prescott arkansas
5,jobs in prescott arkansas,"('jobs hiring in prescott arkansas', 'jobs near prescott arkansas')",jobs hiring in prescott arkansas,jobs near prescott arkansas,2,1,google,2025-10-30 18:18:01.016641,,jobs in prescott arkansas
6,jobs in prescott arkansas,"('part time jobs in prescott arkansas', 'part-time jobs in prescott az')",part time jobs in prescott arkansas,part-time jobs in prescott az,1,1,google,2025-10-30 18:18:02.044405,,jobs in prescott arkansas
7,jobs in prescott arkansas,"('part time jobs in prescott arkansas', 'part-time jobs in prescott valley')",part time jobs in prescott arkansas,part-time jobs in prescott valley,2,1,google,2025-10-30 18:18:02.044405,,jobs in prescott arkansas
8,jobs in prescott arkansas,"('part time jobs in prescott arkansas', 'part time jobs in prescott wi')",part time jobs in prescott arkansas,part time jobs in prescott wi,3,1,google,2025-10-30 18:18:02.044405,,jobs in prescott arkansas
9,jobs in prescott arkansas,"('jobs hiring in prescott ar', 'jobs hiring in prescott arizona')",jobs hiring in prescott ar,jobs hiring in prescott arizona,1,1,google,2025-10-30 18:18:02.922421,,jobs in prescott arkansas
10,jobs in prescott arkansas,"('jobs hiring in prescott ar', 'jobs hiring in prescott arkansas')",jobs hiring in prescott ar,jobs hiring in prescott arkansas,2,1,google,2025-10-30 18:18:02.922421,,jobs in prescott arkansas
11,jobs in prescott arkansas,"('jobs hiring in prescott ar', 'jobs available in prescott arizona')",jobs hiring in prescott ar,jobs available in prescott arizona,3,1,google,2025-10-30 18:18:02.922421,,jobs in prescott arkansas
12,jobs in prescott arkansas,"('jobs hiring in prescott ar', 'jobs hiring in prescott valley arizona')",jobs hiring in prescott ar,jobs hiring in prescott valley arizona,4,1,google,2025-10-30 18:18:02.922421,,jobs in prescott arkansas
13,jobs in prescott arkansas,"('jobs hiring in prescott ar', 'jobs near prescott ar')",jobs hiring in prescott ar,jobs near prescott ar,5,1,google,2025-10-30 18:18:02.922421,,jobs in prescott arkansas
14,jobs in prescott arkansas,"('jobs hiring in prescott ar', 'jobs near prescott arizona')",jobs hiring in prescott ar,jobs near prescott arizona,6,1,google,2025-10-30 18:18:02.922421,,jobs in prescott arkansas
15,jobs in prescott arkansas,"('jobs hiring in prescott ar', 'job openings in prescott valley arizona')",jobs hiring in prescott ar,job openings in prescott valley arizona,7,1,google,2025-10-30 18:18:02.922421,,jobs in prescott arkansas
16,jobs in prescott arkansas,"('jobs hiring in prescott ar', 'jobs hiring in prescott az')",jobs hiring in prescott ar,jobs hiring in prescott az,8,1,google,2025-10-30 18:18:02.922421,,jobs in prescott arkansas
17,jobs in prescott arkansas,"('jobs hiring in prescott ar', 'jobs hiring in prescott valley')",jobs hiring in prescott ar,jobs hiring in prescott valley,9,1,google,2025-10-30 18:18:02.922421,,jobs in prescott arkansas
18,jobs in prescott arkansas,"('jobs in prescott ar', 'jobs in prescott arizona')",jobs in prescott ar,jobs in prescott arizona,1,1,google,2025-10-30 18:18:04.280257,,jobs in prescott arkansas
19,jobs in prescott arkansas,"('jobs in prescott ar', 'jobs in prescott arkansas')",jobs in prescott ar,jobs in prescott arkansas,2,1,google,2025-10-30 18:18:04.280257,,jobs in prescott arkansas
20,jobs in prescott arkansas,"('jobs in prescott ar', 'jobs in prescott area')",jobs in prescott ar,jobs in prescott area,3,1,google,2025-10-30 18:18:04.280257,,jobs in prescott arkansas
21,jobs in prescott arkansas,"('jobs in prescott ar', 'jobs in prescott arizona remote')",jobs in prescott ar,jobs in prescott arizona remote,4,1,google,2025-10-30 18:18:04.280257,,jobs in prescott arkansas
22,jobs in prescott arkansas,"('jobs in prescott ar', 'jobs in prescott arizona no degree')",jobs in prescott ar,jobs in prescott arizona no degree,5,1,google,2025-10-30 18:18:04.280257,,jobs in prescott arkansas
23,jobs in prescott arkansas,"('jobs in prescott ar', 'work in prescott arizona')",jobs in prescott ar,work in prescott arizona,6,1,google,2025-10-30 18:18:04.280257,,jobs in prescott arkansas
24,jobs in prescott arkansas,"('jobs in prescott ar', 'jobs in prescott valley arizona')",jobs in prescott ar,jobs in prescott valley arizona,7,1,google,2025-10-30 18:18:04.280257,,jobs in prescott arkansas
25,jobs in prescott arkansas,"('jobs in prescott ar', 'jobs hiring in prescott arkansas')",jobs in prescott ar,jobs hiring in prescott arkansas,8,1,google,2025-10-30 18:18:04.280257,,jobs in prescott arkansas
26,jobs in prescott arkansas,"('jobs in prescott ar', 'jobs hiring in prescott ar')",jobs in prescott ar,jobs hiring in prescott ar,9,1,google,2025-10-30 18:18:04.280257,,jobs in prescott arkansas
27,jobs in prescott arkansas,"('jobs in prescott ar', 'jobs hiring in prescott arizona')",jobs in prescott ar,jobs hiring in prescott arizona,10,1,google,2025-10-30 18:18:04.280257,,jobs in prescott arkansas
