,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in rainsville alabama,"('jobs in rainsville alabama', 'jobs hiring in rainsville alabama')",jobs in rainsville alabama,jobs hiring in rainsville alabama,1,0,google,2025-10-29 01:01:54.168607,,
1,jobs in rainsville alabama,"('jobs in rainsville alabama', 'jobs in rainsville')",jobs in rainsville alabama,jobs in rainsville,2,0,google,2025-10-29 01:01:54.168607,,
2,jobs in rainsville alabama,"('jobs in rainsville alabama', 'what kind of jobs are in alabama')",jobs in rainsville alabama,what kind of jobs are in alabama,3,0,google,2025-10-29 01:01:54.168607,,
3,jobs in rainsville alabama,"('jobs hiring in rainsville alabama', 'jobs near rainsville alabama')",jobs hiring in rainsville alabama,jobs near rainsville alabama,1,1,google,2025-10-29 01:01:55.317278,,jobs in rainsville alabama
4,jobs in rainsville alabama,"('jobs hiring in rainsville alabama', 'jobs hiring near rainsville al')",jobs hiring in rainsville alabama,jobs hiring near rainsville al,2,1,google,2025-10-29 01:01:55.317278,,jobs in rainsville alabama
5,jobs in rainsville alabama,"('jobs hiring in rainsville alabama', 'rainsville al jobs')",jobs hiring in rainsville alabama,rainsville al jobs,3,1,google,2025-10-29 01:01:55.317278,,jobs in rainsville alabama
6,jobs in rainsville alabama,"('jobs in rainsville', 'jobs in rainsville al')",jobs in rainsville,jobs in rainsville al,1,1,google,2025-10-29 01:01:56.256360,,jobs in rainsville alabama
7,jobs in rainsville alabama,"('jobs in rainsville', 'jobs hiring in rainsville alabama')",jobs in rainsville,jobs hiring in rainsville alabama,2,1,google,2025-10-29 01:01:56.256360,,jobs in rainsville alabama
8,jobs in rainsville alabama,"('jobs in rainsville', 'jobs hiring in rainsville')",jobs in rainsville,jobs hiring in rainsville,3,1,google,2025-10-29 01:01:56.256360,,jobs in rainsville alabama
9,jobs in rainsville alabama,"('jobs in rainsville', 'part time jobs in rainsville al')",jobs in rainsville,part time jobs in rainsville al,4,1,google,2025-10-29 01:01:56.256360,,jobs in rainsville alabama
10,jobs in rainsville alabama,"('jobs in rainsville', 'jobs in the cold')",jobs in rainsville,jobs in the cold,5,1,google,2025-10-29 01:01:56.256360,,jobs in rainsville alabama
11,jobs in rainsville alabama,"('jobs in rainsville', 'jobs in rainsville alabama')",jobs in rainsville,jobs in rainsville alabama,6,1,google,2025-10-29 01:01:56.256360,,jobs in rainsville alabama
12,jobs in rainsville alabama,"('jobs in rainsville', 'jobs in rainelle wv')",jobs in rainsville,jobs in rainelle wv,7,1,google,2025-10-29 01:01:56.256360,,jobs in rainsville alabama
13,jobs in rainsville alabama,"('what kind of jobs are in alabama', 'what jobs are in demand in alabama')",what kind of jobs are in alabama,what jobs are in demand in alabama,1,1,google,2025-10-29 01:01:57.456119,,jobs in rainsville alabama
14,jobs in rainsville alabama,"('what kind of jobs are in alabama', 'what jobs are in high demand in alabama')",what kind of jobs are in alabama,what jobs are in high demand in alabama,2,1,google,2025-10-29 01:01:57.456119,,jobs in rainsville alabama
15,jobs in rainsville alabama,"('what kind of jobs are in alabama', 'whats the highest paying job in alabama')",what kind of jobs are in alabama,whats the highest paying job in alabama,3,1,google,2025-10-29 01:01:57.456119,,jobs in rainsville alabama
16,jobs in rainsville alabama,"('what kind of jobs are in alabama', 'what jobs are in alabama')",what kind of jobs are in alabama,what jobs are in alabama,4,1,google,2025-10-29 01:01:57.456119,,jobs in rainsville alabama
17,jobs in rainsville alabama,"('what kind of jobs are in alabama', 'what are the best jobs in alabama')",what kind of jobs are in alabama,what are the best jobs in alabama,5,1,google,2025-10-29 01:01:57.456119,,jobs in rainsville alabama
18,jobs in rainsville alabama,"('jobs near rainsville alabama', 'jobs hiring near rainsville al')",jobs near rainsville alabama,jobs hiring near rainsville al,1,2,google,2025-10-29 01:01:58.830037,jobs in rainsville alabama,jobs hiring in rainsville alabama
19,jobs in rainsville alabama,"('jobs near rainsville alabama', 'welding jobs near rainsville al')",jobs near rainsville alabama,welding jobs near rainsville al,2,2,google,2025-10-29 01:01:58.830037,jobs in rainsville alabama,jobs hiring in rainsville alabama
20,jobs in rainsville alabama,"('jobs near rainsville alabama', 'indeed jobs near rainsville al')",jobs near rainsville alabama,indeed jobs near rainsville al,3,2,google,2025-10-29 01:01:58.830037,jobs in rainsville alabama,jobs hiring in rainsville alabama
21,jobs in rainsville alabama,"('jobs near rainsville alabama', 'jobs in rainsville')",jobs near rainsville alabama,jobs in rainsville,4,2,google,2025-10-29 01:01:58.830037,jobs in rainsville alabama,jobs hiring in rainsville alabama
22,jobs in rainsville alabama,"('jobs hiring near rainsville al', 'jobs 18+ hiring near me')",jobs hiring near rainsville al,jobs 18+ hiring near me,1,2,google,2025-10-29 01:01:59.809951,jobs in rainsville alabama,jobs hiring in rainsville alabama
23,jobs in rainsville alabama,"('jobs hiring near rainsville al', 'jobs hiring near me and pay')",jobs hiring near rainsville al,jobs hiring near me and pay,2,2,google,2025-10-29 01:01:59.809951,jobs in rainsville alabama,jobs hiring in rainsville alabama
24,jobs in rainsville alabama,"('jobs hiring near rainsville al', 'jobs hiring in rainsville alabama')",jobs hiring near rainsville al,jobs hiring in rainsville alabama,3,2,google,2025-10-29 01:01:59.809951,jobs in rainsville alabama,jobs hiring in rainsville alabama
25,jobs in rainsville alabama,"('jobs hiring near rainsville al', 'jobs near rainsville al')",jobs hiring near rainsville al,jobs near rainsville al,4,2,google,2025-10-29 01:01:59.809951,jobs in rainsville alabama,jobs hiring in rainsville alabama
