,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in ramer alabama,"('jobs in ramer alabama', 'jobs in ramer al')",jobs in ramer alabama,jobs in ramer al,1,0,google,2025-10-29 01:03:19.420595,,
1,jobs in ramer alabama,"('jobs in ramer alabama', 'jobs in ramer tn')",jobs in ramer alabama,jobs in ramer tn,2,0,google,2025-10-29 01:03:19.420595,,
2,jobs in ramer alabama,"('jobs in ramer alabama', 'jobs in ramseur')",jobs in ramer alabama,jobs in ramseur,3,0,google,2025-10-29 01:03:19.420595,,
3,jobs in ramer alabama,"('jobs in ramer alabama', 'jobs in ranburne alabama')",jobs in ramer alabama,jobs in ranburne alabama,4,0,google,2025-10-29 01:03:19.420595,,
4,jobs in ramer alabama,"('jobs in ramer alabama', 'jobs in ramseur nc')",jobs in ramer alabama,jobs in ramseur nc,5,0,google,2025-10-29 01:03:19.420595,,
5,jobs in ramer alabama,"('jobs in ramer al', 'jobs in ramer tn')",jobs in ramer al,jobs in ramer tn,1,1,google,2025-10-29 01:03:20.580772,,jobs in ramer alabama
6,jobs in ramer alabama,"('jobs in ramer al', 'jobs in ramseur')",jobs in ramer al,jobs in ramseur,2,1,google,2025-10-29 01:03:20.580772,,jobs in ramer alabama
7,jobs in ramer alabama,"('jobs in ramer al', 'jobs in ramseur nc')",jobs in ramer al,jobs in ramseur nc,3,1,google,2025-10-29 01:03:20.580772,,jobs in ramer alabama
8,jobs in ramer alabama,"('jobs in ramer al', 'jobs in ramstein air base')",jobs in ramer al,jobs in ramstein air base,4,1,google,2025-10-29 01:03:20.580772,,jobs in ramer alabama
9,jobs in ramer alabama,"('jobs in ramer al', 'jobs in ramah nm')",jobs in ramer al,jobs in ramah nm,5,1,google,2025-10-29 01:03:20.580772,,jobs in ramer alabama
10,jobs in ramer alabama,"('jobs in ramer tn', 'jobs in ramseur')",jobs in ramer tn,jobs in ramseur,1,1,google,2025-10-29 01:03:21.595182,,jobs in ramer alabama
11,jobs in ramer alabama,"('jobs in ramer tn', 'jobs in ramseur nc')",jobs in ramer tn,jobs in ramseur nc,2,1,google,2025-10-29 01:03:21.595182,,jobs in ramer alabama
12,jobs in ramer alabama,"('jobs in ramseur', 'jobs in ramseur nc')",jobs in ramseur,jobs in ramseur nc,1,1,google,2025-10-29 01:03:22.703683,,jobs in ramer alabama
13,jobs in ramer alabama,"('jobs in ramseur', 'jobs hiring in ramseur nc')",jobs in ramseur,jobs hiring in ramseur nc,2,1,google,2025-10-29 01:03:22.703683,,jobs in ramer alabama
14,jobs in ramer alabama,"('jobs in ramseur', 'part time jobs in ramseur nc')",jobs in ramseur,part time jobs in ramseur nc,3,1,google,2025-10-29 01:03:22.703683,,jobs in ramer alabama
15,jobs in ramer alabama,"('jobs in ramseur', 'jobs in ramsey il')",jobs in ramseur,jobs in ramsey il,4,1,google,2025-10-29 01:03:22.703683,,jobs in ramer alabama
