,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in red bay alabama,"('jobs in red bay alabama', 'jobs hiring in red bay alabama')",jobs in red bay alabama,jobs hiring in red bay alabama,1,0,google,2025-10-29 01:04:19.511778,,
1,jobs in red bay alabama,"('jobs in red bay alabama', 'hiring in red bay al')",jobs in red bay alabama,hiring in red bay al,2,0,google,2025-10-29 01:04:19.511778,,
2,jobs in red bay alabama,"('jobs in red bay alabama', 'places hiring in red bay al')",jobs in red bay alabama,places hiring in red bay al,3,0,google,2025-10-29 01:04:19.511778,,
3,jobs in red bay alabama,"('jobs in red bay alabama', 'jobs in red bay al')",jobs in red bay alabama,jobs in red bay al,4,0,google,2025-10-29 01:04:19.511778,,
4,jobs in red bay alabama,"('jobs in red bay alabama', 'jobs hiring in red bay al')",jobs in red bay alabama,jobs hiring in red bay al,5,0,google,2025-10-29 01:04:19.511778,,
5,jobs in red bay alabama,"('jobs hiring in red bay alabama', 'jobs near red bay alabama')",jobs hiring in red bay alabama,jobs near red bay alabama,1,1,google,2025-10-29 01:04:20.631197,,jobs in red bay alabama
6,jobs in red bay alabama,"('jobs hiring in red bay alabama', 'jobs hiring near red bay al')",jobs hiring in red bay alabama,jobs hiring near red bay al,2,1,google,2025-10-29 01:04:20.631197,,jobs in red bay alabama
7,jobs in red bay alabama,"('jobs hiring in red bay alabama', 'jobs red bay al')",jobs hiring in red bay alabama,jobs red bay al,3,1,google,2025-10-29 01:04:20.631197,,jobs in red bay alabama
8,jobs in red bay alabama,"('hiring in red bay al', 'jobs in red bay al')",hiring in red bay al,jobs in red bay al,1,1,google,2025-10-29 01:04:21.801323,,jobs in red bay alabama
9,jobs in red bay alabama,"('hiring in red bay al', 'jobs hiring in red bay al')",hiring in red bay al,jobs hiring in red bay al,2,1,google,2025-10-29 01:04:21.801323,,jobs in red bay alabama
10,jobs in red bay alabama,"('hiring in red bay al', 'places hiring in red bay al')",hiring in red bay al,places hiring in red bay al,3,1,google,2025-10-29 01:04:21.801323,,jobs in red bay alabama
11,jobs in red bay alabama,"('hiring in red bay al', 'hiring in red bluff ca')",hiring in red bay al,hiring in red bluff ca,4,1,google,2025-10-29 01:04:21.801323,,jobs in red bay alabama
12,jobs in red bay alabama,"('hiring in red bay al', 'jobs in red bay alabama')",hiring in red bay al,jobs in red bay alabama,5,1,google,2025-10-29 01:04:21.801323,,jobs in red bay alabama
13,jobs in red bay alabama,"('hiring in red bay al', 'hiring in redwood city')",hiring in red bay al,hiring in redwood city,6,1,google,2025-10-29 01:04:21.801323,,jobs in red bay alabama
14,jobs in red bay alabama,"('places hiring in red bay al', 'places to work in red bay al')",places hiring in red bay al,places to work in red bay al,1,1,google,2025-10-29 01:04:23.075575,,jobs in red bay alabama
15,jobs in red bay alabama,"('places hiring in red bay al', 'jobs hiring in red bay al')",places hiring in red bay al,jobs hiring in red bay al,2,1,google,2025-10-29 01:04:23.075575,,jobs in red bay alabama
16,jobs in red bay alabama,"('places hiring in red bay al', 'jobs in red bay al')",places hiring in red bay al,jobs in red bay al,3,1,google,2025-10-29 01:04:23.075575,,jobs in red bay alabama
17,jobs in red bay alabama,"('places hiring in red bay al', 'places hiring in red bluff ca')",places hiring in red bay al,places hiring in red bluff ca,4,1,google,2025-10-29 01:04:23.075575,,jobs in red bay alabama
18,jobs in red bay alabama,"('places hiring in red bay al', 'places hiring in red bluff')",places hiring in red bay al,places hiring in red bluff,5,1,google,2025-10-29 01:04:23.075575,,jobs in red bay alabama
19,jobs in red bay alabama,"('places hiring in red bay al', 'places hiring in red lion pa')",places hiring in red bay al,places hiring in red lion pa,6,1,google,2025-10-29 01:04:23.075575,,jobs in red bay alabama
20,jobs in red bay alabama,"('jobs in red bay al', 'jobs in red bay alabama')",jobs in red bay al,jobs in red bay alabama,1,1,google,2025-10-29 01:04:23.853156,,jobs in red bay alabama
21,jobs in red bay alabama,"('jobs in red bay al', 'hiring in red bay al')",jobs in red bay al,hiring in red bay al,2,1,google,2025-10-29 01:04:23.853156,,jobs in red bay alabama
22,jobs in red bay alabama,"('jobs in red bay al', 'jobs hiring in red bay al')",jobs in red bay al,jobs hiring in red bay al,3,1,google,2025-10-29 01:04:23.853156,,jobs in red bay alabama
23,jobs in red bay alabama,"('jobs in red bay al', 'places hiring in red bay al')",jobs in red bay al,places hiring in red bay al,4,1,google,2025-10-29 01:04:23.853156,,jobs in red bay alabama
24,jobs in red bay alabama,"('jobs in red bay al', 'jobs near red bay al')",jobs in red bay al,jobs near red bay al,5,1,google,2025-10-29 01:04:23.853156,,jobs in red bay alabama
25,jobs in red bay alabama,"('jobs in red bay al', 'places to work in red bay al')",jobs in red bay al,places to work in red bay al,6,1,google,2025-10-29 01:04:23.853156,,jobs in red bay alabama
26,jobs in red bay alabama,"('jobs in red bay al', 'indeed jobs red bay al')",jobs in red bay al,indeed jobs red bay al,7,1,google,2025-10-29 01:04:23.853156,,jobs in red bay alabama
27,jobs in red bay alabama,"('jobs in red bay al', 'lpn jobs red bay al')",jobs in red bay al,lpn jobs red bay al,8,1,google,2025-10-29 01:04:23.853156,,jobs in red bay alabama
28,jobs in red bay alabama,"('jobs in red bay al', 'jobs in business bay')",jobs in red bay al,jobs in business bay,9,1,google,2025-10-29 01:04:23.853156,,jobs in red bay alabama
29,jobs in red bay alabama,"('jobs in red bay al', 'jobs in red bank sc')",jobs in red bay al,jobs in red bank sc,10,1,google,2025-10-29 01:04:23.853156,,jobs in red bay alabama
30,jobs in red bay alabama,"('jobs hiring in red bay al', 'jobs near red bay al')",jobs hiring in red bay al,jobs near red bay al,1,1,google,2025-10-29 01:04:25.222410,,jobs in red bay alabama
31,jobs in red bay alabama,"('jobs hiring in red bay al', 'orange hire jobs')",jobs hiring in red bay al,orange hire jobs,2,1,google,2025-10-29 01:04:25.222410,,jobs in red bay alabama
32,jobs in red bay alabama,"('jobs hiring in red bay al', 'jobs hiring in red bank sc')",jobs hiring in red bay al,jobs hiring in red bank sc,3,1,google,2025-10-29 01:04:25.222410,,jobs in red bay alabama
33,jobs in red bay alabama,"('jobs hiring in red bay al', 'jobs hiring in red bank nj')",jobs hiring in red bay al,jobs hiring in red bank nj,4,1,google,2025-10-29 01:04:25.222410,,jobs in red bay alabama
34,jobs in red bay alabama,"('jobs hiring in red bay al', 'jobs hiring in red bluff ca')",jobs hiring in red bay al,jobs hiring in red bluff ca,5,1,google,2025-10-29 01:04:25.222410,,jobs in red bay alabama
35,jobs in red bay alabama,"('jobs near red bay alabama', 'jobs hiring near red bay al')",jobs near red bay alabama,jobs hiring near red bay al,1,2,google,2025-10-29 01:04:26.453889,jobs in red bay alabama,jobs hiring in red bay alabama
36,jobs in red bay alabama,"('jobs near red bay alabama', 'jobs near red bay al')",jobs near red bay alabama,jobs near red bay al,2,2,google,2025-10-29 01:04:26.453889,jobs in red bay alabama,jobs hiring in red bay alabama
37,jobs in red bay alabama,"('jobs hiring near red bay al', 'jobs in red bay al')",jobs hiring near red bay al,jobs in red bay al,1,2,google,2025-10-29 01:04:27.219441,jobs in red bay alabama,jobs hiring in red bay alabama
38,jobs in red bay alabama,"('jobs hiring near red bay al', 'orange hire jobs')",jobs hiring near red bay al,orange hire jobs,2,2,google,2025-10-29 01:04:27.219441,jobs in red bay alabama,jobs hiring in red bay alabama
39,jobs in red bay alabama,"('jobs hiring near red bay al', 'jobs hiring near red bank nj')",jobs hiring near red bay al,jobs hiring near red bank nj,3,2,google,2025-10-29 01:04:27.219441,jobs in red bay alabama,jobs hiring in red bay alabama
40,jobs in red bay alabama,"('jobs red bay al', 'jobs hiring red bay al')",jobs red bay al,jobs hiring red bay al,1,2,google,2025-10-29 01:04:28.099161,jobs in red bay alabama,jobs hiring in red bay alabama
41,jobs in red bay alabama,"('jobs red bay al', 'indeed jobs red bay al')",jobs red bay al,indeed jobs red bay al,2,2,google,2025-10-29 01:04:28.099161,jobs in red bay alabama,jobs hiring in red bay alabama
42,jobs in red bay alabama,"('jobs red bay al', 'lpn jobs red bay al')",jobs red bay al,lpn jobs red bay al,3,2,google,2025-10-29 01:04:28.099161,jobs in red bay alabama,jobs hiring in red bay alabama
43,jobs in red bay alabama,"('jobs red bay al', 'part time jobs red bay al')",jobs red bay al,part time jobs red bay al,4,2,google,2025-10-29 01:04:28.099161,jobs in red bay alabama,jobs hiring in red bay alabama
44,jobs in red bay alabama,"('jobs red bay al', 'sunshine mills red bay al jobs')",jobs red bay al,sunshine mills red bay al jobs,5,2,google,2025-10-29 01:04:28.099161,jobs in red bay alabama,jobs hiring in red bay alabama
45,jobs in red bay alabama,"('jobs red bay al', 'sunshine homes red bay al jobs')",jobs red bay al,sunshine homes red bay al jobs,6,2,google,2025-10-29 01:04:28.099161,jobs in red bay alabama,jobs hiring in red bay alabama
46,jobs in red bay alabama,"('jobs red bay al', 'red bay hospital jobs')",jobs red bay al,red bay hospital jobs,7,2,google,2025-10-29 01:04:28.099161,jobs in red bay alabama,jobs hiring in red bay alabama
47,jobs in red bay alabama,"('jobs red bay al', 'jobs in business bay')",jobs red bay al,jobs in business bay,8,2,google,2025-10-29 01:04:28.099161,jobs in red bay alabama,jobs hiring in red bay alabama
48,jobs in red bay alabama,"('jobs red bay al', 'orange hire jobs')",jobs red bay al,orange hire jobs,9,2,google,2025-10-29 01:04:28.099161,jobs in red bay alabama,jobs hiring in red bay alabama
49,jobs in red bay alabama,"('hiring in red bluff ca', 'jobs in red bluff ca')",hiring in red bluff ca,jobs in red bluff ca,1,2,google,2025-10-29 01:04:29.398152,jobs in red bay alabama,hiring in red bay al
