,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in rison arkansas,"('jobs in rison arkansas', 'jobs in rison ar')",jobs in rison arkansas,jobs in rison ar,1,0,google,2025-10-30 18:20:40.964303,,
1,jobs in rison arkansas,"('jobs in rison arkansas', 'jobs hiring in rison ar')",jobs in rison arkansas,jobs hiring in rison ar,2,0,google,2025-10-30 18:20:40.964303,,
2,jobs in rison arkansas,"('jobs in rison ar', 'jobs in rison arkansas')",jobs in rison ar,jobs in rison arkansas,1,1,google,2025-10-30 18:20:42.032335,,jobs in rison arkansas
3,jobs in rison arkansas,"('jobs in rison ar', 'jobs in rising sun')",jobs in rison ar,jobs in rising sun,2,1,google,2025-10-30 18:20:42.032335,,jobs in rison arkansas
4,jobs in rison arkansas,"('jobs hiring in rison ar', 'jobs near rison ar')",jobs hiring in rison ar,jobs near rison ar,1,1,google,2025-10-30 18:20:42.834394,,jobs in rison arkansas
5,jobs in rison arkansas,"('jobs hiring in rison ar', 'jobs in rison arkansas')",jobs hiring in rison ar,jobs in rison arkansas,2,1,google,2025-10-30 18:20:42.834394,,jobs in rison arkansas
6,jobs in rison arkansas,"('jobs in rising sun', 'jobs in rising sun md')",jobs in rising sun,jobs in rising sun md,1,2,google,2025-10-30 18:20:43.918330,jobs in rison arkansas,jobs in rison ar
7,jobs in rison arkansas,"('jobs in rising sun', 'jobs in rising sun indiana')",jobs in rising sun,jobs in rising sun indiana,2,2,google,2025-10-30 18:20:43.918330,jobs in rison arkansas,jobs in rison ar
8,jobs in rison arkansas,"('jobs in rising sun', 'jobs hiring in rising sun md')",jobs in rising sun,jobs hiring in rising sun md,3,2,google,2025-10-30 18:20:43.918330,jobs in rison arkansas,jobs in rison ar
9,jobs in rison arkansas,"('jobs in rising sun', 'jobs hiring in rising sun')",jobs in rising sun,jobs hiring in rising sun,4,2,google,2025-10-30 18:20:43.918330,jobs in rison arkansas,jobs in rison ar
10,jobs in rison arkansas,"('jobs in rising sun', 'part time jobs in rising sun md')",jobs in rising sun,part time jobs in rising sun md,5,2,google,2025-10-30 18:20:43.918330,jobs in rison arkansas,jobs in rison ar
11,jobs in rison arkansas,"('jobs in rising sun', 'part time jobs in rising sun')",jobs in rising sun,part time jobs in rising sun,6,2,google,2025-10-30 18:20:43.918330,jobs in rison arkansas,jobs in rison ar
12,jobs in rison arkansas,"('jobs in rising sun', 'jobs at rising sun enterprises')",jobs in rising sun,jobs at rising sun enterprises,7,2,google,2025-10-30 18:20:43.918330,jobs in rison arkansas,jobs in rison ar
13,jobs in rison arkansas,"('jobs in rising sun', 'jobs at rising sun child development center')",jobs in rising sun,jobs at rising sun child development center,8,2,google,2025-10-30 18:20:43.918330,jobs in rison arkansas,jobs in rison ar
14,jobs in rison arkansas,"('jobs in rising sun', 'jobs hiring rising sun indiana')",jobs in rising sun,jobs hiring rising sun indiana,9,2,google,2025-10-30 18:20:43.918330,jobs in rison arkansas,jobs in rison ar
15,jobs in rison arkansas,"('jobs near rison ar', 'jobs near rising sun')",jobs near rison ar,jobs near rising sun,1,2,google,2025-10-30 18:20:45.266841,jobs in rison arkansas,jobs hiring in rison ar
16,jobs in rison arkansas,"('jobs near rison ar', 'jobs in rison arkansas')",jobs near rison ar,jobs in rison arkansas,2,2,google,2025-10-30 18:20:45.266841,jobs in rison arkansas,jobs hiring in rison ar
17,jobs in rison arkansas,"('jobs in rising sun md', 'jobs hiring in rising sun md')",jobs in rising sun md,jobs hiring in rising sun md,1,3,google,2025-10-30 18:20:46.475322,jobs in rison ar,jobs in rising sun
18,jobs in rison arkansas,"('jobs in rising sun md', 'part time jobs in rising sun md')",jobs in rising sun md,part time jobs in rising sun md,2,3,google,2025-10-30 18:20:46.475322,jobs in rison ar,jobs in rising sun
19,jobs in rison arkansas,"('jobs in rising sun md', 'indeed jobs rising sun md')",jobs in rising sun md,indeed jobs rising sun md,3,3,google,2025-10-30 18:20:46.475322,jobs in rison ar,jobs in rising sun
20,jobs in rison arkansas,"('jobs in rising sun md', 'jobs near me rising sun md')",jobs in rising sun md,jobs near me rising sun md,4,3,google,2025-10-30 18:20:46.475322,jobs in rison ar,jobs in rising sun
21,jobs in rison arkansas,"('jobs in rising sun md', 'jobs in rising sun maryland')",jobs in rising sun md,jobs in rising sun maryland,5,3,google,2025-10-30 18:20:46.475322,jobs in rison ar,jobs in rising sun
22,jobs in rison arkansas,"('jobs in rising sun md', 'jobs in rising sun')",jobs in rising sun md,jobs in rising sun,6,3,google,2025-10-30 18:20:46.475322,jobs in rison ar,jobs in rising sun
23,jobs in rison arkansas,"('jobs in rising sun indiana', 'jobs hiring rising sun indiana')",jobs in rising sun indiana,jobs hiring rising sun indiana,1,3,google,2025-10-30 18:20:47.565225,jobs in rison ar,jobs in rising sun
24,jobs in rison arkansas,"('jobs in rising sun indiana', 'indeed jobs rising sun indiana')",jobs in rising sun indiana,indeed jobs rising sun indiana,2,3,google,2025-10-30 18:20:47.565225,jobs in rison ar,jobs in rising sun
25,jobs in rison arkansas,"('jobs in rising sun indiana', 'jobs in rising sun')",jobs in rising sun indiana,jobs in rising sun,3,3,google,2025-10-30 18:20:47.565225,jobs in rison ar,jobs in rising sun
26,jobs in rison arkansas,"('jobs hiring in rising sun md', 'jobs near rising sun md')",jobs hiring in rising sun md,jobs near rising sun md,1,3,google,2025-10-30 18:20:48.660936,jobs in rison ar,jobs in rising sun
27,jobs in rison arkansas,"('jobs hiring in rising sun md', 'jobs near me rising sun md')",jobs hiring in rising sun md,jobs near me rising sun md,2,3,google,2025-10-30 18:20:48.660936,jobs in rison ar,jobs in rising sun
28,jobs in rison arkansas,"('jobs hiring in rising sun md', 'indeed jobs near rising sun md')",jobs hiring in rising sun md,indeed jobs near rising sun md,3,3,google,2025-10-30 18:20:48.660936,jobs in rison ar,jobs in rising sun
29,jobs in rison arkansas,"('jobs hiring in rising sun md', 'jobs hiring in rising sun indiana')",jobs hiring in rising sun md,jobs hiring in rising sun indiana,4,3,google,2025-10-30 18:20:48.660936,jobs in rison ar,jobs in rising sun
30,jobs in rison arkansas,"('jobs hiring in rising sun md', 'jobs in rising sun maryland')",jobs hiring in rising sun md,jobs in rising sun maryland,5,3,google,2025-10-30 18:20:48.660936,jobs in rison ar,jobs in rising sun
31,jobs in rison arkansas,"('jobs hiring in rising sun', 'jobs hiring in rising sun md')",jobs hiring in rising sun,jobs hiring in rising sun md,1,3,google,2025-10-30 18:20:49.553879,jobs in rison ar,jobs in rising sun
32,jobs in rison arkansas,"('jobs hiring in rising sun', 'jobs hiring rising sun indiana')",jobs hiring in rising sun,jobs hiring rising sun indiana,2,3,google,2025-10-30 18:20:49.553879,jobs in rison ar,jobs in rising sun
33,jobs in rison arkansas,"('jobs hiring in rising sun', 'jobs hiring near rising sun ave philadelphia')",jobs hiring in rising sun,jobs hiring near rising sun ave philadelphia,3,3,google,2025-10-30 18:20:49.553879,jobs in rison ar,jobs in rising sun
34,jobs in rison arkansas,"('jobs hiring in rising sun', 'jobs near rising sun md')",jobs hiring in rising sun,jobs near rising sun md,4,3,google,2025-10-30 18:20:49.553879,jobs in rison ar,jobs in rising sun
35,jobs in rison arkansas,"('jobs hiring in rising sun', 'jobs near rising sun indiana')",jobs hiring in rising sun,jobs near rising sun indiana,5,3,google,2025-10-30 18:20:49.553879,jobs in rison ar,jobs in rising sun
36,jobs in rison arkansas,"('jobs hiring in rising sun', 'jobs near rising sun')",jobs hiring in rising sun,jobs near rising sun,6,3,google,2025-10-30 18:20:49.553879,jobs in rison ar,jobs in rising sun
37,jobs in rison arkansas,"('jobs hiring in rising sun', 'jobs near me rising sun md')",jobs hiring in rising sun,jobs near me rising sun md,7,3,google,2025-10-30 18:20:49.553879,jobs in rison ar,jobs in rising sun
38,jobs in rison arkansas,"('jobs hiring in rising sun', 'sunrise jobs hiring')",jobs hiring in rising sun,sunrise jobs hiring,8,3,google,2025-10-30 18:20:49.553879,jobs in rison ar,jobs in rising sun
39,jobs in rison arkansas,"('part time jobs in rising sun md', 'jobs in rising sun maryland')",part time jobs in rising sun md,jobs in rising sun maryland,1,3,google,2025-10-30 18:20:50.888963,jobs in rison ar,jobs in rising sun
40,jobs in rison arkansas,"('part time jobs in rising sun md', 'jobs rising sun md')",part time jobs in rising sun md,jobs rising sun md,2,3,google,2025-10-30 18:20:50.888963,jobs in rison ar,jobs in rising sun
41,jobs in rison arkansas,"('part time jobs in rising sun', 'part time jobs in rising sun md')",part time jobs in rising sun,part time jobs in rising sun md,1,3,google,2025-10-30 18:20:52.244884,jobs in rison ar,jobs in rising sun
42,jobs in rison arkansas,"('part time jobs in rising sun', 'part time jobs rising sun indiana')",part time jobs in rising sun,part time jobs rising sun indiana,2,3,google,2025-10-30 18:20:52.244884,jobs in rison ar,jobs in rising sun
43,jobs in rison arkansas,"('part time jobs in rising sun', 'part time jobs in sunrise florida')",part time jobs in rising sun,part time jobs in sunrise florida,3,3,google,2025-10-30 18:20:52.244884,jobs in rison ar,jobs in rising sun
44,jobs in rison arkansas,"('part time jobs in rising sun', 'part time jobs in sunrise fl')",part time jobs in rising sun,part time jobs in sunrise fl,4,3,google,2025-10-30 18:20:52.244884,jobs in rison ar,jobs in rising sun
45,jobs in rison arkansas,"('jobs at rising sun enterprises', 'rising sun employment')",jobs at rising sun enterprises,rising sun employment,1,3,google,2025-10-30 18:20:53.293088,jobs in rison ar,jobs in rising sun
