,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in saint paul island alaska,"('jobs in saint paul island alaska', 'saint paul island alaska jobs')",jobs in saint paul island alaska,saint paul island alaska jobs,1,0,google,2025-10-28 16:54:31.523572,,
1,jobs in saint paul island alaska,"('jobs in saint paul island alaska', 'st paul island jobs')",jobs in saint paul island alaska,st paul island jobs,2,0,google,2025-10-28 16:54:31.523572,,
2,jobs in saint paul island alaska,"('jobs in saint paul island alaska', 'st paul alaska jobs')",jobs in saint paul island alaska,st paul alaska jobs,3,0,google,2025-10-28 16:54:31.523572,,
3,jobs in saint paul island alaska,"('jobs in saint paul island alaska', 'st paul island alaska jobs')",jobs in saint paul island alaska,st paul island alaska jobs,4,0,google,2025-10-28 16:54:31.523572,,
4,jobs in saint paul island alaska,"('jobs in saint paul island alaska', 'jobs in saint paul minnesota')",jobs in saint paul island alaska,jobs in saint paul minnesota,5,0,google,2025-10-28 16:54:31.523572,,
5,jobs in saint paul island alaska,"('saint paul island alaska jobs', 'saint paul island ak jobs')",saint paul island alaska jobs,saint paul island ak jobs,1,1,google,2025-10-28 16:54:32.767146,,jobs in saint paul island alaska
6,jobs in saint paul island alaska,"('saint paul island alaska jobs', 'st paul island jobs')",saint paul island alaska jobs,st paul island jobs,2,1,google,2025-10-28 16:54:32.767146,,jobs in saint paul island alaska
7,jobs in saint paul island alaska,"('saint paul island alaska jobs', 'st paul alaska jobs')",saint paul island alaska jobs,st paul alaska jobs,3,1,google,2025-10-28 16:54:32.767146,,jobs in saint paul island alaska
8,jobs in saint paul island alaska,"('saint paul island alaska jobs', 'saint paul island alaska weather')",saint paul island alaska jobs,saint paul island alaska weather,4,1,google,2025-10-28 16:54:32.767146,,jobs in saint paul island alaska
9,jobs in saint paul island alaska,"('saint paul island alaska jobs', 'st paul island alaska jobs')",saint paul island alaska jobs,st paul island alaska jobs,5,1,google,2025-10-28 16:54:32.767146,,jobs in saint paul island alaska
10,jobs in saint paul island alaska,"('st paul island jobs', 'st paul alaska jobs')",st paul island jobs,st paul alaska jobs,1,1,google,2025-10-28 16:54:34.212039,,jobs in saint paul island alaska
11,jobs in saint paul island alaska,"('st paul island jobs', 'st paul island ak jobs')",st paul island jobs,st paul island ak jobs,2,1,google,2025-10-28 16:54:34.212039,,jobs in saint paul island alaska
12,jobs in saint paul island alaska,"('st paul island jobs', ""st paul's school of nursing staten island jobs"")",st paul island jobs,st paul's school of nursing staten island jobs,3,1,google,2025-10-28 16:54:34.212039,,jobs in saint paul island alaska
13,jobs in saint paul island alaska,"('st paul island jobs', 'st paul island cannery')",st paul island jobs,st paul island cannery,4,1,google,2025-10-28 16:54:34.212039,,jobs in saint paul island alaska
14,jobs in saint paul island alaska,"('st paul island jobs', 'st.paul jobs')",st paul island jobs,st.paul jobs,5,1,google,2025-10-28 16:54:34.212039,,jobs in saint paul island alaska
15,jobs in saint paul island alaska,"('st paul island jobs', 'st paul jobs part time')",st paul island jobs,st paul jobs part time,6,1,google,2025-10-28 16:54:34.212039,,jobs in saint paul island alaska
16,jobs in saint paul island alaska,"('st paul alaska jobs', 'st paul island jobs')",st paul alaska jobs,st paul island jobs,1,1,google,2025-10-28 16:54:35.224965,,jobs in saint paul island alaska
17,jobs in saint paul island alaska,"('st paul alaska jobs', 'saint paul island alaska jobs')",st paul alaska jobs,saint paul island alaska jobs,2,1,google,2025-10-28 16:54:35.224965,,jobs in saint paul island alaska
18,jobs in saint paul island alaska,"('st paul alaska jobs', 'st paul alaska police department')",st paul alaska jobs,st paul alaska police department,3,1,google,2025-10-28 16:54:35.224965,,jobs in saint paul island alaska
19,jobs in saint paul island alaska,"('st paul alaska jobs', 'st paul alaska school')",st paul alaska jobs,st paul alaska school,4,1,google,2025-10-28 16:54:35.224965,,jobs in saint paul island alaska
20,jobs in saint paul island alaska,"('st paul alaska jobs', 'st paul alaska police')",st paul alaska jobs,st paul alaska police,5,1,google,2025-10-28 16:54:35.224965,,jobs in saint paul island alaska
21,jobs in saint paul island alaska,"('st paul island alaska jobs', 'saint paul island alaska jobs')",st paul island alaska jobs,saint paul island alaska jobs,1,1,google,2025-10-28 16:54:36.552575,,jobs in saint paul island alaska
22,jobs in saint paul island alaska,"('st paul island alaska jobs', 'st paul alaska jobs')",st paul island alaska jobs,st paul alaska jobs,2,1,google,2025-10-28 16:54:36.552575,,jobs in saint paul island alaska
23,jobs in saint paul island alaska,"('st paul island alaska jobs', 'st paul island jobs')",st paul island alaska jobs,st paul island jobs,3,1,google,2025-10-28 16:54:36.552575,,jobs in saint paul island alaska
24,jobs in saint paul island alaska,"('st paul island alaska jobs', 'st paul island alaska fishing')",st paul island alaska jobs,st paul island alaska fishing,4,1,google,2025-10-28 16:54:36.552575,,jobs in saint paul island alaska
25,jobs in saint paul island alaska,"('st paul island alaska jobs', 'st paul.island alaska')",st paul island alaska jobs,st paul.island alaska,5,1,google,2025-10-28 16:54:36.552575,,jobs in saint paul island alaska
26,jobs in saint paul island alaska,"('jobs in saint paul minnesota', 'jobs in saint paul mn no degree')",jobs in saint paul minnesota,jobs in saint paul mn no degree,1,1,google,2025-10-28 16:54:37.595129,,jobs in saint paul island alaska
27,jobs in saint paul island alaska,"('jobs in saint paul minnesota', 'jobs in saint paul mn full time')",jobs in saint paul minnesota,jobs in saint paul mn full time,2,1,google,2025-10-28 16:54:37.595129,,jobs in saint paul island alaska
28,jobs in saint paul island alaska,"('jobs in saint paul minnesota', 'jobs in saint paul mn remote')",jobs in saint paul minnesota,jobs in saint paul mn remote,3,1,google,2025-10-28 16:54:37.595129,,jobs in saint paul island alaska
29,jobs in saint paul island alaska,"('jobs in saint paul minnesota', 'jobs in st paul mn part time')",jobs in saint paul minnesota,jobs in st paul mn part time,4,1,google,2025-10-28 16:54:37.595129,,jobs in saint paul island alaska
30,jobs in saint paul island alaska,"('jobs in saint paul minnesota', 'jobs in st paul mn for 16 year olds')",jobs in saint paul minnesota,jobs in st paul mn for 16 year olds,5,1,google,2025-10-28 16:54:37.595129,,jobs in saint paul island alaska
31,jobs in saint paul island alaska,"('jobs in saint paul minnesota', 'jobs hiring in saint paul minnesota')",jobs in saint paul minnesota,jobs hiring in saint paul minnesota,6,1,google,2025-10-28 16:54:37.595129,,jobs in saint paul island alaska
32,jobs in saint paul island alaska,"('jobs in saint paul minnesota', 'cna jobs in st paul minnesota')",jobs in saint paul minnesota,cna jobs in st paul minnesota,7,1,google,2025-10-28 16:54:37.595129,,jobs in saint paul island alaska
33,jobs in saint paul island alaska,"('jobs in saint paul minnesota', 'indeed jobs in st paul minnesota')",jobs in saint paul minnesota,indeed jobs in st paul minnesota,8,1,google,2025-10-28 16:54:37.595129,,jobs in saint paul island alaska
34,jobs in saint paul island alaska,"('jobs in saint paul minnesota', 'accounting jobs in st. paul minnesota')",jobs in saint paul minnesota,accounting jobs in st. paul minnesota,9,1,google,2025-10-28 16:54:37.595129,,jobs in saint paul island alaska
35,jobs in saint paul island alaska,"('saint paul island ak jobs', 'st paul island jobs')",saint paul island ak jobs,st paul island jobs,1,2,google,2025-10-28 16:54:38.711450,jobs in saint paul island alaska,saint paul island alaska jobs
36,jobs in saint paul island alaska,"('saint paul island ak jobs', 'saint john paul ii academy jobs')",saint paul island ak jobs,saint john paul ii academy jobs,2,2,google,2025-10-28 16:54:38.711450,jobs in saint paul island alaska,saint paul island alaska jobs
37,jobs in saint paul island alaska,"('saint paul island ak jobs', 'saint paul academy jobs')",saint paul island ak jobs,saint paul academy jobs,3,2,google,2025-10-28 16:54:38.711450,jobs in saint paul island alaska,saint paul island alaska jobs
38,jobs in saint paul island alaska,"('saint paul island ak jobs', 'saint paul island alaska weather')",saint paul island ak jobs,saint paul island alaska weather,4,2,google,2025-10-28 16:54:38.711450,jobs in saint paul island alaska,saint paul island alaska jobs
39,jobs in saint paul island alaska,"('saint paul island ak jobs', 'st paul alaska jobs')",saint paul island ak jobs,st paul alaska jobs,5,2,google,2025-10-28 16:54:38.711450,jobs in saint paul island alaska,saint paul island alaska jobs
40,jobs in saint paul island alaska,"('saint paul island alaska weather', 'how cold does it get in palmer alaska')",saint paul island alaska weather,how cold does it get in palmer alaska,1,2,google,2025-10-28 16:54:39.985030,jobs in saint paul island alaska,saint paul island alaska jobs
41,jobs in saint paul island alaska,"('saint paul island alaska weather', 'saint paul alaska weather')",saint paul island alaska weather,saint paul alaska weather,2,2,google,2025-10-28 16:54:39.985030,jobs in saint paul island alaska,saint paul island alaska jobs
42,jobs in saint paul island alaska,"('saint paul island alaska weather', 'saint paul island weather')",saint paul island alaska weather,saint paul island weather,3,2,google,2025-10-28 16:54:39.985030,jobs in saint paul island alaska,saint paul island alaska jobs
43,jobs in saint paul island alaska,"('saint paul island alaska weather', 'st paul island alaska weather')",saint paul island alaska weather,st paul island alaska weather,4,2,google,2025-10-28 16:54:39.985030,jobs in saint paul island alaska,saint paul island alaska jobs
44,jobs in saint paul island alaska,"('saint paul island alaska weather', 'st paul alaska weather forecast')",saint paul island alaska weather,st paul alaska weather forecast,5,2,google,2025-10-28 16:54:39.985030,jobs in saint paul island alaska,saint paul island alaska jobs
45,jobs in saint paul island alaska,"('st paul island ak jobs', 'st paul island jobs')",st paul island ak jobs,st paul island jobs,1,2,google,2025-10-28 16:54:41.222253,jobs in saint paul island alaska,st paul island jobs
46,jobs in saint paul island alaska,"('st paul island ak jobs', 'st paul alaska jobs')",st paul island ak jobs,st paul alaska jobs,2,2,google,2025-10-28 16:54:41.222253,jobs in saint paul island alaska,st paul island jobs
