,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in salem fulton county arkansas,"('jobs in salem fulton county arkansas', 'jobs in salem fulton county arkansas area')",jobs in salem fulton county arkansas,jobs in salem fulton county arkansas area,1,0,google,2025-11-01 18:13:23.840685,,
1,jobs in salem fulton county arkansas,"('jobs in salem fulton county arkansas', 'jobs in salem fulton county arkansas 2024')",jobs in salem fulton county arkansas,jobs in salem fulton county arkansas 2024,2,0,google,2025-11-01 18:13:23.840685,,
2,jobs in salem fulton county arkansas,"('jobs in salem fulton county arkansas', 'jobs in salem fulton county arkansas hiring')",jobs in salem fulton county arkansas,jobs in salem fulton county arkansas hiring,3,0,google,2025-11-01 18:13:23.840685,,
3,jobs in salem fulton county arkansas,"('jobs in salem fulton county arkansas', 'jobs in salem fulton county arkansas 2023')",jobs in salem fulton county arkansas,jobs in salem fulton county arkansas 2023,4,0,google,2025-11-01 18:13:23.840685,,
4,jobs in salem fulton county arkansas,"('jobs in salem fulton county arkansas', 'jobs in salem fulton county arkansas school district')",jobs in salem fulton county arkansas,jobs in salem fulton county arkansas school district,5,0,google,2025-11-01 18:13:23.840685,,
5,jobs in salem fulton county arkansas,"('jobs in salem fulton county arkansas', 'jobs in salem fulton county arkansas sheriff')",jobs in salem fulton county arkansas,jobs in salem fulton county arkansas sheriff,6,0,google,2025-11-01 18:13:23.840685,,
6,jobs in salem fulton county arkansas,"('jobs in salem fulton county arkansas', 'jobs in salem fulton county arkansas recent arrests')",jobs in salem fulton county arkansas,jobs in salem fulton county arkansas recent arrests,7,0,google,2025-11-01 18:13:23.840685,,
7,jobs in salem fulton county arkansas,"('jobs in salem fulton county arkansas', 'jobs in salem fulton county ar')",jobs in salem fulton county arkansas,jobs in salem fulton county ar,8,0,google,2025-11-01 18:13:23.840685,,
8,jobs in salem fulton county arkansas,"('jobs in salem fulton county arkansas', 'jobs in salem fulton county arkansas government')",jobs in salem fulton county arkansas,jobs in salem fulton county arkansas government,9,0,google,2025-11-01 18:13:23.840685,,
9,jobs in salem fulton county arkansas,"('jobs in salem fulton county arkansas area', 'jobs in salem fulton county arkansas area schools')",jobs in salem fulton county arkansas area,jobs in salem fulton county arkansas area schools,1,1,google,2025-11-01 18:13:25.187068,,jobs in salem fulton county arkansas
10,jobs in salem fulton county arkansas,"('jobs in salem fulton county arkansas area', 'jobs in salem fulton county arkansas area area')",jobs in salem fulton county arkansas area,jobs in salem fulton county arkansas area area,2,1,google,2025-11-01 18:13:25.187068,,jobs in salem fulton county arkansas
11,jobs in salem fulton county arkansas,"('jobs in salem fulton county arkansas area', 'jobs in salem fulton county arkansas area 2024')",jobs in salem fulton county arkansas area,jobs in salem fulton county arkansas area 2024,3,1,google,2025-11-01 18:13:25.187068,,jobs in salem fulton county arkansas
12,jobs in salem fulton county arkansas,"('jobs in salem fulton county arkansas area', 'jobs in salem fulton county arkansas area school district')",jobs in salem fulton county arkansas area,jobs in salem fulton county arkansas area school district,4,1,google,2025-11-01 18:13:25.187068,,jobs in salem fulton county arkansas
13,jobs in salem fulton county arkansas,"('jobs in salem fulton county arkansas area', 'jobs in salem fulton county arkansas area for 16 year olds')",jobs in salem fulton county arkansas area,jobs in salem fulton county arkansas area for 16 year olds,5,1,google,2025-11-01 18:13:25.187068,,jobs in salem fulton county arkansas
14,jobs in salem fulton county arkansas,"('jobs in salem fulton county arkansas 2024', 'jobs in salem fulton county arkansas 2024 jobs')",jobs in salem fulton county arkansas 2024,jobs in salem fulton county arkansas 2024 jobs,1,1,google,2025-11-01 18:13:26.346076,,jobs in salem fulton county arkansas
